1. W|longyu long|12 cabernet sauvignon dry red|China|Tinto
455. W|maison thiriet|bourgogne chardonnay|Franca|Branco
456. W|maison yves duport|le marginal vdf savoie|Franca|Tinto
457. W|maisons roses de lafauriepeyraguey||Franca|Rosado
458. W|maitre de chai|sparkling xenin blanc clarksburg california|EUA|Espumante
459. W|maitre de chai|wheeler vineyard chardonnay|EUA|Branco
460. W|majas|blanc cotes catalanes|Franca|Branco
461. W|majella|cabernet sauvignon|Australia|Tinto
462. W|majella|the composer cabernet sauvignon|Australia|Tinto
463. W|makalie||Alemanha|Tinto
464. W|makalie|bleuwen spatburgunder baden|Alemanha|Tinto
465. W|makalie|chapelle spatburgunder baden|Alemanha|Tinto
466. W|makalie|chardonnay baden|Alemanha|Branco
467. W|makalie|weissburgunder baden|Alemanha|Branco
468. W|maker master merchant|chardonnay|??|Branco
469. W|malabaila|cardunaj brachetto piedmont|Italia|Tinto
470. W|malartic lagraviere|rouge|Franca|Tinto
471. W|malavasi|rosa del lago|Italia|Rosado
472. W|malbec||Argentina|Tinto
473. W|andeluna|malbec 1300|Argentina|Tinto
474. W|cicchitti|malbec mendoza argentina|Argentina|Tinto
475. W|malbec|clone 595|??|Tinto
476. W|rutini|malbec 2021|Argentina|Tinto
477. W|malbec|vieilles vignes|??|Tinto
478. W|winshaw vineyards|malbec|Africa do Sul|Tinto
479. W|malescot saint exupery||Franca|Tinto
480. W|malhadinha|biologico rose|Portugal|Rosado
481. W|malhadinha nova|branco|Portugal|Branco
482. W|malibran|credamora|Italia|Espumante
483. W|malibran|vibrato|Italia|Espumante
484. W|malinga|pinot noir bio|Austria|Tinto
485. W|malinga|welschriesling bio|Austria|Branco
486. W|mallaluka|cabernet franc|Australia|Tinto
487. W|mallaluka|cabernet sauvignon|Australia|Tinto
488. W|mallaluka|pinot grigio|Australia|Branco
489. W|mallaluka|sangiovese|Australia|Tinto
490. W|mallaluka|syrah|Australia|Tinto
491. W|mallea|red blend santa barbara county california|EUA|Tinto
492. W|maloof|no clos radio pinot gris|EUA|Branco
493. W|maloof|where ya pjs at orange wine willamette valley|EUA|Branco
494. 2. S
495. W|cattunar|malvazija istarska 4 terre croatia|Croacia|Branco
496. 1. X
497. W|man owar|estate viognier waiheke island|Nova Zelandia|Branco
498. W|man owar|dreadnought syrah|Nova Zelandia|Tinto
499. W|manara|el rocolo recioto valpolicella|Italia|Tinto
500. W|mandala|fume blanc|Australia|Branco
501. W|mandirola|1913 timorasso derthona|Italia|Branco
502. W|mandrarossa|cartagho rosso|Italia|Tinto
503. W|mandriano|vermentino maremma|Italia|Branco
504. W|manenti|frappato terre siciliane sicily|Italia|Tinto
505. W|mangot|bio organic|Franca|Tinto
506. W|mani di luna|il baratto trebbiano umbria igt|Italia|Branco
507. W|mani luna|sangiovese|Italia|Tinto
508. W|manincor|kaltersee keil schiava lago di caldaro classico superiore trentinoalto adige|Italia|Tinto
509. W|manincor|terlano alto adige reserve della contessa|Italia|Branco
510. W|manni nossing|sudtirol eisacktaler muller thurgau sass rigais|Italia|Branco
511. W|manoella|branco|Portugal|Branco
512. W|manoella|rose|Portugal|Rosado
513. W|yann durieux|manon|Franca|Branco
514. W|manos negras|malbec|Argentina|Tinto
515. W|manos negras|pinot noir mendoza argentina|Argentina|Tinto
516. W|mansalto|la commenda chianti|Italia|Tinto
517. W|mansengs et compagnie|mansengs|Franca|Branco
518. W|mansengs et compagnie|marcel|Franca|??
519. W|mansfielddunne|pinot noir santa lucia highlands|EUA|Tinto
520. W|mansion house bay|marlborough pinot gris|Nova Zelandia|Branco
521. W|mansion house bay|marlborough pinot noir rose|Nova Zelandia|Rosado
522. W|mansion house bay|marlborough sauvignon blanc|Nova Zelandia|Branco
523. W|manuel cantalapiedra|lirondo clarete|Espanha|Rosado
524. W|manuel olivier|bourgogne chardonnay|Franca|Branco
525. W|manuel olivier|bourgogne hautes cotes de nuits pinot noir vieilles vignes|Franca|Tinto
526. W|manuel olivier|bourgogne hautes cotes de nuits rose de pinot noir|Franca|Rosado
527. W|manuel olivier|chambolle musigny|Franca|Tinto
528. W|manuel olivier|gevrey chambertin|Franca|Tinto
529. W|manuel olivier|vosne romanee les damaudes|Franca|Tinto
530. W|manz|dona fatima jampal branco|Portugal|Branco
531. W|maori point|estate pinot noir|Nova Zelandia|Tinto
532. W|maori point|grand reserve pinot noir professors block|Nova Zelandia|Tinto
533. W|maori point|riesling|Nova Zelandia|Branco
534. W|mappinga|fume blanc|Australia|Branco
535. W|maquete|barro branco|??|Branco
536. W|maquete|barro tinto|??|Tinto
537. W|mar azul|vinho verde rose doc|Portugal|Rosado
538. W|mar de frades|albarino|Espanha|Branco
539. W|maranges|1 cru|Franca|Tinto
540. W|marathon downs|racecourse block pet nat|??|Espumante
541. W|marathon downs|racecourse block sauvignon blanc|??|Branco
542. W|marble|red blend sonoma valley california|EUA|Tinto
543. W|marc barriot|clot de lorigine loriginal|Franca|??
544. W|marc bredif|vouvray classic|Franca|Branco
545. W|marc colin et fils|chassagnemontrachet premier cru cailleret|Franca|Branco
546. W|marc colin et fils|chassagnemontrachet vieilles vignes rouge|Franca|Tinto
547. W|marc colin et fils|montrachet grand cru|Franca|Branco
548. W|marc colin et fils|saintaubin 1er cru en montceau|Franca|Branco
549. W|marc delienne|avalanche de primavera fleurie|Franca|Tinto
550. W|marc delienne|fleurie abbaye road|Franca|Tinto
551. W|marc deschamps|pouilly fume|Franca|Branco
552. W|marc et caroline barriot|le trouble fait|Franca|??
553. W|marc morey|batard montrachet grand cru|Franca|Branco
554. W|marc morey|bourgogne aligote|Franca|Branco
555. W|marc morey|chassagne montrachet 1er cru les chenevottes|Franca|Branco
556. W|marc roy|gevreychambertin clos prieur|Franca|Tinto
557. W|marc roy|gevreychambertin vieilles vignes|Franca|Tinto
558. W|marc soyard|bourgogne hermaion|Franca|Tinto
559. W|marcantonin blain|batardmontrachet grand cru|Franca|Branco
560. W|marcantonin blain|chassagne montrachet 1er cru morgeot rouge|Franca|Tinto
561. W|marcantonin blain|chassagnemontrachet rouge|Franca|Tinto
562. W|marcassin|chardonnay marcassin vineyard|EUA|Branco
563. W|marcassin vineyard||EUA|Tinto
564. W|marcaurelio|frizzante lambrusco|Italia|Espumante
565. W|marcel||??|??
566. W|marcel couturier|maconloche les longues terres burgundy|Franca|Branco
567. W|marcel richaud|bulbille cotesdurhone rouge|Franca|Tinto
568. W|marchand tawse|bourgogne blanc|Franca|Branco
569. W|marchand tawse|meursault|Franca|Branco
570. W|marchand tawse|puligny montrachet|Franca|Branco
571. W|marchandtawse|charmeschambertin grand cru|Franca|Tinto
572. W|marchandtawse|echezeaux grand cru|Franca|Tinto
573. W|marchandtawse|marsannay burgundy|Franca|Tinto
574. W|marchandtawse|mazischambertin grand cru|Franca|Tinto
575. W|marchandtawse|meursault premier cru genevrieres|Franca|Branco
576. W|marchandtawse|moreysaintdenis premier cru les millandes|Franca|Tinto
577. W|marchandtawse|nuitssaintgeorges les perrieres|Franca|Tinto
578. W|marchandtawse|nuitssaintgeorges premier cru clos des corvees pagets|Franca|Tinto
579. W|cantine volpi|marche sangiovese organic igt|Italia|Tinto
580. W|marchelle|fourth act pinot|??|Tinto
581. W|marchese antinori|chianti classico riserva|Italia|Tinto
582. W|marchese di villamarina|riserva|Italia|Tinto
583. W|marchesi antinori|pian delle vigne rosso di montalcino tuscany|Italia|Tinto
584. W|marchesi antinori|solaia toscana|Italia|Tinto
585. W|marchesi antinori|tignanello|Italia|Tinto
586. W|marchesi antinori|villa toscana|Italia|Tinto
587. W|marchesi di barolo|barbera dasti rure|Italia|Tinto
588. W|marchesi di barolo|barbera del monferrato maraia|Italia|Tinto
589. W|marchesi di barolo|barolo tradizione|Italia|Tinto
590. W|marchesi di barolo|dolcetto dalba madonna del dono|Italia|Tinto
591. W|marchesi di barolo|gavi docg piedmont|Italia|Branco
592. W|marchesi di barolo|heritessa|Italia|??
593. W|marchesi di barolo|roero arneis|Italia|Branco
594. W|marchesi di gresy|dolcetto dalba monte aribaldo|Italia|Tinto
595. W|marchesi di gresy|sauvignon blanc langhe|Italia|Branco
596. W|marchesi incisa della rocchetta|grignolino dasti|Italia|Tinto
597. W|marchetti|verdicchio|Italia|Branco
598. W|marchisio family|barbera|Italia|Tinto
599. W|marchisio family|sienra arneis|Italia|Branco
600. W|marco abella|clos abella|Espanha|Tinto
601. W|marco abella|loidana|Espanha|Tinto
602. W|marco abella|loidana blanco|Espanha|Branco
603. W|marco abella|olbieta negre|Espanha|Tinto
604. W|marco de bartoli|bukkuram padre della vigna|Italia|Branco
605. W|marco de bartoli|integer grillo superiore doc|Italia|Branco
606. W|marco de bartoli|marsala vergine riserva 1988|Italia|Branco
607. W|marco e vittorio adriano|barbaresco basarin|Italia|Tinto
608. W|marco felluga|pinot grigio mongris collio|Italia|Branco
609. W|marco marengo|nebbiolo dalba valmaggiore|Italia|Tinto
610. W|marco merli|rosato umbria zerodibabo|Italia|Rosado
611. W|marco mosconi|corvina bio|Italia|Tinto
612. W|marco mosconi|soave|Italia|Branco
613. W|marco|zerodi rosato|Italia|Rosado
614. W|marcobarba|barbabolla|Italia|Espumante
615. W|marel|branco|Portugal|Branco
616. W|marenco|pineto brachetto dacqui|Italia|Tinto
617. W|marenco|scrapona moscato dasti docg italian dessert wine|Italia|Branco
618. W|marengo|barolo|Italia|Tinto
619. W|marengo|barolo bricco delle viole piedmont|Italia|Tinto
620. W|marengo|barolo brunate|Italia|Tinto
621. W|maretti|langhe rosso|Italia|Tinto
622. W|margan|breaking ground chardonnay|Australia|Branco
623. W|margan|breaking ground semillon|Australia|Branco
624. W|margan|breaking ground shiraz|Australia|Tinto
625. W|cape mentelle|margaret river chardonnay|Australia|Branco
626. W|margaret river|rouge|Australia|Tinto
627. W|margarethenhof|riesling trocken saar|Alemanha|Branco
628. W|margarey lane|cabernet sauvignon|Australia|Tinto
629. W|margaux||Franca|Tinto
630. W|margaux de brane||Franca|Tinto
631. W|margherita otto|barolo|Italia|Tinto
632. W|margherita otto|langhe nebbiolo|Italia|Tinto
633. W|margins|massa vineyard chenin blanc|EUA|Branco
634. W|margins|muscat blanc contra costa county|EUA|Branco
635. W|margins|san benito county barbera|EUA|Tinto
636. W|margins|santa cruz mountains cabernet franc|EUA|Tinto
637. W|margins|skin fermented chenin blanc clarksburg|EUA|Branco
638. W|margon|leon primeur tinto|Franca|Tinto
639. W|marguet|ambonnay blanc coteaux champenois|Franca|Branco
640. W|marguet|avize blanc coteaux champenois|Franca|Branco
641. W|marguet|yuman premier cru blanc de blancs|Franca|Espumante
642. W|maria sepp muster|erde|Austria|??
643. W|maria sepp muster|sauvignon vom opok|Austria|Branco
644. W|maria sepp muster|vom opok rose|Austria|Rosado
645. W|herdade do rocim|mariana white|Portugal|Branco
646. W|marie courtin|resonance blanc de noir|Franca|Espumante
647. W|marie rocher|les valseuses gamay petnat|Franca|Espumante
648. W|marie thibault|premier nez|Franca|Branco
649. W|clemens busch|marienburg felsterrasse|Alemanha|Branco
650. W|marietta|angeli alexander valley estate grown zinfandel|EUA|Tinto
651. W|marietta|arme cabernet sauvignon mcdowell valley|EUA|Tinto
652. W|marietta cellars|christo california|EUA|Tinto
653. W|marietta|roman zinfandel|EUA|Tinto
654. W|marigny|pinot gris|EUA|Branco
655. W|gianni masciarelli|marina cvetic trebbiano dabruzzo riserva|Italia|Branco
656. W|marine bonnet|moulin a vent la rochelle beaujolais|Franca|Tinto
657. W|mario bagella|1sorso vermentino di sardegna|Italia|Branco
658. W|mario schiopetto|friulano collio|Italia|Branco
659. W|marioni|fracaso|EUA|??
660. W|marisa cuomo|costa damalfi fiorduva bianco|Italia|Branco
661. W|marius bielle|lalande de pomerol brutes|Franca|Tinto
662. W|marjan simcic|chardonnay opoka goriska brda|Eslovenia|Branco
663. W|marjan simcic|opoka pinot noir goriska brda|Eslovenia|Tinto
664. W|marjan simcic|pinot grigio goriska brda|Eslovenia|Branco
665. W|marjan simcic|pinot noir selekcija goriska brda|Eslovenia|Tinto
666. W|marjan simcic|ribolla opoka goriska brda|Eslovenia|Branco
667. W|marjorie stephane gallet|cotes catalans leffet papillon rouge|Franca|Tinto
668. W|marjosse||Franca|Tinto
669. W|mark angeli|anjou ferme sansonniere lune|Franca|Branco
