Aqui está a classificação e extração de dados conforme solicitado:

W|cascina pennacurrado|barbera dalba carra|it|r|barbera|piedmont|dalba|2022|13.5|DOC|medio|carne vermelha, queijo|seco
W|cascina valle asinari|monferrato rosso ciuchino|it|r|??|piedmont|monferrato||2020|13|DOC|medio|carne vermelha, queijo|seco
W|cascina valle asinari|barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina valle asinari|barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco|=227
W|cascina valle asinari|barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco|=227
W|cascina valle asinari|barbera dasti|it|r|barbera|piedmont|asti||2021|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina valle asinari|barbera dasti|it|r|barbera|piedmont|asti||2023|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina valle asinari|barbera dasti superiore|it|r|barbera|piedmont|asti||2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina valle asinari|ciuchino|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco
W|cascina valle asinari|ciuchino|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco|=233
W|cascina valle asinari|ciuchino|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco|=233
W|cascina valle asinari|ciuchino rosso monferrato|it|r|??|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina valle asinari|monferrato rosso ciuchino|it|r|??|piedmont|monferrato||2020|13|DOC|medio|carne vermelha, queijo|seco
W|cascina valle asinari|nizza|it|r|barbera|piedmont|nizza||2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina valle asinari|nizza|it|r|barbera|piedmont|nizza||2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=238
W|cascina valle asinari|nizza|it|r|barbera|piedmont|nizza||2020|13.5|DOCG|medio|carne vermelha, queijo|seco|=238
W|cascina vano|barbaresco canova|it|r|nebbiolo|piedmont|barbaresco||NV|14|DOCG|encorpado|carne vermelha, trufas|seco
W|cascina vengore|belgardo nebbiolo terre alfieri|it|r|nebbiolo|piedmont|terre alfieri||2020|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|belgardo nebbiolo terre alfieri|it|r|nebbiolo|piedmont|terre alfieri||2021|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|belgardo terre alfieri nebbiolo|it|r|nebbiolo|piedmont|terre alfieri||2023|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|belgardo terre alfieri nebbiolo|it|r|nebbiolo|piedmont|terre alfieri||NV|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|belgardo terre alfieri nebbiolo|it|r|nebbiolo|piedmont|terre alfieri||2022|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|belgardo terre alfieri nebbiolo org|it|r|nebbiolo|piedmont|terre alfieri||2023|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|campolungo barbera dasti|it|r|barbera|piedmont|asti||NV|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|campolungo barbera dasti|it|r|barbera|piedmont|asti||2024|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|campolungo barbera dasti|it|r|barbera|piedmont|asti||2023|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|campolungo barbera dasti|it|r|barbera|piedmont|asti||2024|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|campolungo barbera dasti org|it|r|barbera|piedmont|asti||2024|13|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|mignane nebbiolo|it|r|nebbiolo|piedmont|||NV|13.5|IGT|medio|carne vermelha, trufas|seco
W|cascina vengore|mignane nebbiolo terre alfieri|it|r|nebbiolo|piedmont|terre alfieri||2022|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|mignane terre alfieri nebbiolo|it|r|nebbiolo|piedmont|terre alfieri||2023|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|mompirone barbera dasti superiore|it|r|barbera|piedmont|asti||NV|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|mompirone barbera dasti superiore|it|r|barbera|piedmont|asti||2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|mompirone barbera dasti superiore org|it|r|barbera|piedmont|asti||2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cascina vengore|san rome arneis terre alfieri|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|san rome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome arneis|it|w|arneis|piedmont|||NV|13|IGT|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome arneis|it|w|arneis|piedmont|||NV|13|IGT|medio|frutos do mar, peixe|seco|=261
W|cascina vengore|sanrome arneis terre alfieri|it|w|arneis|piedmont|terre alfieri||2024|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome arneis terre alfieri|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||2023|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis org|it|w|arneis|piedmont|terre alfieri||2024|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis|it|w|arneis|piedmont|terre alfieri||2024|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis bio|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|sanrome terre alfieri arneis italy organic|it|w|arneis|piedmont|terre alfieri||NV|13|DOCG|medio|frutos do mar, peixe|seco
W|cascina vengore|terre alfieri belgardo nebbiolo bio|it|r|nebbiolo|piedmont|terre alfieri||NV|13.5|DOCG|medio|carne vermelha, trufas|seco
W|cascina vengore|terre alfieri mignane nebbiolo|it|r|nebbiolo|piedmont|terre alfieri||NV|13.5|DOCG|medio|carne vermelha, trufas|seco
X
W|cascina zerbetta|barbera del monferrato|it|r|barbera|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina zerbetta|barbera del monferrato|it|r|barbera|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco|=276
W|cascina zerbetta|barbera del monferrato|it|r|barbera|piedmont|monferrato||2020|13|DOC|medio|carne vermelha, queijo|seco
W|cascina zerbetta|barbera del monferrato|it|r|barbera|piedmont|monferrato||2020|13|DOC|medio|carne vermelha, queijo|seco|=278
W|cascina zerbetta|barbera del monferrato|it|r|barbera|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina zerbetta|la zerbetta barbera del monferrato|it|r|barbera|piedmont|monferrato||2020|13|DOC|medio|carne vermelha, queijo|seco
W|cascina zerbetta|nuvo nivo origine barbera|it|r|barbera|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina zerbetta|piangalardo|it|r|??|piedmont|||2019|13.5|IGT|medio|carne vermelha, queijo|seco
W|cascina zerbetta|piangalardo monferrato rosso|it|r|??|piedmont|monferrato||NV|13|DOC|medio|carne vermelha, queijo|seco
W|cascina zerbetta|quattrocento|it|r|??|piedmont|||NV|13|IGT|medio|carne vermelha, queijo|seco
W|cascina zerbetta|quattrocento|it|r|??|piedmont|||2023|13|IGT|medio|carne vermelha, queijo|seco
X
X
X
W|??|brut nature|it|s|??|??|||2022|12|IGT|leve|aperitivo, frutos do mar|brut
X
X
W|cascinetta vietti|moscato d asti|it|s|moscato|piedmont|asti||2025|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascinetta vietti|moscato d asti|it|s|moscato|piedmont|asti||2025|5.5|DOCG|leve|sobremesa, frutas|doce
W|cascinetta vietti|moscato d asti|it|s|moscato|piedmont|asti||NV|5.5|DOCG|leve|sobremesa, frutas|doce
W|??|moscato dasti vendemmia tardiva palazzina|it|s|moscato|piedmont|asti||NV|5.5|DOCG|leve|sobremesa, frutas|doce
X
W|casco de la cruz|sherry pedro ximenez|es|f|pedro ximenez|andalucia|jerez||NV|15|DO|encorpado|sobremesa, chocolate|doce
W|casco de la cruz|sherry pedro ximenez|es|f|pedro ximenez|andalucia|jerez||NV|15|DO|encorpado|sobremesa, chocolate|doce|=298
X
X
X
X
X
X
X
X
X
X
X
X
X
W|casco varela|malbec cabernet red blend|ar|r|malbec, cabernet sauvignon|mendoza||NV|14|IGT|encorpado|carne vermelha, queijo|seco
X
S|casco viejo|blanco|mx|w|??|??|||NV|40|??|??|??|??
S|casco viejo|blanco|mx|w|??|??|||NV|40|??|??|??|??|=315
S|casco viejo|blanco|mx|w|??|??|||40|NV|??|??|??|??
S|casco viejo|gold|mx|w|??|??|||NV|40|??|??|??|??
S|casco viejo|gran reserva|mx|w|??|??|||NV|40|??|??|??|??
S|casco viejo|reposado|mx|w|??|??|||NV|40|??|??|??|??
S|casco viejo|reposado|mx|w|??|??|||NV|40|??|??|??|??|=320
S|casco viejo|reposado|mx|w|??|??|||NV|40|??|??|??|??|=320
S|casco viejo|reposado|mx|w|??|??|||NV|40|??|??|??|??|=320
S|casco viejo|reposado|mx|w|??|??|||40|NV|??|??|??|??
S|casco viejo|silver|mx|w|??|??|||NV|40|??|??|??|??
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|case alte|12 filari catarratto|it|w|catarratto|sicily|||2020|12.5|DOC|leve|frutos do mar, peixe|seco
W|case alte|12 filari catarratto|it|w|catarratto|sicily|||2020|12.5|DOC|leve|frutos do mar, peixe|seco|=346
W|case alte|4 filari grillo|it|w|grillo|sicily|||NV|12.5|DOC|leve|frutos do mar, peixe|seco
W|case alte|4 filari grillo sicilia doc bio|it|w|grillo|sicily|||NV|12.5|DOC|leve|frutos do mar, peixe|seco
W|case alte|grillo 4 filari|it|w|grillo|sicily|||2019|12.5|DOC|leve|frutos do mar, peixe|seco
W|case alte|nero davola 16 filari|it|r|nero d'avola|sicily|||NV|13.5|DOC|medio|carne vermelha, queijo|seco
X
X
X
X
X
W|case basse di gianfranco soldera|toscana|it|r|sangiovese|tuscany|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|brunello di montalcino riserva|it|r|sangiovese|tuscany|montalcino|1999|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse di gianfranco soldera|brunello di montalcino riserva|it|r|sangiovese|tuscany|montalcino|1999|14.5|DOCG|encorpado|carne vermelha, trufas|seco|=358
W|case basse di gianfranco soldera|toscana|it|r|sangiovese|tuscany|||2017|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana brunello di montalcino|it|r|sangiovese|tuscany|montalcino|1993|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse di gianfranco soldera|toscana igt|it|r|sangiovese|tuscany|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana igt|it|r|sangiovese|tuscany|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana igt brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2019|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse di gianfranco soldera|toscana igt brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2020|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse di gianfranco soldera|toscana igt brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2020|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse di gianfranco soldera|toscana sangiovese|it|r|sangiovese|tuscany|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana sangiovese|it|r|sangiovese|tuscany|||2018|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana sangiovese|it|r|sangiovese|tuscany|||2019|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse di gianfranco soldera|toscana sangiovese|it|r|sangiovese|tuscany|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse gianfranco soldera|brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2004|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse gianfranco soldera|brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2004|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse soldera|2017|it|r|sangiovese|tuscany|||2017|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse soldera|2020 igp|it|r|sangiovese|tuscany|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|case basse soldera|brunello di montalcino|it|r|sangiovese|tuscany|montalcino|1999|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case basse soldera|brunello di montalcino|it|r|sangiovese|tuscany|montalcino|2001|14.5|DOCG|encorpado|carne vermelha, trufas|seco
X
W|case bianche|vigna del cuc brut sparkling wine|it|s|??|??|||NV|12|IGT|leve|aperitivo, frutos do mar|brut
X
X
X
X
X
X
X
X
X
X
W|case calcarot|rosso|it|r|??|??|||2015|13|IGT|medio|carne vermelha, queijo|seco
W|case calcarot|rosso|it|r|??|??|||2021|13|IGT|medio|carne vermelha, queijo|seco
X
W|case|case bianco emilia igt|it|w|??|emilia-romagna|||2023|12.5|IGT|leve|frutos do mar, peixe|seco
X
X
W|case|casebianco|it|w|??|??|||2020|12.5|IGT|leve|frutos do mar, peixe|seco
W|case|casebianco|it|w|??|??|||2022|12.5|IGT|leve|frutos do mar, peixe|seco
W|case|casebianco|it|w|??|??|||NV|12.5|IGT|leve|frutos do mar, peixe|seco
W|case|casebianco|it|w|??|??|||NV|12.5|IGT|leve|frutos do mar, peixe|seco
W|case|casebianco|it|w|??|??|||NV|12.5|IGT|leve|frutos do mar, peixe|seco
W|case|casebianco|it|w|??|??|||NV|12.5|IGT|leve|frutos do mar, peixe|seco
X
X
X
X
X
X
X
W|case corini|achille|it|r|??|??|||2017|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|achille|it|r|??|??|||2017|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|barla|it|r|??|??|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|barla|it|r|??|??|||NV|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|barla|it|r|??|??|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|barla2nd imbotti|it|r|??|??|||2019|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|bricco|it|r|??|??|||2021|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|ciabot del moreto|it|r|??|??|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|ciabot del moreto|it|r|??|??|||2020|13.5|IGT|medio|carne vermelha, queijo|seco
W|case corini|vinaiota|it|r|??|??|||2023|13.5|IGT|medio|carne vermelha, queijo|seco
X
W|case dalto|taurasi|it|r|aglianico|campania|||2015|14|DOCG|encorpado|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|case di terra|marche rosso|it|r|??|marche|||NV|13|IGT|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|case krombacher|pils|de|w|??|??|||NV|5|??|leve|??|??
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|case mori angelina|rebola colli di rimini|it|w|rebola|emilia-romagna|colli di rimini|2023|12.5|DOC|leve|frutos do mar, peixe|seco
X
W|case nere|barolo riserva|it|r|nebbiolo|piedmont|barolo||2014|14.5|DOCG|encorpado|carne vermelha, trufas|seco
W|case nere|barolo riserva|it|r|nebbiolo|piedmont|barolo||2015|14.5|DOCG|encorpado|carne vermelha, trufas|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X

Se precisar de mais detalhes ou ajustes, é só avisar!
