W|castello di ama|ama|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|granaio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=218
W|??|granaio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=218
W|??|granaio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=218
W|??|granaio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=218
W|melini|granaio|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|medio|carne vermelha, queijo|seco
W|melini|granaio|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|melini|granaio|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|greve in chianti|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|guado alto|it|r|sangiovese|toscan|chianti classico|2021|14|DOCG|encorpado|carne vermelha, queijo|seco
W|castello vicchiomaggio|guado alto|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello vicchiomaggio|guado alto|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=228
W|castello vicchiomaggio|guado alto|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=228
X
W|isole e olena|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|isole e olena|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=232
W|isole e olena|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=235
W|istine|chianti classico|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|chianti classico|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco|=237
W|??|la ghirlanda|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|tenuta mocenni bindi sergardi|la ghirlanda|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=240
W|??|la porta di vertine bertinga|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|lapilli|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|principe corsini|le corti|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|le vecchie mura|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|lilliano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|lilliano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=255
W|??|lilliano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=255
W|??|livernano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|loggia delle farnie|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|castello di uzzano|chianti classico magnum|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|lilliano magnum astucciato|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|lilliano magnum astucciato|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=262
W|badia a coltibuono|chianti classico magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|badia a coltibuono|chianti classico magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=264
W|??|chianti classico magnum legno bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
X
W|colombaio di cencio|massi del colombaio riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|monsanto|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello di ama|montebuoni riserva|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|montefili|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|montefili|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|colombaio di cencio|monticello|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|colombaio di cencio|monticello|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|nero dei venti|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta di nozzole|nozzole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta di nozzole|nozzole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=276
W|tenuta di nozzole|nozzole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=276
W|tenuta di nozzole|nozzole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=276
W|tenuta di nozzole|nozzole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=276
W|??|ormanni|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|ormanni|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=281
W|??|ormanni|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|oro dei sani|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|pagliarese|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=288
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=288
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=288
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco|=288
W|antinori|peppoli magnum|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|antinori|peppoli magnum|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=293
W|antinori|peppoli magnum|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=293
W|antinori|peppoli magnum|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=293
W|antinori|peppoli magnum|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=293
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=298
W|antinori|peppoli|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|dievole|petrignano magnum|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|petrignano|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|??|poggio al sole|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|poggio bonelli|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|poggio delle rose riserva|it|r|sangiovese|toscan|chianti classico|2010|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|podere poggio scalette|poggio scalette|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|podere poggio scalette|poggio scalette|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=307
W|podere poggio scalette|poggio scalette|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=307
W|podere poggio scalette|poggio scalette|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=307
W|podere poggio scalette|poggio scalette|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=307
W|valiano|poggio teo|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|valiano|poggio teo|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=312
W|valiano|poggio teo|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=312
W|valiano|poggio teo magnum|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|valiano|poggio teo magnum|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=315
W|valiano|poggio teo magnum|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=315
W|villa cerna|primocolle|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cecchi|primocolle|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|querciabella|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|querciabella|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=320
W|querciabella|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=320
W|querciabella|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=320
W|querciabella|chianti classico|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=320
W|casagrande della quercia|quercus|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco
W|casagrande della quercia|quercus|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|medio|carne vermelha, queijo|seco|=325
W|afrati|chianti classico riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|cecchi|ribaldoni villa rosa|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riecine|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|rifugio del vescovo|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=331
W|??|riserva|it|r|sangiovese|toscan|chianti classico|2015|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello di albola|riserva|it|r|sangiovese|toscan|chianti classico|2016|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello la leccia|riserva|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|querciabella|riserva|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello di volpaia|riserva|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva magnum|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
X
W|??|riserva bio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castellare|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|castello la leccia|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva clemente vii|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|fattoria le fonti|riserva|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva il campitello|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|monteraponi|riserva il campitello|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=356
W|??|riserva la verita|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san giusto a rentennano|riserva le baroncole|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|casagrande della quercia|riserva lucretia|it|r|sangiovese|toscan|chianti classico|2013|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|casagrande della quercia|riserva lucretia|it|r|sangiovese|toscan|chianti classico|2017|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=362
W|marchese antinori|riserva|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva massovecchio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|riserva novecento|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|riserva novecento|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=366
W|dievole|riserva novecento jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|riserva novecento jeroboam|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=368
W|dievole|riserva novecento magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|dievole|riserva novecento magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=370
W|??|riserva tenuta la gabbiola|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|frescobaldi|riserva tenuta perano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva vigna barbischio|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva vigna barbischio|it|r|sangiovese|toscan|chianti classico|2021|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva vigneti la selvanella|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|riserva vigneti la selvanella|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco|=376
W|??|riserva villa rosa|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|antinori|riserva villa antinori|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|rocca delle macie|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|rocca delle macie|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=380
W|rocca delle macie|chianti classico|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=380
X
W|barone ricasoli|rocca guicciarda|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|rosso gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|badia a coltibuono|rs|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|badia a coltibuono|rs|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=386
W|badia a coltibuono|rs|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=386
W|badia a coltibuono|rs|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=386
W|badia a coltibuono|rs|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=386
W|dievole|rserva novecento 30 vendemmie|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|san giusto a rentennano|chianti classico|it|r|sangiovese|toscan|chianti classico|2024|13.5|DOCG|medio|carne vermelha, queijo|seco
W|san giusto a rentennano|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello vicchiomaggio|san jacopo da vicchiomaggio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|castello vicchiomaggio|san jacopo da vicchiomaggio|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=394
W|??|san leonino|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|san lorenzo gran selezione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
X
W|??|san michele|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|castello vicchiomaggio|selezione guado alto|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta i colli bindi sergardi|ser gardo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta i colli bindi sergardi|ser gardo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=402
W|tenuta i colli bindi sergardi|ser gardo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=402
W|tenuta i colli bindi sergardi|ser gardo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=402
W|tenuta i colli bindi sergardi|ser gardo|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco|=402
W|??|serristori|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|serristori|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=407
W|??|setriolo|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|stomennano|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cecchi|storia di famiglia|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|cecchi|storia di famiglia|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=411
W|cecchi|storia di famiglia|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=411
W|cecchi|storia di famiglia|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=411
W|cecchi|storia di família|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=411
W|cecchi|storia di famiglia|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=411
W|??|storiae|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|??|storiae|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|??|tanto di cappello|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|tenuta bibbiano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
X
W|tenuta carobbio|chianti classico|it|r|sangiovese|toscan|chianti classico|2018|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tenuta di campomaggio|chianti classico|it|r|sangiovese|toscan|chianti classico|2020|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|tenuta di carleone|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|frescobaldi|tenuta perano|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco
W|frescobaldi|tenuta perano|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=427
W|frescobaldi|tenuta perano|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=427
W|frescobaldi|tenuta perano|it|r|sangiovese|toscan|chianti classico|2022|13.5|DOCG|medio|carne vermelha, queijo|seco|=427
W|frescobaldi|tenuta perano|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|frescobaldi|tenuta perano magnum|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|encorpado|carne vermelha, queijo|seco
W|??|terra di seta|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|territori vocati|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|toscan|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|carpineto|toskania|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|tolaini|vallenuova|it|r|sangiovese|toscan|chianti classico|2019|13.5|DOCG|medio|carne vermelha, queijo|seco
W|??|vallepicciola|it|r|sangiovese|toscan|chianti classico|2023|13.5|DOCG|medio|carne vermelha, queijo|seco
W|vecchie terre di montefili|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|vigna cavarchione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|vigna cavarchione|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=440
W|cantina machiavelli|vigna di fontalle|it|r|sangiovese|toscan|chianti classico|2015|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|vigna istine|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
W|istine|vigna istine|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco|=443
X
W|volpaia|chianti classico|it|r|sangiovese|toscan|chianti classico|??|13.5|DOCG|medio|carne vermelha, queijo|seco
