Aqui está a classificação e extração de dados conforme solicitado:

W|bdao|evidencia encruzado|pt|w|encruzado|dao|??|??|13|DOC|medio|peixe, frutos do mar|seco
W|peramanca|branco|pt|w|??|alentejo|??|2022|13|DOC|medio|peixe, frutos do mar|seco
W|peramanca|branco|pt|w|??|alentejo|??|2023|13|DOC|medio|peixe, frutos do mar|seco
X
W|perdriel|centenario|ar|r|??|mendoza|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perdriel|coleccion cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perdriel|del centenario|ar|r|??|mendoza|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perdriel|series cabernet sauvignon|ar|r|cabernet sauvignon|mendoza|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perelada|nomes garnatxa negra|es|r|garnacha|catalunya|??|??|14|DO|medio|carne vermelha, queijo|seco
W|perereca do monte|branco|br|w|??|??|??|??|12.5|??|leve|peixe, frutos do mar|seco
W|perereca do monte|branco|br|w|??|??|??|??|12.5|??|leve|peixe, frutos do mar|seco|=277
W|perereca do monte|rose|br|p|??|??|??|??|12.5|??|leve|saladas, peixe|seco
W|perereca do monte|tinto|br|r|??|??|??|??|13|??|medio|carne vermelha, queijo|seco
W|perereca do monte|tinto|br|r|??|??|??|??|13|??|medio|carne vermelha, queijo|seco|=280
W|perereca do monte|tinto|br|r|??|??|??|??|13|??|medio|carne vermelha, queijo|seco|=280
W|perereca do monte|tinto|br|r|??|??|??|??|13|??|medio|carne vermelha, queijo|seco|=280
W|perereca do monte|tinto|br|r|??|??|??|2022|13|??|medio|carne vermelha, queijo|seco
W|perereca do monte|tinto|br|r|??|??|??|??|13|??|medio|carne vermelha, queijo|seco|=280
W|perez cruz|cabernet franc edicao limitada|cl|r|cabernet franc|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|cabernet franc limited edition|cl|r|cabernet franc|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco|=286
W|perez cruz|cabernet sauvignon gran reserva|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|cabernet sauvignon gran reserva|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco|=288
W|perez cruz|cabernet sauvignon limited edition|cl|r|cabernet sauvignon|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|carmenere|cl|r|carmenere|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|carmenere edicao limitada|cl|r|carmenere|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|carmenere limited edition|cl|r|carmenere|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chaski|cl|r|??|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chaski|cl|r|??|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco|=294
W|perez cruz|chaski petit verdot|cl|r|petit verdot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chaski petit verdot|cl|r|petit verdot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco|=296
W|perez cruz|chaski petit verdot|cl|r|petit verdot|maipo valley|??|2016|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chaski petit verdot|cl|r|petit verdot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chasky petit verdot|cl|r|petit verdot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|gran res cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|chileno limited edition cot malbec|cl|r|cot, malbec|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chileno limited edition syrah|cl|r|syrah|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|chileno limited editon cabernet franc|cl|r|cabernet franc|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|cot edicao limitada|cl|r|cot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|cot limited edition|cl|r|cot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|cot limited edition|cl|r|cot|maipo valley|??|??|13.5|??|medio|carne vermelha, queijo|seco
W|perez cruz|dona mariana reserva sauvignon blanc|cl|w|sauvignon blanc|maipo valley|??|??|13|??|medio|peixe, frutos do mar|seco
W|perez cruz|dona mariana reserva sauvignon blanc|cl|w|sauvignon blanc|maipo valley|??|2019|13|??|medio|peixe, frutos do mar|seco
W|perez cruz|gran res cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|2021|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|2023|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco
W|perez cruz|gran reserva cabernet sauvignon|cl|r|cabernet sauvignon|maipo valley|??|??|14|??|encorpado|carne vermelha, queijo|seco

Se precisar de mais alguma coisa, é só avisar!
