Aqui está a classificação e extração dos dados conforme solicitado:

W|domaine elodie roy|maranges sur la rue des pierres|fr|r|pinot noir|burgundy|maranges|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine faiveley|gevreychambertin vieilles vignes|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=174
W|domaine faiveley|givry le champ lalot rouge|fr|r|pinot noir|burgundy|givry|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|givry le champ lalot rouge|fr|r|pinot noir|burgundy|givry|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=181
W|domaine faiveley|ladoix les marnes blanches|fr|w|chardonnay|burgundy|ladoix|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine faiveley|ladoix les marnes blanches|fr|w|chardonnay|burgundy|ladoix|??|2023|13|AOC|medio|frango, peixe|seco=183
W|domaine faiveley|ladoix les marnes blanches|fr|w|chardonnay|burgundy|ladoix|??|2023|13|AOC|medio|frango, peixe|seco=183
W|domaine faiveley|ladoix les marnes blanches|fr|w|chardonnay|burgundy|ladoix|??|2023|13|AOC|medio|frango, peixe|seco=183
W|domaine faiveley|latricieres chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|latricieres chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|latricieres chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|latricieres chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=187
W|domaine faiveley|mazis chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|mazis chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine faiveley|mazis chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|mazis chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=189
W|domaine faiveley|mazis chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|mazis chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=189
W|domaine faiveley|mazis chambertin|fr|r|pinot noir|burgundy|gevrey chambertin|mazis chambertin|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=189
W|domaine faiveley|mercurey blanc|fr|w|chardonnay|burgundy|mercurey|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine faiveley|mercurey blanc|fr|w|chardonnay|burgundy|mercurey|??|2023|13|AOC|medio|frango, peixe|seco=193
W|domaine faiveley|mercurey clos rochette|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|mercurey clos rochette|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey clos rochette|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey clos rochette|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey clos rochette blanc|fr|w|chardonnay|burgundy|mercurey|??|2023|13|AOC|medio|frango, peixe|seco=193
W|domaine faiveley|mercurey clos rochette blanc|fr|w|chardonnay|burgundy|mercurey|??|2023|13|AOC|medio|frango, peixe|seco=193
W|domaine faiveley|mercurey clos rochette monopole|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey la framboisiere|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey la framboisiere|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey la framboisiere monopole rouge|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey premier cru clos des myglands|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|mercurey premier cru clos des myglands|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=205
W|domaine faiveley|mercurey premier cru clos des myglands|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=205
W|domaine faiveley|mercurey premier cru clos des myglands|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=205
W|domaine faiveley|mercurey premier cru clos des myglands monopole|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=205
W|domaine faiveley|mercurey premier cru clos des myglands monopole magnum|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=205
W|domaine faiveley|mercurey premier cru le clos du roy|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|mercurey premier cru le clos du roy la favorite|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|mercurey premier cru le clos du roy la favorite|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=212
W|domaine faiveley|mercurey premier cru le clos du roy la favorite|fr|r|pinot noir|burgundy|mercurey|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=212
W|domaine faiveley|mercurey rouge vieilles vignes|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey vieilles vignes|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey vieilles vignes|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|mercurey vieilles vignes|fr|r|pinot noir|burgundy|mercurey|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=195
W|domaine faiveley|meursault|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine faiveley|meursault 1er cru charmes|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine faiveley|meursault|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|AOC|medio|frango, peixe|seco=219
W|domaine faiveley|montagny blanc|fr|w|chardonnay|burgundy|montagny|??|2023|12.5|AOC|leve|frango, salada|seco=94
W|domaine faiveley|musigny|fr|w|chardonnay|burgundy|chambolle musigny|musigny|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine faiveley|musigny|fr|w|chardonnay|burgundy|chambolle musigny|musigny|2023|14|Grand Cru|encorpado|lagosta, peixe|seco=223
W|domaine faiveley|nuits saint georges 1er cru les porets saint georges|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|nuits saint georges les montroziers|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|nuits saint georges premier cru aux chaignots|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|nuitssaintgeorges 1er cru les damodes|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|nuitssaintgeorges 1er cru les porets|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=225
W|domaine faiveley|nuitssaintgeorges premier cru aux chaignots|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=227
W|domaine faiveley|nuitssaintgeorges premier cru les porets saint georges|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=225
W|domaine faiveley|nuitssaintgeorges premier cru les porets saint georges|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=225
W|domaine faiveley|nuitssaintgeorges premier cru les porets saint georges|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=225
W|domaine faiveley|pinot noir|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|puligny montrachet|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine faiveley|puligny montrachet premier cru les referts|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=236
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=236
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=236
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=236
W|domaine faiveley|puligny montrachet premier cru champ gain|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=236
W|domaine faiveley|puligny montrachet premier cru les referts|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco=237
W|domaine faiveley|rully les villeranges blanc|fr|w|chardonnay|burgundy|rully|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine faiveley|rully villerange blanc|fr|w|chardonnay|burgundy|rully|??|2023|12.5|AOC|leve|frango, salada|seco=244
W|domaine faiveley|rully villerange blanc|fr|w|chardonnay|burgundy|rully|??|2023|12.5|AOC|leve|frango, salada|seco=244
W|domaine faiveley|volnay 1er cru fremiets|fr|r|pinot noir|burgundy|volnay|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine faiveley|volnay premier cru fremiets|fr|r|pinot noir|burgundy|volnay|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=247
W|domaine faiveley|vosne romanee|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fanny sabre|clos des renardes beaune|fr|r|pinot noir|burgundy|beaune|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fanny sabre|cuvee anatole vin de france rouge|fr|r|pinot noir|france|??|??|2023|13|Vin de France|medio|carne vermelha, cogumelos|seco
W|domaine fayolle fils et filles|crozes hermitage blanc les pontaix|fr|w|marsanne, roussanne|rhone valley|crozes hermitage|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine fernand laurent pillot|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine fernand laurent pillot|bourgogne chardonnay|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco=253
W|domaine fernand laurent pillot|bourgogne chardonnay|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco=253
W|domaine fernand laurent pillot|bourgogne rouge|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fernand laurent pillot|chassagne montrachet|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fernand laurent pillot|chassagne montrachet|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco=257
W|domaine fernand laurent pillot|chassagne montrachet 1er cru champgains blanc|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fernand laurent pillot|chassagne montrachet 1er cru grandes ruchottes|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fernand laurent pillot|chassagne montrachet 1er cru les vergers|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fernand laurent pillot|chassagne montrachet 1er cru vide bourse|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fernand laurent pillot|chassagne montrachet vielles vignes|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco=257
W|domaine fernand laurent pillot|meursault 1er cru caillerets|fr|w|chardonnay|burgundy|meursault|??|2023|13.5|1er Cru|medio|frango, peixe|seco
W|domaine fernand laurent pillot|pommard 1er cru clos de verger|fr|r|pinot noir|burgundy|pommard|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fernand laurent pillot|pommard 1er cru rugiens|fr|r|pinot noir|burgundy|pommard|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fernand laurent pillot|pommard tavanne|fr|r|pinot noir|burgundy|pommard|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fernand laurent pillot|puligny montrachet noyers brets|fr|w|chardonnay|burgundy|puligny montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fevre|chablis|fr|w|chardonnay|burgundy|chablis|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine fevre|petit chablis|fr|w|chardonnay|burgundy|chablis|??|2023|12|AOC|leve|frutos do mar, salada|seco
W|domaine fichet|bourgogne pinot noir tradition|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fichet|bourgogne rouges|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=271
W|domaine fichet|jeunes vignes vin de france chardonnay|fr|w|chardonnay|france|??|??|2023|12.5|Vin de France|leve|frango, salada|seco
W|domaine fichet|macon burgy|fr|w|chardonnay|burgundy|maconnais|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine fichet|macon villages crepillone|fr|w|chardonnay|burgundy|maconnais|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine fichet|vdf chardonnay jeunes vignes|fr|w|chardonnay|france|??|??|2023|12.5|Vin de France|leve|frango, salada|seco=273
W|domaine filliatreau|saumur blanc chateau fouquet|fr|w|chenin blanc|loire valley|saumur|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine firmin dezat|pouilly fume|fr|w|sauvignon blanc|loire valley|pouilly fume|??|2023|13|AOC|medio|frango, salada|seco
W|domaine firmin dezat|sancerre|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco
W|domaine florent cosme|grosse pierre vouvray sec|fr|w|chenin blanc|loire valley|vouvray|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine foillard|morgon cote du py|fr|r|gamay|beaujolais|morgon|??|2023|13|AOC|medio|carne vermelha, queijo|seco
W|domaine fontaine gagnard|chassagne montrachet blanc|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco
W|domaine fontaine gagnard|chassagne montrachet|fr|w|chardonnay|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|frango, peixe|seco=282
W|domaine fontaine gagnard|chassagne montrachet rouge|fr|r|pinot noir|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fontaine gagnard|chassagne montrachet rouge|fr|r|pinot noir|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=284
W|domaine fontaine gagnard|chassagne montrachet rouge|fr|r|pinot noir|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=284
W|domaine fontaine gagnard|chassagne montrachet rouge|fr|r|pinot noir|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=284
W|domaine fontaine gagnard|chassagne montrachet rouge|fr|r|pinot noir|burgundy|chassagne montrachet|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=284
W|domaine fontaine gagnard|criots batard montrachet|fr|w|chardonnay|burgundy|chassagne montrachet|criots batard montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine fontaine gagnard|le montrachet|fr|w|chardonnay|burgundy|puligny montrachet|montrachet|2023|14|Grand Cru|encorpado|lagosta, peixe|seco
W|domaine fontaine gagnard|volnay 1er cru clos des chenes|fr|r|pinot noir|burgundy|volnay|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey|les vergelesses savigny les beaune premier cru|fr|r|pinot noir|burgundy|savigny les beaune|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere|chambolle musigny|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|bourgogne chardonnay|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine forey pere et fils|bourgogne passetoutgrain|fr|r|gamay, pinot noir|burgundy|??|??|2023|12.5|AOC|leve|salada, queijo|seco
W|domaine forey pere et fils|echezeaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco
W|domaine forey pere et fils|echezeaux|fr|r|pinot noir|burgundy|echezeaux|??|2023|14|Grand Cru|encorpado|carne vermelha, queijo|seco=296
W|domaine forey pere et fils|gevreychambertin la justice|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|les gaudichots vosne romanee premier cru|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|les gaudichots vosne romanee premier cru|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=299
W|domaine forey pere et fils|les perrieres nuits saint georges premier cru|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|les petits monts vosne romanee premier cru|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|morey saint denis|fr|r|pinot noir|burgundy|morey saint denis|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|morey saint denis premier cru|fr|r|pinot noir|burgundy|morey saint denis|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|nuits saint georges|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|vosne romanee|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere et fils|vosne romanee|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=306
W|domaine forey pere et fils|vosne romanee jarre|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=306
W|domaine forey pere et fils|vosne romanee menhir|fr|r|pinot noir|burgundy|vosne romanee|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=306
W|domaine forey pere fils|bourgogne rouge|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine forey pere fils|bourgogne rouge|fr|r|pinot noir|burgundy|??|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco=310
W|domaine forey pere fils|morey saint denis rouge|fr|r|pinot noir|burgundy|morey saint denis|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=303
W|domaine forey pere fils|morey saint denis rouge|fr|r|pinot noir|burgundy|morey saint denis|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=303
W|domaine forey pere fils|savigny les beaune premier cru les vergelesses blanc|fr|w|chardonnay|burgundy|savigny les beaune|??|2023|13|1er Cru|medio|frango, peixe|seco
W|domaine forey pere fils|savigny les beaune premier cru les vergelesses rouge|fr|r|pinot noir|burgundy|savigny les beaune|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere fils|savigny les beaune premier cru les vergelesses rouge|fr|r|pinot noir|burgundy|savigny les beaune|??|2023|13|1er Cru|medio|carne vermelha, cogumelos|seco=315
W|domaine forey pere|les saint georges nuits saint georges premier cru|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine forey pere|les saint georges nuits saint georges premier cru|fr|r|pinot noir|burgundy|nuits saint georges|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=317
W|domaine forey|savigny les beaune rouge|fr|r|pinot noir|burgundy|savigny les beaune|??|2023|13|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fouassier|la garenne sancerre|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco
W|domaine fouassier|le sur le fort sancerre|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco
W|domaine fouassier|sancerre clos paradis|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco
W|domaine fouassier|sancerre garenne|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco=320
W|domaine foucher lebrun|sancerre les glories|fr|w|sauvignon blanc|loire valley|sancerre|??|2023|13|AOC|medio|frango, salada|seco
W|domaine fourner|pouilly fume deux cailloux|fr|w|sauvignon blanc|loire valley|pouilly fume|??|2023|13|AOC|medio|frango, salada|seco
W|domaine fournier|longchamps la croix picot savennieres|fr|w|chenin blanc|loire valley|savennieres|??|2023|13|AOC|medio|frango, peixe|seco
W|domaine fourrey|chablis|fr|w|chardonnay|burgundy|chablis|??|2023|12.5|AOC|leve|frutos do mar, salada|seco
W|domaine fourrey|chablis|fr|w|chardonnay|burgundy|chablis|??|2023|12.5|AOC|leve|frutos do mar, salada|seco=327
W|domaine fourrier|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco
W|domaine fourrier|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco=329
W|domaine fourrier|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco=329
W|domaine fourrier|bourgogne blanc|fr|w|chardonnay|burgundy|??|??|2023|12.5|AOC|leve|frango, salada|seco=329
W|domaine fourrier|chambolle musigny premier cru les gruenchers vieille vigne|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|chambolle musigny premier cru les gruenchers vieille vigne|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=333
W|domaine fourrier|chambolle musigny premier cru les gruenchers vieille vigne|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=333
W|domaine fourrier|chambolle musigny vieille vigne|fr|r|pinot noir|burgundy|chambolle musigny|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin 1er cru combe aux moines|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin 1er cru clos saint jacques|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin 1er cru combe aux moines vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=337
W|domaine fourrier|gevreychambertin 1er cru les goulots vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin aux echezeaux|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin aux echezeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|AOC|medio|carne vermelha, cogumelos|seco=341
W|domaine fourrier|gevreychambertin premier cru champeaux vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin premier cru cherbaudes vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco
W|domaine fourrier|gevreychambertin premier cru cherbaudes vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=349
W|domaine fourrier|gevreychambertin premier cru cherbaudes vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=349
W|domaine fourrier|gevreychambertin premier cru clos saint jacques vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=338
W|domaine fourrier|gevreychambertin premier cru clos saint jacques vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=338
W|domaine fourrier|gevreychambertin premier cru clos saint jacques vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=338
W|domaine fourrier|gevreychambertin premier cru clos saint jacques vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=338
W|domaine fourrier|gevreychambertin premier cru combe au moine vieille vigne|fr|r|pinot noir|burgundy|gevreychambertin|??|2023|13.5|1er Cru|medio|carne vermelha, cogumelos|seco=337
