Aqui está a classificação e extração de dados conforme solicitado:

S|moabit|krauterlikor charakter trifft krauter|de|??|??|??|??|NV|??|??|??|??|??
W|moabit|riesling trocken|de|w|riesling|mosel|??|2023|12|??|leve|frutos do mar, aves|seco
W|mocali|rosso di montalcino doc|it|r|sangiovese|toscana|montalcino|2021|13|DOC|medio|carne vermelha, queijo|seco
W|mocali|rosso fossetti|it|r|??|toscana|??|??|13|IGT|medio|carne vermelha, queijo|seco
W|mocali|rosso fossetti|it|r|??|toscana|??|??|13|IGT|medio|carne vermelha, queijo|seco|=309
W|mocali|rosso fossetti|it|r|??|toscana|??|2022|13|IGT|medio|carne vermelha, queijo|seco
W|mocali|rosso toscano|it|r|??|toscana|??|??|13|IGT|medio|carne vermelha, queijo|seco
W|mocali|rosso toscano i piaggioni|it|r|??|toscana|??|??|13|IGT|medio|carne vermelha, queijo|seco
W|mocali|suberli morellino di scansano|it|r|sangiovese|toscana|scansano|2018|13.5|DOCG|medio|carne vermelha, queijo|seco
W|mocali|vigna delle raunate brunello di montalcino|it|r|sangiovese|toscana|montalcino|2006|14|DOCG|encorpado|carne vermelha, queijo|seco
W|mocali|vigna delle raunate brunello di montalcino|it|r|sangiovese|toscana|montalcino|2010|14|DOCG|encorpado|carne vermelha, queijo|seco
W|mocali|vigna delle raunate brunello di montalcino|it|r|sangiovese|toscana|montalcino|2013|14|DOCG|encorpado|carne vermelha, queijo|seco
W|mocali|vigna delle raunate brunello di montalcino|it|r|sangiovese|toscana|montalcino|2017|14|DOCG|encorpado|carne vermelha, queijo|seco
S|mocambo|10ans|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|15 ars single barrel|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|15 ars single barrel rom|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|15 years|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|15 yo single barrel 40|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 ars arte edition|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 ars single barrel|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 ars single barrel rom|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 year|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 year|??|??|??|??|??|NV|40|??|??|??|??|=327
S|mocambo|20 yo single barrel art edition 40|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|20 yo single barrel art edition 40|??|??|??|??|??|NV|40|??|??|??|??|=329
S|mocambo|23 ars single barrel rom med guldtryk|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|anejo anniversary edition 40|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|anejo pistol|??|??|??|??|??|NV|40|??|??|??|??
X
S|mocambo|cafka likr|??|??|??|??|??|NV|??|??|??|??|??
S|mocambo|edicion de arte 20 years 0 40|??|??|??|??|??|NV|40|??|??|??|??
X
S|mocambo|liquore al carciofo sardo istintosardo|it|??|??|??|??|NV|??|??|??|??|??
S|mocambo|pisztoly 10 years 0 40 2 pohar gb|??|??|??|??|??|NV|40|??|??|??|??
S|mocambo|ron anejo 20 anos barrica selecta premium edicion de arte 40 0|??|??|??|??|??|NV|40|??|??|??|??
X
S|mocambo|villa rica 23 ars rom|??|??|??|??|??|NV|40|??|??|??|??
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
16:10
