W|branco|chileno dona paula los cardos sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay occasione pedrucci|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay montes alpha|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay mendoza tonel 14|ar|w|chardonnay|mendoza|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay meiomi|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay luiz argenta l a classico|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay luiz argenta l a cave|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay luigi bosca|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay los vascos|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay longitud reserva|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay limited selection montes|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay les capucins 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay legno pizzato|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay lartisan paul mas|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay langhe la tartufaia 2020|??|w|chardonnay|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay langhe gaia rey gaja|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay langhe gaia rey gaja|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
W|branco|chardonnay la linda|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay la linda|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=224
W|branco|chardonnay la linda|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=224
W|branco|chardonnay l altro pio cesare|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay kosher selected carmel winery|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay juju arteviva|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay jmoreau fils jmoreau e fil|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay isole e olena|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay intoclabes las moras|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay intento|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay initial jerome arnoux|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay igt veneto corte noa|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay grutinha fratelli caixa 6|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay grutinha fratelli|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay grand reserve sutil|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran vin le villard|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva toro de piedra|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva toro de piedra|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=240
W|branco|chardonnay gran reserva terranoble|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva tarapaca|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva tabali pedregoso|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva loma negra|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva family wines malma|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva casas del bosque|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay gran reserva casas del bosque|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=247
W|branco|chardonnay gran reserva casa silva|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay genese adega chesini caixa 6|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay genese adega chesini|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay frizzante igt veneto corte noa|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|chardonnay finca las moras barrel select|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay felino cobos|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay faces lidio carraro|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay expresion villard|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay emiliana adobe organico chile|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay emiliana adobe organico chile|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=257
W|branco|chardonnay emiliana adobe 6 unidades|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay elegance gauthier|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay el pacto santa carolina|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay e semillon reserva 7 colores|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay e semillon reserva 7 colores|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=262
W|branco|chardonnay dv catena|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay doncella|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay don luis cousino macul|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay dom olivio vilena|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay diablo golden|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay dadivas|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay cypres j lohr|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay cuvee chimango lote v familia bebber|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay cordillera andina|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay cordero con piel de lobo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay collection estate series errazuriz|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay classico luiz argenta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay chileno errazuriz collection|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay chalet du clermont|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay cesar curra|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay caves des hautes|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay catena alta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay casillero del diablo|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay calcario do principal|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay calcario do principal|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=282
W|branco|chardonnay bouza|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay bourgogne pierre labet|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay bourgogne louis latour|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay bourgogne louis jadot|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay bourgogne faiveley|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay bourgogne chanzy les fortunes|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay begamo vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|branco|chardonnay barricas castellamare|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay barricas castellamare|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=291
W|branco|chardonnay argentino margarita para los chancho|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay arganat villard|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay arboleda|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay antiguas reservas cousino macul|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chardonnay amelia|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay amayna|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay alta yari|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay alta gama don bonifacio|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay 2024 louis changarnier|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=303
W|branco|chardonnay 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=303
W|branco|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chardonay caparzo igt sf 2020 135 6|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy mercurey premier cru clos du roy 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy bouzeron les trois 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy bourgogne mercurey les bois cassien 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy bourgogne chardonnay les fortunes 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy bourgogne aligote les fortunes 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chanzy bourgogne aligote les fortunes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chan de rosas albarino cuvee rias baixas|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chan de rosas albarino cuvee|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|champs pourot 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chalise suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|chalise seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chac chac sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chac chac reserva chardonnay 2021|??|w|chardonnay|??|??|2021|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis vielles vignes 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vielles vignes 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vielles vignes 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes alain geoffroy|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=326
W|branco|chablis vieilles vignes 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco|=328
W|branco|chablis vieilles vignes 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco|=328
W|branco|chablis vieilles vignes 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vieilles vignes 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=331
W|branco|chablis vieiles vignes 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vauprin 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis vauprin 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis seguinotbordet|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis reserve de vaudon joseph drouhin|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vaulorent 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vaugiraut 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vau de vey 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vau de vey 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vau de vey 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru vaillons 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montmains 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnerre 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnerre 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnerre 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnerre 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnerre 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru montee de tonnere 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru mont de milieu 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru fourchaume 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru fourchaume 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru fourchaume 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru fourchaume 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco|=354
W|branco|chablis premier cru fourchaume 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru fourchaume 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru forchaumme 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru forchaume 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru cote de lechet 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru cote de jouan 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru cote de jouan 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru beauroy 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis premier cru beauroy 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis petit alain geoffroy|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis louis latour|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis les serres 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis le classique pascal bouchard|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis le classique 2023 pascal bouchard chardonnay frances borgonha aoc vinho seco e mineral com acidez elegante|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis la chablisienne la pierrelee 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis joseph drouhin|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis j moreau fils jmoreau e fils|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru vaudesir 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru vaudesir 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru vaudesir 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les preuses 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les preuses 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les preuses 2020|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les preuses 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les clos 2021|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru les clos 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru le clos 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grand cru bougros 2018|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|chablis grains dores 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis goichot freres|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis domaine denis race 2022 caixa c 06|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis domaine denis race 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis domaine de oliveira lecestre|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis cuvee prestige domaine chevallier|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis cru vaillons william fevre|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis croix aux moines 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis billaud simon|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=395
W|branco|chablis 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco|=395
W|branco|chablis 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco|=398
W|branco|chablis 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco|=400
W|branco|chablis 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=402
W|branco|chablis 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=402
W|branco|chablis 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 1er cru les vaillons bernard loiseau albert bichot 2018no pixno boletoem ate3xdesem juroscomprar|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 1er cru les vaillons bernard loiseau albert bichot 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|chablis 1er cru beauroy vieilles vignes alain geoffroy|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ch by chocapalha 2019 lisboa|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ceu na terra alvarinho 2022 vinhos verdes|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|certidao encruzado 2024 dao|pt|w|??|dao|??|2024|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|certidao encruzado 2023 dao|pt|w|??|dao|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|certidao 2023 dao|pt|w|??|dao|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|cerro da cruz chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cerro da cruz chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=414
W|branco|cerejeiras colheita seleccionada 2019 regional lisboa|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cepas chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cepas chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=417
W|branco|cem reis viognier 2022 alentejo|pt|w|viognier|alentejo|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|celler credo mirani|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|celler credo and the winner is 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|celler credo aloers 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cellar collections mosel riesling trocken 2023|??|w|riesling|??|??|2023|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cellar collections blanco valdejalon igp 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cellar collections blanco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cedro do noval douro|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|cedro do noval 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cedro do noval 2022 douro|pt|w|??|douro|??|2022|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|cazas novas pure avesso 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|cazas novas origem avesso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
