1. W|carlos|i pahar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|carlos|serres gran reserva rioja 13|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
233. W|carlos|serres gran reserva rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
234. W|carlos|serres gran reserva rioja tempranillo|es|r|tempranillo|rioja|??|2016|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
235. W|carlos|serres joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|carlos|serres leco punk organic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|carlos|serres old vines tempranillo rioja doca|es|r|tempranillo|rioja|??|2022|13.5|doca|encorpado|carne vermelha, massas, queijos curados|seco
238. W|carlos|serres organic rioja tempranillo|es|r|tempranillo|rioja|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
239. W|carlos|serres organic tempranillo rioja doca|es|r|tempranillo|rioja|??|NV|13.5|doca|encorpado|carne vermelha, massas, queijos curados|seco
240. W|carlos|serres reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
241. W|carlos|serres reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=240
242. W|carlos|serres reserva 2017 6 botellas|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
243. W|carlos|serres reserva|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
244. W|carlos|serres reserva especial|??|r|??|??|??|1958|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
245. W|carlos|serres reserva especial decolorada|??|r|??|??|??|1958|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
246. W|carlos|serres reserva rioja doca|es|r|??|rioja|??|NV|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
247. W|carlos|serres reserva rioja doca|es|r|??|rioja|??|2018|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
248. W|carlos|serres rioja blanco|es|w|??|rioja|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
249. W|carlos|serres rioja blanco|es|w|??|rioja|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=248
250. W|carlos|serres rioja blanco|es|w|??|rioja|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
251. W|carlos|serres rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|carlos|serres rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|carlos|serres rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
254. W|carlos|serres rioja crianza|es|r|??|rioja|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carlos|serres rioja crianza|es|r|??|rioja|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carlos|serres rioja crianza 2022 half bottle|es|r|??|rioja|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|carlos|serres rioja doca gran reserva|es|r|??|rioja|??|2014|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
258. W|carlos|serres rioja gran reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
259. W|carlos|serres rioja gran reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=258
260. W|carlos|serres rioja gran reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=258
261. W|carlos|serres rioja gran reserva 16|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
262. W|carlos|serres rioja gran reserva|es|r|??|rioja|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
263. W|carlos|serres rioja gran reserva|es|r|??|rioja|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
264. W|carlos|serres rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
265. W|carlos|serres rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=264
266. W|carlos|serres rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=264
267. W|carlos|serres rioja reserva|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=264
268. W|carlos|serres rioja reserva|es|r|??|rioja|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
269. W|carlos|serres rioja reserva|es|r|??|rioja|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=268
270. W|carlos|serres rioja reserva spanje|es|r|??|rioja|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
271. W|carlos|serres rioja tempranillo|es|r|tempranillo|rioja|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
272. W|carlos|serres rioja viura tempranillo blanco|es|w|tempranillo|rioja|??|2015|12.5|??|encorpado|peixes, frutos do mar, saladas|seco
273. W|carlos|serres tempranillo|??|r|tempranillo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
274. W|carlos|serres tempranillo ecologico|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
275. W|carlos|serres tempranillo old vines|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
276. W|carlos|serres tempranillo old vines bio|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
277. W|carlos|serres tempranillo rioja|es|r|tempranillo|rioja|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
278. W|carlos|serres tempranillo rioja|es|r|tempranillo|rioja|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=277
279. W|carlos|serres tempranillo rioja|es|r|tempranillo|rioja|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=277
280. W|carlos|serres vega piedra rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|carlos|serres white blend|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
282. W|carlos|v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carlos|v choco flakes 43 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|carlos|v king 30 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|carlos|v precio especial 34 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carlos|v semiamargo 320 g 16 pz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|carlos|v stick cero 8 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carlos|v suizo 288 g 16 pz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|carlos|vii amontillado alvear|??|f|??|??|??|NV|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
290. W|carlos|vii amontillado nv|??|f|??|??|??|NV|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
291. W|carlos|villanueva godello|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carlos|villanueva ribeiro|es|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carlota|a imperatriz fernao pires branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
294. W|carlota|a imperatriz moscatel galego branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
295. W|carlota|a imperatriz reserva arinto branco|??|w|??|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
296. W|carlota|a imperatriz sauvignon blanc branco|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
297. W|carlota|arinto reserva|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
298. W|carlota|fernao pires|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|carlota|moscatel galego|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|carlota|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
301. W|carlota|suria bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|carlota|suria bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=301
303. W|carlota|suria chardonay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|carlota|suria chardonnay barrica|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
305. W|carlota|suria chardonnay barrica|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=304
306. W|carlota|suria organic brut cava nv|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
307. W|carlota|suria organic brut nature cava nv|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
308. W|carlota|suria organico brut reserva|??|s|??|??|??|NV|12|reserva|leve|frutos do mar, aperitivos, sushi|brut
309. W|carlotas|reserva ig|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
310. W|carlotta|carlotta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|carlotta|aceto balsamico di modena igp 3 ar|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
312. W|carlotta|nebbiolo|??|r|nebbiolo|??|??|1992|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
313. W|carlotta|sabrina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carlotto|blauburgunder doc filari di mazzon|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
315. W|carlotto|di ora in ora lagrein riserva|??|r|lagrein|??|??|2019|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
316. W|carlotto|filari di mazzon pinot nero|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|carlotto|lagrein riserva|??|r|lagrein|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
318. W|carlotto|lagrein riserva di ora in ora|??|r|lagrein|??|??|2022|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
319. W|carlotto|lagrein riserva di ora in ora|??|r|lagrein|??|??|2022|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco|=318
320. W|carlotto|lagrein riserva di ora in ora|??|r|lagrein|??|??|2022|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco|=318
321. W|carlotto|pinot nero mazzon|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|carlotto|pinot nero mazzon|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
323. W|carlotto|pinot nero mazzon|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=321
324. W|carlotto|schiava|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
325. W|carlow|o haras irish red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|carlow|oharas irish red bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|carls|jul 56|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|carls|special 24 st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|carls|special 44|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carls|special 44|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=329
331. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
333. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
334. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
335. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
336. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
337. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
338. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
339. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
340. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
341. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
342. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
343. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
344. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
345. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
346. W|carlsberg|0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|carlsberg|0 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|carlsberg|0 palack 5 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|carlsberg|00|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|carlsberg|00|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=349
351. W|carlsberg|00 abv 6 pack of cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|carlsberg|00 alcohol free bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|carlsberg|00 can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|carlsberg|05|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|carlsberg|05 import dobozos|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
356. W|carlsberg|10 pack cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|carlsberg|112 sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|carlsberg|12 pack cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|carlsberg|12oz btl 6 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|carlsberg|12pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|carlsberg|12pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|carlsberg|12pk can 169oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|carlsberg|12pk cans only available to areas bt15 36 37|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
364. W|carlsberg|12x330b|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|carlsberg|15pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|carlsberg|15pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=365
367. W|carlsberg|15pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=365
368. W|carlsberg|16oz can 4 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carlsberg|carlsberg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=331
370. W|carlsberg|24 st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|carlsberg|46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|carlsberg|dunkles pils 46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|carlsberg|31|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|carlsberg|4 cans x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|carlsberg|4 cans x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
376. W|carlsberg|4 pack can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|carlsberg|4 pack of cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carlsberg|4pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|carlsberg|4pk cn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carlsberg|5 fut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|carlsberg|51|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|carlsberg|6 51 blonda dz sgr x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|carlsberg|6 51 blonda st sgr x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|carlsberg|6 pack cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|carlsberg|6 pack nr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|carlsberg|6 pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|carlsberg|6pk bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|carlsberg|6pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|carlsberg|6pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|carlsberg|6x440c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|carlsberg|72 can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|carlsberg|8 pack can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|carlsberg|8 pack cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|carlsberg|black gold 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|carlsberg|blonda|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|carlsberg|blonda st sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|carlsberg|blonda st sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=396
398. W|carlsberg|blonde 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|carlsberg|bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|carlsberg|bottle 12 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|carlsberg|can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|carlsberg|can 24x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|carlsberg|can 8 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|carlsberg|can green tab|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|carlsberg|can silver tab|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|carlsberg|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|carlsberg|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
408. W|carlsberg|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
409. W|carlsberg|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
410. W|carlsberg|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=406
411. W|carlsberg|carls jul|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|carlsberg|carls special|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|carlsberg|carls special 44|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. X
415. W|carlsberg|dan sor 05 dobozos 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|carlsberg|danish plisner 38|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|carlsberg|doza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|carlsberg|doza sgr x24|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
421. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
422. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
423. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
424. W|carlsberg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
425. W|carlsberg|elephant 30 st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|carlsberg|elephant 4pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|carlsberg|elephant 4pk cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=426
428. W|carlsberg|elephant 500c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|carlsberg|elephant 6pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|carlsberg|elephant 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|carlsberg|elephant 6pk bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|carlsberg|elephant 6pk btls|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|carlsberg|elephant 72 24 best before 30082025|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|carlsberg|elephant 72|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|carlsberg|elephant can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|carlsberg|elephant can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=435
437. W|carlsberg|elephant cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|carlsberg|elephant helles bock 6pk bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|carlsberg|elephant ol 24 stk burk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|carlsberg|elephant premium strong 72 can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|carlsberg|elephant strong|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|carlsberg|elephant strong 12oz btl 6 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|carlsberg|elephant strong 16oz can 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|carlsberg|elephant strong super premium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|carlsberg|elp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|carlsberg|export 4 cans x|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
447. W|carlsberg|export cans|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
448. W|carlsberg|export cans|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=447
449. W|carlsberg|export pint 4 cans x|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
450. W|carlsberg|export toughned half pint glass|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
451. W|carlsberg|export toughned pint glass|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
452. W|carlsberg|green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|carlsberg|green 5 bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|carlsberg|kutu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|carlsberg|lfc champions 2020 limited edition cans case|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|carlsberg|lfc luis garcia limited edition cans case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|carlsberg|lfc miracle of 2005 limited edition 24x|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|carlsberg|light|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|carlsberg|liverpool fc champions 4 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|carlsberg|luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|carlsberg|mexica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|carlsberg|non alcoholic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
