1. W|cao|agata arinto amphora 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
233. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
234. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
235. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
236. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
237. W|caol|ila 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=231
238. W|caol|ila 12y 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|caol|ila 12y refill hogshead cywl 599|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
242. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
243. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
244. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
245. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
246. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
247. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
248. W|caol|ila 12yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=240
249. W|caol|ila 12yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|caol|ila 12yo 2016 feis ile 2016 562 wfwn89|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|caol|ila 12yo 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|caol|ila 12yo 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=251
253. W|caol|ila 12yo 43 cutie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|caol|ila 12yo feis ile 2017 558 wb8804|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|caol|ila 12yo islay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|caol|ila 12yo islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|caol|ila 12yo islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=256
258. W|caol|ila 12yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|caol|ila 12yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|caol|ila 12yr malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|caol|ila 12yr old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|caol|ila 12yr old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=261
263. W|caol|ila 12yr old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=261
264. W|caol|ila 12yr old islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|caol|ila 12yr single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|caol|ila 12yr single malt islay scotland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|caol|ila 12yr single malt islay scotland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
268. W|caol|ila 12yrs old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|caol|ila 12yrs single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|caol|ila 13 ans 2009 french exclusive gm 603|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|caol|ila 13 ans smoky discovery gordon macphail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|caol|ila 13 ar gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|caol|ila 13 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|caol|ila 13 year old discovery gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|caol|ila 13 year old feis ile|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|caol|ila 13 year old gordon macphai discovery range|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|caol|ila 13 year old gordon macphail discovery|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|caol|ila 13 years 2009 sassicaia connoisseurs choice gordon macphail abv 45|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|caol|ila 14 year old four corners of scotland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|caol|ila 14y four corners cask strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|caol|ila 14yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|caol|ila 14yo 2010 sherry foundations|??|f|??|??|??|2010|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
283. W|caol|ila 14yo four corners of scotland collection 53|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|caol|ila 15 ans elixir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|caol|ila 15 ar 591 unpeated style|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|caol|ila 15 ars unpeated cask strength 591|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|caol|ila 15 y 615 unpeated single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|caol|ila 15 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|caol|ila 15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|caol|ila 15 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=289
291. W|caol|ila 15 year old 2025 decadent drams 571|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|caol|ila 15 year old cask strength wilson morgan barrel selection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|caol|ila 15 year old feis ile|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|caol|ila 15 year old flora fauna series|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|caol|ila 15 year old lmdw|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|caol|ila 15 year old unpeated|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|caol|ila 15 year old unpeated 2018 release|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|caol|ila 15 year old unpeated style cask strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|caol|ila 15 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|caol|ila 15 years bbros milroy selection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|caol|ila 15 years diageo special release 2018 unpeat style|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|caol|ila 15 years old unpeated special release|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|caol|ila 15 years unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|caol|ila 15 yo 200823 wm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|caol|ila 15 yr old single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|caol|ila 15y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|caol|ila 15y unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|caol|ila 15yo 2016 special release unpeated|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|caol|ila 15yo 615 islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|caol|ila 15yo feis ile 2022 552|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|caol|ila 15yo unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|caol|ila 15yo unpeated single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|caol|ila 15yo unpeated single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=312
314. W|caol|ila 16 year old feis ile|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|caol|ila 16 year old feis ile|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=314
316. W|caol|ila 16 years exklusiv st moritz 40 jahre jubilaum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|caol|ila 16yo 2008 connoisseurs choice bottling 581|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|caol|ila 16yo feis ile 2020 539|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|caol|ila 17 2001 for jis|??|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|caol|ila 17 ars 559 unpeated single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|caol|ila 17 year old signatory cask strength collection|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|caol|ila 17 year old unpeated|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|caol|ila 17 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|caol|ila 17 years old unpeated special release|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|caol|ila 17 years old unpeated special release 2015 0 559 gb|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|caol|ila 17 years unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|caol|ila 17yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|caol|ila 17yo unpeated special release single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|caol|ila 17yo unpeated special release single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=328
330. W|caol|ila 18 ani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|caol|ila 18 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|caol|ila 18 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
335. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
336. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
337. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
338. W|caol|ila 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=333
339. W|caol|ila 18 year old 2017 release|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|caol|ila 18 year old 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. X
342. W|caol|ila 18 year old unpeated|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|caol|ila 18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|caol|ila 18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=343
345. W|caol|ila 18 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=343
346. W|caol|ila 18 years 0 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|caol|ila 18 years|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|caol|ila 18 years 43o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|caol|ila 18 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|caol|ila 18 years single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|caol|ila 18 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|caol|ila 18 yo 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. X
354. W|caol|ila 18 yrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|caol|ila 18a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|caol|ila 18ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|caol|ila 18letnia 43 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|caol|ila 18y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|caol|ila 18yearold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|caol|ila 18yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|caol|ila 18yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
362. W|caol|ila 18yo 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|caol|ila 18yo early 2000s|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|caol|ila 18yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|caol|ila 18yo single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=364
366. W|caol|ila 18yo unpeated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|caol|ila 18yo unpeated 598|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|caol|ila 18yo unpeated 598|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=367
369. W|caol|ila 18yo unpeated 598 single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|caol|ila 18yo unpeated style|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|caol|ila 18yr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|caol|ila 18yr single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|caol|ila 18yrs single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|caol|ila 19 year old 2003 gordon macphail cask strength connoisseurs choice abv 591|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|caol|ila 1976 private collection gm|??|r|??|??|??|1976|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|caol|ila 19782002 23 year old rare malts selection 617|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|caol|ila 19792025 45 year old symingtons choice signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|caol|ila 1980 20 years silver seal single barrel|??|r|??|??|??|1980|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|caol|ila 19802011 30 year old oldrare the platinum selection 563|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|caol|ila 19812002 21 year old first cask 251|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|caol|ila 19812011 29 year old reserve exclusively for lmdw gordonmacphail|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
382. W|caol|ila 19812012 30 year old dimensions duncan taylor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|caol|ila 19812016 carn mor celebration of the cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|caol|ila 1982 ca 35 years cadenheads|??|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|caol|ila 1982 wy 31 years wemyss malts|??|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|caol|ila 19821994 12 year old sabre shield axe label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|caol|ila 19822008 26 year old from huntly to tokyo duncan taylor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|caol|ila 19822012 fourth release archives 758|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|caol|ila 19822022 private collection gordon macphail 441|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|caol|ila 1983 30 year old diageo special releases|??|r|??|??|??|1983|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|caol|ila 1983 30 year old special release|??|r|??|??|??|1983|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|caol|ila 19832008 25 year old best casks of scotland jean boyer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|caol|ila 19832011 28 year old berrys berry bros rudd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|caol|ila 19832012 28 year old dimensions duncan taylor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|caol|ila 1984 25 year old the grill duncan taylor 503|??|r|??|??|??|1984|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|caol|ila 1984 imbottigliato nel 2023 invecchiato 38 anni upper range gordon macphail|??|r|??|??|??|1984|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|caol|ila 19842007 23 year old the exclusive malts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|caol|ila 19842011 26 year old individual cask bottling ad rattray|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|caol|ila 19842021 private collection gordon macphail 539|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|caol|ila 1988 31 year old connoisseurs choice gm|??|r|??|??|??|1988|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|caol|ila 19882008 20 year old wilson morgans 42244225|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|caol|ila 19882020 31 year old cask strength gordonmacphail 225|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|caol|ila 1989 mac kullicks choice single cask|??|r|??|??|??|1989|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|caol|ila 1989 mackillops choice|??|r|??|??|??|1989|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|caol|ila 19891999 bottled for velier srl signatory vintage 4592 93|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|caol|ila 19891999 mac kullicks choice single cask|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|caol|ila 19892020 30 year old the kinship edition no 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|caol|ila 19902004 14 year old the syndicates murray mcdavid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
409. W|caol|ila 1991 31 year old connoisseurs choice gm|??|r|??|??|??|1991|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|caol|ila 19912006 15 year old sestante collection silver seal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|caol|ila 19912021 xop the black series douglas laing dl15245|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|caol|ila 19922005 13 year old cask strength collection signatory vintage 05186|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|caol|ila 1995 distillers edition csi3467|??|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|caol|ila 1995 wilson morgan 25 years old bot2020 abv 598 with gift box sherry wood|??|f|??|??|??|1995|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
415. W|caol|ila 19962007 10 year old cask strength gordon macphail 1607072|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|caol|ila 19962008 reserve exclusively for lmdw gordonmacphail 16119|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
417. W|caol|ila 19962008 the distillers edition csi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|caol|ila 19962009 12 year old ciao all daily dram|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|caol|ila 19962016 20 year old celtic series kingsbury 794|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|caol|ila 19962016 20 year old old particular dl11498|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|caol|ila 19962020 23 year old cask strength gordonmacphail 16075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|caol|ila 1997 17yo unpeated special release|??|r|??|??|??|1997|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|caol|ila 19972015 19 year old spirits shop selection sansibar samurai label|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|caol|ila 1998 feis ile|??|r|??|??|??|1998|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|caol|ila 2000 the distillers edition|??|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|caol|ila 20012012 300897 feis ile 2012 sherry butt 604 wb8911|??|f|??|??|??|2012|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
427. W|caol|ila 20012019 17 year old cask strength exclusive for shinanoya tokyo gordonmacphail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|caol|ila 20012020 18 year old cask strength gordonmacphail 308901|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|caol|ila 2002 feis ile|??|r|??|??|??|2002|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|caol|ila 2002 gordon macphail|??|r|??|??|??|2002|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|caol|ila 2003 19 year old connoisseurs choice gm|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|caol|ila 2003 cc|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|caol|ila 2003 gordon macphail connoisseurs choice|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|caol|ila 20032015 12 year old selection adelphi 301266|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|caol|ila 20042017 12 year old maltbarn no77|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|caol|ila 2005 connoisseurs choice gm|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|caol|ila 2005 gordon macphail|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|caol|ila 2006 distillers edition|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|caol|ila 20062025 18 year old private cask collection finn thomson 312558|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|caol|ila 20062025 18 yo refill hogshead 3073546 smos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|caol|ila 2007 connoisseurs choice gm|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|caol|ila 2007 friends of classic malts 43|??|r|??|??|??|2007|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
443. W|caol|ila 2007 the culprit|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|caol|ila 20072023 15 year old maltbarn no210|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|caol|ila 20072025 17 year old cask strength collection signatory vintage 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|caol|ila 20072025 17 yo 1st fill oloroso sherry butt 3 sig cs|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
447. W|caol|ila 20072025 17 yo refill sherry butt 311974 gm cc cs|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
448. W|caol|ila 2008 11 year old smws 53318 entropy meridian|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|caol|ila 2008 13 year old connoisseurs choice gm|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|caol|ila 2008 15 year old the octave duncan taylor|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|caol|ila 2009 12 eves px sherry finish 30th anniversary wilsonmorgan 07 553|??|f|??|??|??|2009|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
