W|vino|j stavek bodro 2020 cabernet sauvignon merlot dry round and cheeky bordeaux blend in another words bodro from moravia|fr|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|dry
W|vino|indomita zardoz cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita zardoz cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita varietal sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|indomita varietal carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita ultra premium zardoz carmenere 28 off|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita ultra premium zardoz cabernet sauvignon 50 off|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita selected varietal sauvignon blanc 12 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|indomita quintus organico gran reserva cabernet sauvignon 40 off|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita premium duette sauvignon blanc 45 off|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|indomita premium duette pinot noir 15 off|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita premium duette ensamblaje 15 off|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita premium duette chardonnay 15 off|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|indomita premium duette cabernet sauvignon 45 off|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita musette rose 27 off|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|indomita late harvest 28 off|??|d|??|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|indomita indomita espumante brut botella 750cc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|indomita indomita colors chardonnay5 off|??|r|chardonnay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|indomita gran reserva sauvignon blanc 36 off|??|w|sauvignon blanc|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|indomita gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|indomita gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??|=247
W|vino|indomita gran reserva pinot noir 36 off|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva ensamblaje 36 off|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva chardonnay 36 off|??|w|chardonnay|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|indomita gran reserva chardonnay|??|w|chardonnay|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|indomita gran reserva cepas 750cc|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva carmenere 750cc|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva carmenere 36 off|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=256
W|vino|indomita gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=256
W|vino|indomita gran reserva carignan 750cc|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva carignan 36 off|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernetcarmenere 750cc|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet suavignon|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet sauvignon carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet sauvignon 36 off|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|indomita gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=266
W|vino|indomita duette premium cepas 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita duette ensamblaje 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita duette cabernetcarmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita duette cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita colors sauvignon blanc5 off|??|r|sauvignon blanc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita colors merlot 5 off|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita colors carmenere 5 off|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|indomita colors cabernet sauvignon5 off|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|in vita blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|in fusti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imyr calabria igt bianco ceraudo bio|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|impromptu sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|impetu crianza 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva especial 1968|??|r|??|??|??|1968|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva cvne 1981|??|r|??|??|??|1981|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 2014|??|r|??|??|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 2005|??|r|??|??|??|2005|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 2000|??|r|??|??|??|2000|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1999|??|r|??|??|??|1999|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=288
W|vino|imperial reserva 1996|??|r|??|??|??|1996|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1991|??|r|??|??|??|1991|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1990|??|r|??|??|??|1990|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1988|??|r|??|??|??|1988|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1987|??|r|??|??|??|1987|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1986|??|r|??|??|??|1986|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1985|??|r|??|??|??|1985|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1982|??|r|??|??|??|1982|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1978|??|r|??|??|??|1978|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1975|??|r|??|??|??|1975|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial reserva 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva cvne 1952|??|r|??|??|??|1952|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 2010|??|r|??|??|??|2010|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1998|??|r|??|??|??|1998|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1996|??|r|??|??|??|1996|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1995|??|r|??|??|??|1995|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1994|??|r|??|??|??|1994|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1991|??|r|??|??|??|1991|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1987|??|r|??|??|??|1987|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1986|??|r|??|??|??|1986|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1985|??|r|??|??|??|1985|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1982|??|r|??|??|??|1982|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1982|??|r|??|??|??|1982|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=313
W|vino|imperial gran reserva 1981|??|r|??|??|??|1981|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1981|??|r|??|??|??|1981|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=315
W|vino|imperial gran reserva 1976|??|r|??|??|??|1976|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1975|??|r|??|??|??|1975|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1973|??|r|??|??|??|1973|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1970|??|r|??|??|??|1970|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1968|??|r|??|??|??|1968|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1966|??|r|??|??|??|1966|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1962|??|r|??|??|??|1962|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1960|??|r|??|??|??|1960|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1957|??|r|??|??|??|1957|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1956|??|r|??|??|??|1956|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1955|??|r|??|??|??|1955|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1943|??|r|??|??|??|1943|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1937|??|r|??|??|??|1937|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial gran reserva 1930|??|r|??|??|??|1930|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial cvne gran reserva 1954|??|r|??|??|??|1954|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|imperial cvne 1966|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial athletic 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1976|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1975|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1970|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1968|??|r|??|??|??|1968|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1966|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1962|??|r|??|??|??|1962|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1959 0|??|r|??|??|??|1959|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1959|??|r|??|??|??|1959|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1956|??|r|??|??|??|1956|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1954|??|r|??|??|??|1954|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperial 1941|??|r|??|??|??|1941|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|imperator crianza 1987|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|immortalis priorat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|immortalis monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|immortalis garnacha blanca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|immortalis garnacha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|immortalis albarino blanco|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|immortalis albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ilusion de amor x 12 botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ilurce joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ilmerlot sebino rosso igt ca del bosco|??|r|merlot|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|il marinetto calabria igt rosato triple a sergio arcuri|??|p|??|??|??|NV|11.5|igt|medio|aperitivos; frutos do mar|??
W|vino|il bruciato bolgheri doc rosso marchesi antinori|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba reserva 2012|??|r|??|??|??|2012|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba maturana blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ijalba crianza ecologico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|idoia blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|idoia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|idillic blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono undurraga altazor blend cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono exclusivo larbos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono ensamblaje tapihue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono casa real reserva especial cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|icono carolina fernandez cfr carmenere syrah valle de apalta 2021|cl|r|syrah|colchagua valley|apalta|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono carmen gold 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|icono caballo loco blanco numero 2|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ibericos crianza 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ibanez rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ibanez roble vendimia nocturna kosher pesaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ibanez roble kosher lpesaj|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ibanez reserva vendimia nocturna|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ibanez pg 1 llv 2 tempranill|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ibanez merlot syrah espanol|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|iancura 6 bottiglie hauner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i tant|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i mori calabria rosso igt ippolito|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vino|i heart rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|i heart rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=384
W|vino|i heart rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=384
W|vino|i heart merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i heart merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=387
W|vino|i heart merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=387
W|vino|i heart malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i heart malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=390
W|vino|i heart cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i heart cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=392
W|vino|i fino szerbia|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|i corus vendimia seleccionada 2003|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|i basalti merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hurtado gran reserva 1981|??|r|??|??|??|1981|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|huracan daniela cuvee blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|huracan daniela blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|humo blanco carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|humo blanco carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|humo blanco cabernet franc 750cc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|huha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hugel gewurztraminer 2023|??|w|gewurztraminer|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vino|huerto de la condesa blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|huerto de la condesa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|huentala la isabel estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|huaso chileno reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hstagnari seleccion la puebla syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hstagnari seleccion la puebla syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=409
W|vino|hruska viante ryzlink rynsky 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska viante frizzante 0|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hruska varietal veltlinske zelene|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska rose merlot|??|p|merlot|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hruska rose classic frankovka|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hruska hibernal organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska fresh solaris|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska fresh ryzlink rynsky|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska fresh hibernal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hruska classic palava|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|houswine tinto semi seco bib3lx4cp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|houswine blanco bib 3lx4 cp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|house of morande ensamblaje 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|house of morande cabernet sauvignon tinto 750|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|house of morande cabernet sauvignon tinto 750|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=424
W|vino|house of morande cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hort velky veltlin 2022 granitveltlinske zelene ktere zralo v granitovem tanku tvaru vejce top 5 veltlin ceska desetileti|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hort ryzlink rynsky 2019 kralovska rada voc znojmo u hajkupodle nas nejlepe hodnoceny rynak jirky horta za poslednich 5 let|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hort hort france hf9 2017 igp aude coteaux de miramont corbieres languedoc moravsky vinar a spickovy francouzsky syrah zrajici 2 roky v 9 novych dubovych sudech|fr|r|syrah|??|??|2017|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|hort france premium 2016 aoc corbieres moravsky vinar a francouzske hrozny|fr|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hort ch sur lie 2012cuvee chardonnay a pinot blanc jedno z prvnich moravskych vin inspirovanych bilym burgundskym|??|w|chardonnay|??|??|2012|12|??|leve|peixes; saladas; massas leves|??
W|vino|hort|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|horse heaven hills h3 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hormiga negra malbec argentino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hormiga negra malbec argentino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=434
W|vino|hormiga atomica blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|horizonte de exopto b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|honoro vera verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|honoro vera verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|honoro vera verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=439
W|vino|honoro vera tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|honoro vera tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=441
W|vino|honoro vera tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=441
W|vino|honoro vera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|honoro vera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=444
W|vino|honoro vera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=444
W|vino|honoro vera monastrell organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|honoro vera monastrell organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=447
W|vino|honoro vera monastrell organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=447
W|vino|honoro vera monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|honoro vera monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=450
W|vino|honoro vera monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=450
W|vino|honoro vera monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=450
W|vino|honoro vera garnacha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|honorable gomez cruzado gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|honorable gomez cruzado gran reserva 1915|??|r|??|??|??|1915|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
