W|gaja|gaia rey|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|two creeks farm chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|wine doris sonoma valley|us|r|??|california|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines cabernet sauvignon doris|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines cabernet sauvignon sonoma valley|us|r|cabernet sauvignon|california|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines chenin blanc|??|w|chenin blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|wines chenin blanc sonoma valley|us|w|chenin blanc|california|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gail|wines doris cabernet|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|gail|wines doris cabernet sauvignon sonoma valley california|us|r|cabernet sauvignon|california|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|gail|wines doris red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris red table wine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris sonoma cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris sonoma cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|gail|wines doris sonoma valley california caberenet sauvignon|us|r|??|california|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gail|wines doris white table wine|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|aop|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|aop bal segur blanc domaine la croix des marchands|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|aop bal segur rouge domaine la croix des marchands|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|aop chateau de mayragues 23f fahrenheit bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|aop rouge duras domaine de plageoles|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|bio cuvee duras chateau escabes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|blanc aop chateau clement termes perle|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|blanc domeni|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|blanc domeni|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|blanc sec|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|blanc sec chateau les vignans|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|blanc vignelourac terrae veritas 100 mauzac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|borie vieille brut de brut victorine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaillac|branco seco|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|chateau adelaide cuvee tradition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|clement termes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|clement termes lesprit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|clement termes memoire|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|clement termes memoire blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|clement termes memoire rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|cuvee du pigeonnier|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine barreau augustin red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine barreau baro prunelart red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine barreau lancestral red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine barreau les braisiers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine du grand chene la parcelle de lortolan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|domaine du grand chene methode traditionnelle extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gaillac|domaine grosbois la cuisine de ma mere en vacances a gaillac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|doux chateau clement termes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|doux mauzac roux domaine plageoles blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|doux vignelourac la douceur alain gayrel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|grain de folie causse marines|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|innocent brut kologisk les vignals|??|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaillac|la soucarie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|le petit enclos des roses moelleux|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillac|les bons vivants vin blanc sec domaine descausses|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|les bons vivants vin rouge domaine descausses|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|mauzac nature domaine de plageoles|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|origine domaine de brousse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|passion|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|passion|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|gaillac|passion|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|gaillac|passion|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|gaillac|perle blanc chateau clement termes|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|perle chateau clement termes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|perle domaine barreau augustin white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaillac|perle nature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|perle vignelourac les perles alain gayrel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|petnat vertigo domaine de brousse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|red chateau clement termes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillac|rouge chateau clement termes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge chateau clement termes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge chateau clement termes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge aop chateau clement termes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge bib cla box de clement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge croix dazal domaine philemon southwest france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge domaine de borievieille tradition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge domeni|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge en vacances domaine de grosbois bd vin nature|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge en vacances domaine de grosbois bd vin nature|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=301
W|gaillac|rouge le blason de sigolene|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge memoire chateau clement termes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge memoire chateau clement termes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|rouge symphonie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|sec premieres cotes vin de voile domaine plageoles|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|sec premieres cotes vin de voile domaine plageoles|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|soucarie|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|tandem domaine de brousse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillac|trockener weiwein|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillacoise|by mary taylor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cote rotie rose pourpre|??|p|??|??|??|2003|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillard|cornas|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cornas|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|crozes hermitage|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|st joseph clos de cuminelle|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|st joseph clos de cuminelle|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cornas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cornas les barcillants|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cote rotie esprit blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|cote rotie rose poupre|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillard|coterotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|de syran champagne brut reserve|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gaillard|grapillage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|pierre cote rotie rose pourpre|??|p|??|??|??|2005|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillard|rose pourpre coterotie|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaillard|saint joseph la releve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|saintjoseph 202122|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|saintjoseph 202122|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=330
W|gaillard|saintjoseph clos cuminaille|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|stemilion|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaillard|stemilion|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|gaillard|stemilion|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaille|pj|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gain|liquiddetergent aromaboost original 46oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gain|original dryer sheets15ct|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|75g delikat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|cal1 rasa grea pg cg avicola focsani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|frumoasa dezosata complet umpluta cu rosii uscate la soarevreau extra pe 10 aprilie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|frumoasa dezosata complet umpluta cu rosii uscate la soarevreau extra pe 11 aprilie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|frumoasa dezosata complet umpluta cu rosii uscate la soarevreau extra pe 8 aprilie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|frumoasa dezosata complet umpluta cu rosii uscate la soarevreau extra pe 9 aprilie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|marinata coapta la cuptor 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|umpluta cu ciuperci si taitei de casa 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|umpluta cu clatite 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaina|umpluta cu fistic 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainda|naphthalene balls white kapoor goli stainfree antiinsect repellant mothballs sanitary cubes for commercial use cloth wardrobe almirah bookshelves drawers 1kg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaine|rafraichissante bouteille universelle le creuset|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|santa ynez merlot|??|r|merlot|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|cabernet franc|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=353
W|gainey|chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|gainey|merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|pinot noir santa rita hills|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|triada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|vineyard merlot santa ynez|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|vineyard pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|vineyard sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|vineyards santa rita hills chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainey|vineyards santa rita hills pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|vineyards santa ynez valley merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gainey|vineyards santa ynez valley sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gainomax|recovery drink vanilla vibes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|mont rubi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|one nights rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintus|radical|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|radical|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|sobremadurado|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|vertical|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|vertical|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintus|vertical|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|getariako txakolina|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|getariako txakolina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|getariako txakolina bixigu blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaintza|getariako txakolina blanco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaintza|getariako txakolina roses|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|getariako txakolinahondarrabizu espana|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|roses txakolina rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|txacoli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txacolina getariatico txacolina do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakoli|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakolina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakolina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|gaintza|txakolina|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakolina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakolina altxor txakoli getariako bianco do|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaintza|txakolina altxor txakoli getariako rosado do|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|txakolina blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaintza|txakolina blanco basque country spain|es|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaintza|txakolina getaria pais vasco spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaintza|txakolina rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|txakolina rose|??|p|??|??|??|2019|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|txakolina roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaintza|txakolina roses|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaio|cabernet sauvignon bag in box|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|extra dry prosecco superiore millesimato docg|??|s|??|??|??|2022|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|gaio|gaio calabretta|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|gaio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|gaio rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|merlot bag in box|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|merlot rosso della svizzera italiana igt|it|r|merlot|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|mirante 423 rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaio|mirante 423 terroir chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaio|mirante 423 terroir riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaio|mirante 423 terroir viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaio|moscato giallo bag in box|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|preziosita de terroir blend barricado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|preziosita de terroir blend macerado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|preziosita marselan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|preziosita tinto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|proprieta cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|proprieta merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|proprieta moscato giallo|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|rosso della svizzera italiana igt|it|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gaio|vino da tavola svizzera italiana|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiole|ricasoli chianti classico|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiospino|verdicchio doc fattoria coroncino|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze chkhaveri|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze melqo tsolikouri|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze otskhanuri|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze otskhanuri sapere|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaioz|sopromadze tsolikouri|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaioz|sopromadze tsolikouri melqobazaleti|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gais|griekse kaas uit pontus arvanitis 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisberg|1ste lage weingut geyerhof bio|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisberg|gaisberg|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisberg|gaisberg|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisbock|after shave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisbock|men face cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisbohl|riesling gc 1 dr burklinwolf|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|riesling gc 1 dr burklinwolf|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|riesling gc 1 dr burklinwolf|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|gc riesling qba trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|gc riesling vdpgrosses gewachs|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|gc riesling vdpgrosses gewachs|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|gc riesling vdpgrosses gewachs|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|gc riesling vdpgrosses gewachs trocken|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
