W|rose|periquita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le temps des vendanges malbec igp tolosan|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le rose de puy arnaud vin de france 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le rose de puy arnaud 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le rose de floridene graves bordeaux|fr|p|??|bordeaux|graves|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|rose|le rose de floridene 2017|??|p|??|??|??|2017|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le perle gaillac 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le fleur pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le ballon rose pays doc 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|le ballon rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lavendette les vins magnum breban|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lavendette les vins breban|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lavendette les vins breban|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=269
W|rose|lavendette les vins breban|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=269
W|rose|laudacieuse 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|latitud 33 malbec rose 2021|??|p|malbec|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lancers|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lambrusco villa fabrizia amabile|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lambrusco villa fabrizia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lambrusco phermento medici ermete|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lalomba finca lalinde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|lagoalva 2023 tejo|pt|p|??|tejo|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|lacrau touriga nacional 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|la vie pinot noir vinicola cavalleri|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|la vie pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la tierra rocosa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la rosa 2024 douro|pt|p|??|douro|??|2024|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|la ptite annie 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la piu belle rose blend 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la paloma petit verdot e tannat buffon|??|p|tannat|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la mandala rosato igp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la linda malbec|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la jovem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la grande cuvee chateau berne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la dorni sem alcool|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la cave daugustin florent 2015|??|p|??|??|??|2015|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la cave daugustin florent|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|la capitana reserva pinot noir 2018|??|p|pinot noir|??|??|2018|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|la belle de jour|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|kylie minogue signature 2024 terres du midi franca|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|kylie minogue collection 2022 cotes de provence franca|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|kopke winemakers collection tinto cao douro|pt|p|??|douro|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|kaipu|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|juliette|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|julia florista portugues vidigal wines|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|julia florista kit 4 garrafas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|julia florista 3 und|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|julia florista 3 und|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=304
W|rose|julia florista|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|julia florista|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=306
S|=29
S|=29
W|rose|jp chenet grenache cinsault|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jp azeitao syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jp azeitao|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jp 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jovem mayos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|josel|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jolie terre vdp de mediterranne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jolie terre vdp de mediterranne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=316
W|rose|joao pires|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|joao pires|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=318
W|rose|jmf trevo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jmf colecao privada roxo rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jk elpenor 2016 dao|pt|p|??|dao|??|2016|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|jean bousquet|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|je tai dans la peau pour la vie 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jas des vignes rose blend 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jardin des nautes aop luberon|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jardim de rosas paul mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|jardim de rosas paul mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=327
W|rose|jardim de rosas paul mas|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=327
W|rose|jaja de jau|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ja te disse 2021 alentejo|pt|p|??|alentejo|??|2021|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|j p grenache cinsault pays doc igp|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|j p grenache cinsault pays doc igp|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=332
W|rose|izadi larrosadetalhes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano wave rosato igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano vigneti del vulture pipoli rosato basilicata igt|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
S|=29
W|rose|italiano terredora rosaenovae aglianico|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano stemmari|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano sogno italiano rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano sogno italiano rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=340
W|rose|italiano settesoli|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano settesoli|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=342
W|rose|italiano scaia rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano pinot grigio mannara|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano montepulciano dabruzzo fantini|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano mezzacorona pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano luccarelli rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano lovelli|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano kasaura cerasulo abruzzo|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano itinera prima classe nero d avola|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano frisante mosketto|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano freixenet seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano freixenet fino|??|f|palomino|??|??|NV|15|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|italiano freixenet|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano esperanto primitivo di puglia|??|p|primitivo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano decordi lambrusco amabile garrafa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano corbelli blush pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano ciro bruni|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano carpineto dogajolo igt toscano rosato|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano cantina di negrar bardolino chiaretto|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano blend villa di mare|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano bertarose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italiano barba cerasuolo dabruzzo garrafa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italia mezzacorona pinot grigio|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|italia frescobaldi amiraglia alie rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|isabella 2022 barricado mena kaho|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|irmaos 2018 douro|pt|p|??|douro|??|2018|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|irene antonietta 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ipsis verbis casa agricola|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ionos roditissyrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|inspiration chateau berne|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|inquilino bibiana vinicola cainelli bento goncalves rio grande do sul brasil|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|infinitude rosado 2021 lisboa|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|ilha tinta negra madeira|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|rose|igt terre siciliane|it|p|??|sicilia|??|NV|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|ibiza tempranillo|??|p|tempranillo|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|i heart demi sec|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|hugo mendes 2021 tejo|pt|p|??|tejo|??|2021|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|hsm colheita selecionada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|honrado talha mondadeira 2020 alentejo|pt|p|??|alentejo|??|2020|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|ho matrona 2022 doc douro|pt|p|??|douro|??|2022|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|ho 2023 douro|pt|p|??|douro|??|2023|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|rose|hilldale merlot stellenbosch|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|hermann bossa pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade grande safra 2016|??|p|??|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso cellar selection 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso cellar selection 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso cellar selection|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do sobroso|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do rocim mariana 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do rocim mariana 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do rocim 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do rocim 075|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do esporao monte velho 2023 alentejo|pt|p|??|alentejo|??|2023|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade do esporao monte velho|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade do arrepiado velho 2022 alentejo|pt|p|??|alentejo|??|2022|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|herdade de sao miguel colheita seleccionada 2023 regional alentejano|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade das servas sangiovese 2021 regional alentejano|??|p|sangiovese|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|herdade da calada baron de b syrah reserva 2018 alentejo|pt|p|syrah|alentejo|??|2018|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|head rock reserva trasosmontes|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|guriazita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|guriazita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=405
W|rose|gris blanc gerard bertrand|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|grenache noir rose luberon 2019|??|p|grenache|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|grego skouras cuvee prestige|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gold cotes de provence sustentavel diversos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|goethe seco casa del sole premiado bronze microlote 2025|??|p|??|??|??|2025|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|goethe quarezemin demi sec|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|goethe|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|goes tempos petalas cabernet franc 2023|??|p|cabernet franc|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|goes tempos petalas cabernet franc 2023|??|p|cabernet franc|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco|=414
W|rose|giz vinhas velhas rose 2019|??|p|??|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|giz vinhas velhas baga bairrada|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gio de france grenache 2019|??|p|grenache|??|??|2019|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gillieres|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gigantones verde|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|giaretta cabernetmerlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|giaretta bella reserva|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|giardino marselanmalbec bebber|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gerard bertrand gris blanc rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gerard bertrand gris blanc rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=424
W|rose|gerard bertrand cote des roses|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|georges duboeuf la cuvee|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|georges du boeuf|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|genus generation teresa laureano|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gb rose rheingau spatburgunder qba 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gato negro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|gato negro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=431
W|rose|gato negro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=431
W|rose|gato negro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=431
W|rose|garzon estate pinot rose de corte bodega garzon 2020|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|garzon estate pinot rose de corte|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|garzon estate pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|garzon estate pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=437
W|rose|garrus|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|garrafeira benfica colheita 2021 regional alentejo|pt|p|??|alentejo|??|2021|12.5|DO|medio|saladas, sushi, petiscos|seco
W|rose|garrafeira benfica colheita 2020 regional minho|??|p|??|??|??|2020|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|garonna vin de france|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|funckenhausen|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frutado portugues lavradeira|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frizzante igt veneto corte noa|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|rose|frisante villa fabrizia lambrusco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante vele al vento lambrusco dellemilia amabile|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante suave ponto nero freebie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|demi-sec
W|rose|frisante seco nacional chardonnay pinot noir vivant pack 4 latas cada|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante santa vita moscatel 1|??|p|moscatel|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante pink mayos|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante naturelle casa valduga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante italiano lambrusco villa fabrizia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante casal da bica|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante casa valduga naturelle|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante casa ronaldi lambrusco dellemilia dolce|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frisante casa perini macaw tropical garrafa|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frida kahlo carmen reserva rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|rose|frey rosado 2016|??|p|??|??|??|2016|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frescobaldi remole|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixo terroir 2023 regional alentejano|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet zero alcool|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet sem alcool|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet mia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet italina rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet italian rose compre 5 e leve 6 freixenet|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet desalcoolizado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|freixenet corvina 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances whispering angel desclans|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances vive la vie|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances vinovalle piscine|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances villebois vale do loire|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances villebois vale do loire|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=472
W|rose|frances villebois|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances villebois|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=474
W|rose|frances un rose bien frais entre copains|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ultimate provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ultimate provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=477
W|rose|frances ultimate provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=477
W|rose|frances tempranillo merlot syrah vivid|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances sand tropez igp mediterranee|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances sand tropez aoc cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances saint dominique centifolia|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ravoire fils manon cotes de provence 2023 magnum 1|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ravoire fils manon cotes de provence 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ravoire fils manon cotes de provence 1|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ravoire fils manon cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances ravoire fils manon cotes de provence|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=487
W|rose|frances ravoire fils jas des vignes provence rose igp|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances provence soleil des alpes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances premiere selection etoile de mer|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances premier cinsault rose rendez vous|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances piscine vdf|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances piscine stripes vinovalie les vignerons|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances piscine stripes|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances pink sands grenache|??|p|grenache|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances pays doc rosabelle|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances pays doc gem|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances patriarche heritage|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances patriarche heritage|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=499
W|rose|frances mouton cadet merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|rose|frances mouton cadet classic bordeaux|fr|p|??|bordeaux|??|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
W|rose|frances mouton cadet bordeaux|fr|p|??|bordeaux|??|NV|12.5|AOC|medio|saladas, sushi, petiscos|seco
