W|gevreychambertin|premier cru champeaux tres vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurtztraminer|reserve domaine fernand engel|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurtztraminer|reserve domaine fernand engel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurtztraminer|vinarstvi vratil|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|gewurz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|gewurz|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|gewurz|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|gewurz|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|gewurz|bio|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|3|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|boite herbes de provence|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|boite herbes salades|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|boite lavande culinaire|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|boite romarin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|boite thym|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|cuvee weiss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|muehlforst|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|tapir|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurz|traminer doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzdose|mit spruch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzdosen|spruch set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurze|fur tandoori35g bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzluiken|gewurzluiken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzmischung|fur bruschetta 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzmuhle|gewurzmuhle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzorangen|lachs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzorangen|mousse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzreibe|gusseisen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzt|mure orchidees sauvage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurzt|selection de grains nobles frey sol|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurztarminer|gewurztarminer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gewurztraminer|120|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|1840 alto adige doc hlun|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|1840 h lun|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2007|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|michele et jean luc stoecke|??|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|pegasus bay waipara new zealand|nz|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vendanges tardives blessing|??|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|steiner|??|w|??|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vieilles vignes|??|w|??|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco|=298
W|gewurztraminer|grand cru brand dalsace cave de turckheim|fr|w|??|??|??|2015|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|gewurztraminer|domaine prive de la maison gpc|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grand cru rosacker cave vinicole hunawihr alsace frankrig|fr|w|??|??|??|2016|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grand cru schoenenbourg domaine becker|??|w|??|??|??|2016|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grande reserve vin dalsace egrappe75cl|fr|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|reserve|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|trimbach ribeauville alsace frankrig|fr|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=309
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=309
W|gewurztraminer|aoc alsace selection de grains nobles|fr|w|??|??|??|2017|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|cesconi|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|semeli|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|svr|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|white kologisk|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=317
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=317
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco|=317
W|gewurztraminer|doc|??|w|??|??|??|2018|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|domaine allimantlaugner|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|domaine trimbach|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grand cru altenberg de bergheim alsace wine sweet|fr|w|??|??|??|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|doce
W|gewurztraminer|grand cru altenberg de bergheim vin dalsace doux|fr|w|??|??|??|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grand cru bruderthal domaine neumeyer|??|w|??|??|??|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|remy lutz|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|sables et galets d alsace cave de turckheim|fr|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vendanges tardives alsace wine sweet|fr|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gewurztraminer|vendanges tardives vin dalsace doux|fr|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=331
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=331
W|gewurztraminer|fels gpc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|marcel deiss|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vieilles vignes alsace wine mediumsweet|fr|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gewurztraminer|vieilles vignes vin dalsace moelleux|fr|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=338
W|gewurztraminer|collection cave de ribeauville alsace frankrig|fr|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|coteaux de remich gpc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|evidence gustave lorentz|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|hartmann dona|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|in der eben|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kuhlmannplatz|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|les princes abbes domaine schlumberger|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vendanges tardives|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vendanges tardives aoc alsace|fr|w|??|??|??|2020|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|20202021 domaine koch pierre fils|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|gewurztraminer|bench 1775 winery|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|decideret|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|freyermuth|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|hubert beck alsace|fr|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|taureau domaine neumeyer|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|tramin alto adige doc|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|trentino doc maso bergamini|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=367
W|gewurztraminer|13 vol|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc alsace le seducteur|fr|w|??|??|??|2022|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bioweingut zohlhof|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|castel sallegg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|coteau du hautkoenigsbourg alsace wine semidry|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|coteau du hautkoenigsbourg vin dalsace demi sec|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|ct alsace cave de turckheim|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|cuvee olivier|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|dry 075 liter|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|fels gpc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lafoa colterenzio|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieselehof|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieselehof|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=390
W|gewurztraminer|maceration alsace aoc pierre frick|fr|w|??|??|??|2022|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|semi dry halbtrocken 075 liter|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|strasserhof valle isarco doc alto adige|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vieilles vignes|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|2022domein steenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gewurztraminer|075 liter|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc alsace cur de cru|fr|w|??|??|??|2023|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bellutti weinberghof|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bottega vinai|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|cantina valle isarco doc alto adige|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|doc altoadige hartmann dona|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|domaine albert man|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|domaine henry fuchs|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|dorfbourg vendanges tardives|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|girlan|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|grand cru wineck schlossberg|??|w|??|??|??|2023|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|graziano fontana|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieu dit dorfbourg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieu dit hinterbourg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|lieudit husaren|us|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|louis aromatico|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|monfort|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vigna kastelaz elena walch|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
