W|15|minute test pots pinot noir|??|r|grenache syrah pinot noir, pinot noir, syrah, grenache|??|??|2024|14|??|encorpado|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
W|ca|boit libre mon blanc bronze|fr|w|??|savoie|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=112
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|2024|12.5|do|leve|peixes, frutos do mar|seco
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|2024|12.5|do|leve|peixes, frutos do mar|seco|=249
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|2023|12.5|do|leve|peixes, frutos do mar|seco
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|2023|12.5|do|leve|peixes, frutos do mar|seco|=252
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|2023|12.5|do|leve|peixes, frutos do mar|seco|=252
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=123
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=124
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=257
W|hubert|lamy saintaubin 1er cru derriere chez edouard haute densite blanc|??|w|??|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=257
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=123
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=124
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=251
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=132
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=132
W|domaine|lafage centenaire cotes roussillon blanc|??|w|??|??|??|2022|12.5|do|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=123
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|ca|boit libre mon blanc bronze|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=124
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=218
W|domaine|lafage centenaire cotes roussillon blanc|??|w|??|??|??|2020|12.5|do|leve|peixes, frutos do mar|seco
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|mon|frere sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=115
W|chateau|rambauds mon basset classique bordeaux|fr|r|??|bordeaux|??|NV|13.5|aoc|medio|carne vermelha, queijo|seco
W|mon|azur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mon|amour chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|mon|amour chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=277
W|mon|amour chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=277
W|mon|amour chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=277
W|mon|amour chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=277
W|mon amie|cc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|domaine|abeille cotes gascogne blanc|fr|w|??|??|??|2021|12.5|do|leve|peixes, frutos do mar|seco
W|caves|hautescotes beaune 1er cru montee rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|evesham|wood willamette valley pinot noir|us|r|pinot noir|willamette|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|maysara|autees momtazi vineyard pinot blanc|??|w|pinot noir|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|stranger|days cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
W|mompo|vino misa red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mompo|vino misa moscatel mass|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mompo|mass must be 18yrs old above|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mompo|mass|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|mompertone|monferrato doc prunotto estate|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco
W|poggio|percheno monferrato rosso|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, queijo|seco
W|poggio|percheno monferrato rosso|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
S
X
X
X
X
X
X
X
X
X
X
S
X
S
S
X
X
S
X
X
X
X
S
S
X
S
X
X
X
X
X
S
X
X
X
X
X
X
X
X
X
W|momo|savignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2021|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2019|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2018|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=371
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=378
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=373
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|nz|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=395
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=395
W|domaine|fritz pinot gris alsace grand cru mambourg|fr|w|pinot gris|alsace|??|NV|12.5|grand cru|leve|peixes, frutos do mar|seco
W|domaine|fritz pinot gris alsace grand cru mambourg|fr|w|pinot gris|alsace|??|NV|12.5|grand cru|leve|peixes, frutos do mar|seco|=398
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=370
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=402
W|humo|blanco organic cabernet sauvignon|??|w|cabernet sauvignon, sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=402
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=373
W|domaine|bousquet organic rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|domaine|bousquet organic rose|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco|=406
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=408
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=408
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=408
W|domaine|bousquet reserve organic pinot noir|??|r|pinot noir|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=408
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=369
W|marlborough|estate reserve sauvignon blanc rose|nz|p|sauvignon blanc|marlborough|??|2022|12.5|??|leve|saladas, frutos do mar|seco
W|marlborough|estate reserve sauvignon blanc rose|nz|p|sauvignon blanc|marlborough|??|2021|12.5|??|leve|saladas, frutos do mar|seco
W|marlborough|estate reserve sauvignon blanc rose|nz|p|sauvignon blanc|marlborough|??|2020|12.5|??|leve|saladas, frutos do mar|seco
W|bouchard|finlayson sauvignon blanc|nz|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|bouchard|finlayson sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=382
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=389
W|settebello|ticino merlot|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=369
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2023|12.5|??|leve|peixes, frutos do mar|seco|=372
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2022|12.5|??|leve|peixes, frutos do mar|seco|=373
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=374
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=390
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=391
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2018|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2017|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=434
W|rapaura|springs reserve marlborough pinot gris|nz|w|pinot gris|marlborough|??|2020|12.5|??|leve|peixes, frutos do mar|seco
X
W|momo|marlborough chardonnay seresin|nz|w|chardonnay|marlborough|??|2018|12.5|do|leve|peixes, frutos do mar|seco
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2021|12.5|??|leve|peixes, frutos do mar|seco|=374
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2020|12.5|??|leve|peixes, frutos do mar|seco|=427
W|momo|marl sauv blanc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|19|crimes tho delamy pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=395
X
X
W|momo|crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha, queijo|seco
X
X
W|momo|blanco verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|settebello|ticino merlot|??|r|merlot|??|??|NV|13.5|doc|medio|carne vermelha, queijo|seco|=422
W|marlborough|vines sauvignon blanc|nz|w|sauvignon blanc|marlborough|??|2024|12.5|??|leve|peixes, frutos do mar|seco|=369
X
X
W|marlborough|vines pinot noir|nz|r|pinot noir|marlborough|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=428
X
X
X
X
X
X
X
W|borgo|boschetto pinot grigio|??|w|pinot grigio|??|??|2017|12.5|??|leve|peixes, frutos do mar|seco
W|mommys|time out prosecco|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|seco
W|borgo|boschetto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|borgo|boschetto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=463
W|borgo|boschetto pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=463
X
X
X
W|mommys|time out garganegapinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|mommys|time out garganegapinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=469
W|borgo|boschetto pinot grigio|??|w|pinot grigio|??|??|2015|12.5|??|leve|peixes, frutos do mar|seco
W|mommys|time out delicious red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
W|mommy|loida thanksgiving ham with pineapple glaze 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
W|mommy|julings papaya vinaigrette|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|mommy|julings ampalaya vinaigrette|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
W|mommy|bag off whiteblack|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
X
W|marco|porello langhe rosato|??|p|barbera|??|??|NV|12.5|doc|leve|saladas, frutos do mar|seco
X
W|terres|dorees gamay noir jus blanc beaujolais nouveau|fr|w|gamay|??|??|2023|12.5|do|leve|peixes, frutos do mar|seco
W|terres|dorees gamay noir jus blanc beaujolais nouveau|fr|w|gamay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|terres|dorees gamay noir jus blanc beaujolais nouveau|fr|w|gamay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=510
X
X
W|domaine|chers arbre vie saint amour|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|chers arbre vie saint amour|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|chers arbre vie saint amour|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
X
W|caroline|parent moulin vent en mortperay|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|caroline|parent moulin vent en mortperay|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|caroline|parent moulin vent en mortperay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|caroline|parent moulin vent en mortperay|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
X
W|jean|foillard morgon cote py|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|jean|foillard morgon cote py|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|jean|foillard morgon cote py|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|jean|foillard morgon cote py|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|jean|foillard morgon cote py|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=526
X
W|vincent|saint denis fixin 1er cru hervelets|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mommessin|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|david|duband nuitssaintgeorges premier cru aux thorey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|jean|deville beaujolais villages|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
X
W|jean|foillard morgon cote py|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=525
W|jean|foillard morgon cote py|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
W|domaine|nicole lamarche francois lamarche echezeaux grand cru|it|r|??|??|??|1989|13.5|grand cru|medio|carne vermelha, queijo|seco
X
W|domaine|maison fleurie mont fleurie|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|maison fleurie mont fleurie|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=544
W|domaine|maison fleurie mont fleurie|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=544
W|domaine|maison fleurie mont fleurie|??|r|??|??|??|2023|13.5|do|medio|carne vermelha, queijo|seco|=544
W|domaine|maison fleurie mont fleurie|??|r|??|??|??|2020|13.5|aoc|medio|carne vermelha, queijo|seco
W|pierre|mignon cuvee selectionee pour casa angelina brut prestige champagne|fr|s|??|champagne|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|birichino|saint georges pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=551
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|thivin clos cote brouilly|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|thivin clos cote brouilly|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=554
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2015|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2014|13.5|grand cru|medio|carne vermelha, queijo|seco
W|faiveley|corton clos cortons faiveley grand cru monopole|??|r|??|??|??|2017|13.5|grand cru|medio|carne vermelha, queijo|seco
W|faiveley|corton clos cortons faiveley grand cru monopole|??|r|??|??|??|2016|13.5|grand cru|medio|carne vermelha, queijo|seco
W|faiveley|corton clos cortons faiveley grand cru monopole|??|r|??|??|??|1990|13.5|grand cru|medio|carne vermelha, queijo|seco
W|faiveley|corton clos cortons faiveley grand cru monopole|??|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1998|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2013|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2006|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2001|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2018|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2011|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2010|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2006|13.5|grand cru|medio|carne vermelha, queijo|seco|=564
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2005|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2004|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2002|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2001|13.5|grand cru|medio|carne vermelha, queijo|seco|=565
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|2000|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1999|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1999|13.5|grand cru|medio|carne vermelha, queijo|seco|=575
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1999|13.5|grand cru|medio|carne vermelha, queijo|seco|=575
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1998|13.5|grand cru|medio|carne vermelha, queijo|seco|=562
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1996|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1996|13.5|grand cru|medio|carne vermelha, queijo|seco|=579
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1996|13.5|grand cru|medio|carne vermelha, queijo|seco|=579
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1993|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1990|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1990|13.5|grand cru|medio|carne vermelha, queijo|seco|=583
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1989|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|1985|13.5|grand cru|medio|carne vermelha, queijo|seco
W|domaine|clos tart moreysaintdenis|??|r|??|??|??|1999|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|clos tart moreysaintdenis|??|r|??|??|??|1999|13.5|do|medio|carne vermelha, queijo|seco|=587
X
W|jacques|fauconnet charmes chambertin grand cru|??|r|??|??|??|1990|13.5|grand cru|medio|carne vermelha, queijo|seco
W|pascal|bouchard reserve saintpierre bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2022|13.5|??|medio|carne vermelha, queijo|seco
W|alex|moreau bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|alex|moreau bourgogne pinot noir|fr|r|pinot noir|bourgogne|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|francois|martenot tastevinage bourgogne chardonnay|fr|w|chardonnay|bourgogne|??|2023|12.5|do|leve|peixes, frutos do mar|seco
W|domaine|cecile tremblay vieilles vignes vosneromanee|fr|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|cecile tremblay vieilles vignes vosneromanee|fr|r|??|??|??|2022|13.5|do|medio|carne vermelha, queijo|seco|=595
W|domaine|cecile tremblay vieilles vignes vosneromanee|fr|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|domaine|cecile tremblay vieilles vignes vosneromanee|fr|r|??|??|??|2024|13.5|do|medio|carne vermelha, queijo|seco
W|terres|dorees gamay noir jus blanc beaujolais nouveau|fr|w|gamay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=510
W|jean|deville beaujolais villages|fr|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=532
W|jean|deville beaujolais villages|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|jean|deville beaujolais villages|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|jean|deville beaujolais villages|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=601
W|jean|deville beaujolais villages|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=602
W|jean|loron nature beaujolais villages nouveau|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|georges|duboeuf beaujolais nouveau kosher|fr|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
