W|dalamara naoussa|naoussa|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|bullicante pinot grigio|fr|w|pinot grigio|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalla cia|bullicante sparkling pinot grigio|fr|s|pinot grigio|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|dalla cia|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalla cia|chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=238
W|dalla cia|chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalla cia|chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=240
W|dalla cia|classico cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|classico cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=242
W|dalla cia|classico cabernet sauvignon 2022|fr|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|giorgio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|giorgio 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|giorgio 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco|=246
W|dalla cia|pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|sauvbl|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|teano 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|teano red blend|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla cia|wine spirit co giorgio 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc one grey|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc one total color grey|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 2 group|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 2 group high total color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 2 group total color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 3 group|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 3 group high total color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro 3 group total color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro high 2 group|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc pro high 3 group|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc two black color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|dc two total color black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 2 group black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 2 group blackboard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 3 group black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 3 group blackboard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 4 group black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 4 group blackboard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 high 2 group black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 high 2 group blackboard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 high 3 group black|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|evo2 high 3 group blackboard|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|max|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|mina|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|xt 3 group wood|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|xt classic 3 group total color|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla corte|xt classic dynamic color 3 group|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|costa|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|costa|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=280
W|dalla costa|disney|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|organic gluten free 100 chickpea fusilli 250g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|organic gluten free 100 green pea penne 250g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|organic gluten free 100 red lentil strozzapreti 250g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|penne ai piselli gr250|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla costa|strozzapreti alle lenticchie gr250|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla fina|pescato olio extra vergine di oliva|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla mia|finestra cabernet sauvignon 2016 yarra valley|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla mia|finestra cabernet sauvignon 2017 yarra valley|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla mia|finestra chardonnay 2017 yarra valley|fr|w|chardonnay|??|??|2017|12.5|??|medio|peixe, frutos do mar|seco
W|dalla mia|finestra chardonnay 2021 yarra valley|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalla mia|finestra shiraz 2018 yarra valley|fr|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla mia|finestra yarra valley shiraz cabernet 2015|fr|r|shiraz|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla terra|italian wine dinner member|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla terra|italian wine dinner nonmember|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|2012 maya|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|2013 maya|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 1988|fr|r|??|??|??|1988|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=306
W|dalla valle|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=306
W|dalla valle|cabernet sauvignon 1986|fr|r|cabernet sauvignon|??|??|1986|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 1988|fr|r|cabernet sauvignon|??|??|1988|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 1993|fr|r|cabernet sauvignon|??|??|1993|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 1997|fr|r|cabernet sauvignon|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 1998|fr|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 1998|fr|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco|=313
W|dalla valle|cabernet sauvignon 2011|fr|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2015|fr|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2017|fr|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=320
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=322
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=322
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=322
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=322
W|dalla valle|cabernet sauvignon 2019|fr|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=322
W|dalla valle|cabernet sauvignon 2020|fr|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon 2022|fr|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon dvo napa valley 2019|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon estate napa valley 2015|us|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon estate napa valley 2016|us|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon maya napa valley 1989|us|r|cabernet sauvignon|??|??|1989|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon mdv 2016|fr|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon mdv 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon mdv 2021|fr|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon napa valley|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon napa valley 2012|us|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon napa valley 2013|us|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon napa valley 2014|us|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon napa valley 2019|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|cabernet sauvignon vino tinto|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=344
W|dalla valle|collina 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2011|fr|r|??|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=350
W|dalla valle|collina 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=350
W|dalla valle|collina 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=353
W|dalla valle|collina 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina dalla valle cabernet sauvignon napa valley 2017|us|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|collina napa valley red wine|us|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=358
W|dalla valle|maya|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=358
W|dalla valle|maya 1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1990|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco|=361
W|dalla valle|maya 1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1991|fr|r|??|??|??|1991|13.5|??|encorpado|carne vermelha, queijo|seco|=363
W|dalla valle|maya 1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1992|fr|r|??|??|??|1992|13.5|??|encorpado|carne vermelha, queijo|seco|=365
W|dalla valle|maya 1993|fr|r|??|??|??|1993|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1993|fr|r|??|??|??|1993|13.5|??|encorpado|carne vermelha, queijo|seco|=367
W|dalla valle|maya 1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco|=369
W|dalla valle|maya 1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco|=369
W|dalla valle|maya 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=372
W|dalla valle|maya 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=372
W|dalla valle|maya 1995|fr|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco|=372
W|dalla valle|maya 1996|fr|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1996|fr|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|dalla valle|maya 1996|fr|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|dalla valle|maya 1996|fr|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, queijo|seco|=376
W|dalla valle|maya 1997|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 1997|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco|=380
W|dalla valle|maya 1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2000|fr|r|??|??|??|2000|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2006|fr|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2008|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2008|fr|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, queijo|seco|=385
W|dalla valle|maya 2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco|=387
W|dalla valle|maya 2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco|=387
W|dalla valle|maya 2009|fr|r|??|??|??|2009|13.5|??|encorpado|carne vermelha, queijo|seco|=387
W|dalla valle|maya 2010|fr|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=395
W|dalla valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=397
W|dalla valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=397
W|dalla valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=397
W|dalla valle|maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=401
W|dalla valle|maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=401
W|dalla valle|maya 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=404
W|dalla valle|maya 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=406
W|dalla valle|maya 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=406
W|dalla valle|maya 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=409
W|dalla valle|maya 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=409
W|dalla valle|maya cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya napa valley|us|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya napa valley|us|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=413
W|dalla valle|maya napa valley 2014|us|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya napa valley 2018|us|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya proprietary red 1998|fr|r|??|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya proprietary red 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya proprietary red 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya proprietary red 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya red 1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|maya red 2007|fr|r|??|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|mdv cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|mdv cabernet sauvignon 2013|fr|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco|=423
W|dalla valle|mdv cabernet sauvignon 2018 slightly scuffed label|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa cabernet 2021|us|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa cabernet sauvignon 1999|us|r|cabernet sauvignon|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa valley cabernet sauvignon 2011|us|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa valley cabernet sauvignon 2019|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa valley cabernet sauvignon 2020|us|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|napa valley maya 2020|us|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|ornellaia dvo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|ornellaia napa valley dvo 2020|us|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|pietre rosse 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red collina napa valley 2016|us|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red collina napa valley 2017|us|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red collina napa valley 2018|us|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red collina napa valley 2019|us|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red collina napa valley 2020|us|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red maya napa valley 2014|us|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red maya napa valley 2015|us|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|proprietary red maya napa valley 2016|us|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|red blend maya|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon 2012|fr|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon 2014|fr|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon 2018|fr|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon napa valley usa 1998|us|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards cabernet sauvignon napa valley usa 2007|us|r|cabernet sauvignon|??|??|2007|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards collina 2012|fr|r|??|??|??|2012|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya 2013|fr|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya 2014|fr|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=455
W|dalla valle|vineyards maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vineyards maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalla valle|vineyards maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=457
W|dalla valle|vineyards maya 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valle|vinho maya tinto 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla valley|cabernet sauvignon|fr|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla vecchia|aperirosa aperitvo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla vecchia|aperirosa aperitvo 6 x 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalla vigna|al mare|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallancourt champagne|brut blanc de blancs france|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|brut
W|dallancourt iconique|iconique|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
