W|gran legado|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|chardonnay yamhill carlton district|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay yamhill carlton district|??|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=238
W|gran moraine|chardonnay yamhillcarlton|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|chardonnay yamhillcarlton|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=240
W|gran moraine|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|gran moraine|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|gran moraine|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|gran moraine|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|gran moraine|pinot noir 075 ltr|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir|??|r|pinot noir|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=249
W|gran moraine|pinot noir willamette|us|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhill carlton|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhill carlton|??|r|pinot noir|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhill carlton|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhill carlton district|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhill carlton district|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=255
W|gran moraine|pinot noir yamhill carlton district|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhillcarlton|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|pinot noir yamhillcarlton|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|gran moraine|pinot noir yamhillcarlton|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|gran moraine|rose brut yamhillcarlton nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|rose of pinot noir yamhillcarlton district usa|us|p|pinot noir|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran moraine|sparkling rose willamette valley|nz|s|??|willamette valley|willamette valley|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran moraine|vineyard yamhillcarlton pinot noir|??|r|pinot noir|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhill carleton oregon pinot noir|us|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhill carlton brut rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|yamhill carlton chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhill carlton chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=267
W|gran moraine|yamhill carlton chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=208
W|gran moraine|yamhill carlton chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=208
W|gran moraine|yamhill carlton pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhill carlton pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|gran moraine|yamhill pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhillcarlton ava oregon chardonnay|us|w|chardonnay|??|??|nv|12.5|ava|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhillcarlton ava oregon pinot noir|us|r|pinot noir|??|??|nv|13.5|ava|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhillcarlton brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran moraine|yamhillcarlton chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhillcarlton chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhillcarlton chardonnay|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=278
W|gran moraine|yamhillcarlton chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhillcarlton chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|gran moraine|yamhillcarlton pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|gran moravia|padano shaved 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran moravia|parmesan 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran morer|pivol zaro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran mosaic|cava brut|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gran mosaic|cava semi sec|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran nebbiolo|gran nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran nerello|joven|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ombu|blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ombu|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|7 year cristalino extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|7 year extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|gran orendain|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran orendain|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|gran orendain|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|gran orendain|blanco 750 mlt 40|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran orendain|extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gran orendain|extra anejo 7 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|extra anejo 7 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|gran orendain|extra anejo 7 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=307
W|gran orendain|extra anejo cristalino 7 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran orendain|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=311
W|gran orendain|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=311
W|gran orendain|reposado 750 mlt 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pack|6 malbec reserva 6 malbeccab sauvignon alta coleccion|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran padre|anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran padre|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran padre|reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pagliareto|gran pagliareto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pago|de vega|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pago|de vega con caja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pago|de vega con caja de regalo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pareja|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pareja|carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran partita|bio respekt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|monastrell|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|monastrell 14 abv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|monastrell gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|monastrell gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|gran pasas|monastrell gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|gran pasas|monastrell gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|gran pasas|monastrell gold|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|gran pasas|monastrell 6case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|monastrell wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pasas|red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran paso|a paso doble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran paso|a paso doble chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran paso|a paso doble monastrell vegan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passaia|rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passaia|toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passaia|toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=341
W|gran passaia|toscana|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=341
W|gran passaia|toscana igt rosso|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passaia|toscano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passaia|toscano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|gran passione|gran passione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gran passione|botter italy v|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|veneto rosso|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|appassimento rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran passione|bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=352
W|gran passione|friuli grave pinot grigio|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran passione|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran passione|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=355
W|gran passione|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran passione|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=357
W|gran passione|prosecco doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|gran passione|prosecco doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco|=359
W|gran passione|prosecco rosato|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran passione|rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran passione|rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=362
W|gran passione|rosato veneto|it|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gran passione|rosato veneto|it|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=364
W|gran passione|rosato veneto|it|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=364
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|gran passione|rosso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|gran passione|rosso igt veneto|it|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso veneto|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso veneto igt|it|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|rosso veneto igt italy|it|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|sparkling wine nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gran passione|spumante dolce botter|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|gran passione|veneto rosso|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|veneto rosso|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=388
W|gran passione|veneto rosso|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passione|veneto rosso|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|gran passitivo|primitivo appassimento gold|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran passitivo|primitivo appassimento gold|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|gran passitivo|primitivo appassimento gold|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|gran passitivo|primitivo appassimento gold|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|gran passitivo|primitivo appassimento gold|??|r|primitivo|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|gran passo|reserva classico vinho regional lisboa|??|r|??|??|??|2014|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran patron|burdeos patron burdeos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran patron|piedra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran patron|piedra extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran patron|platinum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran patron|smoky|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pavesi|sfogline 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran peromato|gran peromato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pesto|alla genovese tigullio 190g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pezzo|al forno con patate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pinot|noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran plus|ultra chardonnay brut nature|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gran plus|ultra chardonnay brut nature|??|s|chardonnay|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature|=408
W|gran plus|ultra pinot noir|??|r|pinot noir|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ponche|mexicano passion fruit ponche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ponche|mexicano passion fruit ponche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=411
W|gran ponche|mexicano pomegranate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ponche|mexicano pomegranate ponche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gran ponche|mexicano tamarind ponche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran ponche|mexicano tamarind ponche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=416
W|gran porto|cruz 10y|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gran porto|cruz 30y|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gran porto|cruz vintage|??|f|??|??|??|2014|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gran predicat|blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gran predicat|priorat|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran predicat|vinyes centenaries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pregio|coratina bio olivenol extra vergine intensivfruchtiger geschmack flasche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran premio|3 luppoli birra dello stretto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|cabernet franc 750cc|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|coleccion aniversario 750cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|corte 750cc|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|luksus smagekasse argentina|ar|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|merlot 750cc|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|pinot noir 750cc|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran pulenta|pinot noir 750cc|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran punta|negra cabernet franc|??|r|cabernet franc|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|12 40 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|12 40 250|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|18 40 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|24 40 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|40 18 175 gran re|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran re|gran re 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reboreda|gran reboreda|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran recosind|crianza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran resalte|gran resalte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran resalte|gran resalte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=445
W|gran resalte|bodega resalte de penafiel|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran resalte|gran resalte|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran resalte|ribera del duero do|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gran reserva|15 anni|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|18 marques de caceres|es|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|19 marques de caceres|es|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2005|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
