W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vega sicilia valbuena tinto|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vega sicilia pintia tinto|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol vega sicilia macan clasico tinto|it|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ultreia saint jacques mencia tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ultreia godello blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol tinto monteabellon 5m ribera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol tesela clunia syrah y tempranillo tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol sangre de toro tinto 00alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol sangre de toro tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol sangre de toro blanco 00 alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol riscal tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ramon bilbao verdejo blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol ramon bilbao rioja edicion limitada|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ramon bilbao rioja crianza|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol ramon bilbao gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol purgatori tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol protos ribera del duero roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol protos 27|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol pristina tinto tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol pristina blanco tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol pomal reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol pata negra toro roble tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol pata negra toro roble tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=259
W|vino|espanol nebla verdejo blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol mucho mas red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol martin codax lias albarino blanco|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol martin codax lias albarino blanco|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=263
W|vino|espanol marques de riscal verdejo rueda blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol marques de riscal tinto reserva xr|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de riscal tinto reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de riscal tinto gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de riscal rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol marques de riscal finca montico verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol marques de leon bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de caceres tinto reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de caceres tinto reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=272
W|vino|espanol marques de caceres rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol marques de caceres rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=274
W|vino|espanol marques de caceres costanilla rioja tempranillo|es|r|tempranillo|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol marques de caceres costanilla rioja tempranillo|es|r|tempranillo|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=276
W|vino|espanol mara martin godello blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol mara martin godello blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=278
W|vino|espanol luzon tinto coleccion roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol luzon blanco coleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol legado munoz tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol legado munoz macabeo verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol jerez tio pepe|es|r|??|andalucia|jerez|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol hoya de cadenas reserva privada|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol hoya de cadenas reserva privada|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|espanol hoya de cadenas blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol hoya de cadenas blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=287
W|vino|espanol herederos del marques de riscal rioja gran reserva|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol flores de callejo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol faustino vii rioja tempranillo tinto|es|r|tempranillo|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol faustino v rioja reserva tinto|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol faustino rioja icon edition especial tinto|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol don simon blanco chardonnay 1000cc|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol don simon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol cruzares bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo liria tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo liria rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol castillo liria blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo de liria tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo de liria tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=300
W|vino|espanol castillo de liria rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol castillo de liria rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=302
W|vino|espanol castillo de liria reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo de liria reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=304
W|vino|espanol castillo de liria blanco 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo de liria blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol castillo de liria blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=307
W|vino|espanol castilla de liria|es|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol beronia verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=310
W|vino|espanol beronia tempranillo elaboracion especial tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia tempranillo elaboracion especial tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=312
W|vino|espanol beronia rosado tempranillo|??|p|tempranillo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espanol beronia rosado tempranillo|??|p|tempranillo|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=314
W|vino|espanol beronia rioja gran reserva tinto 750cc|es|r|??|rioja|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=317
W|vino|espanol beronia iii ac tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia iii ac tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=319
W|vino|espanol beronia gran reserva 750|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia gran reserva 750|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=321
W|vino|espanol beronia ecologico tempranillo tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia ecologico tempranillo tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=323
W|vino|espanol beronia crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol beronia crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=325
W|vino|espanol arenisca tinta de toro tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espanol analivia rueda verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol albarino pazo de san mauro|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espanol albarino mar de frades|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espaldares late harvest viognier 405cc|??|d|viognier|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|espaldares late harvest rose carmenere 405cc|??|p|carmenere|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espaldares late harvest chardonnay 405cc|??|d|chardonnay|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|espaldares late harvest cabernet sauvignon 405cc|??|d|cabernet sauvignon|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|esp undurraga brut rose royal 750cc|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|esmerilado cabernet sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|esmeralda cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|esencia rural natural rosato waw come prima|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|esencia de habla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|esculle de solabal 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|esculle de solabal 1997|??|r|??|??|??|1997|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escudo de casa real syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escudo de casa real syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=342
W|vino|escudo de casa real carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escudo de casa real carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=344
W|vino|escudo de casa real cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escudo de casa real cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=346
W|vino|escorihuela gascon viognier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon viognier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=348
W|vino|escorihuela gascon tinto malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon the presidents malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon the presidents blend botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon the presidents blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon the presidents blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|escorihuela gascon the presidents blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|escorihuela gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon suavignon blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon sauvignon blanc x750cc caja x6|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon sauvignon blanc botella|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon president malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|escorihuela gascon pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|escorihuela gascon pequenas producciones pinot noir botella|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon pequenas producciones malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon pequenas producciones chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon pack 2bt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon meg blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon meg blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=370
W|vino|escorihuela gascon malbec x|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|escorihuela gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|escorihuela gascon gran reserva pack 2 bt|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=379
W|vino|escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=379
W|vino|escorihuela gascon gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=379
W|vino|escorihuela gascon gran reserva chardonnay|??|w|chardonnay|??|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|escorihuela gascon gran reserva botella|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=385
W|vino|escorihuela gascon cabernet franc botella|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela gascon cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=388
W|vino|escorihuela flia gascon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela flia gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela flia gascon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|escorihuela flia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela flia gascon chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escorihuela flia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela famlia gascon syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela familia gascon torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|escorihuela familia gascon chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|escandalosos blend x 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|es vino rose de malbec 2022|??|p|malbec|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|es vino malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|es vino chardonnay 2023|??|w|chardonnay|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vino|es por aca es por ahi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|erudito reserva especial 2009|??|r|??|??|??|2009|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz villa don maximiano 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz reserva estate sauvignon blanc 12 750cc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|errazuriz reserva estate carmenere 135 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz reserva estate cabernet sauvignon 135 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|errazuriz max sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=410
W|vino|errazuriz max reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva shiraz|??|r|shiraz|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|errazuriz max reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=415
W|vino|errazuriz max reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva chardonnay|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|errazuriz max reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=419
W|vino|errazuriz max reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=421
W|vino|errazuriz max pinot noit 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max merlot 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=424
W|vino|errazuriz max merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max malbec 750cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max malbec 750cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
W|vino|errazuriz max chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|errazuriz max cepas 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max carmenere 750cc x6|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=432
W|vino|errazuriz max carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max cabernet sauvignon 750cc x6|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max cabernet s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz max caberent sauvignon 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz las pizarras syrah 750cc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz las pizarras pinot noir 2014 do aconcagua costa|cl|r|pinot noir|aconcagua valley|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz las pizarras chardonnay 750cc|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|errazuriz la cumbre syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz la cumbre 14 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz kai carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz kai carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=444
W|vino|errazuriz kai carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz kai 14 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz gran reserva aconcagua cuvee cepas 750cc|cl|r|??|aconcagua valley|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz estate reserva carmenere 135 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano founders reserve 2022 750cc|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano founders reserve 2021 750cc|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano founders reserve 2019 750cc|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano cabernet sauvignon 2022 750cc|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano cabernet sauvignon 2 copas|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz don maximiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz corton 1870 syrah 750cc|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz corton 1870 sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|errazuriz corton 1870 chardonnay 750cc|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
