W|glengoyne|cask strength batch 4|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=226
W|glenkinchie|12 year old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 year old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=239
W|glenkinchie|12 year old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=239
W|glenkinchie|12 year single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|glenkinchie|12 years 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years 07ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years 34 ltr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years 43o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|glenkinchie|12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|glenkinchie|12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|glenkinchie|12 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|glenkinchie|12 years old single lowland malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years old single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 years single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=266
W|glenkinchie|12 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12 yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|glenkinchie|12 yrs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|glenkinchie|12y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=280
W|glenkinchie|12yo 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yo 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=290
W|glenkinchie|12yo lowland|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|glenkinchie|12yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|glenkinchie|12yo the edinburgh malt 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yr old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yr old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=297
W|glenkinchie|12yr single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yr single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|glenkinchie|12yrs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|12yrs wbag keychain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|limited edition 20 anos|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|24 yo|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|20 year old cask strength|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|20 years cask strength|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition bot2015|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|24 ars special release 572|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|24 year old|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|24yo release|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 anos special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 ars special release 583|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 year old special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 year old special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|glenkinchie|27 year old special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|glenkinchie|27 year old special release the floral treasure|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 years old special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 years the floral treasure special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 yo special release the floral treasure 583abv|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27 yo special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27y special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27yo diageo special releases 583 wb8715|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27yo special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|27yo special release 583|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|d edition 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|dist collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|dist edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|disted1992 43o|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distiller s edition double matured 43 udsolgt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers bottling note|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|glenkinchie|distillers edition 43 gb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 19922007|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition elegance til 995 dkk|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 20032015 43 pdd|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 20062018|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 20092021|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 20092021 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=352
W|glenkinchie|distillers edition|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=352
W|glenkinchie|distillers edition 43|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|glenkinchie|distillers edition 43 lowland|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition amontillado cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenkinchie|distillers edition amontillado finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenkinchie|distillers edition single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|distillers edition single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=362
W|glenkinchie|distillery edition amontillado cask|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenkinchie|double matured 20052017|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|fassdeckel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|limited edition 12 year old cask strength 587 vol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|malt 12 ar 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|malt 27yr floral treasure ed|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|malt distillers edition|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|the dist edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|the distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|the distillers edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=372
W|glenkinchie|the distillers edition|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|the distillers edition double matured 43 gb|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkinchie|the distillers edition amontillado finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenkinchie12|yr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenkingchie|27 year old special release|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlaird|10 years old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlaird|10yo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlaird|12 years old lightly peated|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlassaugh|22 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlassaugh|evolution|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlassaugh|px sherry wood finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenlassie|blend 3 ani 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlee|12 years old 40 alc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlevit|capt reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|26 year old rare malts|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|44 year old the recollection series 3 gm|??|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|gm|??|r|??|??|??|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|glenlochy|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|26 year old rare malts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlochy|rare malts 25 year old distilled in|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlofty|go cabernet sauvignon pyrenees victoria|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlofty|go cabernet sauvignon pyrenees victoria|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlofty|go shiraz pyrenees victoria australia|??|r|shiraz|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlofty|go shyraz pyrenees victoria|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 ar flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 ars flora fauna collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 jaar flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 year old|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 year old flora and fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 year old flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 year old james eadie single cask 2479 release|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 years 43o ff|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 years flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10 years flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=407
W|glenlossie|10 years flora fauna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=407
W|glenlossie|10 yo ff series speyside single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10y|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10yo flora fauna 43|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10yo release|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|10yo single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=414
W|glenlossie|11yo fragrant drops|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|12 year old 100 proof signatory|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|12y 1batch high proof 603 north star|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|12yo the managers dram 555|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|13 year old adelphi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|14 year old cask 755 the single malts of scotland|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|14 yo 20062021 signatory vintage cask strength 32913302 586|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|15 ars cask strength signatory vintage 582|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|15 yo 20082023 wilson morgan barrel selection px sherry 521|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenlossie|16 anni single malt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|19 years hart brothers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|17 year old connoisseurs choice gordon macphail|??|r|??|??|??|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|16 year old sestante|??|r|??|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|cask ref 3466 berrys|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|smws 4658 24 year old living the high life|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|19932016 22 year old small batch cadenheads 548|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|connoisseurs choice gordon macphail|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|gordon macphails connoisseurs choice|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|imbottigliato nel invecchiato 24 anni connoisseurs choice gordon macphail|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|sv 20 years|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|19972017 20 year old unchillfiltered collection signatory vintage 11371138|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|connoisseurs choice gm|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|connoisseurs choice gordon macphail|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|20072025 18 yo refill barrel 774 smos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|13 year old small batch edition 12 signatory vintage|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|17 year old warehouse tasting festival edition cadenheads 522|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|20082024 15 yo 1st fill px sherry finish|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenlossie|12 year old red wine barriques carn mor strictly limited|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|artist collective 12 year old|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|bbr single csk|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|berry bros rudd wb|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|bottled wilson morgan barrel selection sherry finish 46|??|f|??|??|??|2010|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenlossie|13 yo 599 adelphi selection|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|20122023 11 year old collection plume signatory vintage 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|20122025 12 year old 100 proof edition 35 signatory vintage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|bottled wilson morgan barrel selection 46|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|red wine barrique|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|glenlossie|201323 sherry finish wm|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|glenlossie|20172026 8 yo px sherry cask finish 8950312 the octave duncan taylor|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
