W|francois ducrot|auguste orange vdf 2023|fr|r|??|??|??|2023|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois lamarche|grand cru clos de vougeot 2016|fr|w|??|bourgogne|clos-de-vougeot|2016|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|grand cru clos de vougeot 2016|fr|w|??|bourgogne|clos-de-vougeot|2016|12.5|GRAND CRU|medio|peixe, frutos do mar|seco|=207
W|francois lamarche|grand cru clos de vougeot 2017|fr|w|??|bourgogne|clos-de-vougeot|2017|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|grand cru echezeaux 2016|fr|w|??|bourgogne|echezeaux|2016|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|grand cru echezeaux 2017|fr|w|??|bourgogne|echezeaux|2017|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|grand cru la grande rue 2016|fr|r|??|??|??|2016|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois lamarche|grande rue|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|grande rue cuvee 1959|fr|r|??|??|??|1959|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|grands echezeaux|fr|w|??|bourgogne|echezeaux|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|grands echezeaux grand cru 2005|fr|w|??|bourgogne|echezeaux|2005|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|hautescotes de nuits 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|la grande rue cuvee 1959 2016|fr|r|??|??|??|1959|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|la grande rue grand cru 2005|fr|r|??|??|??|2005|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois lamarche|la grande rue grand cru 2014|fr|r|??|??|??|2014|13.5|GRAND CRU|encorpado|carne vermelha, queijo|seco
W|francois lamarche|nuits saint georges cras|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lamarche|vosne romanee|fr|w|??|bourgogne|vosne-romanee|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|vosne romanee croix rameau|fr|w|??|bourgogne|vosne-romanee|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|vosne romanee malconsorts|fr|w|??|bourgogne|vosne-romanee|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|vosne romanee suchots|fr|w|??|bourgogne|vosne-romanee|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lamarche|vosneromanee 1er cru les chaumes 2016|fr|w|??|bourgogne|vosne-romanee|2016|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|vosneromanee aux malconsort 1er cru 2017|fr|w|??|bourgogne|vosne-romanee|2017|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lamarche|vosneromanee la croix rameau 1er 2016|fr|w|??|bourgogne|vosne-romanee|2016|12.5|??|medio|peixe, frutos do mar|seco
W|francois le saint|calcaire 2022 sancerre white|fr|w|sauvignon blanc|loire|sancerre|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois le saint|calcaire sancerre rouge|fr|w|pinot noir|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois le saint|francois le saint pouillyfume 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois le saint|pouillyfume 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois le saint|sancerre calcaire|fr|w|sauvignon blanc|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois le saint|sancerre calcaire blanc|fr|w|sauvignon blanc|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois le saint|silex 2022 sancerre white|fr|w|sauvignon blanc|loire|sancerre|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois leclerc|gevrey chambertin les corbeaux 1er cru 2020|fr|w|??|bourgogne|gevrey-chambertin|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois leclerc|gevrey chambertin les corbeaux 1er cru 2021|fr|w|??|bourgogne|gevrey-chambertin|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois leclerc|gevrey chambertin les corbeaux 2019|fr|w|??|bourgogne|gevrey-chambertin|2019|12.5|??|medio|peixe, frutos do mar|seco
W|francois lecompte|brut vintage 2015|fr|s|??|??|??|2015|12|??|medio|aperitivos, frutos do mar|brut
W|francois lecompte|extrabrut vintage 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lecompte|pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lecompte|premier cru|fr|r|??|??|??|NV|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois lecompte|premier cru brut millesime|fr|s|??|??|??|NV|12|PREMIER CRU|medio|aperitivos, frutos do mar|brut
W|francois legros|bourgogne rouge 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois legros|chambolle musigny noirots|fr|w|??|bourgogne|chambolle-musigny|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois legros|nuits st georges premier cru la ronciere 2014|fr|r|??|??|??|2014|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois legros|nuitsstgeorges premier cru aux thorey 2015|fr|r|??|??|??|2015|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois legros|premier cru la riotte|fr|r|??|??|??|NV|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois legros|premier cru la riotte vertical|fr|r|??|??|??|NV|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois louis|vuitton cuvee privee du chateau la gaffeliere|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|lumpp|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|2017 givry premier cru a vigne rouge 13|fr|r|??|??|??|2017|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|a vigne rouge|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|bourgogne rouge la paulee 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|clos des vignes rondes givry blanc burgundy france 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1990 damaged label|fr|r|??|??|??|1990|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er crausot rouge 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru a vigne rouge 2018|fr|r|??|??|??|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru a vigne rouge 2020|fr|r|??|??|??|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru a vigne rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru a vigne rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=260
W|francois lumpp|givry 1er cru a vigne rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=260
W|francois lumpp|givry 1er cru a vigne rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru a vigne rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=263
W|francois lumpp|givry 1er cru a vigne rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=263
W|francois lumpp|givry 1er cru a vignes rouge 2023|fr|r|??|??|??|2023|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru blanc crausot 2019|fr|w|??|??|??|2019|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1er cru blanc petit marole 2019|fr|w|??|??|??|2019|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1er cru clos du cras long rouge 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru clos du cras long rouge 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=269
W|francois lumpp|givry 1er cru clos du cras long rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru clos du cras long rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=271
W|francois lumpp|givry 1er cru clos du cras long rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=271
W|francois lumpp|givry 1er cru clos jus rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru clos jus rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=274
W|francois lumpp|givry 1er cru clos jus rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=274
W|francois lumpp|givry 1er cru crausot 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru crausot blanc 2019|fr|w|??|??|??|2019|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1er cru crausot blanc 2020|fr|w|??|??|??|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1er cru crausot blanc 2020|fr|w|??|??|??|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=279
W|francois lumpp|givry 1er cru crausot blanc 2022|fr|w|??|??|??|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry 1er cru crausot blanc 2022|fr|w|??|??|??|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=281
W|francois lumpp|givry 1er cru crausot blanc 2022|fr|w|??|??|??|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=281
W|francois lumpp|givry 1er cru crausot rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru crausot rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=284
W|francois lumpp|givry 1er cru crausot rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=284
W|francois lumpp|givry 1er cru la brulee rouge 2018|fr|r|??|??|??|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru la brulee rouge 2018|fr|r|??|??|??|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=287
W|francois lumpp|givry 1er cru le pied du clos rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru petit marole rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru petit marole rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=290
W|francois lumpp|givry 1er cru petit marole rouge 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=290
W|francois lumpp|givry 1er cru rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=293
W|francois lumpp|givry 1er cru rouge clos jus rouge|fr|r|??|??|??|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge crausot 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge la brulee 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge le pied du clou 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge petit marole 2019|fr|r|??|??|??|2019|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er cru rouge petit marole 2022|fr|r|??|??|??|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er petit marole rouge 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry 1er petit marole rouge 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry a vigne rouge 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry a vigne rouge 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry blanc 2021|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc 2021|fr|w|??|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco|=305
W|francois lumpp|givry blanc clos des vignes rondes 2019|fr|w|??|??|??|2019|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc clos des vignes rondes 2020|fr|w|??|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc clos des vignes rondes 2020|fr|w|??|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco|=308
W|francois lumpp|givry blanc clos des vignes rondes 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc clos des vignes rondes 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=310
W|francois lumpp|givry blanc clos des vignes rondes 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=310
W|francois lumpp|givry blanc petit marole premier cru 2019|fr|w|??|??|??|2019|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc petit marole premier cru 2023|fr|w|??|??|??|2023|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc teppe des cheneves 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois lumpp|givry blanc teppe des cheneves 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=315
W|francois lumpp|givry blanc teppe des cheneves 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco|=315
W|francois lumpp|givry clos du cras long 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry premier cru clos jus 1998|fr|r|??|??|??|1998|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois lumpp|givry rouge crausot 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|petit marole|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|petit marole 2016|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lumpp|teppe des cheneves rouge 2023 givry|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|lurton|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|alka carmenere|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|alka carmenere|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=325
W|francois lurton|atelier humo blanco carmenere|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|atelier humo blanco syrah viognier|fr|w|syrah, viognier|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|bodega piedra negra|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|bodegas campo eliseo rueda 2019|es|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|chateau des erles cuvee des ardoises 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|clos de lolol blanco|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|clos de lolol mezcla tinta|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|clos de lolol mezcla tinta|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=333
W|francois lurton|cotes de gascogne fumees blanches reserve 2024 blanc|fr|w|??|??|??|2024|12.5|RESERVE|medio|peixe, frutos do mar|seco
W|francois lurton|domaine les salices chardonnay 2024|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|fumees blanches 2023 sauvignon blanc|fr|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|fumees blanches rose 2023|fr|p|??|??|??|2023|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|fumees blanches sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|fumees blanches sauvignon blanc 2022|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|gran lurton 2022 cs|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|hacienda araucano alka carmenere 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|hacienda araucano clos de lolol tinto 2015|fr|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|hacienda araucano gran araucano cabernet sauvignon 2022|fr|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|hacienda araucano gran araucano cabernet sauvignon lolol chile 2020|cl|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|humo blanco cabernet franc|fr|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|humo blanco cabernet franc|fr|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=346
W|francois lurton|humo blanco ed limitada sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|humo blanco ed limitada syrah|fr|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|humo blanco edi ltda pn|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|humo blanco edicion limitada chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|humo blanco edicion limitada sauvignon blanc 2022|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|humo blanco organico sauvignon blanc 2023|fr|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|la la la tinto organico|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|la mule melody gros mansengsauvignon 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|la mule rose 2021|fr|p|??|??|??|2021|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|la mule rose 2024|fr|p|??|??|??|2024|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|les fumees blanches|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|les fumees blanches 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|les fumees blanches 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=359
W|francois lurton|les fumees blanches sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|les fumees blanches sauvignon blanc|fr|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=361
W|francois lurton|les fumees blanches vin orange|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|les fumees rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|les fumees sauv blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|les hauts de janeil 2021 syrahgrenache igp cotes catalanes red blend|fr|r|syrah, grenache|??|??|2021|13.5|IGP|encorpado|carne vermelha, queijo|seco
W|francois lurton|les hauts de janeil rose 2021|fr|p|??|??|??|2021|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|les salices pinot noir 2021|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|les salices viognier|fr|w|viognier|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|les salices viognier|fr|w|viognier|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=369
W|francois lurton|les salices viognier|fr|w|viognier|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=369
W|francois lurton|mas janeil le petit pas 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|mas janeil le petit pas blanc 2024|fr|w|??|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|mas janeil le petit pas rouge 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|mas janeil le petit pas rouge 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|piedra negra reserva malbec|fr|r|malbec|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|francois lurton|sorgin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|terres fumees merlot 2024|fr|r|merlot|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|terres fumees merlot 2025|fr|r|merlot|??|??|2025|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois lurton|terres fumees rose 2025|fr|p|??|??|??|2025|13.5|??|medio|frutos do mar, saladas|seco
W|francois lurton|terres fumees sauvignon blanc 2024|fr|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|francois lurton|une espumante rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois martenot|bourgogne aligote|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|bourgogne chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois martenot|bourgogne hautes cotes de beaune|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|bourgogne pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|chablis|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois martenot|chablis|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=387
W|francois martenot|chablis 1er cru|fr|w|chardonnay|??|??|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois martenot|colin barollet bourgogne pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|colin barollet bourgogne pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=390
W|francois martenot|colin barollet chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois martenot|colin barollet chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=392
W|francois martenot|colin barollet montagny 1er cru les bouchots 2024|fr|r|??|??|??|2024|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois martenot|colin barollet savigny les beaune 1er cru 2018|fr|r|??|??|??|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois martenot|colin barollet savigny les beaune 1er cru 2018|fr|r|??|??|??|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=395
W|francois martenot|colin barollet savigny les beaune 1er cru 2020|fr|r|??|??|??|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois martenot|colin barollet savigny les beaune 1er cru 2021|fr|r|??|??|??|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois martenot|colin barollet savignylesbeaune 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|coteaux bourguignons|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|cremant de bourgogne|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois martenot|cremant de bourgogne|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=401
W|francois martenot|cremant de bourgogne 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut
W|francois martenot|cremant de bourgogne brut 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut
W|francois martenot|cremant de bourgogne brut 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut|=404
W|francois martenot|cremant de bourgogne brut 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut|=404
W|francois martenot|cremant de bourgogne brut 2023|fr|s|??|??|??|2023|12|??|medio|aperitivos, frutos do mar|brut|=404
W|francois martenot|cremant de bourgogne brut rose 2022|fr|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|brut
W|francois martenot|cremant de bourgogne brut rose 2022|fr|s|??|??|??|2022|12|??|medio|aperitivos, frutos do mar|brut|=408
W|francois martenot|cremant de bourgogne rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois martenot|hautes cotes de nuits|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|hauts cotes de beaune|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|macon villages|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|nuits st george|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois martenot|petit chablis|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois martenot|petit chablis les ammonites|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois martinot|charles dufour champagne extra brut bistrotage b19|fr|s|??|champagne|champagne|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|francois maudet|malice 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
