W|lammidia|miscela bianco 20 abruzzo|it|r|??|abruzzo|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lami du|chambertin 250g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lami|des crustaces gustave lorentz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamfora del|mar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamezia|rosso vini di calabria doc|??|r|??|??|??|1971|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamezia|rosso vegano statti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamezia|rosato vegano statti|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lamezia|doc|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamezia|bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lames|jetables venus simply basic 31uni|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lames de|rasage gillette platinum 5 lames|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lames de|rasage gillette fusion 5 power|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamericana|campania greco tenuta vincenzo nardone|it|r|??|campania|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamericana|lamericana|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamericana|lamericana|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=247
W|lamericana|lamericana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamericana|lamericana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=249
X
X
X
X
W|lamer|biere|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamento|lo ocurrido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamen|nissin miojo instantaneo galinha caipira pacote 510g c 6 unidde80g cada leve pague|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamen|instantaneo oriental karui legumes 78g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamen|instantaneo oriental karui galinha caipira 78g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamelles de|truffe dete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamellen|lamellen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamelle|il borro toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lamelle|igt toscana|it|r|??|toscana|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lamelle di|tartufo estivo 50 g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamelle|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lamelle|blanc bio igt tenuta il borro|??|r|??|??|??|2023|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lamelle|lamelle|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamella|shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lameiro|branco|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lameiro|branco|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lameillaud|vdp principaute dorange|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lameillaud|cotes du rhone villages cairanne|fr|r|??|rhone|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|sur syrah de seyssuel domaine stephane ogier|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lame|sur stephane ogier domaine stephane ogier|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|sur stephane ogier domaine stephane ogier|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|malbec|??|r|malbec|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lame|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lame|halter gown 353 gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|forest pouillyfuisse|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame du|vin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|deslisle boucard cuvee prestige|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|des pins|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|des pins|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|des pins|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=283
W|lame|des dannots|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle bouchard bourgueil prestige|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard vieilles vignes bourgueil|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard vieilles vignes bourgueil|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=287
W|lame|delisle boucard nom de zeus touraine cabernet franc|??|r|cabernet franc|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard domaine des chesnaies bourgueil cuvee prestige|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard cabernet franc nom de zeus|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard brunetieres bourgeuil|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard bourgueil vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard bourgueil vieilles vignes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=293
W|lame|delisle boucard bourgueil vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard bourgueil vieilles vignes|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=295
W|lame|delisle boucard bourgueil cuvee prestige|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard bourgueil cuvee prestige|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|delisle boucard bourgueil cuvee prestige|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame del|sorbo tintilia del molise doc rosato bio|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lame del|sorbo tintilia del molise doc bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame del|sorbo tintilia del molise|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame del|sorbo sauvignon del molise doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame del|sorbo riesling igt bio|??|w|riesling|??|??|NV|12.5|igt|medio|peixes; frutos do mar; aves|seco
W|lame del|sorbo merlot del molise doc bio|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement grave blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement blanc lame de pape clement blanc|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement valkoinen aoc graves|??|r|??|??|??|2023|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement punaviini aoc graves|??|r|??|??|??|2020|13.5|aoc|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|pape clement|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=311
W|lame de|la terre millesime|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|la terre extra brut|??|s|??|??|??|2010|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|lame de|la terre extra brut|??|s|??|??|??|2008|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|lame de|la terre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|fond chenin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|familongue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame de|familongue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=318
W|lame de|premier cru extra brut|??|s|??|??|??|2015|12|premier cru|leve|aperitivos; frutos do mar; canapes|extra brut
W|lame|bleue sans contrefacon nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|bleue kozmic blue|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|bleue kozmic blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|bleue gypsy queen rouge roussillon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lame|bleue gypsy queen blanc roussillon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamda|lamda|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamda|lamda|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=326
W|lamda|lamda|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamda|kitma ligas assyrtiko|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambweston|twister fries seasoned|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambweston|rustic fries|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambweston|fries 1111 716 10kg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambweston|frenzy fries rosemary seasalt|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambweston|frenzy fries natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lamburusco|blanco cavicchioli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|vinas viejas ribera del duero do|es|r|??|ribera del duero|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|vinas viejas ribera del duero|es|r|??|ribera del duero|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|vinas viejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|tinto roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|rosado ribera del duero|es|p|??|ribera del duero|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambuena|roble bodegas lambuena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|roble 9 meses magnum|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|roble ribera del duero do|es|r|??|ribera del duero|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|roble ribera del duero|es|r|??|ribera del duero|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|reserva bodegas lambuena|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|reserva ribera del duero do|es|r|??|ribera del duero|??|2019|13.5|reserva|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|crianza bodegas lambuena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|crianza ribera del duero do|es|r|??|ribera del duero|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambuena|crianza ribera del duero|es|r|??|ribera del duero|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambskin|slippers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambskin house|shoes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|spiced|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|spiced|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=352
W|lambs|navy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|navy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=354
W|lambs|navy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=354
W|lambs|lettuce from portugal|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lambs|lettuce from italy organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|lettuce from france pic vert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|lettuce from france organic|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|lettuce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|head|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|genuine navy spirit drink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambs|ear grey green artificial flowers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambruso di|sorbara secco dopsettecani lt 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambruscone|reggio emilia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lambruscone|folicello emilia romagna italy|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambruscone|by il folicello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambruscone|lambruscone|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambruscone|lambruscone|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vittorio emanuelle amabile tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vittorio emanuelle amabile rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|vittorio emanuelle amabile branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|villa giada amabile tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|villa giada amabile branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|villa fabrizia tinto dellemilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|villa fabrizia branco dellemilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vigna del cristo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vianti tradizione|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vianti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|via mirella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vellutato cuvee rouge 3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vecchio moro rinaldini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vecchio moro igt rinaldini|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vecchio moro azienda agricola rinaldini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|vecchio moro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tribbiani dellemilia rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|to you igt ceci|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|to you igt ceci|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco|=388
W|lambrusco|to you bottiglia lavagna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|to you|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto italiano casa ronaldi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto italiano casa ronaldi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto dell emilia igt orlotti|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto courmayeur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto courmayeur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=395
W|lambrusco|tinto chiarelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto cavicchioli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|terre verdiane rosu sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|terre verdiane 1813 igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|terre verdiane|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|terra calda rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|tasso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|superiore cantine riunite magnum rotwein wein italien 6 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|superiore cantine riunite magnum rotwein wein italien 4 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|superiore cantine riunite magnum rotwein wein italien 2 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|suess|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|spumante rosato dop ca del vento|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|spumante nature marcello|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|spumante millesimato nero marcello ariola|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|spumante metodo classico rose brut cantina della volta|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|spumante marcello millesimato emilia igt|??|s|??|??|??|2020|12|igt|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|spumante dry gran cru marcello|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|spumante brut trentasei|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|spumante brut rose igt corte manzini|??|s|??|??|??|NV|12|igt|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|spumante brut rose di modena metodo classico doc cantina della volta|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|spumante brut rose di modena metodo classico doc cantina della volta|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut|=417
W|lambrusco|spumante brut rose di modena metodo classico doc cantina della volta|??|s|??|??|??|2018|12|??|leve|aperitivos; frutos do mar; canapes|brut|=417
W|lambrusco|spumante bruno brut emilia igt|??|s|??|??|??|NV|12|igt|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|sorbello tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|sorbello rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|sorbello branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|sorbara rose corte attimi fiorini|??|p|??|??|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|sorbara rose corte attimi fiorini|??|p|??|??|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|sorbara doc campogrande ml 750 cod ben04|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|sorbara doc araldico campogrande ml 750 ben07|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|sorbara ciso doc cantina divinja|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|solco paltrinieri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|solco il paltrinieri emiliaromagna italy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|sogno italiano frizzante amabile rosso|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|sogno italiano frizzante amabile bianco|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|selezione oro reggiano doc bertolani ml 750 cod brl03|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|seco rosso del emilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco tenuta coccapane|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco passanello le origini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco passanello le origini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=436
W|lambrusco|secco grasparossa di castelvetro doc az agricola villa di corlo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco fiorini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco fiorini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=439
W|lambrusco|secco doc reggiano cantine riunite|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco dellemilia igt terre verdiane ceci|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco becco rosso fiorini grasparossa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco becco rosso fiorini grasparossa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=443
W|lambrusco|secco 27 opere igt czerwone ceci|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco 27 opere igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco 1813 terre verdiane cantine ceci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|secco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=448
W|lambrusco|scuro 910 igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|ruberti villa picta|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|roze 27 opere cantina ceci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rouge doux fiamma damore 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosu 27 opere cantina ceci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso venturini baldini montelocco bio|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso sogno italiano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso rose di bacco amabile|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosso ognigiorno emilia igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso labrusca nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso igt emilia|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso frizzante to you cantine ceci|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|rosso frizzante otello cantine ceci|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|rosso frizzante podere magia|??|s|??|??|??|2019|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|rosso emiliaromagna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso emilia igt dolce vino frizzante|??|s|??|??|??|NV|12|igt|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|rosso emilia igt dolce|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso emilia giacondi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso dolce dell emilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
