W|do|porto ceremony ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|cordero con piel de lobo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=231
W|cordero con piel de lobo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=231
W|cordero con piel de lobo|gran malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo chardonnay mosquita muerta|muerta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cordero con piel de lobo chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cordero con piel de lobo chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=236
W|cordero con piel de lobo cabernet sauvignon|2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=239
W|cordero con piel de lobo bonarda mosquita muerta|muerta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo|blend de blancas 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero con piel de lobo|blanco de blancas mosquita muerta|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cordero con piel de lobo|blanco de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cordero com piel de lobo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordero com piel de lobo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=246
W|cordero com piel de lobo cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordelier|rose merlot|??|p|merlot|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cordelier|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|cordelier pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordelier pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=251
W|cordelier equilibrium|equilibrium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordelier cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cordelier cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=254
W|cordelier cabernet franc|reserva|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|corbelli sangiovese puglia|igt|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli sangiovese puglia|puglia|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli primitivo puglia|igt|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli primitivo puglia|igt|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=260
W|corbelli primitivo puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli primitivo puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=262
W|corbelli primitivo di puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli primitivo|primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli primitivo|primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=265
W|corbelli pinot grigio terre siciliane|igt|it|w|pinot grigio|sicilia|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|corbelli pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|corbelli pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=268
W|corbelli pinot grigio|grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=268
W|corbelli nero davola sicilia|doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli nero davola|davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli nero davola|davola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=272
W|corbelli nero d avola|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli montepulciano dabruzzo|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli montepulciano d abruzzo|abruzzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli montepulciano d abruzzo|abruzzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=276
W|corbelli montepulciano|montepulciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli|chianti docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco|=279
W|corbelli|chianti|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|corbelli blush pinot grigio|rose igt|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|corbelli blush pinot grigio|rose igt|??|p|pinot grigio|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=282
W|coragem touriga nacional|nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|coragem touriga nacional|nacional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=284
W|coragem|regional lisboa|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|coragem chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|convento da vila|vila|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|conti zecca terra aglianico del salento|igp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|conte di campiano primitivo di|manduria riserva 66|it|r|primitivo|puglia|manduria|NV|13.5|DOP|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur|especial syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cono sur ocio pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur bicicleta sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cono sur bicicleta sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=293
W|cono sur bicicleta pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cono sur bicicleta pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=295
W|cono sur bicicleta pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur bicicleta merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur bicicleta chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cono sur bicicleta carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur bicicleta cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur 20 barrels limited|edition pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cono sur 20 barrels limited|edition cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|connetable de talbot|talbot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|condesa de leganza tempranillo leve 3 pague 2 kit pronto|pronto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|condesa de leganza tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|condes de barcelos|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|conde dervideira private selection|selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|conde de vimioso|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
X|=141
W|columbia crest|grand estates syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|columbia crest|grand estates syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=311
W|columbia crest|grand estates merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|columbia crest|grand estates chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|columbia crest|grand estates cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colosso wines|rose cofermentado|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|colosso wines indomable blanc de malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colonia las liebres bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colon selecto malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colon selecto cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colome torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colome torrontes|torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=321
W|colome lote especial malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colome autentico malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colome autentico malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=324
W|colome altura maxima malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|collina|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|collina|tinto seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colli martani rosso|doc collezione|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colibri syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|colibri|rose syrah|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|colibri chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|codici puglia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|codici puglia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=333
W|codici puglia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|codici puglia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=335
W|codici primitivo puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|codici masserie negroamaro puglia|puglia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|codici masserie fiano puglia|puglia|??|w|fiano|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cobos reptil malbec 750ml|750ml|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cobos felino malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cobos felino malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=341
W|cobos felino malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=341
W|cobos felino malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=341
W|cobos felino malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=341
W|cobos felino chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cobos felino chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=346
W|cobos felino chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=346
W|cobos felino cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cobos felino cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=349
W|cobos felino cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=349
W|cobos felino cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=349
W|cobos cocodrilo malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cobos cocodrilo corte|corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|coastal|estates chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cloud break zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cloud break zinfandel|zinfandel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=356
W|cloud break chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|clos lapeyre jurancon sec blanc|blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos floridene|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos du lican syrah|2022 do apalta|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos du lican syrah|2020|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos du lican|2021 do apalta|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos de los siete by michel rolland|rolland|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos de los siete|siete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos de los siete|siete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=365
W|clos apalta|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos apalta|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=367
W|clos apalta|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos apalta|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos apalta|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos apalta|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clos apalta|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=372
W|clo|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|claude val|rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|claroscuro malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|clarete chiaretto|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|circus red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|circus red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=378
W|circus cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ciconia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ciconia|alentejo tinto|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|chryseia|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chryseia|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=383
W|chozas carrascal las ocho|ocho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chozas carrascal las dosces|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chozas carrascal cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chozas carrascal anma|anma|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chorinho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chocalan|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chipre|tinto plakota|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chipre|branco spourtiko|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|chipre|branco alina|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|chileno vik a carmenere|tinto|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno viejo feo|sauvignon blanc mega oferta|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|chileno viejo feo|pinot noir mega oferta|cl|r|pinot noir|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno viejo feo pinot noir|rose mega oferta|cl|p|pinot noir|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|chileno ventisquero|red blend|cl|r|??|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno ventisquero|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|chileno ventisquero|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno undurraga u carmenere|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno undurraga u cabernet sauvignon|sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno undurraga cab sauv|sauv|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno torreon de paredes chardonnay|2017|cl|w|chardonnay|valle central|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|chileno torreon de paredes carmenere|2014|cl|r|carmenere|valle central|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno torreon de paredes cabernet sauvignon|2012|cl|r|cabernet sauvignon|valle central|??|2012|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno tolva merlot|rose|cl|p|merlot|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|chileno|tinto syrah reserva vuelo|cl|r|syrah|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto syrah montes alpha|cl|r|syrah|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto syrah gran reserva casas patronales|cl|r|syrah|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto suave descolado|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|chileno|tinto seleccion de parcelas carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto seco cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto santa loreto classic cabernet sauv|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto ravanal ovation 50 anos syrah|cl|r|syrah|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto molinero malbec|cl|r|malbec|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto meio seco reservado merlot valle central|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto meio seco mi pueblo carmenere valle central|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto epu|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto camernere maipo|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto cabernet sauvignon gran reserva casas patronales|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto almare cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno|tinto almare cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=422
W|chileno terrunyo sauvignon blanc|blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|chileno terrunyo carmenere|carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno tarapaca|cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno tantehue sauvignon blanc|blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|chileno tantehue chardonnay|chardonnay|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
X|=141
W|chileno tabali pedregoso malbec|gran reserva|cl|r|malbec|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno sol de|chile rose syrah|cl|p|syrah|valle central|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|chileno sol de|chile merlot|cl|r|merlot|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno sol de|chile carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno sol de|chile carmenere|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=433
W|chileno sol de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno sol de|chile cabernet sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=435
W|chileno sibaris|carbernet sauvignon undurraga tinto|cl|r|??|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno sauvignon blanc|vuelo|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|chileno santa rita 120 sauvignon c 4 unid|unid|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|chileno santa helena reservado sauvignon blanc|blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|chileno santa helena reservado merlot|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno santa helena reservado carmenere|carmenere|cl|r|carmenere|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno santa helena reservado cabernet sauvignon|sauvignon|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno santa helena cabernet sauvignon reservado|tinto|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno santa ema select terroir|merlot|cl|r|merlot|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|chileno santa ema|cabernet sauvignon 60 merlot 40|cl|r|cabernet sauvignon|valle central|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
