W|vinho|tinto holminhos 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto habemus papam chateauneufdupape 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guy anderson anciano valdepenas classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guri pinot noir bebber|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gulfi rossojbleo terre siciliane nero davola|??|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gulfi reseca etna nerello mascalese|??|r|nerello mascalese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gulfi nerosanlore terre siciliane nero davola|??|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gulfi neromaccarj terre siciliane nero davola|??|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gulfi nerojbelo terre siciliane nero davola|??|r|??|sicilia|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guigal coterotie la turque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guigal coterotie la turque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=216
W|vinho|tinto guidalberto san guido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guatambu lendas do pampa tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guaspari vista da serra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guaspari vale da pedra syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guaspari terroir pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guaspari porcellino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guaravera suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto guado al tasso antinori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grus alcohuaz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gritos estate cabernet franc bodegas otero ramos|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grimaudes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grifo vinhas velhas 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grifo reserva 2019|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grifo magnum 1 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grifo grande reserva 2017|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grifo 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey syrah 2022|??|r|syrah|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey single block glacier gcm 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey single block glacier carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey single block glacier cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey carmenere 2021|??|r|carmenere|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grey cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto greppicante bolgheri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grenache noir paul mas|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grenache l artisan paul mas|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego zacharias nemea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego nemea grande reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego mega spileo cuvee iii|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego cavino nemea grande reserve agiorgitiko|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego cavino nemea agiorgitiko|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego cavino naoyssa xinomavro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grego cavino ionos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto greg norman california estates cabernet 2009|us|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto great expectations crane merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gravuras do coa reserva 2022|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gravuras do coa reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gravuras do coa porto tawny|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto gravuras do coa porto ruby|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto gravuras do coa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gravel quarry glen carlou|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gravas del maipo cabernet sauvignon 2016|cl|r|cabernet sauvignon|maipo valley|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grauwacke ahrweiler spatburgunder 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grape angel premium merlot rara neagra|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grape angel premium merlot codrinschi 2022|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grape angel premium cabernet sauvignon feteasca neagra 2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grape angel premium cabernet sauvignon feteasca neagra|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grape angel premium cabernet sauvignon feteasca neagra|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=264
W|vinho|tinto grao vasco 2023 dao|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grao vasco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto granja amareleja reserva magnum 1|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto granja amareleja reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto granja amareleja oak moreto 2015 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto granja amareleja moreto pefranco 2015 alentejo|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto granja amareleja grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grange daniel vin de pays rouge 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grandes quintas vinhas do cerval 2015 douro|pt|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grandes quintas reserva 2021 doc douro|pt|r|??|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grandes quintas reserva 2020 douro|pt|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande vadio 2017 bairrada|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande trinca bolotas 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande trinca bolotas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande reserva quinta dos castelares 2020 doc douro portugal|pt|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande druida 2020 dao doc|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande discordia 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grande annee millon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand reserva malbec 137 tonel|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand napa vineyards reserve merlot 2011|??|r|merlot|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand estates merlot 2014|??|r|merlot|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand cru loco sagrada caballo loco|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand cru loco sagrada caballo loco|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??|=287
W|vinho|tinto grand cru limari caballo loco|cl|r|??|limari valley|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand cru limari caballo loco|cl|r|??|limari valley|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??|=289
W|vinho|tinto grand cru clos de menuts st emilion kosher vegano|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto grand cru apalta caballo loco|cl|r|??|colchagua valley|apalta|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand cru apalta caballo loco|cl|r|??|colchagua valley|apalta|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??|=293
W|vinho|tinto grand bateau rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand bateau 2022 bordeus franca|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grand bateau 2014 bordeus|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran villalobos cabernet sauvignon casa valduga|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran via marques del turia monastrell shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran toqui syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran toqui cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran terroir corte raizes casa valduga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran tarapaca reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran syrah casa soncini|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran susumaniello salento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva pinot noir casa valduga|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva merlot vaccaro|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva marques de riscal|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva marques de caceres|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva malbec phebus|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva luis canas|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva identidade corte casa valduga|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva etiqueta azul tarapaca|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva etiqueta azul tarapaca|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=313
W|vinho|tinto gran reserva cuvee 2018 cornellana|??|r|??|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva cuvee 2018 cornellana|??|r|??|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=315
W|vinho|tinto gran reserva cuvee 2018 cornellana|??|r|??|??|??|2018|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=315
W|vinho|tinto gran reserva carignan unico de chile vale de curico|cl|r|??|curico valley|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva blend expreso bodeguero|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva atmosphere cohiba|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran reserva arzuaga|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran raizes corte casa valduga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran moraine pinot noir yamhillcarlton 2018 willamette valley or eua|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran malbec alta yari|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran gualtallary el enemigo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran gualtallary el enemigo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=326
W|vinho|tinto gran fortissimo alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran fortissimo alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=328
W|vinho|tinto gran enemigo single vineyard gualtallary 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo gualtallary cabernet franc 2021|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo gualtallary|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo gualtallary|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=332
W|vinho|tinto gran enemigo el cepillo cabernet franc 2021|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo chacayes cabernet franc 2016|??|r|cabernet franc|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo chacayes 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo blend 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo blend 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??|=337
W|vinho|tinto gran enemigo agrelo cabernet franc 2017|??|r|cabernet franc|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo agrelo cabernet franc 2016|??|r|cabernet franc|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran enemigo agrelo 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran duca chianti docg limited edition 2020|it|r|??|toscana|chianti|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran corte vii pulenta estate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran corte alta yari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran coronas familia torres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran cordero con piel de lobo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran cordero con piel de lobo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=346
W|vinho|tinto gran bodega bonardamalbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran arzuaga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gran arzuaga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=349
W|vinho|tinto gran alma negra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grambeira reserva 2022|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grainha reserva magnum 2022 1 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grainha reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto grafite churchills estates 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto graffiti malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto graffiti cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto graca 28|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gr10 vino de la sierra de gredos 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gr10 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto governo rosso toscano 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto governo di castellare|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goutte dargent chardonnay 2023|??|w|chardonnay|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vinho|tinto gonzalo guzman garboso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto golde kaan pinotage 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gold bordo rose del grano|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vinho|tinto goichot freres bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goichot freres bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=367
W|vinho|tinto goes tradicao bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes tradicao bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=369
W|vinho|tinto goes tradicao bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=369
W|vinho|tinto goes tradicao bordo suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=369
W|vinho|tinto goes tradicao bordo seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes tradicao bordo seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vinho|tinto goes tradicao bordo seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vinho|tinto goes tradicao bordo seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vinho|tinto goes suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes concreto cabernet franc e syrah|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes 2000 blend cabernet franc tannat malbec|??|r|cabernet franc|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes 2000 blend 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto goes 2000 blend 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=380
W|vinho|tinto goes 2000 blend 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=380
W|vinho|tinto go up red blend reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto go up carmenere reserva 2021|??|r|carmenere|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gloria reynolds art tradition 2014 alentejo|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gloria reynolds 2013 alentejo|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto glen carlou pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto glen carlou petite classique|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto glen carlou grand classique|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto glen carlou cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giz vinhas velhas bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giz vinhas velhas 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giz vinhas velhas 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giz vinha das cavaleiras 2020 bairrada|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto givry terroir de marnes 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto givry terroir de marnes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giuseppe campagnola amarone della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giuseppe campagnola amarone della valpolicella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=397
W|vinho|tinto giulio straccali|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gitano mil demonios blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gimenez mendez tannat gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gimenez mendez reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gimenez mendez las brujas reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gimblett gravels the gimblett trinity hill|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gimblett gravels syrah trinity hill|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gigondas frances jacques dunay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gigondas clos derriere vieille 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gigondas brunel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gigondas aux lieux dits 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giaretta cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni masciarelli montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni masciarelli montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=418
W|vinho|tinto gianni gagliardo serre barolo riserva 2006 piemonte italia|it|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo preve barolo riserva 2005 piemonte italia|it|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo paulin dolcetto dalba doc 2021 la morra italia|it|r|dolcetto|??|??|2021|13.5|doc|medio|carnes vermelhas; queijos curados|doce
