W|goldene|rose sudtirol|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goldrainforesthop|3 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldregen|goldregen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldrenette|von blenheim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldriesling|goldriesling|??|w|riesling|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldriesling|qualitatswein trocken weingut schloss proschwitz|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldriesling|qw trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldriesling|sachsen dqw|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldrieslingelbling|trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldringe|400gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschatz|oliver zeter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschatz|tba weingut zeter pfalz|de|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschild|feinherb riesling mosel moselland|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschild|riesling spatlese mosel moselland|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschild|urziger wurzgarten riesling kabinett mosel moselland|de|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
S
W|goldschlager|cinnamon schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
S
S
S
S
S
W|goldschlagger|cinnamon schnps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|oakville cabernet sauvignon single vineyard selection|??|r|cabernet sauvignon|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|boulder bank sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|boulder bank sauvignon blanc marlborough|nz|w|sauvignon blanc|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|cab sauv yardstick|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|cabernet sauvignon forefathers|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|cabernet sauvignon yoeman vineyard alexander valley ca usa|us|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|chard res singing tree|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|chardonnay singing tree|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|chardonnay singing tree|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|charming creek cab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|chelsea merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|chelsea merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|goldschmidt|chelsea merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|goldschmidt|chelsea merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|goldschmidt|chelsea merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|goldschmidt|chelsea merlot 23|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity crazy creek estate red alexander valley|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity railyard vineyard zinfandel alexander valley|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|goldschmidt|fidelity red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|fidelity red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|goldschmidt|fidelity red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|goldschmidt|fidelity red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|goldschmidt|fidelity zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|forefathers cab sauv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|forefathers cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|forefathers cabernet sauvignon alexander valley lone tree vineyard|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|forefathers sauv blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|founders reserve cabernet|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|founders reserve cabernet|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=285
W|goldschmidt|game ranch cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|game ranch cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=287
W|goldschmidt|hilary cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|hilary cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|hilary cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=290
W|goldschmidt|hilary cabernet sauvignon charming creek vineyard|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|hilary charming creek cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|katherine cab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|katherine cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|katherine cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=295
W|goldschmidt|katherine cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|katherine cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=297
W|goldschmidt|katherine cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=297
W|goldschmidt|katherine stonemason hill cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|katherines vineyard cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|merlot chelsea|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|merlot chelsea|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|goldschmidt|oakville cabernet sauvignon|??|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|plus single vineyard selection cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|plus single vineyard selection game ranch cabernet sauvignon oakville|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|singing tree chard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|singing tree chard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=308
W|goldschmidt|singing tree chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|singing tree chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=310
W|goldschmidt|singing tree chardonnay dutton ranch|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|singing tree chardonnay russian river valley|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|singing tree dutto chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|single vineyard selection|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|single vineyard selection yoeman cabernet sauvignon alexander valley|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard hilary goldschmidt charming creek cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard cabernet sauvignon game ranch oakville|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard cabernet sauvignon game ranch oakville|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=318
W|goldschmidt|vineyard cabernet sauvignon luke|gb|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard cabernet sauvignon plus game ranch oakville|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard cabernet sauvignon yoeman vineyard alexander valley|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyard singing tree chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|vineyard stonemason hill katherine cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards plus game ranch cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards embankment reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards fidelity railyard vineyard zinfandel|??|r|zinfandel|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards katherine cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards singing tree chardonnay russian river valley california|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldschmidt|vineyards the counselor cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|vineyards ultimatum double rock cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|yard stick cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|yoeman cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschmidt|yoeman cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldschnee|zimt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldset|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsmith|goldsmith|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsmith|1st series|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsmith|1st series|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|goldsmith|2nd series|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsmith|2nd series|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|goldsmith|smoked chacha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsmoked|herring from evia approx 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldsparkler|sparkling gold|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|goldstatus|activation do not delete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstatus|activation do not delete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=345
W|goldstein|smoked salmon 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstein|smoked salmon 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstein|smoked salmon 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstein|smoked salmon sandwich pack 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstein|smoked salmon trimmings cocktail 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|bauernklarer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|bauernklarer mit geschenkholzkiste|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|doppelkorn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|doppelkorn 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|doppelkorn mit geschenkholzkiste|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstern|sekt rot|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|goldstrike|goldstrike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstrike|goldstrike|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=358
W|goldstrike|bols likeur|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstrike|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstrike|likeur 50|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstrike|likeur bols 050 ltr vm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstrike|likeuren kaneel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldstuck|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldstuck|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldstuck|sekt brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|goldtooth|vermut rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|goldtraminer|cantina toblino bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtraminer|gold soliva pravis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtraum|mit echtem blattgold piccolo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropchen|kabinett grosse lage vdpweingut a j adam|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|goldtropfchen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|auslese|??|d|??|??|??|2019|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese gk|??|d|??|??|??|2017|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese goldcapsule weingut haart duitsland moezel wit|??|d|??|??|??|2003|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese goldcapsule weingut haart duitsland moezel wit|??|d|??|??|??|2003|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=376
W|goldtropfchen|auslese goldcapsule weingut haart duitsland moezel wit|??|d|??|??|??|2004|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese goldcapsule weingut haart duitsland moezel wit|??|d|??|??|??|2008|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese goldkapsel weingut haart duitsland moezel wit|??|d|??|??|??|1999|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese grosse lage fruchtige|??|d|??|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese riesling vdp paket|??|d|riesling|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|auslese weingut haart duitsland moezel wit|??|d|??|??|??|2016|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|goldtropfchen|gg|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|gg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|gg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|goldtropfchen|gg|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|gg|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|gg riesling|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|gg riesling|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|gg riesling|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|gg trocken simon hoffmann|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|kabinett|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling kabinett|??|w|riesling|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling kabinett|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling kabinett|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling kabinett|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling kabinett|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling spatlese|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|riesling spatlese|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|spatlese|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|spatlese|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|spatlese|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|spatlese riesling vdp paket|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldtropfchen|spatlese weingut haart duitsland moezel wit|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldtropfchen|spatlese weingut haart duitsland moezel wit|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwand|grand cru 075|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwand|pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwasser|goldwasser|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwasser|danziger mini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|goldwasser|original danziger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwasser|original import danziger 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwasser|oro danzig|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwater|marlborough chardonnay|nz|w|chardonnay|??|marlborough|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldwater|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldwater|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldwater|marlborough sauvignon blanc|nz|w|sauvignon blanc|??|marlborough|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldwater|marlborough wairau valley pinot noir|nz|r|pinot noir|??|marlborough|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goldwater|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goldwater|wairau valley sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golem|golem|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golem|golem|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=423
W|golem|alb dry white wine|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golem|alb dry white wine|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=425
W|golem|gruner veltliner|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golerga|vina zorzal|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|bag cocktail picks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball ice ball molds green|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball ice mold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|ball monkey cheap recycled for callaway supersoft golf balls bulk used super soft for callaway golf balls for men women|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball monkey cheap recycled golf balls kirkland signature golf balls bulk kirkland golf balls used kirkland signature performance plus golf balls for men|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball monkey cheap recycled matte mix for callaway supersoft golf balls matte superhot superfast golfballs multicolored used for callaway golf balls matte colored|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|ball planet pro v1 3agood used golf balls|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet pro v1 4anear mint recycled used golf balls for titleist 20232024 model great condition|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet pro v1x 3agood used golf balls|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet pro v1x 4anear mint recycled used golf balls for titleist 20232024 model great condition|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet trufeel used golf balls 5amint|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet trufeel yellow used golf balls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|ball planet used golf balls for kirkland signature 3agood|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|ball silicone ice mold by truezoo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|balls|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|balls 12 premium 3piece surlyn design white balls|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golf|balls colorado state flag print wrapped bling balls by navika usa sleeve of 3|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|ballsmaximum distanceoptimal spin control 30packincludes 30 golf tees|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|bev nap|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|cap|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|golf|club dof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|clubs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golf|contrast polo white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
