W|guy|amiot chassagnemontrachet cru les caillerets|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charbaut rose brut premier cru champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charbaut rose brut premier cru champagne case|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charbaut rose de saignee|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guy|charbaut selection brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charbaut selection brut champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charbaut selection brut champagne case|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charbaut sonopinot|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne blanc de blancs grand cru bot|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne blanc de blancs grand cru brut reserve champagne france nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne blanc de blancs grand cru brut reserve champagne france nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=234
W|guy|charlemagne brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guy|charlemagne brut nature champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guy|charlemagne champagne blanc de blancs extra brut grand cru mesnillesime|fr|s|??|champagne|??|2014|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|charlemagne champagne brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne champagne extra brut blanc de blancs grand cru les coulmets|fr|s|??|champagne|??|2015|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|charlemagne champagne extrabrut classic nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne champagne grand cru blanc de blancs brut nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne champagne grand cru blanc de blancs brut nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=242
W|guy|charlemagne champagne grand cru blanc de blancs grande reserve|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne champagne grand cru brut reserve blanc de blancs|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne champagne grand cru mesnillesime|fr|s|??|champagne|??|2002|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne champagne grand cru reserve brut|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne champagne vieilles vignes grand cru blanc de blancs extra brut|fr|s|??|champagne|??|2014|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|charlemagne cuvee charlemagne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne cuvee charlemagne vintage grand cru|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne cuvee les coullmets|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne cuvee mesnillesime|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne cuvee mesnillesime|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne extrabrut cuvee charlemagne les coulmets safra|??|s|??|??|??|2014|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne grand cru blanc de blancs reserve brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne grand cru reserve blanc de blancs brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne grand cru reserve blanc de blancs brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=256
W|guy|charlemagne grand cru reserve blanc de blancs brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=256
W|guy|charlemagne les coullemets blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne mesnillesime|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne mesnillesime grand cru|??|r|??|??|??|2002|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne mesnillesime grand cru|??|r|??|??|??|2002|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|guy|charlemagne mesnillesime grand cru|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|charlemagne mesnillesime grand cru blanc de blancs bot|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne ratafia de champagne bot|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|charlemagne reserve brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne reserve brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne rose brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|charlemagne rose brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=268
W|guy|de chassey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|de chassey cuvee de buretel brut grand cru champagne aoc brut|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de chassey cuvee de buretel mgm grand cru brut champagne aoc brut|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de chassey extra brut blanc de noirs grand cru champagne aoc extra brut|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|de chassey grand cru brut nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de chassey grand cru extra brut blanc de noirs nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|de chassey grand cru extra brut blanc de noirs nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut|=275
W|guy|de chassey grand cru sec nv|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|de chassey grand cru sec nv|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|guy|de forez brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de forez brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=279
W|guy|de forez brut tradition nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de forez champagne brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de forez champagne brut tradition nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|de forez champagne brut tradition nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=283
W|guy|de forez tradition base|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|de forez tradition les riceys blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|est tout|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|farge condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|farge saint joseph terroir de granit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|farge saint joseph terroir de granit|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|farge saint joseph vania|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|farge saint joseph vania|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=291
W|guy|farge st joseph pur granit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|girardin vosne romanee les petits monts cru exdomaine 1|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|girardin vosne romanee les petits monts cru exdomaine 1|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=294
W|guy|joly memory brut veuve doussot champagne frankrig|fr|s|??|champagne|??|2007|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|larmandier cru brut rose champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier brut zero cramant grand cru france chardonnay nv|fr|s|chardonnay|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier champagne cru rose brut vertus nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier champagne bdb grand cru brut zero cramant nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier champagne blanc de blancs grand cru millesime|fr|s|??|champagne|??|2009|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier champagne grand cru blanc de blancs brut zero cuvee signe francois vieille vignes|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier champagne premier cru brut zero nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier cramant blanc de blancs brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier cramant blanc de blancs brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut|=305
W|guy|larmandier cramant blanc de blancs brut zero grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier cramant blanc de blancs grand cru champagne d94|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier cramant grand cru blanc de blancs|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier cramant grand cru brut zero|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier cramant grand cru champagne|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier gl vertus premier cru brut champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier grand cru champagne cramant blanc de blancs nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier grand cru cramant|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|larmandier millesime cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|larmandier premier cru brut rose champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier premier cru champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|larmandier rose brut cru|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier rose brut cru|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=318
W|guy|larmandier verter cru brut zero champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier vertus brut rose nv champagne france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier vertus brut zero cru champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier vertus brut zero cru champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=322
W|guy|larmandier vertus brut zero nv champagne france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier vertus premier cru brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|larmandier vertus premier cru brut zero|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|laroche drakkar noir edt h|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|liquoreux|??|f|??|??|??|2011|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|guy|mea le grillon cuvee prestige premier cru nv champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|mea rosa delice premier cru champagne france nv 125 vol|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|mea signature premier cru champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel brut champagne eksklusiv smagsoplevelse|fr|s|??|champagne|??|1998|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|michel champagne paris folies|fr|s|??|champagne|??|1996|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel champagne paris folies eksklusiv smag|fr|s|??|champagne|??|1996|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel champagne pf vert 3ltr|fr|s|??|champagne|??|1998|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel champagne pf vert 3ltr tilbud|fr|s|??|champagne|??|1998|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel champagne paris folies eksklusiv smag|fr|s|??|champagne|??|2000|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|michel champagne millesime extra brut|fr|s|??|champagne|??|2005|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guy|michel fils tradition brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guy|robin vieilles vignes montee de tonnerre|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis cru montee de tonnerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis grand cru bougros|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis grand cru les clos|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis grand cru valmur|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis montee de tonnerre|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis montee de tonnerre|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis premier cru montee de tonnerre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis premier cru vaillons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis premier cru vaillons vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis premier cru vallions vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis vieilles vignes burgundy france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin chablis vv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin valmur vieilles vignes chablis grand cru france|fr|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|robin vieilles vignes chablis marie ange robin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos des|guy roulot meursault cru boucheres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|roulot meursault cru les charmes|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|roulot meursault les meix chavaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|roulot meursault les vireuils|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|roulot monthelie rouge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|roux|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget aop muscadet sevre et maine sur lie blanc la perriere|??|w|??|??|??|nv|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|guy|saget boraszat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget chinon|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget cremant de loire murano methode traditionnelle|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|saget la petite perriere sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|saget marie de beauregard aop chinon rot|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget marie de beauregard aop chinon rouge|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget marie de beauregard aop chinon rouge|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|guy|saget marie de beauregard aop chinon rouge|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|guy|saget marie de beauregard aop chinon tinto|??|r|??|??|??|2022|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget muscadet de sevre et maine sur lie|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget muscadet sevre et maine sur lie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget pinot noir perriere|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget pouilly fume blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|saget pouillyfume 125|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guy|saget rose danjou 11|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guy|saget rose la perriere|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guy|saget sancere blanc 125|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|saget sancerre megalithe la perriere|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|saget sancerre sauvignon blanc 075|??|w|sauvignon blanc|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|saget vouvray|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|sagets ancerre blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|thibaud brut verzenay grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|thibaud grand cru brut blanc de noirs nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|guy|thibaut champagne premier contact|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|thibaut champagne premier contact rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guy|yvan dufouleur bourgogne aligote|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur bourgogne aligote blanc vieilles vignes|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|yvan dufouleur demoiselle huguette blanc hautes cotes de nuits|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|clos du|guy yvan dufouleur fixin cru chapitre monopole|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur fixin|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur hautes 16eme generation rouge cotes de nuits|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur les dames huguette rouge|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur les dames huguette rouge hautes cotes de nuits|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur nuits stgeorges|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur nuitssaintgeorges cru les poulettes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guy|yvan dufouleur nuitssaintgeorges cru les poulettes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=398
W|guy|yvan dufouleur nuitssaintgeorges rouge les crots cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|guy yvan dufouleur santenay blanc genets|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guy|yvan dufouleur savigny le beaune rouge les gollardes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyabano|approx 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyabano|concentrate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyabano|sorbet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyader|rillettes de saumon decosse 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyader|terrine au saumon et saumon fume 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|guyana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|15 yo 20062021 sbs 564|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|17 yo sbs 597|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|plantation denmark45|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|46|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|534 duncan taylor distilled|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|guyana|enmore 28 yo 19902019 the duchess single cask versailles wooden potstill 549|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|the nectar of the nectar of the daily dram|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyana|xo 46|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyane|11 ans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyard|le blanc brut intense chardonnay pinot noir pinot meunier champagne|fr|s|pinot noir|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guyard|le blanc brut les cerisiers champagne chardonnay|fr|s|chardonnay|champagne|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guyard|le blanc brut roseclat pinot noir rose champagne|fr|s|pinot noir|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guyard|le blanc mont aout coteaux champenois chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guyard|le blanc terre de coeur blanc des blancs champagne chardonnay|fr|s|chardonnay|champagne|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guyava|guyava|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyi|guyi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|dark sea shells 10 pc box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|love praline hearts|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|opus pralines 16 pc box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|sea shells 11 pc box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|sea shells 22 pc box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|sea shells 6 pc box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seahorses 154g bb120326|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seahorses 154g bb250326|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seashells 65g bb 050926|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seashells 65g bb110924|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seashells 250g bb050526|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seashells large 250g bb050526|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guylian|seashells small box 65g bb140426|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guyon|chorey les beaune les bons ores|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
