W|vino|flor de maig blanco capcanes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la elegida roble malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la canada verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|finca la biznaga blanco joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca la atalaya reserva valtravieso|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca iscorta gran reserva 2015|??|r|??|??|??|2015|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca giacobbe roble tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca giacobbe roble cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca giacobbe roble blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca garbet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman reserva malbec 750cc|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman reserva malbec 750cc|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=242
W|vino|finca flichman reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman paisaje de tupungato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman gualtallary single parcel malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman gran reserva malbec 750cc|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman gran reserva malbec 750cc|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=248
W|vino|finca flichman estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=250
W|vino|finca flichman estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman dedicado malbec 750cc|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca flichman dedicado gran corte 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca espolla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca escondida varietal malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca escondida varietal cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca escondida reserva chardonnay|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|finca escondida reserva cabernet|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca escondida malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|finca escondida malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca elez crianza 2002|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca elez|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca el puig|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca el bosque 2002|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca el bosque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca dofi 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca dofi 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca dofi 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca dofi 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca dofi 2000|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca del fondo tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca del fondo rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|finca del fondo blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca cuesta clara raro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca coronado 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca collado minimal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca collado messeguera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca collado garnatxa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca collado blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca canal uco 2020 paraje altamira zuccardi|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca azaya 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua tempranillo crza|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua syrah crianza|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua petit verdot crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua crianza unico b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua crianza unico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|finca antigua crianza 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva pinot noir argentina|ar|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva pinot noir argentina|ar|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=289
W|vino|fin del mundo reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=292
W|vino|fin del mundo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=292
W|vino|fin del mundo reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=292
W|vino|fin del mundo reserva chardonnay argentina|ar|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|fin del mundo reserva chardonnay argentina|ar|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=296
W|vino|fin del mundo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva cabernert sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fin del mundo reserva cabernert sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=299
W|vino|fin del mundo gran reserva blend|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fillaboa monte alto seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fillaboa albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|filius merlot 2001|??|r|merlot|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|filari rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|filari rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=305
W|vino|filari bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|filari bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=307
W|vino|figueroa crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|figuero vinas viejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|figuero tinus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|figuero 4 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|figuero 15 meses reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|figuero 12 crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|figuero 12 crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=314
W|vino|figaflor blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fifty provinces merlot op34x12 cp|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fifty provinces cabernet op34x12cp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|feudi di san gregorio greco di tufo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|feudi di san gregorio fiano pietracalda|??|w|fiano|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|fet a ma monastrell ancestral|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festivo torrontes botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festivo malbec monteviejo x 6 unidades|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festivo malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festivo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festivo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=325
W|vino|festiva cheongsoo oaked white wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|festiva cheongsoo oaked white wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=327
W|vino|ferrin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferret crianza 1995|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferrer penedes crianza 1995|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferrer bobet vinyes velles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferrer bobet vin viej|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferrer bobet selcespecial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferrari perle rose 075|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ferrari maximum rose 075|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ferrari maximum brut bdb 075|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|ferrari brut perle 075|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|ferrari brut lt 15|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|fernando almeda cinsault fuerza natural 2021 do itata x 3 botellas|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fernandez de pierola reserva 2000|??|r|??|??|??|2000|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fernandez de pierola crianza 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fernandez de pierola crianza 1998|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferghettina saten 0375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferghettina milledi rose 0375|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ferghettina milledi 0375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferghettina curtefranca 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferghettina brut 15|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|ferghettina brut 075|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|ferghettina brut 0375|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|ferah magnumb3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ferah|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fenomenal verdejo do rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|feliz 2023 vino feliz 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|felix martinez cepas viejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|felipe rutini blend botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|felipe rutini 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|felino malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fefinanes blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina reserva especial 1966|??|r|??|??|??|1966|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina reserva especial 1959|??|r|??|??|??|1959|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1991|??|r|??|??|??|1991|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1989|??|r|??|??|??|1989|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1982|??|r|??|??|??|1982|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1975|??|r|??|??|??|1975|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1970|??|r|??|??|??|1970|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1962|??|r|??|??|??|1962|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1954|??|r|??|??|??|1954|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1948|??|r|??|??|??|1948|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1942|??|r|??|??|??|1942|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1928|??|r|??|??|??|1928|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina gran reserva 1920|??|r|??|??|??|1920|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina cepa sauternes 1933|??|d|??|??|??|1933|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|federico paternina cepa borgona 1938|??|r|??|??|??|1938|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina blanco gran reserva 1922|??|r|??|??|??|1922|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina 1931|??|r|??|??|??|1931|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina 1927|??|r|??|??|??|1927|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina 100 anos 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico paternina 037 gran reserva 1922|??|r|??|??|??|1922|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|federico crianza 1991|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|federico 1987|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino viura chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|faustino vii verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|faustino vii tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii semi crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii semi crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=389
W|vino|faustino vii rosado 1973|??|p|??|??|??|1973|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faustino vii rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faustino vii joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii cabeza de cuba 1973|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii 1998|??|r|??|??|??|1998|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii 1988|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii 1976|??|r|??|??|??|1976|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii 1973|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino vii|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faustino v rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faustino v rioja blanco|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva tempranillo botella|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva tempranillo|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva rioja|es|r|??|rioja|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1993|??|r|??|??|??|1993|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1990|??|r|??|??|??|1990|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1988|??|r|??|??|??|1988|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1987|??|r|??|??|??|1987|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1982|??|r|??|??|??|1982|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1981|??|r|??|??|??|1981|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1980|??|r|??|??|??|1980|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1978|??|r|??|??|??|1978|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1973|??|r|??|??|??|1973|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1970|??|r|??|??|??|1970|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1968|??|r|??|??|??|1968|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva 1964|??|r|??|??|??|1964|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=422
W|vino|faustino v reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=422
W|vino|faustino v 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v 1992|??|r|??|??|??|1992|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v 1986|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v 1985|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino v 1975|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero wine lovers pack 3und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero wine lovers cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero verdejo espanol|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|faustino rivero verdejo espanol|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=432
W|vino|faustino rivero ulecia tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero ulecia 1984|??|r|??|??|??|1984|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero tempranillo espanol|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino rivero tempranillo espanol|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=436
W|vino|faustino reserva especial icon edition|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino reserva especial icon edition|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=438
W|vino|faustino icon edition botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino icon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva aniversario|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 2009|??|r|??|??|??|2009|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 2008|??|r|??|??|??|2008|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 2006|??|r|??|??|??|2006|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 2005|??|r|??|??|??|2005|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 2000|??|r|??|??|??|2000|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1998|??|r|??|??|??|1998|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1996|??|r|??|??|??|1996|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1995|??|r|??|??|??|1995|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1994|??|r|??|??|??|1994|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1993|??|r|??|??|??|1993|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1992|??|r|??|??|??|1992|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1989|??|r|??|??|??|1989|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1987|??|r|??|??|??|1987|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1986|??|r|??|??|??|1986|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1985|??|r|??|??|??|1985|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1982|??|r|??|??|??|1982|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1981|??|r|??|??|??|1981|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1978|??|r|??|??|??|1978|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1976|??|r|??|??|??|1976|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1975|??|r|??|??|??|1975|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1973|??|r|??|??|??|1973|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1970|??|r|??|??|??|1970|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1969|??|r|??|??|??|1969|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1968|??|r|??|??|??|1968|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1966|??|r|??|??|??|1966|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva 1961|??|r|??|??|??|1961|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=470
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=470
