W|gianduioso|crema di gianduiotto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli brunello montalcino riserva|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli chiuse di sotto brunello di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli chiuse di sotto brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli chiuse di sotto brunello di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli chiuse di sotto rosso di montalcino|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli di montalcino riserva|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli la chiuse di sotto brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=227
W|gianni|brunelli le chiuse di sotto brunello di montalcino riserva|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino riserva|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino riserva experience box|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto brunello di montalcino riserva 1 cassa legno|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto rosso di montalcino|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto rosso di montalcino|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli le chiuse di sotto rosso di montalcino|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=236
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=241
W|gianni|brunelli rosso di montalcino|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino doc|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino doc|it|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunelli rosso di montalcino rosso di montalcino doc vino rosso|it|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|brunello di montalcino|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia barbera dasti bosco donne|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia barbera dasti casa doglia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia barbera dasti casa doglia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=249
W|gianni|doglia casa doglia barbara dasti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia casa doglia dolcetto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|doglia grignolino dasti|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia il grignolino grignolino dasti|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia il ruche di castagnole monferrato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato asti canelli casa di bianca|??|r|moscato|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato asti canelli casa di bianca|??|r|moscato|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=256
W|gianni|doglia moscato asti canelli casa di bianca|??|r|moscato|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=256
W|gianni|doglia moscato canelli casa di bianca|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato canelli casa di bianca|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=259
W|gianni|doglia moscato canelli casa di bianca|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=259
W|gianni|doglia moscato d asti|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato d asti by sitt|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti|??|r|moscato|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti 202223|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti 202223|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=265
W|gianni|doglia moscato dasti|??|r|moscato|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti|??|r|moscato|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti|??|r|moscato|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia moscato dasti carousel|??|r|moscato|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|doglia ruche di castagnole monferrato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo favorita fallegro|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo 3m dolce filtrato bianco doce|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gianni|gagliardo 3m dolce filtrato rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|gianni|gagliardo barbera dalba superiore madama doc|??|r|barbera|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=279
W|gianni|gagliardo barolo 145|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|gianni|gagliardo barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=286
W|gianni|gagliardo barolo castelletto wood box|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=289
W|gianni|gagliardo barolo castelletto|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=289
W|gianni|gagliardo barolo chinato|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo chinato piedmont italy nv|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo cru essentials|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di la morra|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di la morra|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di la morra|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=296
W|gianni|gagliardo barolo del comune di la morra|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=296
W|gianni|gagliardo barolo del comune di la morra docg 100 nebbiolo|it|r|nebbiolo|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di la morra docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di monforte dalba 145|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di monforte dalba|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo del comune di monforte dalba|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=302
W|gianni|gagliardo barolo del comune di monforte dalba|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=302
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg 100 nebbiolo|it|r|nebbiolo|barolo|barolo|2007|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg 100|it|r|??|barolo|barolo|2012|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=309
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=309
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|gianni|gagliardo barolo docg del comunie della morra|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo docg mosconi|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo fossati|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo fossati wood box|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo fossati docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo la morra|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo la morra|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|gianni|gagliardo barolo lazzarito vigna preve|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|gianni|gagliardo barolo lazzarito vigna preve docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo monforte dalba|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo monvigliero|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo monvigliero|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo monvigliero docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo mosconi docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo preve riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo serra dei turchi|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo serre docg 100 nebbiolo|it|r|nebbiolo|barolo|barolo|2006|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo suoi docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo barolo tinto|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo castelletto barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo da batie langhe nebbiolo doc dry red|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo da batie langhe nebbiolo doc tr rd|it|r|nebbiolo|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo da batie nebbiolo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo da batie nebbiolo tinto|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo da batie nebbiolo tinto|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo dabatie langhe doc nebbiolo|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo del comune di la morra barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo dolcetto dalba paulin|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|gagliardo fallegro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo fallegro langhe doc favorita|it|r|??|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo fallegro piedmont italy case|it|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo fallegro vermentino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|gagliardo favorita fallegro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo la matta barbera dalba superiore|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo la morra barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo langhe nebbiolo dabatie|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo langhe nebbiolo dabatie|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|gianni|gagliardo langhe nebbiolo dabatie|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=357
W|gianni|gagliardo langhe nebbiolo dabatie doc|it|r|nebbiolo|langhe|langhe|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo madama barbera dalba barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo madama barbera dalba barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|gianni|gagliardo monvigliero barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo mosconi barolo nebbiolo|it|r|nebbiolo|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo nebbiolo dabatie|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo nebbiolo dalba san ponzio|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo nebbiolo dalba superiore san ponzio|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo paulin dolcetto dalba doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|gagliardo paulin dolcetto dalba dolcetto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|gagliardo paulin dolcetto dalba piedmont italy case|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|gagliardo paulin dolcetto dalba piedmont italy case|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gianni|gagliardo preve barolo nebbiolo|it|r|nebbiolo|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo preve barolo riserva docg 100 nebbiolo|it|r|nebbiolo|barolo|barolo|2005|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gianni|gagliardo roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|gianni|gagliardo roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|gianni|gagliardo roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|gianni|gagliardo roero arneis branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=381
W|gianni|gagliardo roero arneis docg|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo roero arneis docg branco|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo suoi barbera dasti|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo suoi barbera dasti|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|gianni|gagliardo vigna preve lazzarito barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo villa m rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gianni|gagliardo villa m rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|gagliardo villa m rosso brachetto|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|lonetti juru|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|lonetti juru rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|lonetti mel|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli cerasuolo dabruzzo doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli cerasuolo dabruzzo doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli cerasuolo rosato abruzzo|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gianni|masciarelli marina cvetic iskra montepulciano dabruzzo riserva doc|it|r|montepulciano|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc|it|r|montepulciano|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc|it|r|montepulciano|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc|it|r|montepulciano|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc|it|r|montepulciano|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc 6 x|it|r|montepulciano|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo doc 6942 z|it|r|montepulciano|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo gianni masciarelli|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo gianni masciarelli|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli montepulciano dabruzzo vin rosu|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|masciarelli trebbiano dabruzzo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=410
W|gianni|masciarelli trebbiano dabruzzo doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo doc 5598 z|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo gianni masciarelli|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo italy|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo linea classica vin alb|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano dabruzzo vin alb|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gianni|masciarelli trebbiano doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gianni|moscato dasti|??|r|moscato|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gianni|negrini prosciutto crudo stagionato 80gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
