1. W|carpano|classico rosso vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
237. W|carpe|diem collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|carpe|diem der frechsusse|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|carpe|diem el silbo de los aires amorosos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|carpe|diem femme incredibile moldavia branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
241. W|carpe|diem femme incredibile moldavia branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
242. W|carpe|diem femme incredible|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. X
244. X
245. X
246. X
247. W|carpe|diem malaga px anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|carpe|diem malbec reserve|??|r|malbec|??|??|2015|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
249. W|carpe|diem malbec reserve|??|r|malbec|??|??|2020|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
250. W|carpe|diem malbec reserve|??|r|malbec|??|??|2021|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
251. W|carpe|diem malbec reserve|??|r|malbec|??|??|2022|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
252. W|carpe|diem malbec reserve|??|r|malbec|??|??|2023|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
253. W|carpe|diem malbec reserve|??|r|malbec|??|??|2023|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco|=252
254. W|carpe|diem mas theleme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carpe|diem mmxviii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carpe|diem napa cabernet sauvignon|us|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
257. W|carpe|diem napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
258. W|carpe|diem napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
259. W|carpe|diem pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|carpe|diem pinot noir anderson valley|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|carpe|diem pinot noir anderson valley|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|carpe|diem pinot noir anderson valley|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=261
263. W|carpe|diem pinot noir anderson valley|??|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carpe|diem pinot noir anderson valley|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|carpe|diem pinot noir anderson valley mendocino ca usa|us|r|pinot noir|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
266. W|carpe|diem pinotage reserve|??|r|??|??|??|2012|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
267. W|carpe|diem pinotage reserve|??|r|??|??|??|2013|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
268. W|carpe|diem pinotage reserve|??|r|??|??|??|2016|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
269. W|carpe|diem pinotage reserve|??|r|??|??|??|2018|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
270. W|carpe|diem pinotage reserve|??|r|??|??|??|2019|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
271. W|carpe|diem pinotage reserve|??|r|??|??|??|2020|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
272. W|carpe|diem pinotage reserve|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
273. W|carpe|diem pinotage reserve|??|r|??|??|??|2023|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
274. W|carpe|diem pinotage reserve|??|r|??|??|??|2023|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=273
275. W|carpe|diem red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|carpe|diem red|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|carpe|diem rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
278. W|carpe|diem saten docg franciacorta|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
279. W|carpe|diem sauvignon blanc moldavia branco|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
280. W|carpe|diem viorica moldavia branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
281. W|carpe|diem viorica moldavia branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
282. W|carpe|diem viorica orange moldavia branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
283. W|carpe|diem white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
284. W|carpe|diem white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
285. W|carpe|diemlunae bosoni lt 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carpe|diempinot noir anderson vly 21|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|carpe|horam provence rose|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
288. W|carpe|horam rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
289. W|carpe|libre 100 pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|carpe|libre pinot noir igp pays doc|??|r|pinot noir|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
291. W|carpe|nocetem douro edition tinto|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carpe|vinum magazine vol15|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carpe|vitae tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|carpendo|reggiano 18m|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
295. W|carpene|malvolti 1868 brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
296. W|carpene|malvolti 1868 extra dry prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
297. W|carpene|malvolti 1868 extra dry prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=296
298. W|carpene|malvolti 1868 prosecco superiore extra dry|it|s|??|??|??|NV|12|superiore|leve|frutos do mar, aperitivos, sushi|brut
299. W|carpene|malvolti|??|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|carpene|malvolti bianca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|carpene|malvolti brut 15liter|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
302. W|carpene|malvolti prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
303. W|carpene|malvolti prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=302
304. W|carpene|malvolti prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=302
305. W|carpene|malvolti prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=302
306. W|carpene|malvolti prosecco 1868 extra dry piccolo|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
307. W|carpene|malvolti prosecco extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
308. W|carpene|malvolti prosecco rose|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
309. W|carpene|malvolti prosecco rose brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
310. W|carpene|malvolti prosecco superiore docg 1868 brut|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
311. W|carpene|malvolti pvxinvm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|carpene|malvolti reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
313. W|carpene|malvolti rive|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carpene|malvolti rose 15liter|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
315. W|carpene|malvolti rose brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
316. W|carpene|malvolti rose brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=315
317. W|carpene|malvolti rose prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
318. W|carpene|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
319. W|carpene|rose brut italy|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
320. W|carpenemalvolti|brut valdobbiadene prosecco superiore docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
321. W|carpenemalvolti|extra brut valdobbiadene prosecco superiore docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut nature
322. W|carpenemalvolti|rive di san pietro di barbozza valdobbiadene prosecco superiore docg brut|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
323. W|carpenemalvolti|prosecco valdobbiadene prosecco superiore docg brut|it|s|??|??|??|1924|12|docg|leve|frutos do mar, aperitivos, sushi|brut
324. W|carpenemalvolti|rose prosecco doc brut|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
325. W|carpenter|rocks sauvignon blanc mount gambier australia|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
326. W|carpenter|style canvas five pocket trousers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|carpenter|sweat shorts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|carpess|crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|carpess|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carpess|crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=329
331. W|carpeta|a4 syloon hope con liga amarillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|carpeta|a4 syloon love con liga rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
333. W|carpeta|a4 syloon peace con liga verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|carpeta|alpha con ligadisenos trend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|carpeta|centro de mesa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
336. W|carpeta|de adiestramiento pets fun care 30un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|carpeta|ecologica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|carpeta|ejecutiva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|carpeta|ejecutiva simil cuero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|carpetas|carpetas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|carpetas|con cremallera bt21|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|carpets|42cm x 250cm 2|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|carpier|hand sliced smoked salmon 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|carpier|smoked salmon fillet with nori seaweed 150gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|carpier|smoked salmon marinated with dill truffle 150g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|carpier|traditionally hand cut unsliced smoked salmon 150g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|carpine|brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
348. W|carpineta|fontalpino 2021 chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
349. W|carpineta|fontalpino 2021 fontalpino chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
350. W|carpineta|fontalpino chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
351. W|carpineta|fontalpino chianti classico montaperto|it|r|??|chianti classico|??|2015|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
352. W|carpineta|fontalpino chianti colli senesi|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|carpineta|fontalpino do ut des|??|r|??|??|??|2013|13.5|do|medio|carne vermelha, massas, queijos curados|seco
354. W|carpineta|fontalpino do ut des|??|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
355. W|carpineta|fontalpino vigna dofna chianti classico|it|r|??|chianti classico|??|2018|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
356. W|carpineti|capolemole bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
357. W|carpineti|capolemole bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
358. W|carpineti|collesanti bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
359. W|carpineti|kius extra brut rosato|??|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
360. W|carpineti|kius metodo classico brut|??|s|??|??|??|2021|12|do|leve|frutos do mar, aperitivos, sushi|brut
361. W|carpineti|lazio bianco cervinara|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
362. W|carpineti|mousseux brut k 0|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
363. W|carpineti|nzu rosso|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|carpineti|nzu rosso|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|carpineti|tufaliccio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|carpineti|tufaliccio rosso|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|carpineti|tufaliccio rosso|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|carpineti|tufaliccio rosso|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carpineto|carpineto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|carpineto|vino nobile di montepulciano riserva|it|r|montepulciano|??|??|2013|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
371. W|carpineto|chianti red classico riserva|it|r|??|chianti|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
372. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
373. W|carpineto|vino nobile di montepulciano riserva|it|r|montepulciano|??|??|2019|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
374. W|carpineto|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|carpineto|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
376. W|carpineto|bianco dogajolo|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
377. W|carpineto|brunello de montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carpineto|brunello de montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|carpineto|brunello di mont|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carpineto|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|carpineto|brunello di montalcino|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|carpineto|brunello di montalcino|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|carpineto|brunello di montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|carpineto|brunello di montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=383
385. W|carpineto|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|carpineto|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=385
387. W|carpineto|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|carpineto|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|carpineto|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=388
390. W|carpineto|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|carpineto|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
392. W|carpineto|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
393. W|carpineto|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
394. W|carpineto|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
395. W|carpineto|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
396. W|carpineto|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
397. W|carpineto|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
398. W|carpineto|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
399. W|carpineto|brunello di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
400. W|carpineto|brunello di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=399
401. W|carpineto|brunello di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=399
402. W|carpineto|brunello di montalcino docg 2018 italian red wine|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
403. W|carpineto|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
404. W|carpineto|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=403
405. W|carpineto|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=403
406. W|carpineto|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=403
407. W|carpineto|brunello di montalcino riserva|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
408. W|carpineto|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
409. W|carpineto|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=408
410. W|carpineto|brunello di montalcino riserva|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=408
411. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
412. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
413. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=412
414. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=412
415. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=412
416. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
417. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
418. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=417
419. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=417
420. W|carpineto|brunello di montalcino riserva docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=417
421. W|carpineto|brunello di montalcino sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
422. W|carpineto|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
423. W|carpineto|cabernet sauvignon farnito|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
424. W|carpineto|cabernet sauvignon farnito toscana|it|r|cabernet sauvignon|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
425. W|carpineto|cabernet sauvignon farnito toscana|it|r|cabernet sauvignon|toscana|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
426. W|carpineto|chianti castaldo|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|carpineto|chianti castaldo|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=426
428. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
429. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
430. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
431. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
432. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
433. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
434. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
435. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
436. W|carpineto|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=428
437. W|carpineto|chianti classico 2018 docg|it|r|??|chianti classico|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
438. W|carpineto|chianti classico|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
439. W|carpineto|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
440. W|carpineto|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=375
441. W|carpineto|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=375
442. W|carpineto|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=375
443. W|carpineto|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=375
444. W|carpineto|chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
445. W|carpineto|chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=444
446. W|carpineto|chianti classico docg|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
447. W|carpineto|chianti classico docg|it|r|??|chianti classico|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
448. W|carpineto|chianti classico docg 2022 italy|it|r|??|chianti classico|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
449. W|carpineto|chianti classico docg chianti rouge|it|r|??|chianti classico|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
450. W|carpineto|chianti classico docg chianti rouge|it|r|??|chianti classico|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=449
451. W|carpineto|chianti classico docg chianti rouge|it|r|??|chianti classico|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=449
452. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
453. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
454. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=453
455. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=453
456. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
457. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=456
458. W|carpineto|chianti classico docg gran selezione|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=456
459. W|carpineto|chianti classico gran selezione|it|r|??|chianti classico|??|2015|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
460. W|carpineto|chianti classico gran selezione|it|r|??|chianti classico|??|2015|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=459
