1. W|casa silva|gran terroir los lingues cabernet sauvignon x|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
205. W|casa silva terroir de familia|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=203
206. W|casa silva terroir de familia|reserva cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
207. W|casa silva terroir de familia|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
208. W|casa silva terroir de familia|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=207
209. W|casa silva terroir de familia|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=207
210. W|casa silva terroir de familia|reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
211. W|casa silva terroir de familia|reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=210
212. W|casa silva terroir de familia|reserva do paredones rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
213. W|casa silva terroir de familia|reserva do paredones rose 2023|pt|p|??|??|??|2023|12.5|reserva|leve|saladas, aves, queijos leves|seco
214. W|casa silva terroir de familia|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
215. W|casa silva terroir de familia|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=214
216. W|casa silva terroir de familia|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
217. W|casa silva terroir de familia|reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=216
218. W|casa silva terroir de familia|reserva merlot 2023|pt|r|merlot|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
219. W|casa silva terroir de familia|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
220. W|casa silva terroir de familia|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=219
221. W|casa silva terroir de familia|reserva pinot noir 2024|pt|r|pinot noir|??|??|2024|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
222. W|casa silva terroir de familia|reserva rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
223. W|casa silva terroir de familia|reserva rose|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco|=222
224. W|casa silva terroir de familia|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
225. W|casa silva terroir de familia|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=224
226. W|casa silva terroir de familia|reserva syrah|pt|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
227. W|casa silva terroir de familia|reserva syrah|pt|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=226
228. W|casa silva terroir de familia|reserva syrah 2022|pt|r|syrah|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
229. W|casa silva terroir de familia|reserva vinedo de los andes cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
230. W|casa silva terroir de familia|reserva vinedo de los andes chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
231. W|casa silva terroir de familia|reserva viognier|pt|w|viognier|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
232. W|casa silva terroir de familia|reserva viognier 2023|pt|w|viognier|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
233. W|casa silva terroir de familia|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
234. W|casa silva terroir de familia|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=233
235. W|casa silva terroir de familia|sauvignon blanc 750cc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
236. W|casa silva valley de colchagua|cabernetcarmenere|pt|r|carmenere|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casa silva valley de colchagua|chardsemillion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casa silva|vinho branco chileno cool coast vinedo de paredones sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
239. W|casa silva|vinho branco chileno lago ranco sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
240. W|casa silva|vinho rose chileno cool coast vinedo de paredones syrah|pt|p|syrah|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
241. W|casa silva|vinho tinto chileno 5 cepas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|casa silva|vinho tinto chileno gran terroir de los andes los lingues cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
243. W|casa silva|vinho tinto chileno gran terroir de los andes los lingues carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
244. W|casa silva|vinho tinto chileno gran terroir de los andes los lingues merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|casa silva|vinho tinto chileno microterroir carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
246. W|casa silva|vinho tinto chileno quinta generacion|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|casa silva|vinho tinto chileno s7 single block carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
248. W|casa silva|vinho tinto chileno santa tierra estate merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|casa silva|viognier|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
250. W|casa silva|viognier lolol gran terroir|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
251. W|casa silva|viognier lolol gran terroir|pt|w|viognier|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=250
252. W|casa silva|viognier reserva terroir de familia|pt|w|viognier|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
253. W|casa simelia fluvius|reserve merlot|pt|r|merlot|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
254. W|casa smith|barbera|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
255. W|casa smith|barbera jacks vineyard 2016|pt|r|barbera|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
256. W|casa smith cervo|barbera|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
257. W|casa smith|primitivo|pt|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
258. W|casa smith|primitivo|pt|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=257
259. W|casa smith|primitivo porcospino 2016|pt|r|primitivo|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
260. W|casa smith|primitivo porcospino 2019|pt|r|primitivo|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
261. W|casa smith|primitivo porcospino 2020|pt|r|primitivo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
262. W|casa smith wahluke slope cervo|barbera|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
263. W|casa smith walla walla valley jacks vineyard|barbera|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
264. W|casa smith walla walla valley jacks vineyard|barbera|pt|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=263
265. W|casa sogno abonnemet pa kologiske italienske|basisvarer|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|casa sola chianti|classico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|casa sola chianti|classico|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=266
268. W|casa sola chianti|classico 1978|pt|r|??|??|??|1978|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|casa sola chianti|classico riserva|pt|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
270. W|casa sola pergliamici|toscana|pt|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|casa solar|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|casa solar oro|1996|pt|r|??|??|??|1996|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|casa solis|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
274. W|casa solis|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=273
275. W|casa solis|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
276. W|casa solis|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=275
277. W|casa solis|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
278. W|casa solis|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
279. W|casa solis|merlot reserva|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
280. W|casa solis|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
281. W|casa solis|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=280
282. W|casa soncini|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
283. W|casa soncini|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=282
284. W|casa soncini|syrah rose|pt|p|syrah|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
285. W|casa soncini|syrah rose|pt|p|syrah|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco|=284
286. W|casa soncini|vinho gran syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
287. W|casa|sosegada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|casa sosegada rafael|cambra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|casa sosegada rafael|cambra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=288
290. W|casa sosegada|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|casa souza guedes preciosidade|18511951 centenario porto|pt|f|??|porto|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
292. W|casa|sparkling brut nv|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
293. S
294. S
295. W|casa spirits coconut margarita|24 pack cans|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|casa spirits hard|lemon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|casa spirits hard|raspberry|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|casa spirits hard raspberry|4 cans|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|casa spirits margarita|4 cans|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. S
301. W|casa spirits mojito|4 cans|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. S
303. S
304. W|casa staibano peachello ddp lcb nv|25 ck|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casa|suica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casa sur caja|12 lillith gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
307. W|casa sur caja|12 lillith gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
308. W|casa sur caja|12 lillith reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
309. W|casa sur caja|12 lillith reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
310. W|casa sur caja|12 lillith reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
311. W|casa sur caja|12 lillith reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
312. W|casa sur caja|12 pomaire gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
313. W|casa sur caja|12 pomaire gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
314. W|casa sur caja|12 pomaire reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
315. W|casa sur caja|12 pomaire reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
316. W|casa sur caja|12 pomaire reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
317. W|casa sur caja|12 pomaire reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
318. W|casa sur caja|6 lillith gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
319. W|casa sur caja|6 lillith gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
320. W|casa sur caja|6 lillith reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
321. W|casa sur caja|6 lillith reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
322. W|casa sur caja|6 lillith reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
323. W|casa sur caja|6 lillith reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
324. W|casa sur caja|6 pomaire gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
325. W|casa sur caja|6 pomaire gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
326. W|casa sur caja|6 pomaire reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
327. W|casa sur caja|6 pomaire reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
328. W|casa sur caja|6 pomaire reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
329. W|casa sur caja|6 pomaire reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
330. W|casa sur lillith|gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
331. W|casa sur lillith|gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
332. W|casa sur lillith|reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
333. W|casa sur lillith|reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
334. W|casa sur lillith|reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
335. W|casa sur lillith|reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
336. W|casa sur pomaire|gran reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
337. W|casa sur pomaire|gran reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
338. W|casa sur pomaire|reserva vino de autor cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
339. W|casa sur pomaire|reserva vino de autor carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
340. W|casa sur pomaire|reserva vino de autor chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
341. W|casa sur pomaire|reserva vino de autor sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
342. W|casa tallone cisterna dasti|2023 case only|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|casa tallone roero bianco|docg 2023 case only|pt|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
344. W|casa tallone roero|rosso docg 2022 case only|pt|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
345. W|casa|tannat 398|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
346. W|casa|tannat 398|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=345
347. W|casa|tannat 474|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
348. W|casa|tannat 717|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
349. W|casa tarradellas pimienta pastika s peprem|125g|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|casa tarradellas tuna pate pate de atun from catalonia small|jar|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|casa tarradellas tuna pate pate de atun from catalonia small|jar|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=350
352. W|casa tarradellas tuna pate pate de atun from catalonia small|jar|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=350
353. W|casa tarradellas tuna pate pate de atun from catalonia small|jar|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=350
354. W|casa|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
355. W|casa|tempranillo 15ltr|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
356. W|casa tertulia|brut alliance|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
357. W|casa tertulia|brut rose alliance|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
358. W|casa tertulia|cabernet sauvignon safra historica|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
359. W|casa tertulia|cabernet sauvignon safra historica 2020 barricado|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
360. W|casa tertulia|chardonnay nox aurea 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
361. W|casa tertulia ia corte|i|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|casa tertulia marselan safra|historica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|casa tertulia marselan safra historica|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|casa tertulia marselan safra historica|2020 barricado|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|casa tertulia|merlot autentica 2018|pt|r|merlot|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|casa tertulia|merlot reserva da familia 2018|pt|r|merlot|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
367. W|casa tertulia|moscatel alliance|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
368. W|casa tertulia|moscatel rose alliance|pt|p|moscatel|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
369. W|casa tertulia|moscato de alexandria sur lie autentica 2019|pt|w|moscato|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
370. W|casa tertulia nox aurea|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
371. W|casa tertulia nox aurea|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|casa tertulia nox aurea|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
373. W|casa tertulia|pinot noir nox aurea 2019|pt|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|casa tertulia|reserva da familia merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
375. W|casa tertulia|syrah nox aurea 2019|pt|r|syrah|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
376. W|casa tertulia|tannat nox aurea 2019|pt|r|tannat|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
377. W|casa tertulia teroldego safra|historica|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|casa tertulia teroldego safra historica|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|casa tipica|acoriana|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|casa torre de vilar|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
381. W|casa toscana|chianti|pt|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|casa trinacria pistachio|cannoli|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|casa|turrent|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|casa turrent|1880 claro coronita 20|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|casa turrent|1880 claro double robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|casa turrent|1880 claro gordito|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|casa turrent|1880 claro lancero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|casa turrent|1880 claro perfecto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|casa turrent|1880 claro robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|casa turrent|1880 colorado double robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|casa turrent|1880 colorado gordito|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|casa turrent|1880 colorado lancero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|casa turrent|1880 colorado perfecto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|casa turrent|1880 colorado robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|casa turrent|1880 colorado robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=394
396. W|casa turrent|1880 doble claro gordito|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|casa turrent|1880 doble claro robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|casa turrent|1880 doble maduro coronita|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|casa turrent|1880 double robusto mix 4|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|casa turrent|1880 le belicoso mix 7|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|casa turrent|1880 maduro coronita|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|casa turrent|1880 maduro double robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|casa turrent|1880 maduro robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|casa turrent|1880 maduro short robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|casa turrent|1880 original mix caribe 4|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|casa turrent|1880 oscuro coronita|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
407. W|casa turrent|1880 oscuro doble robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|casa turrent|1880 oscuro gordito|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
