1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
226. W|cargador|de pared usb samsung 15w carga rapida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cargador|de pared usb samsung 78w epta50ewe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|cargador|de samsung de 65w bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|cargador|deluxe power bank 8400mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|cargador|energizer mini 2 pilas energizer aa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|cargador|energizer mini 2 pilas energizer aa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
232. W|cargador|fifo compacto para auto con ambientador 12 v dual usb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|cargador|freecell c47 usb tipo c 30w 30a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cargador|galo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|cargador|gan unitek de escritorio 100w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|cargador|gan unitek universal 140w pd 31|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|cargador|genius pd20ac 20w blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
238. W|cargador|genius pd65ac 65w blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
239. W|cargador|havit h33 inalambrico negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|cargador|havit hvcc613 portatil pauto negro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|cargador|havit hvpb002x portatil blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
242. W|cargador|havit hvpb002x portatil rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
243. W|cargador|inalambrico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|cargador|inalambrico 10w con soporte philips dlp9318u|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|cargador|inalambrico 3 en 1 wht wxc004|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|cargador|inalambrico compact|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|cargador|inalambrico con altavoz mds300|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|cargador|inalambrico con altavoz s302|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|cargador|inalambrico eco de bambu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|cargador|inalambrico eco de cana de trigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|cargador|inalambrico ecologico trigo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|cargador|inalambrico magnetico con soporte bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|cargador|inalambrico magsafe 100 original carga rapida bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|cargador|inalambrico magsafe ecologico bambu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cargador|inalambrico magsafe ecologico rpet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. X
257. W|cargador|inalambrico unitek 3 en 1 plegable|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|cargador|magnetico 3 en 1 dro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cargador|miccell t12 65w 3 puertos usbc usb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cargador|para 2 o 4 pilas nimh aaaaa vanson v89e|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cargador|para auto dbx 12 v micro usb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cargador|para auto motorola turbopower 25 usb a micro usb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|cargador|para mascota|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|cargador|para pilas aa blue lounge usb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|cargador|para portarretratos tipo a 018a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|cargador|para portarretratos tipo a 02a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|cargador|para portarretratos tipo a 05a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|cargador|para vehiculo ip 20w c cable lightning bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|cargador|para xiaomi 67w carga rapida blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
270. W|cargador|pared freecell 12w 5v 2 puertos usb 24a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|cargador|pared freecell 20w 30 usb tipo c carga rapida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|cargador|pared miccell 3 puertos 65w carga rapida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|cargador|pared usb tipo c miccell t17|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|cargador|power bank 2200mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|cargador|power bank metalico 2200mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|cargador|power bank metalico 5200mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|cargador|power bank ventosas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|cargador|powerbank antistress|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|cargador|powerbank earth 6000mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|cargador|powerbank metalico 6000mah|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|cargador|pujimax para 8 pilas aa 8 pilas aa 15v litio 4255mwh|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|cargador|rayhom para 4 pilas aa 8 pilas aa 15v litio 3700mwh|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cargador|samsung 45w|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|cargador|samsung 45w 18m con cable original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|cargador|samsung 45w usbc a usbc ept4511 black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|cargador|speed song de pared|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|cargador|ugreen nexode pro 65w 3 puertos ultra slim gan carga rapida x75315817|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|cargador|ugreen robot 65 watts tipo c pantalla led carga rapida black 15570|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
289. W|cargador|unitek inalambrico rapido magsafe para auto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
290. W|cargador|usb philips para 4 pilas aaaaa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|cargador|venom para control ps5 blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
292. W|cargador|xiaomi 225w power adapter usb a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|cargador|xiaomi 33w charging combo usb a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|cargador|xiaomi 33w nano usb c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|cargador|xiaomi 67w con carga rapida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|cargador|xiaomi 67w hypercharge usb a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|cargador|xiaomi 90w hypercharge 3 puertos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|cargador|xiaomi 90w hypercharge combo usb a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|cargador|xiaomi mi 20w wall charger|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|cargo|bermuda shorts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|cargo|cult banana spiced spirit drink|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|cargo|culte 21 les valseuses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|cargo|jogger shorts for boys above knee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|cargo|joggers 214 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|cargo|joggers black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|cargo|joggers dark blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cargo|leggings gron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cargo|leggings svart|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|cargo|midi column skirt sencha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|cargo|pants|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|cargo|trousers 414 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|cargo|trousers dark blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cargo|trousers khaki|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carguera|pmatt cbolsillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|carhill cellars|willamette valley pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
316. W|carhill cellars|willamette valley pinot gris|??|w|pinot gris|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=315
317. W|carhill cellars|willamette valley pinot noir|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|carhu|12 ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cari|katekreem aloe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|cari|katekreem avokaado oliga|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
321. W|cari|katekreem kitsepiima vanilje ja kookusega|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cari|lentozzi sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
323. W|cari|saluti vino bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
324. W|cari|saluti vino bianco ditalia|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
325. W|cari|saluti vino rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
326. W|cari|saluti vino rosato ditalia|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
327. W|cari|saluti vino rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cari|saluti vino rosso ditalia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|cari|vedelseep antibakteriaalne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|caria|caftan in green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|caria|caftan in yellow|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cariad|cariad|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|carianum|verona igt garganegat garganega passito|??|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|doce
334. W|carib|carib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|carib|carib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|carib|52|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|carib|lime shandy 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|carib|sorrel shandy 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|carib|sorrel shandy12oz 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|caribaea|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
341. W|caribaea|vo brut de fut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
342. W|caribaya|151|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|caribaya|151|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=342
344. W|caribaya|pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|caribba|blanco 375|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
346. W|caribba|cherry 35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|caribba|negro 375|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|caribba|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
349. W|caribbean|anejo 53 ar og 55 ar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|caribbean|bay carmelita likr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|caribbean|bay carmelita likr sde smagsoplevelser|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|caribbean|bay carmelita spirit drink35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|caribbean|bay carmelita spirits drink 0 350|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|caribbean|bay estrella|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|caribbean|bay estrella spirit drink35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
356. W|caribbean|bay estrella spirits drink 0 350|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|caribbean|bay navidad|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
358. W|caribbean|bay navidad 35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
359. W|caribbean|bay tropicana spirit drink35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|caribbean|bay tropicana spirits drink 0 350|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|caribbean|black bean eden 425g organic bb april 112028|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|caribbean|blue wine appetizer trays|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. X
364. W|caribbean|chm2016 hotdog maker|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|caribbean|classic|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
366. W|caribbean|classic alkoholfrei|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
367. W|caribbean|collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|caribbean|dark rom 10 yo rom 40 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|caribbean|dark rom 15 yo rom 40 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|caribbean|dark rom 20 yo rom 40 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|caribbean|dark rom rom 375 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|caribbean|espresso blend the bean 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. X
374. X
375. W|caribbean|pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|caribbean|pineapple liquer giffard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|caribbean|reserve 40|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
378. W|caribbean|spiced 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|caribbean|spiced spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|caribbean|spiced spirit ish spirits|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|caribbean|spices spirit rom ish spirits|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|caribbean|triple aged 55 ar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|caribbean|twist|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|caribbean|twist caribbean tropical punch x 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. X
386. W|caribbean|twist mixed up mango|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|caribbean|twist peach paradise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|caribbean|twist pina colada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|caribbean|twist pina colada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=388
390. W|caribbean|twist pina colada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=388
391. W|caribbean|twist pina colada can 6 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|caribbean|twist pina colada case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|caribbean|twist pina colada x 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|caribbean|twist pina colada x 6 cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|caribbean|twist pinacolada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|caribbean|twist pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|caribbean|twist pineapple|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=396
398. W|caribbean|twist pineapple daiquiri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|caribbean|twist strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|caribbean|twist strawberry case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|caribbean|twist strawberry daiquiri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|caribbean|twist tropical punch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|caribbean|twist white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
404. W|caribe|bay silver label fermented spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|caribe|beach daikiri frutilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|caribe|beach daikiri frutilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
407. W|caribe|beach mojito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
408. W|caribe|beach mojito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=407
409. W|caribe|co creme caramel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|caribe|co habanero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. X
412. W|caribe|co mexican vanilla bean|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|caribe|co sampler pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|caribe|co sorrel ginger|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|caribe|durazno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|caribe|fresa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|caribe|limon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|caribe|mango pina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|caribe|manzana verdekiwi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|caribe|soup plate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|caribe|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|caribe|top|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. X
424. W|caribean|queen cereza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|caribean|queen curazao azul|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|caribean|queen durazno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|caribean|queen menta verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|caribean|queen platano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|caribenho|caribenho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|caribia|ginger taste|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|caribica|white 375|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
432. W|caribisk|havefest torsdag d 12 juni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|caribisk|mjd tarp bryggeri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|caribisk|rom et hav af smag rombog af mads heitmann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|cariblanco|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
436. W|cariboo|genuine draft|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|cariboom|cariboom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cariboom|cariboom|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cariboom|cariboom|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cariboom|cariboom|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|cariboom|rouge|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|cariboom|vdf red|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|caribou|caribou|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|caribou|crossing|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|caribou|crossing canadian|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|caribou|crossing single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|caribou|crossing single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=446
448. W|caribou|crossing single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=446
449. W|caribou|crossing single barrel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=446
450. W|caribou|crossing sngl brl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|cariboum|cariboum|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|cariboum|rouge|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|caric|bogdanjusa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|caric|bogdanusa 075|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|caric|cesarica 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|caric|danica 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|caric|jubov|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|caric|jubov 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|caric|moreplovac|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|caric|nedija 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|caric|plavac|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
462. W|caric|plavac mali veli visko 075|??|r|plavac mali|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
