1. W|carl|joseph hoch deidesheimer leinhohle tba riesling|??|w|riesling|??|??|1976|12.5|??|leve|peixes, frutos do mar, saladas|seco
214. W|carl|roy proprietary red east side cuvee napa valley|us|r|??|napa valley|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|carl|roy proprietary red east side cuvee napa valley|us|r|??|napa valley|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|carl|roy proprietary red east side cuvee stags leap district|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|carl|roy red wine east side cuvee napa valley|us|r|??|napa valley|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|carl|sittmann riesling germany|de|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
219. W|carl|tesdorpf lubecker rotspon|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|carl|tstarlight distillery|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|carl|von schubert maximin grunhauser abtsberg riesling kabinett auktion|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
222. W|carla|4 stk lystrer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|carla|6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|carla|6|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|carla|6|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carla|6|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|carla|6|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. W|carla|6|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|carla|6 igp|??|r|??|??|??|2013|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
230. W|carla|6 igt|??|r|??|??|??|2016|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
231. W|carla|6 igt toscana|it|r|??|toscana|??|2011|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
232. W|carla|ballet flat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|carla|chiaro cabernet franc x6 garrafas x12 garrafas|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
234. W|carla|facciolo montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
235. W|carla|facciolo prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
236. W|carla|laguna 125g pralinki mleczna czeko lada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|carla|laguna 125g pralinki mleczna czeko lada 1314102026|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|carla|laguna 125g premium 70 dark choco late|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|carla|laguna 125g premium 70 dark choco late 2728082026|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|carla|laguna 50g pralinki mleczna czekol ada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|carla|laguna 50g pralinki mleczna czekol ada 07102026|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
242. W|carla|laguna 50g premium 70 dark chocol ate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|carla|laguna 50g premium 70 dark chocol ate 16092026|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|carla|lystr 15 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
245. W|carla|lystr 16 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|carla|lystr 18 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|carla|lystr 19 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|carla|lystr 215 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
249. W|carla|lystr 23 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|carla|orleans borbon px 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|carla|ticino davide cadenazzi 2022 doc|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
252. W|carla|toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
253. W|carla|weinhaltiger cocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carla6|carla6|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carlania cellar|el petit carlania|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carlania|el plantarga rosato|??|p|??|??|??|2017|12|??|leve|carne vermelha, massas, queijos curados|seco
257. W|carlant|grune oliven lucques|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
258. W|carlant|miel de lavande de provence 250g|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
259. W|carlas|red dream by castel mimi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|carlas|rose dream by castel mimi|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
261. W|carlas|white dream by castel mimi|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
262. W|carlaz|prima terra|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|carlaz|carlaz|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carlei estate|coonawarra merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
265. W|carlei estate|muscat|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
266. W|carlei|green vineyards chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
267. W|carlei|green vineyards cuvee stephen thomson shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
268. W|carlei|green vineyards pinot gris|??|w|pinot gris|??|??|2015|12.5|??|leve|peixes, frutos do mar, saladas|seco
269. W|carlei|green vineyards pinot noir|??|r|pinot noir|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carlei|heathcote shiraz|??|r|shiraz|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
271. W|carleigh|jane black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|carleone|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
273. W|carleone|chianti classico 2019 mag docg kocertificeret|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
274. W|carleone|chianti classico|it|r|??|chianti classico|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
275. W|carleone|chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
276. W|carleone|chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=275
277. W|carleone|il guercio 2020 igt toscana rosso|it|r|??|toscana|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
278. W|carleone|pianvecchio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|carleone|rosato igt|??|p|??|??|??|2022|12|igt|leve|carne vermelha, massas, queijos curados|seco
280. W|carleone|uno|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|carles|andreu 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|carles|andreu barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carles|andreu brut nature|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
284. W|carles|andreu cava brut reserva|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
285. W|carles|andreu rosat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carles|andreu rosat barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. W|carles|andreu trepat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carles|andreu trepat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=287
289. W|carles|andreu trepat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=287
290. W|carletti|75|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|carletti|big ben|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|carletti|big ben blandede caramel 15 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|carletti|big ben blandede caramel 15 kg best before 05092025|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|carletti|big ben frugt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|carletti|big ben karamell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
296. W|carletti|big ben lakrids|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|carletti|brazil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|carletti|conditor over mrke vekao plader|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|carletti|conditor overtrksknapper mrk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|carletti|jakobsen pralinenherz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|carletti|karameller|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|carletti|kmpelade mrk 70|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|carletti|kmpeplade hvid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|carletti|kmpeplade lys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|carletti|kmpeplade mrk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|carletti|likrtoppe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|carletti|palgchokolade den mrke|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|carletti|palgschokolade den lyse 3er|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|carletti|paskeskum apfelsine mit dunklem vekao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|carletti|paskeskum appelsin ferskensmag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|carletti|paskeskum salzkaramell mit hellem vekao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|carletti|ptrter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|carletti|ptrter karamel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carletti|ptrter lakrids|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|carletti|skumbananer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|carletto|bianco ricco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
317. W|carletto|marche rosso ricco rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|carletto|montep dabruzzo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|carletto|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
320. W|carletto|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=319
321. W|carletto|montepulciano d abruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
322. W|carletto|montepulciano d abruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=321
323. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
324. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=323
325. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=323
326. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=323
327. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=323
328. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=323
329. W|carletto|montepulciano dabruzzo|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
330. W|carletto|montepulciano dabruzzo 2023 abruzzo italy|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
331. W|carletto|montepulciano dabruzzo doc|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
332. W|carletto|nero davola terre siciliane igp 2015 sicilia|it|r|nero davola|sicilia|??|2015|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
333. W|carletto|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
334. W|carletto|pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=333
335. W|carletto|pinot grigio|??|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
336. W|carletto|pinot grigio|??|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
337. W|carletto|pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
338. W|carletto|pinot grigio delle venezie|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=337
339. W|carletto|pinot grigio veneto igt|it|w|pinot grigio|veneto|??|NV|12.5|igt|leve|peixes, frutos do mar, saladas|seco
340. W|carletto|prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
341. W|carletto|prosecco doc|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
342. W|carletto|prosecco extra dry nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
343. W|carletto|prosecco treviso extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
344. W|carletto|prosecco treviso extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=343
345. W|carletto|ricco sweet red|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
346. W|carletto|rosso ricco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|carlevana|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
348. W|carlevana|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
349. W|carlevana|kagor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
350. W|carlevana|kagor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=349
351. W|carlevana|malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
352. W|carlevana|malbec|??|r|malbec|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
353. W|carlevana|moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
354. W|carlevana|muscat ottonel colheita tardia moldavia branco|??|w|muscat|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
355. W|carlevana|rariret orange amber wine moldavia curtimenta branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
356. W|carlevana|raritet orange wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|carlevana|raritet orange wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
358. W|carlevana|raritet rara neagra igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
359. W|carlevana|rubinus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|carlevana|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
361. W|carlevana|vino tinto merlotage|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
362. W|carleys|carleys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|carleys|carleys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=362
364. W|carleys|organic raw pecan nut butter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|carlfriedrich|l walther riesling sekt brut nature|??|s|riesling|??|??|2019|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
366. W|carlfriedrich|l walther riesling trocken|??|w|riesling|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
367. W|carlfriedrich|l walther riesling trocken|??|w|riesling|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
368. W|carlfriedrich|l walther silvaner trocken|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|carlfriedrich|l walther spatburgunder rose kleines holz trocken|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
370. W|carlfriedrich|l walther weiburgunder trocken|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
371. W|carli|balsam aloe vera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|carli|classic s mirisom jabuke|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
373. W|carli|classic s mirisom jabuke|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco|=372
374. W|carli|original s mirisom limuna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|carli|original s mirisom limuna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=374
376. W|carli|s mirisom divlje tresnje labud|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|carli|sensitive s ekstraktom kamilice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|carli|sensitive s ekstraktom kamilice|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=377
379. W|carlijn|carlijn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|carlin|colline novaresi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|carlin|d paolo moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
382. W|carlin|de paolo alta langa millesimato pas dose|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|carlin|de paolo arneis macadi terre alfieri doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
384. W|carlin|de paolo barbaresco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|carlin|de paolo barbera|??|r|barbera|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
386. W|carlin|de paolo barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
387. W|carlin|de paolo barbera dasti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=386
388. W|carlin|de paolo barbera dasti|??|r|barbera|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
389. W|carlin|de paolo barbera dasti cursus vitae|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
390. W|carlin|de paolo barbera dasti cvrsvs vitae|??|r|barbera|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
391. W|carlin|de paolo barbera dasti superiore ad libitum|??|r|barbera|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
392. W|carlin|de paolo barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|carlin|de paolo barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=392
394. W|carlin|de paolo barolo 14|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. W|carlin|de paolo barolo 2018 case only|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
396. W|carlin|de paolo barolo|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|carlin|de paolo barolo docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
398. W|carlin|de paolo cisterna dasti|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|carlin|de paolo cvrsvs vitae barbera dasti|??|r|barbera|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
400. W|carlin|de paolo grignolino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|carlin|de paolo grignolino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=400
402. W|carlin|de paolo grignolino dasti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|carlin|de paolo macadi arneis terre alfieri docg|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
404. W|carlin|de paolo moscato dasti 20222023|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
405. W|carlin|de paolo moscato dasti|??|w|moscato|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
406. W|carlin|de paolo moscato dasti 2025 halfbottle|??|w|moscato|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
407. W|carlin|de paolo moscato dasti 55 sgr|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
408. W|carlin|de paolo moscato dasti docg 2019 case only|??|w|moscato|??|??|2019|12.5|docg|medio|peixes, frutos do mar, saladas|seco
409. W|carlin|de paolo moscato dasti white wine|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
410. W|carlin|de paolo piemonte doc bonarda bone|it|r|??|piemonte|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
411. W|carlin|de paolo terre alfieri arneis|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|carlin|de paolo terre alfieri doc nebbiolo|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
413. W|carlin|de paolo terre alfieri docg arneis macadi|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
414. W|carlin|de paolo terre alfieri docg nebbiolo superiore l ascensiun|??|r|nebbiolo|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
415. W|carlin|de paolo terre alfieri docg nebibiolo sup|??|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
416. W|carlin|de paulo moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|medio|peixes, frutos do mar, saladas|seco
417. W|carlin|paolo barbera d asti|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
418. W|carlin|pinson manoline sancerre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|carlina|cotes du rhone blanc aop|fr|w|??|rhone|??|NV|12.5|cotes du rhone|medio|peixes, frutos do mar, saladas|seco
420. W|carlina|girl dress blue river checks|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|carlines|cremant du jura|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
422. W|carlines|gaillardon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=423
425. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=423
426. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=423
427. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=423
428. W|carling|carling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=423
429. X
430. W|carling|4 cans x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|carling|4 pack can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|carling|4 pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|carling|8 pack can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|carling|can 4 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|carling|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|carling|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=435
437. W|carling|cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=435
438. X
439. X
440. X
441. X
442. X
443. X
444. W|carling|pint 4 cans x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. X
446. X
447. X
448. W|carlington|black 6pk btl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|carlington|black 6pk btl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=448
