1. W|cape|heights cinsault rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
217. W|cape|mentelle sauv semillon 2019 wa|??|r|semillon|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
218. W|cape|mentelle sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
219. W|cape|mentelle sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=218
220. W|cape|mentelle sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
221. W|cape|mentelle sauvignon blanc margaret river 2021 12 bottles|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
222. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
223. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
224. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
225. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
226. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
227. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=222
228. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
229. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco|=228
230. W|cape|mentelle sauvignon blanc semillon 2020 margaret river|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
231. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
232. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco|=231
233. W|cape|mentelle sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco|=231
234. W|cape|mentelle sauvignon blanc semillon 2021 margaret river|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
235. W|cape|mentelle sauvignon blanc semillon australia|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
236. W|cape|mentelle sauvignon blanc semillon blend|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
237. W|cape|mentelle sauvignon blanc semillon margaret river|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
238. W|cape|mentelle sauvignon blanc semillon margaret river 2022 12 bottles|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
239. W|cape|mentelle sauvignon blanc semillon margaret river australia|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
240. W|cape|mentelle sauvignon blancsemillion margaret river|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
241. W|cape|mentelle sauvignon blancsemillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
242. W|cape|mentelle semillon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
243. W|cape|mentelle semillon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=242
244. W|cape|mentelle semillon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=242
245. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
246. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
247. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
248. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
249. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
250. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
251. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
252. W|cape|mentelle shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=245
253. W|cape|mentelle shiraz|??|r|shiraz|??|??|2009|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
254. W|cape|mentelle shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
255. W|cape|mentelle shiraz|??|r|shiraz|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=254
256. W|cape|mentelle shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
257. W|cape|mentelle shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=256
258. W|cape|mentelle shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
259. W|cape|mentelle shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=258
260. W|cape|mentelle shiraz|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=258
261. W|cape|mentelle shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
262. W|cape|mentelle shiraz australia|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
263. W|cape|mentelle shiraz cabernet|??|r|shiraz|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
264. W|cape|mentelle shiraz cabernet 2018 new|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
265. W|cape|mentelle shiraz margaret river|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
266. W|cape|mentelle shiraz margaret river 2020 12 bottles|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
267. W|cape|mentelle shirazcabernet margaret river|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
268. W|cape|mentelle sixteen hectares chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
269. W|cape|mentelle sixteen hectares chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
270. W|cape|mentelle trinders cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
271. W|cape|mentelle trinders cabernet merlot|??|r|merlot|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
272. W|cape|mentelle trinders cabernet merlot 2015 margaret river|??|r|merlot|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
273. W|cape|mentelle trinders cabernet merlot 2016 margaret river|??|r|merlot|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
274. W|cape|mentelle trinders cabernet merlot 2017 margaret river|??|r|merlot|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
275. W|cape|mentelle trinders cabernet merlot 2022 12 bottles|??|r|merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
276. W|cape|mentelle trinders cabernet merlot 2022 margaret river|??|r|merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
277. W|cape|mentelle trinders shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
278. W|cape|mentelle trinders shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=277
279. W|cape|mentelle trinders shiraz cabernet|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=277
280. W|cape|mentelle trinders shiraz cabernet|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
281. W|cape|mentelle trinders shiraz cabernet|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=280
282. W|cape|mentelle trinders shiraz cabernet 2018 margaret river|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
283. W|cape|mentelle trinders shiraz cabernet margaret river 2018 12 bottles|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
284. W|cape|mentelle wallcliffe merlot petit verdot|??|r|merlot|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
285. W|cape|mentelle wallcliffe merlot petit verdot malbec 2017 12 bottles|??|r|malbec|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
286. W|cape|mentelle wallcliffe reserve sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
287. W|cape|mentelle wallcliffe sauvignon blanc 2022 12 bottles|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
288. W|cape|mentelle wallcliffe sauvignon blanc semillon|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
289. W|cape|mentelle wallcliffe sauvignon blanc semillon margaret river 2019 12 bottles|??|w|sauvignon blanc|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
290. W|cape|mentelle western australia shiraz|??|r|shiraz|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
291. W|cape|mentelle wilyabrup margaret river cabernet sauvignon|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
292. W|cape|mentelle zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
293. W|cape|mentelle zinfandel|??|r|zinfandel|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
294. W|cape|mentelle zinfandel|??|r|zinfandel|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
295. W|cape|mentelle zinfandel margaret river 2022 12 bottles|??|r|zinfandel|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
296. W|cape|moby chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
297. W|cape|moby red|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|cape|moby red hunfelds favorit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|cape|moby red springfontein wine estate 2021 zuid afrika walker bay rood|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
300. W|cape|moby semillon|??|r|semillon|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|cape|moby white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
302. W|cape|moby white springfontein wine estate 2021 zuid afrika walker bay wit|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
303. W|cape|naturaliste sauvignon blanc semillon|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
304. W|cape|nomade a col|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|cape|nomade impermeable|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|cape|of good hope 2021 sneeuwkrans pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cape|of good hope 2025 altima sauvblanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
308. W|cape|of good hope altima sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
309. W|cape|of good hope altima sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=308
310. W|cape|of good hope altima sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=308
311. W|cape|of good hope altima sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=308
312. W|cape|of good hope altima sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
313. W|cape|of good hope altima sauvignon blanc 2025 elandskloof|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
314. W|cape|of good hope altima sauvignon blanc 2025 x6|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
315. W|cape|of good hope altima sauvignon blanc 2025 x6|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco|=314
316. W|cape|of good hope basson pinotage 2017 swartland|za|r|??|swartland|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cape|of good hope basson pinotage|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|cape|of good hope caroline|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cape|of good hope caroline 2022 riebeeksrivier swartland|za|r|??|swartland|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|cape|of good hope chenin blanc south africa 6 case|za|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
321. W|cape|of good hope laing groendruif 2022 citrusdal mountains|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cape|of good hope laing groendruif semillon|??|r|semillon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|cape|of good hope laing groendruif semillon|??|r|semillon|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|cape|of good hope laing semillon|??|r|semillon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. X
326. W|cape|of good hope riebeeksr chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
327. W|cape|of good hope riebeeksriver chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
328. W|cape|of good hope riebeeksrivier caroline|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|cape|of good hope riebeeksrivier caroline|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=328
330. W|cape|of good hope riebeeksrivier caroline|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
332. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=331
333. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=331
334. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
335. W|cape|of good hope riebeeksrivier chenin blanc 2024 swartland|za|w|??|swartland|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
336. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
337. W|cape|of good hope riebeeksrivier chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=336
338. W|cape|of good hope riebeeksrivier chenin blanc 2025 case of bottles|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
339. W|cape|of good hope riebeeksrivier chenin blanc 2025 x6|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
340. W|cape|of good hope riebeeksrivier chenin blanc 2025 x6|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=339
341. W|cape|of good hope riebeeksrivier sslope|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
343. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=342
344. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=342
345. W|cape|of good hope riebeeksrivier syrah 2020 swartland|za|r|syrah|swartland|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
346. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
347. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=346
348. W|cape|of good hope riebeeksrivier syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=346
349. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
350. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=349
351. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=349
352. W|cape|of good hope serruria chardonnay 2017 elandskloof|??|w|chardonnay|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
353. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
354. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
355. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=354
356. W|cape|of good hope serruria chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=354
357. W|cape|of good hope serruria chardonnay 2024 case of bottles|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
358. W|cape|of good hope serruria chardonnay 2024 elandskloof|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
359. W|cape|of good hope sneeukrans pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
360. W|cape|of good hope sneeuwkrans pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
361. W|cape|of good hope sneeuwkrans pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
362. W|cape|of good hope sneeuwkrans pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=360
363. W|cape|of good hope sneeuwkrans pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|cape|of good hope sneeuwkrans pinot noir 2018 elandskloof overberg|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cape|of good hope sneeuwkrans pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|cape|of good hope sneeuwkrans pinot noir 2021 case of bottles|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cape|of good hope southern slopes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|cape|of good hope southern slopes 2017 riebeeksrivier swartland|za|r|??|swartland|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
369. W|cape|original cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
370. W|cape|original chenin blanc western cape 2024 white dry 12 075|za|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
371. W|cape|original shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
372. W|cape|pastoral grenache rose|??|p|grenache|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
373. W|cape|pastoral organic cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
374. W|cape|pastoral organic cabernet sauvignon merlot 3 bottle minimum|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
375. W|cape|point deep sea fishing experience|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|cape|point fresh 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|cape|point isliedh|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|cape|point isliedh|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|cape|point isliedh sauvignonsemillon|??|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
380. W|cape|point isliedh white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
381. W|cape|point isliedh white bl bdx|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
382. W|cape|point noordhoek|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|cape|point noordhoek sauv blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
384. W|cape|point noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
385. W|cape|point noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
386. W|cape|point noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
387. W|cape|point sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
388. W|cape|point sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
389. W|cape|point sauvignon blanc noordhoek cape town|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
390. W|cape|point sauvignon blanc reserve|??|w|sauvignon blanc|??|??|2022|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
391. W|cape|point vineyards cape town isliedh|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cape|point vineyards cape town sauvignon blanc reserve|??|w|sauvignon blanc|??|??|2023|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
393. W|cape|point vineyards chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
394. W|cape|point vineyards chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=393
395. W|cape|point vineyards chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
396. W|cape|point vineyards chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
397. W|cape|point vineyards coastal region sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
398. W|cape|point vineyards isleigh|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|cape|point vineyards isliedh|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|cape|point vineyards isliedh|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|cape|point vineyards isliedh|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|cape|point vineyards isliedh|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=401
403. W|cape|point vineyards isliedh|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|cape|point vineyards isliedh|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=403
405. W|cape|point vineyards isliedh|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=403
406. W|cape|point vineyards noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
407. W|cape|point vineyards noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
408. W|cape|point vineyards noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=407
409. W|cape|point vineyards noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=407
410. W|cape|point vineyards noordhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=407
411. W|cape|point vineyards noordhoek sauvignon blanc 750ml13 south africa|za|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
412. W|cape|point vineyards noordhoek sauvignon blanc x6|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
413. W|cape|point vineyards noorhoek sauv blanc 2023 x6|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
414. W|cape|point vineyards noorhoek sauv blanc 2023 x6|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=413
415. W|cape|point vineyards noorhoek sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
416. W|cape|point vineyards reserve red|??|r|??|??|??|2023|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
417. W|cape|point vineyards reserve sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
418. W|cape|point vineyards sauvblanc reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
419. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
420. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=419
