W|vino|gran 120 red blend 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso pedro ximenez nectar|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|generoso para consagrar ucero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso para consagrar ucero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=231
W|vino|generoso para consagrar santorini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso para consagrar eclessia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso para consagrar ecclesia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso palo cortado viejo cp vos valdespino jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso palo cortado no 7 alvear|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso palo cortado cardenal vors valdespino do jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso oporto tawny do oporto portugal|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny 7 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny 20 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny 10 anos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oporto ferreira tawny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=244
W|vino|generoso oporto ferreira dona antonia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso oloroso don gonzalo vos do jerezxeressherry espana|??|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso oloroso asuncion alvear|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso moscatel toneles viejisimo do jerezxeressherry espana|??|r|moscatel|andalucia|jerez|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso mineo marsala fine sweet|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|doce
W|vino|generoso mineo marsala fine sweet|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|doce|=250
W|vino|generoso mineo marsala fine sweet|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|doce|=250
W|vino|generoso mineo marsala fine dry|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso mineo marsala fine dry|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|dry|=253
W|vino|generoso merlot ticino doc|??|r|merlot|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|generoso martini vermouth rosso|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso martini vermouth extra dry|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|extra dry
W|vino|generoso martini vermouth blanco|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso marsala fine ip mineo|??|f|??|??|??|NV|17|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso manzanilla la especial 2016 do manzanillasanlucar espana|??|f|??|andalucia|sanlucar de barrameda|2016|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso la cetto passito|??|d|??|??|??|NV|12|??|encorpado|sobremesas; queijos azuis|doce
W|vino|generoso la cetto moscatel y palomino|??|r|palomino|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso la cetto moscatel palomino|??|r|palomino|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso la cetto moscatel palomino|??|r|palomino|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=263
W|vino|generoso fino serie 3 ximenezspinola do jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso fino inocente valdespino do jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso fino capataz alvear|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso ferrino moscatel|??|r|moscatel|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso ferrino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso ferreira blanco oporto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso dr porto vintage 2017 do oporto portugal|pt|f|??|??|??|2017|20|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso don zoilo palo oloroso|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso don zoilo palo cortado|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso don luis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso don luis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=274
W|vino|generoso don luis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=274
W|vino|generoso cream sherry canasta|??|f|??|??|??|NV|15|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso consagrar eminencia vargas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso burmester tawny reserve jockey club blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso burmester tawny porto blend|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vino|generoso burmester ruby reserve sotto voce blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generoso amontillado tio diego valdespino do jerez espana|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|generoso agrironcao dr port vintage blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generacion 76|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|generacion 73|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gen tio pepe jerez fino muy seco|es|f|??|andalucia|jerez|NV|15|??|encorpado|sobremesas; queijos azuis|dry
W|vino|geisweiler grand vin cuvee bourgogne 1973|??|r|??|??|??|1973|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gedeon sabor quinado x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ge emiliana ensamblaje organico biodinamico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gazur|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gavi neirano docg 2022|it|r|??|piemonte|gavi|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|gaudusson crianza 2002|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaudium 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaudeo single vineyard malbec san pablo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gattinara docg 1971|??|r|??|??|??|1971|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|gato tinto tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato tinto merlot 12 botellon 15lts|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato tinto 12 botellon 15lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premiun sauvignon blanc 115 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato premiun sauvignon b|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premiun sauvignon b|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=301
W|vino|gato premiun cabernet s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premiun cabernet s|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=303
W|vino|gato premium sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato premium sauvignon blanc 187cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato premium merlot 12 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium carmenere 12 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium cabernet sauvignon 187cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium cabernet sauvignon 12 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato premium cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro semi sweet white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gato negro semi sweet white|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=314
W|vino|gato negro semi sweet tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gato negro semi sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gato negro semi sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=317
W|vino|gato negro semi sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=317
W|vino|gato negro sauvignon blanco|??|r|sauvignon blanc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro sauvignon blanc media|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro sauvignon blanc botella|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro sauvignon blanc botella|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=322
W|vino|gato negro sauvignon blanc botella|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=322
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=325
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=325
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=325
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=325
W|vino|gato negro sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=325
W|vino|gato negro rosse rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gato negro rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gato negro rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=332
W|vino|gato negro rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gato negro rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=334
W|vino|gato negro rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=334
W|vino|gato negro picolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro piba cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro piba cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=338
W|vino|gato negro piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro merlot vaso|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro merlot botella|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=343
W|vino|gato negro media|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro media|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=350
W|vino|gato negro malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|gato negro chardonnay 2022|??|w|chardonnay|??|??|2022|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro chardonay botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro carmenere botella|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=363
W|vino|gato negro cabernetmerlot bivarietal|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet sauvignon rose|??|p|cabernet sauvignon|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gato negro cabernet sauvignon rose|??|p|cabernet sauvignon|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=369
W|vino|gato negro cabernet sauvignon piba|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|gato negro cabernet merlot gratis torta gato negro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|gato negro cabernet bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet 9 lives sauvignon reserve|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet 12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=389
W|vino|gato negro cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=389
W|vino|gato negro breeze tropical|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro breeze tropical|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=392
W|vino|gato negro breeze|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro botella speaker|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro blanco semi sweet botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gato negro blanco semi sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|gato negro blanco semi sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=397
W|vino|gato negro blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro apasionado 9 lives red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 vidas emsamble botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 vidas carmenere botella|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 vidas cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 vidas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 lives reserve cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 9 lives reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 750c malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 750c chardonay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro 750c carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=410
W|vino|gato merlot botellon 1500cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato merlot 1 x 8 un|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=414
W|vino|gato merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=414
W|vino|gato merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=414
W|vino|gato merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=414
W|vino|gato gordo mencia b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato gordo essence blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato gordo cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato gordo blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato carmenere botellon 1500cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato carmenere 12 700cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato carmenere 1 x 8 un|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=426
W|vino|gato cabernet sauvignon tetra|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato cabernet sauvignon caja|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato cabernet sauvignon botellon 1500cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato cabernet sauvignon 1 x 8 un|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=432
W|vino|gato cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=432
W|vino|gato cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=432
W|vino|gato cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=432
W|vino|gato botellon merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato botellon carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco tetra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=439
W|vino|gato blanco caja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco 700cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco 115o 2lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco 1 x 8 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vino|gato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vino|gasificado rivelino rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gasificado rivelino blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gasificado ritual rosada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gasificado ritual blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gasificado magestic rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gasificado magestic blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gasificado gran celebracion rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gasificado gran celebracion blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gasificado casa doma rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gasificado casa doma blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon viognier de corte|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon viognier de corte|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=461
W|vino|garzon tannat reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
