W|galega|fekete olajbogyokrem 90 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|galia|villages|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|galia|villages|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|galia|villages|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|galia|villages vdt castilla y leon galia by bodega el regajal 075|es|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages vdt castilla y leon galia by bodega el regajal 075|es|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages jerome bougnaud tierra de leon|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galia|villages tinto fino|??|f|??|??|??|2018|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|galia|villages vdt 19|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiano|galiano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiano|amarillo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiano|vanilla 30|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiardi|rosato doc|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|galibaou|du russe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|bijelo 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|bijelo 9 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|bijelo 9|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|bijelo 9 wine 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|black 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|black 9 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|black 9 1 with wooden box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|blanc de blancs brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|galic|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galic|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|chardonnay 075|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|chardonnay wine 0|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|crno 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|crno 9 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|crno 9|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|crno 9 wine 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|g tocka bijelo 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|g tocka crno 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|gpoint red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|gpoint white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|grand reserve 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grande reserve blanc de blancs 0|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|grande reserve brut natur|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galic|grande reserve brut natur 0|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galic|grasevina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|galic|grasevina 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|galic|grasevina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|galic|grasevina kasna berba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina vrhunska|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina wine 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina wine 0 12x pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|grasevina wine 0 6x pack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|gspot|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|gtocka bijelo 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|gtocka crno 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|le clos 9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|le closs 9 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|macerator|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|macerator 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|mixed wine case|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|pinot crni 075|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|pinot noir|??|r|pinot noir|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|pinot noir wine 0|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|pjenusac code black 639 brut nature vintage|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|galic|pjenusac code rose 528 extra brut|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|galic|pjenusac code white 396 brut|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|galic|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=304
W|galic|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=304
W|galic|rose 0|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose 075|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose 15|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose 30|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|rose wine 0|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galic|sauvignon|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|sauvignon 6 butelja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=315
W|galic|sauvignon blanc 0|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|sauvignon blanc 075|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galic|sauvignon wine 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|vino bijelo 9|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|vino crno 9|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galic|white 9|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galichets|galichets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galichets|galichets|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galichets|domaine de la chevalerie|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galichets|bourgueil ac|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiciai|modra keszult polip pastetom|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galiciai|polippastetom 120 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galician|cockle in seawater|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galician|irish red|??|r|??|??|??|1906|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galician|mussels in spicy escabeche narval premium mytilus galloprovincialis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galician|razor clams in brine la narval|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicie|baskenland|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicien|galicien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|bianco salaterka 154cm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galicja|bianco talerz deserowy 20cm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galicja|bianco talerz geboki 23cm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galicja|bianco talerz pytki 25cm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galicja|dzbanek zaroodporny marta 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|forma nieprzywieralna do muffinek ideal 35 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|korkociag 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|krajacz do jabek 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|nakuwacz do miesa 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|noz boston 2szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|noz do pizzy 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|nozyk do warzyw 65cm 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|nozyk do warzyw 6cm mix kolorow 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|opatka do miesa 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|opatka do nalesnikow drewniana 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|opatka scandi 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|radeko do ciasta podwojne 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|salaterka aurora 152cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|salaterka aurora 203cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|siekacz do ciasta kruchego 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|sitko zielone 7cm 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|skrobak do warzyw 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|szczypce do makaronu szary ciemny 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|szczypce z sitkiem 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|szklanka capri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|szumowka 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|tortownica nieprzywieralna ideal 20 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|tortownica nieprzywieralna ideal 26 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|tortownicababka 2w1 ideal 24cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|ubijak do piany 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|widelec boston 3szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|wyciskacz do czosnku 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzeczka boston 3szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzeczka do cukru boston 1szt|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzeczka long drink boston 3szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzka 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzka boston 3szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galicja|yzka do spagetti 1szt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galie|astoria|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galie|prosecco doc treviso|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|galie|treviso doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=376
W|galil|alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=376
W|galil|alon red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|alon white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|amba mango pickles in jar 630g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|aviv red 24|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|avivim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|ela|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|ela|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|galil|ela red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=390
W|galil|grenache|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|hatzuk single vineyard|gb|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mahroum baklawa assorted 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|merlot israel|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|meron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|meron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|galil|mountain kosher rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galil|mountain alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=399
W|galil|mountain alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=399
W|galil|mountain alon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=399
W|galil|mountain alon 1|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain alon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain alon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=404
W|galil|mountain alon 23|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain alon red|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain alon white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain alon white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain alon white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=409
W|galil|mountain alon white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain alon white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=411
W|galil|mountain alon white 23|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain avivim|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain avivim dry white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain bar cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain bar cabernet sauvignon 24|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain bar rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|galil|mountain bar syrah 20212022|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain blanc de noir|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain blanc de noir|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=420
W|galil|mountain cabernet 23|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=423
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=423
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=423
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon half 0|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon half 0|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=428
W|galil|mountain cabernet sauvignon kosher red wine|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=431
W|galil|mountain cabernet sauvignon galilee|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon kosher|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernet sauvignon upper galilee|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain cabernetsauvignon|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain classic merlot 20|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain classic sauvignon blanc 19|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain ela|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela 1|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=441
W|galil|mountain ela 23|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela red 20202021|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela red kosher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain ela sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain friendship box set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain friendship set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain galil alon red blend|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain grenache 16|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain grenache|??|r|grenache|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain hatzuk vineyard merlot|gb|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain haverim|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain haverim|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=453
W|galil|mountain kosher chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|galil|mountain merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=456
W|galil|mountain merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=456
W|galil|mountain merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=456
W|galil|mountain merlot 16 375 half size|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain merlot|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain merlot half 0|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain merlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=463
W|galil|mountain merlot upper galilee|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain meron 17|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain meron 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain meron|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain misgav am vineyard|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|galil|mountain pinot noir 16|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
