W|valdespino|la especial miraflores 2016|es|f|palomino|andalucia|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pezas da portela|es|w|??|valdeorras|??|NV|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pedrouzos 2022|es|w|??|valdeorras|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pedrouzos 2016|es|w|??|valdeorras|??|2016|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|pedrouzos 2008|es|w|??|valdeorras|??|2008|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|o chao|es|w|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|montenovo godello 2022|es|w|godello|valdeorras|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|montenovo godello 2020|es|w|godello|valdeorras|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|montenovo godello|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|montenovo godello|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=206
W|valdesil|montenovo blanco 2021|es|w|??|valdeorras|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|montenovo blanco 2021|es|w|??|valdeorras|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=208
W|valdesil|montenovo 2024|es|w|??|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|montenovo|es|w|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|godello valdeorras|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|godello sobre lias 2022|es|w|godello|valdeorras|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|godello sobre lias|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|godello sobre lias|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=214
W|valdesil|godello lias 2022|es|w|godello|valdeorras|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|godello|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil|2024|es|w|??|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|2024|es|w|??|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=218
W|valdesil|2023|es|w|??|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|2016 mencia valderroa|es|r|mencia|valdeorras|??|2016|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesil|2014 sobre lias godello|es|w|godello|valdeorras|??|2014|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdesil||es|w|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdesalas|godello|??|w|godello|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valderramiro||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X
W|valderrama|smoked arbequina ahumado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valderrama|smoked arbequina ahumado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=227
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
W|valderrama|nelson tanate blend librije|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
X|=226
W|valderiz|valderiz 2019|es|r|??|ribera del duero|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso roble ribera del duero tempranillo|es|r|tempranillo|ribera del duero|??|NV|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso roble 2018|es|r|??|ribera del duero|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso ribera del duero roble 2022|es|r|??|ribera del duero|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso joven 2024|es|r|??|ribera del duero|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso joven 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso joven 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=260
W|valderiz|valdehermoso joven 2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso joven|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso crianza 2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso crianza 2018|es|r|??|ribera del duero|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso crianza|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|valdehermoso crianza|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=266
W|valderiz|valdehermoso crianza|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=266
W|valderiz|valdehermoso 9 meses roble 2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban ribera del duero do 2015|es|r|??|ribera del duero|??|2015|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban 2017|es|r|??|ribera del duero|??|2017|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban 2014|es|r|??|ribera del duero|??|2014|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban 2010|es|r|??|ribera del duero|??|2010|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban 2006|es|r|??|ribera del duero|??|2006|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|tomas esteban|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|sitio de valdehermoso 9 meses 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|sitio de valdehermoso|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|senorio de valdehermoso ribera del duero|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|roble sitio de valdehermoso 2022|es|r|??|ribera del duero|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|ribera del duero 2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|ribera del duero 2019|es|r|??|ribera del duero|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|ribera del duero 2018|es|r|??|ribera del duero|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|juegabolos 2019|es|r|??|ribera del duero|??|2019|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valderiz|juegabolos 2019|es|r|??|ribera del duero|??|2019|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco|=283
W|valderiz|juegabolos 2016|es|r|??|ribera del duero|??|2016|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valderiz|juegabolos|es|r|??|ribera del duero|??|NV|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valderiz|juegabolos|es|r|??|ribera del duero|??|NV|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco|=286
W|valderiz|joven 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|de chiripa 2019|es|r|??|ribera del duero|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|de chiripa|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|crianza 2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2024 valdehermoso joven ribera del duero|es|r|??|ribera del duero|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2021 ribera del duero|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=294
W|valderiz|2020 ribera del duero|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz|2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=297
W|valderiz|2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=297
W|valderiz|2018|es|r|??|ribera del duero|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz||es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderiz||es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=301
W|valderiz||es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=301
W|valderiz||es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=301
W|valderivero|verdejo branco 2024|es|w|verdejo|ribera del duero|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valderivero|verdejo 2024|es|w|verdejo|ribera del duero|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valderivero|verdejo 2023|es|w|verdejo|ribera del duero|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valderivero|verdejo|es|w|verdejo|ribera del duero|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valderivero|verdejo|es|w|verdejo|ribera del duero|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=308
W|valderivero|roble ribera del duero 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|roble ribera del duero|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|roble 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|roble 2022|es|r|??|ribera del duero|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|roble|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|reserva|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|joven ribera del duero do|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|joven 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|joven 2022|es|r|??|ribera del duero|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|joven|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|crianza 2020|es|r|??|ribera del duero|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valderivero|crianza|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
X|=226
W|valderba|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valderba|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valderba|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valderba|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valderala||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdequemao|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdequemao|pardina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdequemao|macabeo|??|w|macabeo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdequemao|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepoleo|magnum 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepoleo|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila|milenico 2016 ribera del duero spain|es|r|??|ribera del duero|??|2016|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila|doble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila|de milenico ribera del duero 2013|es|r|??|ribera del duero|??|2013|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila|2016 milenico ribera del duero|es|r|??|ribera del duero|??|2016|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepila||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=338
W|valdepenas|gran reserva 1996|es|r|??|valdepenas|??|1996|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepenas|gran reserva 1996|es|r|??|valdepenas|??|1996|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=340
W|valdepedro|de ostatu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|tinto 2024 12 botellas|es|r|??|rioja|??|2024|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|rosado 2024 12 botellas|es|p|??|rioja|??|2024|12.5|DOCa|leve|saladas, sushi, petiscos|seco
W|valdepalacios|rioja crianza tempranillo 2021|es|r|tempranillo|rioja|??|2021|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|rioja 2024 spain|es|r|??|rioja|??|2024|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|rioja 2023 spain|es|r|??|rioja|??|2023|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|rioja 2022 spain|es|r|??|rioja|??|2022|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|crianza 2020 12 botellas|es|r|??|rioja|??|2020|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|crianza|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|crianza|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco|=350
W|valdepalacios|cosecha|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepalacios|blanco 2024 12 botellas|es|w|??|rioja|??|2024|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdepablo|vino para consagrar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepablo|rojo vermouth|??|f|palomino|??|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdepablo|gran anada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdepablo|blanco vermouth|??|f|palomino|??|??|NV|17|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|valdepablo|bio white sangria|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdeorras|tempestad|es|r|??|valdeorras|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|virgen del galir|valdeorras mencia do val do galir 2023 virgen del galir cvne|es|r|mencia|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|virgen del galir|valdeorras mencia do val do galir 2023 virgen del galir cvne|es|r|mencia|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=360
W|virgen del galir|valdeorras mencia do val do galir 2023 virgen del galir cvne|es|r|mencia|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=360
W|virgen del galir|valdeorras mencia do val do galir 2023 virgen del galir cvne|es|r|mencia|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=360
W|virgen del galir|valdeorras mencia do val do galir 2023 virgen del galir cvne|es|r|mencia|valdeorras|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=360
W|virgen del galir|valdeorras mencia do maruxa 2024 virgen del galir cvne|es|r|mencia|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|virgen del galir|valdeorras mencia do maruxa 2024 virgen del galir cvne|es|r|mencia|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=365
W|virgen del galir|valdeorras mencia do maruxa 2024 virgen del galir cvne|es|r|mencia|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=365
W|virgen del galir|valdeorras mencia do maruxa 2024 virgen del galir cvne|es|r|mencia|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=365
W|virgen del galir|valdeorras mencia do maruxa 2024 virgen del galir cvne|es|r|mencia|valdeorras|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=365
W|virgen del galir|valdeorras godello do val do galir 2025 virgen del galircvne|es|w|godello|valdeorras|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|virgen del galir|valdeorras godello do val do galir 2025 virgen del galircvne|es|w|godello|valdeorras|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=370
W|virgen del galir|valdeorras godello do val do galir 2025 virgen del galircvne|es|w|godello|valdeorras|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=370
W|virgen del galir|valdeorras godello do val do galir 2025 virgen del galircvne|es|w|godello|valdeorras|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=370
W|virgen del galir|valdeorras godello do val do galir 2025 virgen del galircvne|es|w|godello|valdeorras|??|2025|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=370
W|casa rojo|valdeorras godello do the orange republic 2024 casa rojo|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|casa rojo|valdeorras godello do the orange republic 2024 casa rojo|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=375
W|casa rojo|valdeorras godello do the orange republic 2024 casa rojo|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=375
W|virgen del galir|valdeorras godello do maruxa 2024 virgen del galir cvne|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|virgen del galir|valdeorras godello do maruxa 2024 virgen del galir cvne|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=378
W|virgen del galir|valdeorras godello do maruxa 2024 virgen del galir cvne|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=378
W|virgen del galir|valdeorras godello do maruxa 2024 virgen del galir cvne|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=378
W|virgen del galir|valdeorras godello do maruxa 2024 virgen del galir cvne|es|w|godello|valdeorras|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=378
W|a coroa|valdeorras godello a coroa adega a coroa|es|w|godello|valdeorras|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|alberto orte|valdeorras escalada do sil 2022 bodega alberto orte|es|r|??|valdeorras|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras escalada do sil 2021 bodega alberto orte|es|r|??|valdeorras|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras escalada do sil 2020 bodega alberto orte|es|r|??|valdeorras|??|2020|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras escalada do sil 2019 bodega alberto orte|es|r|??|valdeorras|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras escalada do sil 2018 bodega alberto orte|es|r|??|valdeorras|??|2018|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras escalada do sil 2017 bodega alberto orte|es|r|??|valdeorras|??|2017|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras a portela 2021 bodega alberto orte|es|r|??|valdeorras|??|2021|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras a portela 2020 bodega alberto orte|es|r|??|valdeorras|??|2020|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras a portela 2019 bodega alberto orte|es|r|??|valdeorras|??|2019|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|alberto orte|valdeorras a portela 2016 bodega alberto orte|es|r|??|valdeorras|??|2016|20|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeorite|spain rose brut cava|??|s|??|??|??|NV|12|AVA|leve|aperitivos, frutos do mar, canapes|brut
W|valdeorite|spain brut cava|??|s|??|??|??|NV|12|AVA|leve|aperitivos, frutos do mar, canapes|brut
W|valdeorite|rutas del arte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeorite|rutas de la pasion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeorite|lar de barros tempranillo|??|r|tempranillo|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdeorite|cava rose nv|??|s|??|??|??|NV|12|AVA|leve|aperitivos, frutos do mar, canapes|brut
W|valdeorite|cava nv|??|s|??|??|??|NV|12|AVA|leve|aperitivos, frutos do mar, canapes|brut
W|valdeon|picos de europa pgi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeon|igp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeon|blue 200g|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeon||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeon||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=404
W|valdeon||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=404
W|valdeolmos|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdenvero|picual aove|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdenvero|coupage aove|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdenvero|cornicabra aove|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdenvero|arbequina aove|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdensis|bovy|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemoro|sauvignon blanc do valle central 2023|cl|w|sauvignon blanc|valle central|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdemoro|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemoro|chardonnay do valle central 2022|cl|w|chardonnay|valle central|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdemoro|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemoro|carmenere do valle central 2022|cl|r|carmenere|valle central|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemoro|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemoro|cabernet sauvignon do valle central 2020|cl|r|cabernet sauvignon|valle central|??|2020|13.5|DO|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoro|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|viura|es|w|viura|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdemoreda|tinto tempranillo 2018|es|r|tempranillo|rioja|??|2018|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|tinto tempranillo|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|tinto tempranillo|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco|=423
W|valdemoreda|tinto tempranillo|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco|=423
W|valdemoreda|tinto|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|tinto|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco|=426
W|valdemoreda|tempranillo tinto|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|tempranillo 2023|es|r|tempranillo|rioja|??|2023|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|tempranillo|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|rose garnacha 2021|es|p|garnacha|rioja|??|2021|12.5|DOCa|leve|saladas, sushi, petiscos|seco
W|valdemoreda|rose|es|p|??|rioja|??|NV|12.5|DOCa|leve|saladas, sushi, petiscos|seco
W|valdemoreda|rioja tempranillo 2023|es|r|tempranillo|rioja|??|2023|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
