W|vino|espumoso prospritz cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso langlois brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso langlois|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco tinto reggiano botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco terra calda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco san prospero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco rosso medici ermete botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco rosato medici ermete botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco rosado reggiano botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco riunite rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco riunite rojo botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco riunite moscato botella|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso lambrusco remigio premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco piccini tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco piccini tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=244
W|vino|espumoso lambrusco piccini tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=244
W|vino|espumoso lambrusco piccini rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco piccini rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=247
W|vino|espumoso lambrusco piccini rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco piccini blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco piccini blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=250
W|vino|espumoso lambrusco lunato tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco lunato tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=252
W|vino|espumoso lambrusco lunato tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco lunato rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco lunato rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco lunato rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=256
W|vino|espumoso lambrusco lunato blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco lunato blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=258
W|vino|espumoso lambrusco giacondi rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco giacondi blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco emilia tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco emilia rosato botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco emilia blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco decordi tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco decordi rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco decordi blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco cleto tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco cleto rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso lambrusco cleto blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco botticello rosso tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco botticello rosado dolce botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso lambrusco bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso lambrusco andiamo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la vieille ferme sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso la vieille ferme sparkling|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la santisima trinidad rose brut|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso la santisima trinidad pinot noir brut|??|s|pinot noir|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso la santisima trinidad dulce natural|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la rivetta 120 valdobbiadene docg villa sandi veneto italia|it|r|??|veneto|valdobbiadene|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la redonda espumoso dulce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la pieve prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso la nuestra burbujas de mision|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la marca prosseco rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso la marca prosseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la marca prosseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=285
W|vino|espumoso la marca prosseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=285
W|vino|espumoso la marca prosseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=285
W|vino|espumoso la marca prosecco rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso la marca prosecco rose|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=289
W|vino|espumoso la marca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso la marca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=291
W|vino|espumoso la marca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=291
W|vino|espumoso la marca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=291
W|vino|espumoso la linda extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso la gioiosa sin alcohol veneto italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la gioiosa prosecco treviso brut doc veneto italia|it|s|glera|veneto|treviso|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
W|vino|espumoso la gioiosa prosecco doc treviso rose|it|p|glera|veneto|treviso|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso la gioiosa moscato veneto italia|it|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso la gioiosa fragolino veneto italia 6 botellas|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la gioiosa fragolino veneto italia 3 botellas|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso la gioiosa fragolino dolce veneto italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso la blanquerie brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso la belle en bulle vignobles berthier francia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso kosher taanug brut cava espana|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso katich rosada bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jumbo bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp ice rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp fashion strawberry botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp divine muscat botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp divine muscat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chennet ice rosado 200m|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chennet ice blanco 200m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet strawberry piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet strawberry fashion botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet spritz botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet spritz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet sparlking rose bobal piba|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet sparkling rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet sparkling rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=319
W|vino|espumoso jp chenet sparkling rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=319
W|vino|espumoso jp chenet rose x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rose ice edition x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rose dry botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry
W|vino|espumoso jp chenet rose dry botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry|=324
W|vino|espumoso jp chenet rose dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry
W|vino|espumoso jp chenet rose dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry|=326
W|vino|espumoso jp chenet rose dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry|=326
W|vino|espumoso jp chenet rose dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|dry|=326
W|vino|espumoso jp chenet rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=330
W|vino|espumoso jp chenet rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=330
W|vino|espumoso jp chenet rose bobal|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=334
W|vino|espumoso jp chenet rosado ice|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rosado espumoso|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet rosada piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet rosa espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet iceblanc bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice surt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice rose fizzy|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rose edition botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=346
W|vino|espumoso jp chenet ice rosado variedad de uvas|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rosado piba variedad uvas piba|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rosado botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice rosado bot|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice roj mor bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice fizzy rose lata|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice fizzy rose lata|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=353
W|vino|espumoso jp chenet ice fizzy blanc lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice fizzy blanc lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|espumoso jp chenet ice edition rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice edition rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=357
W|vino|espumoso jp chenet ice edition rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet ice edition rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=359
W|vino|espumoso jp chenet ice edition rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=359
W|vino|espumoso jp chenet ice edition rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=359
W|vino|espumoso jp chenet ice edition piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice edition botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=365
W|vino|espumoso jp chenet ice blanco variedad de uva piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=373
W|vino|espumoso jp chenet ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=375
W|vino|espumoso jp chenet ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=375
W|vino|espumoso jp chenet ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fizzy spritz lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fizzy rose lata|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet fizzy rose lata|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=380
W|vino|espumoso jp chenet fizzy mimosa lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fizzy lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fizzy blanc lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion strawberry variedad de uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion strawberry raspberry botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion strawberry raspberry botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=386
W|vino|espumoso jp chenet fashion strawberry raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion strawberry raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=388
W|vino|espumoso jp chenet fashion strawberry raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=388
W|vino|espumoso jp chenet fashion strawberry raspberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=388
W|vino|espumoso jp chenet fashion strawberry piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion strawberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion cassis variedad de uvas piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion cassis variedad de uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion cassis botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion cassis botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=396
W|vino|espumoso jp chenet fashion cassis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet fashion cassis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=398
W|vino|espumoso jp chenet fashion cassis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=398
W|vino|espumoso jp chenet espumoso ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet espumoso ice blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet divine brut bot|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet divine brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet demisec variedad de uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demisec muscat divine botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demisec ice blanca botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demisec botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demisec botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=408
W|vino|espumoso jp chenet demi sec ice blanco variedad de uva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jp chenet demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=411
W|vino|espumoso jp chenet demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec|=411
W|vino|espumoso jp chenet chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso jp chenet cassis piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet cassis fashion botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet cassis botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet cassis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet brut variedad de uvas piba|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut variedad de uvas|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut piba|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut espumoso|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut chardonnay divine botella|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jp chenet brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=424
W|vino|espumoso jp chenet blanco ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet blanco espumoso ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet blanco espumoso ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
W|vino|espumoso jp chenet blanco espumoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet blanca piba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet blanc ice edition x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet 750c strawberry|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet 750c ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jp chenet 750c ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet 750c fashion cas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chenet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jp chardonnay blanco divine brut botella|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jeff carrel mousstache rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jeff carrel mousstache chenin blanc|??|w|chenin blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|espumoso jean perrier et fils cremant de savoie brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jdelmare cremant de loire prestige millesime brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jdelmare cremant de loire brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jaume serra semisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso jaume serra rose demi|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jaume serra rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso jaume serra ice blanco demi sec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|demi-sec
W|vino|espumoso jaume serra cava do brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso jaume serra blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ivon lescompte brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso ivon lescompte brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=449
W|vino|espumoso italiano riunite rojo lambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso italiano riunite moscato lambrusco|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso italiano riunite lambrusco rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso italiano donelli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso isabella fizzante tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso indigo eyes white brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso il fresco prosecco treviso doc brut villa sandi veneto italia|it|s|glera|veneto|treviso|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
