W|gh|mumm champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gh|von mumm riesling erntebringer|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gh17|wibs barossa valley cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh1n|gh1n|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gh29|20 7846|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghaa|aaa3aa3aaa3 aa14 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghaa|aaa3aa3aaa3 nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghaa|rsrv aa14 aa a nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghammi|ghammi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghammi|ghammi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=234
W|ghammi|20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghareeb|zolezzi friends red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gharly|head viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|ghazal|basmati 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghb|agility poles 50 sports soccer training polesdetachable speed training equipment football accessories with rubber base|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghebe|cu gogosari marinate 350g invie traditia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghebe|in saramura md|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|barbera dalba superiore doc|??|r|barbera|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|dolcetto dalba|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gheddo|dolcetto dalba doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gheddo|e le langhe selezione 6 bottiglie|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|langhe nebbiolo langhe nebbiolo doc vino rosso|it|r|nebbiolo|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gheddo|tinaar bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gheddo|tinaar bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gheddo|tinaar piemonte italy white blend|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gheddo|vino bianco tinaar|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|ghee|ghee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|170 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|240|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|300 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|35 k|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|agni 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|bio 220 g finck naturkost|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|bio 240gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|butter family pack ghee 500g butter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|con ajo 170 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|con ajo y cilantro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|con finas hierbas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|cooking organic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|de bufala|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|de bufala con ajo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|de bufala con curcuma|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|de bufala con hierbas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|dennree 240gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|earth s finest 265g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|en spray mantequilla clarificada karavansay g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|geitenboter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|ghee|mantequilla clarificada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=277
W|ghee|mantequilla clarificada 200g el ingenio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada ajo karavansay g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada albahaca karavansay g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada karavansay gramos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada karavansay gramos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|ghee|mantequilla clarificada karavansay g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|mantequilla clarificada oregano karavansay g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|naturel groot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|naturel klein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|prana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|remeker 750g marche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|rozemarijn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghee|vacas felices|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheeartesano|finas hierbas y ajo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheeartesano|original 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|barbera dazzurro|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|cabanha cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|cabernet sauvignon bag in box|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gheller|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=299
W|gheller|crepusculum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|malbec edicao especial|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|malbec gold edition|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|merlot bag in box|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|monte azurro triplice rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|monte azzurro crepusculum|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|monte azzurro triplice rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|premium cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|premium malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|premium syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|regressus barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|sempiterno tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|sempiterno tannat|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|tannat cabanha cuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|trebbiano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gheller|vinho tinto gran reserva monte azzurro triplice rosso|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|vinho tinto malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|vinho tinto tannat|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|vitral|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|vitral|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gheller|vitral gran reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|ghemme|??|r|??|??|??|1956|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|ghemme|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|ghemme|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|ghemme|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|agostino|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|anno primo cantalupo antichi vigneti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|antichi cantalupo|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|antichi cantalupo|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=332
W|ghemme|antichi cantalupo|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=332
W|ghemme|antichi cantalupo|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=332
W|ghemme|antichi vigneti|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|antichi vigneti|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=336
W|ghemme|antichi vigneti|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=336
W|ghemme|antichi vigneti|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=336
W|ghemme|antichi vigneti|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|antichi vigneti|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|ghemme|antichi vigneti|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|ghemme|antichi vigneti|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|ghemme|antichi vigneti di cantalupo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|antichi vigneti di cantalupo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|ghemme|antichi vigneti di cantalupo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|ghemme|antichi vigneti di cantalupo|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|ghemme|bianchi giuseppe|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|bianchi giuseppe doc|??|r|??|??|??|1969|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|bianchi giuseppe doc|??|r|??|??|??|1970|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|brugo doc|??|r|??|??|??|1961|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|brugo doc|??|r|??|??|??|1967|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|chioso dei pomi rovellotti|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|collis breclem antichi vigneti di cantalupo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|collis breclemae|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|collis breclemae antichi vigneti di cantalupo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|collis carell antichi vigneti di cantalupo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|collis carellae|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|doc|??|r|??|??|??|1972|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|doc ponti|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|ghemme|docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=361
W|ghemme|docg|??|r|??|??|??|1973|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|ghemme|docg torraccia del piantavigna|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=368
W|ghemme|docg la piemontina|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg la piemontina|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg la piemontina|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=372
W|ghemme|docg|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg la piemontina|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg la piemontina|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|ghemme|docg azienda agricola miru|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|ghemme|docg cantalupo anno primo antichi vigneti di cantalupo|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|ghemme|docg chioso dei pomi|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg chioso dei pomi rovellotti|??|r|??|??|??|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg il chiosso|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg riserva|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg riserva|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=387
W|ghemme|docg victor ca nova|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg victor ca nova|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|ghemme|docg victor ca nova|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|ghemme|docg victor ca nova|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|docg vigne pelizzane nebbiolo|??|r|nebbiolo|??|??|2010|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|e gattinara orgogliosamente nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|ghemme|francoli|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|ghemme|francoli|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli red wine|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli rode wijn|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli rott vin|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|francoli docg|??|r|??|??|??|1971|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|g broglia|??|r|??|??|??|1966|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|gestione enopoli riserva doc|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|giulio gabri doc|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|giuseppe bianchi|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|giuseppe bianchi docg|??|r|??|??|??|1978|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|il motto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|ponti doc|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|riserva doc|??|r|??|??|??|1961|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|riserva doc|??|r|??|??|??|1962|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|riserva doc|??|r|??|??|??|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|riserva docg costa del salmino|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|riserva vigna torrazza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|sebastiani|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|torraccia del piantavigna|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|umberto fiore|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|valsesia|??|r|??|??|??|1956|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|vigna montechiaro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme|vigna pelizzane docg tre bicchieri gambero rosso|??|r|??|??|??|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme1964|franco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghemme1964|franco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=421
W|ghemme1964|franco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=421
W|ghenos|primitivo di manduria|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghenos|primitivo di manduria doc|??|r|primitivo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gheppio|ca de noci|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherardino|chianti classico riserva docg vignamaggio|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkin|bites with dill 670g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|290g ponti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|cornichons|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|cucumbers pickled crispy 680g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|grandma with horseradish|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|kuhne 24kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|mildsweet hengstenberg 670g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gherkins|min 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|omas with oak leaf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|pepinillos 600g jar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|pickled 680 gr jar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|pickled cucumbers 970g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gherkins|pickles 688g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghes|rose brut igt pieropan|??|s|??|??|??|nv|12|igt|leve|aperitivos, frutos do mar, canapes|brut
W|ghete|pu fete material desene crayon shinchan mar21|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghi|ouranos thymiopoulos vineyards|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghi|ouranos erde und himmel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghi|prepustene maslo wolfberry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|alcoholfree berry aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|alcoholfree original aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|ghia|aperitif alcohol free aperitif 169 floz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif alcohol free berry aperitif 169 floz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif new formula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif new formula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=452
W|ghia|aperitif nonalcoholic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|aperitif nonalcoholic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|ghia|aperitif nonalcoholic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|ghia|apertif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|ghia|berry aperitif|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
