W|vino|rosado montgras pink sin|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|robert mondavi merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|robert mondavi merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=254
W|vino|riscal tempranillo tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|riesling exploracion magnum 1|??|w|riesling|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ribas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|retinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|respeto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|reservado santa carolina merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|reservado santa carolina carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|reservado santa carolina cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|reservado malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|resalte origen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|republica de la boca malbec boca juniors|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|regalo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|reblum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|re manija malbec altamira|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao verdejo reserva|??|w|verdejo|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|ramon bilbao verdejo blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ramon bilbao verdejo blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=271
W|vino|ramon bilbao verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|ramon bilbao verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=273
W|vino|ramon bilbao verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=273
W|vino|ramon bilbao verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=273
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=277
W|vino|ramon bilbao reserva tempranillo|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=285
W|vino|ramon bilbao mirto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=293
W|vino|ramon bilbao gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=293
W|vino|ramon bilbao edicion limitada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|ramon bilbao crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=298
W|vino|r cinsault grenache jp chenet|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|quintaluna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|quinta del 67|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|quinta de tars|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|quest|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|querc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|querc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=311
W|vino|queirolo rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|queirolo magdalena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|queirolo borgona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|queirolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|quebranta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|qaramy malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|qaramy latido malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|qaramy cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|qaramy 600 blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pyros valle de pedernal malbeccabernet|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|purgatori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pulpo albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|pulpo albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=324
W|vino|psi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pruno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pruno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=327
W|vino|proximo by marques de riscal tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|proventus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos27 ser primero tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|protos verdejo rueda|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=332
W|vino|protos verdejo blanco|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|protos verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|protos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=336
W|vino|protos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=336
W|vino|protos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=336
W|vino|protos roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=336
W|vino|protos ribera duero rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|protos ribera duero roble tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|protos reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=343
W|vino|protos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|protos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=345
W|vino|protos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=345
W|vino|protos reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=345
W|vino|protos gran reserva tinto|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|protos gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|protos gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=350
W|vino|protos gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=350
W|vino|protos crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos crianza tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=353
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=355
W|vino|protos 27|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|protocolo rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|protocolo blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|prokes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|prohibido|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|primus carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|primus cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|prima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|premiado barricas reservadas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|predicat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|prados fusion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pradorey origen roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|prado enea gran reserva 2019|??|r|??|??|??|2019|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|prado enea gran reserva 2016|??|r|??|??|??|2016|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|postales del fin del mundo sauvignon b semillon|??|r|semillon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|postales del fin del mundo pinot noir argentina|ar|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|postales del fin del mundo malbec argentina|ar|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|postales del fin del mundo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|postales del fin del mundo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=380
W|vino|postales del fin del mundo cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|portia verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|portia verdejo|??|w|verdejo|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=383
W|vino|portia roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|portia roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=385
W|vino|portia prima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|portia crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|portia crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=388
W|vino|por ti de luzon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|populi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ponce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|polvorete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pleno malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pleno blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|platon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|plantadeta seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|planeta rojo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pittacum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pittacum|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=399
W|vino|pissarres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piscine rose 0|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|pisano verde virgen blanco de aguja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano torrontes 1era vina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano tannat 1era vina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf tannat reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf syrah reserva|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano rpf cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|pisano pi sano moscatel de alejandria sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano merlot tannat 1era vina|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano cabernet sauvignon 1era vina|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano cabernet franc rosado 1 era vina|??|p|cabernet franc|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|pisano arretxea premium grand reserve tannat en caja de|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pisano albarino rio de los pajaros reserva|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|pirata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pipeno sexo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pipeno casa grande botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pintia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pinot grigio 2020|??|w|pinot grigio|??|??|2020|12|??|leve|peixes; saladas; massas leves|??
W|vino|pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=423
W|vino|pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=423
W|vino|pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=423
W|vino|ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
W|vino|ping|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=427
W|vino|pina|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|picarana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli trinita grand reserve blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli torrontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=433
W|vino|piattelli reserve malbec tannat|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli reserve malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli natural sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|piattelli natural sweet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=438
W|vino|piattelli grand reserve malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|piattelli cab five blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|piattelli cab five blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=442
W|vino|piattelli arlene series blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|phylos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ph pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ph barbera 2024|??|r|barbera|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pewen carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petite fleur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petite fleur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=449
W|vino|petite fleur cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petit verdot etiqueta negra x6 unidades|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petit verdot etiqueta negra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petit ca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petals|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|petalos bierzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pesquera reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|pesquera reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=457
W|vino|pesquera crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pesquera crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=459
W|vino|pesquera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|personalizado la pirca gran rose semiseco|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|personalizado la pirca borgona tinto semiseco bolsicaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|personalizado la pirca borgona tinto semiseco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|personalizado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|personalizado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|personalizado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|personalizado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|personalizado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|perrogatoraton|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perro callejero blend de malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perlive|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perlat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perfecto amor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz reserva cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz pircas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz piedra seca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz piedra seca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=477
W|vino|perez cruz limited edition syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz limited edition cot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz limited edition carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz limited edition carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=481
W|vino|perez cruz limited edition carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=481
W|vino|perez cruz limited edition carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=481
W|vino|perez cruz limited edition cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz limited edition cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=485
W|vino|perez cruz gran rsva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=488
W|vino|perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=488
W|vino|perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=488
W|vino|perez cruz chaski petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pequenas producciones malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pequen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|penfolds koonungahill chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|penfolds koonunga hill shiraz|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|penascal rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|pelon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|pelon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=498
W|vino|patrimonial mollar fermentado en tinaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|patrimonial malbec fermentado en tinaja|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
