W|gattinara|nervi conterno|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattinger|riesling smaragd steinriegl|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gattinois|nv grand cru tradition brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|gatto|bianco funaro|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gatto|bianco funaro|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=228
W|gatto|gatto orvietano rosso castello di montegiove|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|grosso vino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|grosso vino rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|matto monferrato nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|matto montepulciano dabruzzo|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|matto pino grigio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|matto pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gatto|matto pinot grigio rosato|??|p|pinot grigio|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gatto|matto primitivo salento|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|nero funaro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|nero funaro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=239
W|gatto|nero funaro igp|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|paolino spumante brut nature fratelli gatto cavalier|es|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gatto|pierfrancesco gatto matto monferrato rosso doc|fr|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco gatto nero piemonte doc pinot nero|fr|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco jolanda barbera dasti superiore docg|fr|r|barbera|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco monferrato doc bianco|fr|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gatto|pierfrancesco monferrato rosso percento|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco montalto grignolino dasti doc|fr|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco prambarola barbera del monferrato doc|fr|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco robiano barbera dasti doc|fr|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco ruche bag in box|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco ruche caresana legno|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco ruche di castagnole monferrato docg|fr|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco ruche monferrato|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco unoemezzo grignolino dasti doc|fr|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco unoemezzo ruche di castagnole monferrato docg|fr|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco vigna serra barbera|fr|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco vino rosso barbera bag in box|fr|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco vino rosso grignolino bag in box|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|pierfrancesco viogner doc bag in box|fr|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|unoemezzo barbera piemonte doc|it|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gatto|vigna serra barbera dasti superiore|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gattone|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gatunkowy|likier gruszkowy z aromatyczna nuta cynamonu gruszka z cynamonem 32 spizarnia smakow|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatunkowy|likier malinowy z pikantna nuta papryczki chilli malina z chilli 32 spizarnia smakow|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatunkowy|likier sliwkowy z korzenna nuta gozdzikow sliwka z gozdzikiem 32 spizarnia smakow|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatuno|albillo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatuno|tinto ecologico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatuno|tinto natural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaturro|extra 250 chistes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaturro|messi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaturro|nro 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gatxa|garnarcha navarra liskar vinos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gau|bickelheimer saukopf riesling spatlese halbtrocken|gb|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gau5|red five|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gau5|red four|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gau5|rose three|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gau5|white one|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gau5|white two|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauby|cotes catalanes vieilles vignes rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|cotes catalanes les calcinaires blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauby|blanc coume gineste igp cotes catalanes|??|w|??|??|??|2022|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gauby|calcinaires rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|calcinaires rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=283
W|gauby|cotes du roussillon la muntada|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|cotes du roussillon la muntada|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|cotes roussillon villages muntada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|cotes roussillon vv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|les calcinaires rouge igp cotes catalanes|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|les calcinaires rouge igp cotes catalanes|??|r|??|??|??|2023|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|les calcinaires rouge igp cotes catalanes|??|r|??|??|??|2023|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco|=290
W|gauby|les calcinaires rouge igp cotes catalanes 1|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|mel rouge igp cotes catalanes|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|mel rouge igp cotes catalanes|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco|=293
W|gauby|muntada rouge igp cotes catalanes rouge|??|r|??|??|??|2019|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|muntada rouge igp cotes catalanes rouge|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|muntada rouge igp cotes catalanes rouge|??|r|??|??|??|2021|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauby|rouge vieilles vignes igp cotes catalanes|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gauchezco|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|gauchezco|estate cabernet sauvignon bot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|estate dulce natural|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gauchezco|estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gauchezco|estate malbec bot|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate malbec rose|??|p|malbec|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gauchezco|estate pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate pinot noir|??|r|pinot noir|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate pinot noir bot|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate pinot noir brut nature|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|gauchezco|estate pinot noir extra brut|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gauchezco|estate pinot noir extra brut|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut|=318
W|gauchezco|estate pinot noir safra|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate pinot noir safra|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|gauchezco|estate rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gauchezco|estate rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gauchezco|estate syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate syrah safra|??|r|syrah|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate torrontes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|estate torrontes|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gauchezco|gran reserva plata blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|gran reserva plata malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|gran reserva plata malbeccabernet franc caja|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|malbec oro|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|malbec reserve mendoza argentina|ar|r|malbec|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|malbec reserve mendoza argentina|ar|r|malbec|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=333
W|gauchezco|oro altamira malbec bot|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro cabernet sauvignon gualtallary single vineyard|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro gualtallary|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro gualtallary cabernet sauvignon bot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro los arboles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro malbec gualtallary single vineyard|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro paraje altamira|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|oro paraje altamira malbec|??|r|malbec|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata gran reserve blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata gran reserve malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata grand reserve malbec cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata malbec bot|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata malbec cabernet franc bot|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|plata sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|reserva cabernet franc bot|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserva cabernet sauvignon bot|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserva chardonnay|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|reserva chardonnay bot|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|reserva malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserva malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|gauchezco|reserva malbec bot|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserva petit verdot|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserva petit verdot|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=359
W|gauchezco|reserva red blend|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve cabernet franc|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve cabernet franc|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=363
W|gauchezco|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|reserve chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gauchezco|reserve chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=369
W|gauchezco|reserve malbec valle de uco mendoza argentina|ar|r|malbec|mendoza|mendoza|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=372
W|gauchezco|reserve malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=372
W|gauchezco|reserve malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve malbec|??|r|malbec|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve petit verdot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|reserve red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|torrontes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauchezco|winery estate malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|gaucho|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|ranch mild hot chimichurri 354g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|sanitizer bottle with pouch strap in synthetic pu leather|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|sur cabernet sauvignon roble|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|sur merlot tannat|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|sur sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaucho|sur tannat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaucho|sur tannat malbec roble|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauda|polutvrdi sir 150 g vindija|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauda|polutvrdi sir 200 g vindija|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudeamus|roble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudeamus|roble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gaudeamus|tempranillo|??|r|tempranillo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudensius|blanc de blancs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de blancs etna doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de blancs igt 1 cutie|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de blancs igt terre siciliane|it|w|??|sicily|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de noir|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de noir etna doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudensius|pas dose etna doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudensius|rose brut etna doc firriato|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gaudensius|rose etna doc|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gaudensius|vintage etna doc|??|r|??|??|??|2012|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudensus|blanc de noir brut etna doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|brut
W|gaudenz|hofbrennerei weingut dolomiti igp luis|??|r|??|??|??|2021|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudenz|hofbrennerei weingut pinot bianco alto adige doc|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gaudenz|hofbrennerei weingut schiava meranese di collina doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudenz|rotweincuvee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gauderndorf|landwein 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudi|la obra completa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudi|la obra completa 45th ed|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudi|max kirsche 25x 0 17 vol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudi|max partyrund 60|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudia|rosso di valtellina doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudiana|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudiana|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=417
W|gaudiana|blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=417
W|gaudiana|blanco suave|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudiana|blanco suave|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=420
W|gaudiana|negre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|negro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|rosado|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaudiana|rosado suave|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaudiana|rosado suave|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=426
W|gaudiana|rosat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaudiana|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudiana|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=430
W|gaudiana|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudila|gaudila|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudila|albarino s lias|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudila|sobre lias|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudila|sobre lias albarino|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaudio|gaudio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudio|gaudio|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gaudio|alvarinho|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudio|alvarinho branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudio|alvarinho branco|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudio|azienda agricola gaudio nv malvasia di casorzo doc dolce stil novo|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|gaudio|bricco mondalino barbera del monferrato doc|??|r|barbera|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaudio|bricco mondalino barbera del monferrato superiore docg|??|r|barbera|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
