W|gruner|veltliner rustenberg reserve|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steiger wachau dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinertal wachau dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried steinporz wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried vorder seiber|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried weilenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zanzl|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zanzl|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=237
W|gruner|veltliner smaragd ried zornberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zornberg|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zwerithaler kammergut|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zwerithaler kammergut|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zwerithaler kammergut|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zwerithaler kammergut|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd ried zwerithaler kammergut|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd riede harzenleiten|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd riede kirnberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd riede kreuzberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=250
W|gruner|veltliner smaragd rotes tor|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor weingut franz hirtzberger|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd rotes tor weingut franz hirtzberger|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=254
W|gruner|veltliner smaragd schon|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd selection elisabeth|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd singerriedel|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd singerriedel|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd singerriedel|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd singerriedel|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd spitaler|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd spitaler|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd spitzer point thomas gritsch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steilterrassen|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steilterrassen|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steinertal|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steinporz|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steinporz|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steinporz|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=269
W|gruner|veltliner smaragd steinporz|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd steinwand|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd tegernseerhof schutt|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=274
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=277
W|gruner|veltliner smaragd terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=277
W|gruner|veltliner smaragd terrassen domane wachau|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd terrassen wachau dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd unendlich|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd unendlich|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd vinothek|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd vinothek|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd vinotheksfullung|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd wachau dac alte kultur|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd wachstum bodenstein|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd wachstum bodenstein|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd weissenkirchen|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner smaragd weissenkirchen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sonnleithen dac reserve|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spatlese|??|w|??|??|??|1983|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spiegel feuersbrunn 96 js ott bernhard feuersbrunn|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spiegel reserve|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spiegel reserve 075 ltr|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitaler smaragd weinhofmeisterei hirtzberger mathias wosendorf|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitaler smaragd mathias hirtzberger|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitaler smaragd mathias hirtzberger|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitaler smaragd mathias hirtzberger|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitaler smaragd weinhofmeisterei hirtzberger mathias wosendorf|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitzer graben muthenthaler|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitzer graben late release muthenthaler|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spitzer point smaragd donabaum johann spitz|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner spontan|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stab smaragd mathias hirtzberger|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stab steinfeder|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stadt krems ried wachtberg|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steilterrassen|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steilterrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stein trocken burgenland|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinberg reserve|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinberg reserve|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinertal 95 p falstaff pichler f oberloiben|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinertal smaragd|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinertal smaragd|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=316
W|gruner|veltliner steinertal smaragd doppelmagnum alzinger leo unterloiben|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=321
W|gruner|veltliner steinfeder|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder holzapfel|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder classic|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder franz hirtzberger spitz|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder frauengarten|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder gneis loss wachau dac domane wachau|at|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder gneis loss|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder gneis loss wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder gneiss loss|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder hochrain|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder holzapfel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder loibner|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder loibner knoll|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder pointen|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder ried hinterkirchen|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder ried hochrain wachau dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder spitz|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder spitz|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder spitz hirtzberger|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinfeder wachau dac|at|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinhaus groe reserve|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinhaus groe reserve|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco|=346
W|gruner|veltliner steinhaus groe reserve|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinhaus groe reserve|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco|=348
W|gruner|veltliner steinhaus groe reserve|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinporz|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinporz federspiel hofstatter weingut spitz|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinporz smaragd 135 vol|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinsetz kamptal dac|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinterrassen trocken|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinterrassen trocken|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco|=355
W|gruner|veltliner steinwerk|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinwerk spitzer graben|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinwerk spitzer graben|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner steinzeit reserve|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stierschneider wachau|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stift altenburg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stifterl|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stockwerk geyerhof weingut bd|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stockwerk geyerhof weingut bd|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stockwerk bio|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner stockwerk kremstal dac|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass bio|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass im strassental|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass im strassertal|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass im strassertal kamptal dac bio|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strass weingut allram|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strasser weinberge|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strasser weinberge martin anna arndorfer kamptal austria|at|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strasser weinberge martin arndorfer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strasser weinberge martin arndorfer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=376
W|gruner|veltliner strasser weinberge martin arndorfer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=376
W|gruner|veltliner strasser weinberge martin arndorfer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=376
W|gruner|veltliner strasser weinberge martin arndorfer|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=376
W|gruner|veltliner strasser weinberge martin arndorfer kamptal|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strassertal|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strassertal kamptal dac|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strassertal kamptal dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strawanzer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strohwein|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strohwein|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner strohwein|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=387
W|gruner|veltliner suche|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sudtirol eisacktaler|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sudtirol eisacktaler doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner supperin weingut pichlerkrutzler|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner sweet march|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gruner|veltliner sweet march|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|doce|=393
W|gruner|veltliner sweet march|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|doce|=393
W|gruner|veltliner sympathik|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner tba|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner tba|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gruner|veltliner tba|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=397
W|gruner|veltliner terrassen|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=402
W|gruner|veltliner terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=402
W|gruner|veltliner terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=402
W|gruner|veltliner terrassen|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=402
W|gruner|veltliner terrassen bio kamptal dac|at|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen josef ehmoser|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen alte reben|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen huber|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen huber|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=410
W|gruner|veltliner terrassen kamptal dac|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen kamptal dac|at|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=412
W|gruner|veltliner terrassen kamptal dac bio|at|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen kamptal dac bio|at|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen kamptal dac bio|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen smaragd 202324|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner terrassen zobing|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner thal|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner the green ried sandbergen|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner the six kings weingut weszeli|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner the six kings weingut weszeli|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=421
W|gruner|veltliner the six kings weingut weszeli|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=421
W|gruner|veltliner the six kings weingut weszeli|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=421
W|gruner|veltliner the six kings weingut weszeli|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=421
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=426
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=426
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=426
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=426
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=431
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=431
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=431
W|gruner|veltliner the six kings weingut weszeli 6 bottiglie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=431
W|gruner|veltliner theyerner berg traisental dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner to bi kamptal dac|at|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner tonmineral langenlois dac 075 liter|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner tonmineral langenlois dac 075 liter|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner tradition|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental dac parapluiberg|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental dac reserve ried rampl|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental dac ried point|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental dac ried rampl|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner traisental dac ried rosengarten|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruner|veltliner traminer materia prima|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner treu federspiel mathias hirtzberger|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner trial pack|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruner|veltliner trial pack|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=449
