W|guiborat|prisme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|chianti colli senesi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|marcello castelvetrano whole sicilian olives 10lb bulk|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|marcello castelvetrano whole sicilian olives 500g|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|ruggente sangiovese|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|vernaccia di san gemignano docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guidi|vernacia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiding|light|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guiding|light|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=230
W|guido|alberto tenuta san guido|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berlucchi 61 franciacorta brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guido|berlucchi 61 franciacorta saten nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berlucchi 61 rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guido|berlucchi 61 saten brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guido|berlucchi 61 saten franciacorta brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guido|berlucchi and c spa socio unico franciacorta blanc de blancs|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guido|berlucchi and c spa socio unico franciacorta brut nature|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guido|berlucchi and c spa socio unico franciacorta extra brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guido|berlucchi and c spa socio unico franciacorta palazzo riserva|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berlucchi and c spa socio unico franciacorta rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guido|berlucchi and c spa socio unico franciacorta saten nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berlucchi franciacorta 61 nature|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berlucchi franciacorta 61 rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guido|berlucchi franciacorta 61 saten brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guido|berlucchi franciacorta palazzo lana extreme extra brut riserva|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guido|berlucchi nv 61 rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guido|berta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta barbera dasti|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta barbera dasti|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=250
W|guido|berta barbera dasti superiore nizza 12|??|r|barbera|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta moscato dasti|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta moscato dasti|??|r|moscato|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta moscato dasti docg|??|r|moscato|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|berta nizza docg 12|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|cocci grifoni pecorino white wine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|gobino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino foglio nocciolato extra bitter 63 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino foglio nocciolato extra bitter 75 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino foglio nocciolato gianduja 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino minifoglio nocciolato extra bitter 63|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino minifoglio nocciolato gianduja gr300|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino nuovo kintsugi blend 63 gr300|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino selezione tourinot gr320|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|gobino uovo t1 assortiti 655 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|in velvet pants sv kumeu montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|in velvet pants sv kumeu montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=267
W|guido|manara|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella 22 falanghina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella 22 fiano|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella 22 greco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella falanghina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella falanghina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano avellino bianco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=284
W|guido|marsella fiano di avellino|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino campania italy|it|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=290
W|guido|marsella fiano di avellino|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=290
W|guido|marsella fiano di avellino campania|it|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino docg|??|w|??|??|??|nv|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino docg|??|w|??|??|??|2016|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino docg|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino docg|??|w|??|??|??|2021|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella fiano di avellino fiano di avellino docg vino bianco|??|w|??|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
W|guido|marsella greco di tufo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella greco di tufo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|guido|marsella greco di tufo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|guido|marsella greco di tufo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella greco di tufo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella greco di tufo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|guido|marsella greco di tufo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=303
W|guido|marsella greco di tufo campania italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella greco di tufo poggi reali|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella greco di tufo poggi reali|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella poggi reali falanghina benevento igt|??|r|??|??|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella poggi reali greco di tufo campania 20182019|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|marsella summonte greco di tufo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|matteo dolcetta di ovada|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|matteo nebbiolo monferrato doc|??|r|nebbiolo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|moro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|platinetti guido|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=316
W|guido|porro barbera dalba doc|??|r|barbera|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba santa caterina|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba santa caterina italy|it|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba st caterina|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba st caterina|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=321
W|guido|porro barbera dalba vigna s caterina case only|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba vigna s caterina case only|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barbera dalba vigna santa caterina|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo piemonte italy|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|guido|porro barolo gianetto|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzairasco docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=342
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzeirasco|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|guido|porro barolo lazzeraisco|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo lazzeraisco|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo rionda|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo santa caterina|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo santa caterina docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo st caterina|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo st caterina|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo v gianetto case only|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo v gianetto case only|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo v gianetto case only|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna gianetto|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna gianetto|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna gianetto|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna lazzairasco|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna lazzairasco case only|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna lazzairasco|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna lazzairasco case only|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=366
W|guido|porro barolo vigna rionda|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna rionda docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna santa caterina|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro barolo vigna santa caterina|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|guido|porro barolo vigna santa caterina|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro camilu langhe nebbiolo|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro camilu langhe nebbiolo piedmont italy|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro camilu langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro camilu langhe nebbiolo piedmont italy|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|guido|porro camilu langhe nebbiolo piedmont italy|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro doc dolcetto dalba rouge|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro doc dolcetto dalba rouge|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=378
W|guido|porro doc dolcetto dalba rouge|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=378
W|guido|porro doc dolcetto dalba rouge|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=378
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=382
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=382
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2015|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=382
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=386
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=386
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=386
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|guido|porro docg barolo rouge|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=390
W|guido|porro dolcetto d alba vigna l pari|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba doc dolcetto dalba italia tinto|it|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba doc dolcetto dalba italien rot|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba doc dolcetto dalba rouge|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba doc dolcetto dalba rouge|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=398
W|guido|porro dolcetto dalba doc dolcetto dalba rouge|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|doce|=398
W|guido|porro dolcetto dalba st anna|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba vigna lpari case only|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba vigna lpari case only|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba vigna lpari|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro dolcetto dalba vigna lpari case only|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro gianetto barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro langhe nebbiolo camilu|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro langhe nebbiolo camilu|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=407
W|guido|porro langhe nebbiolo camilu|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro langhe nebbiolo camilu|it|r|nebbiolo|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro langhe nebbiolo camilu case only|it|r|nebbiolo|langhe|langhe|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro langhe nebbiolo doc camilu|it|r|nebbiolo|langhe|langhe|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro nebbiolo camilu langhe|it|r|nebbiolo|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro nebbiolo camilu langhe|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro nebbiolo langhe camilu serralunga dalba piedmont italy|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna lazzairasco barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna lazzairasco barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna lazzairasco barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna lpari dolcetto dalba|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro vigna lpari dolcetto dalba piedmont italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro vigna lpari dolcetto dalba piedmont italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=420
W|guido|porro vigna lpari dolcetto dalba piedmont italy case|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|guido|porro vigna rionda barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna rionda barolo docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna rionda barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna rionda barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|guido|porro vigna s caterina barbera dalba piedmont italy case|it|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna s caterina barbera dalba piedmont italy|it|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna s caterina barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna s caterina barolo docg italy|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna santa caterina barbera dalba|??|r|barbera|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vigna santa caterina barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|porro vinga santa caterina barolo italy nebbiolo|it|r|nebbiolo|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco|it|r|??|barbaresco|barbaresco|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco docg|it|r|??|barbaresco|barbaresco|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco docg|it|r|??|barbaresco|barbaresco|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
