W|griesel|bdb degorgement tardif blanc de blancs brut nature|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|grifo|ahorrador agua 360 dro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|antisalpicaduras 360 dro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|castel del monte rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|cavi rostfri stativ for druvkross och stjalkborttagare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|cromado para instalacion de granel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|de madera para barrica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|de plastico para fermentadores de plastico speidel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|del quartaro gavi di gavi docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|del quartaro gavi docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|di narnia ciliegiolo di narni igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|filter med pump fch10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|filter med pump fch6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|filter med rostfri pump fcp10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|filter med rostfri pump fcp20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|filter med rostfri pump fcp30|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|grifone nero di troia semisecco puglia red dry 13 075|it|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|hydropress pew 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|hydropress pew 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|hydropress pew 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|multicapas dro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|nero di troia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|nero di troia canister|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|nero di troia|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|pew20 hydropress fruktpresse av rustfritt stal|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|pew40 hydropress fruktpresse av rustfritt stal|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|pew80 hydropress fruktpresse av rustfritt stal|gb|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|picnic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|purificador dro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|squarcione appassimento|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifo|vitop manos libres para baginbox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifoll|declara gran predicat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifoll|declara predicat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifoll|declara predicat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=254
W|grifoll|declara predicat priorat|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifone|chianti docg riserva tuscany italy|it|r|??|tuscany|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grifone|delle roveri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifone|primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifone|toscana igt super tuscan tuscany italy|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|grifos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|grifos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grifos|grifos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|grifos|silva|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|silva|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|silva|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|silva|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|silva|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=267
W|grifos|e|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=270
W|grifos|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grifos|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=272
W|grifos|silva daskalaki winery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifos|white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grifos|white vlassides|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
X
W|grifter|big sur|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifter|gb bitter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifter|iron wizard cascadian dark|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grifter|sunshine xpa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigich|hills estate cabernet sauvignon napa valley|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigich|vina plavac mali|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigietto|grigietto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigietto|grigietto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=284
W|grigio|grigio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|grigio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=286
W|grigio|pinot grigio piana dei castelli|??|w|pinot grigio|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grigio|grigio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|massimo coletti|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|grigio|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|grigio|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|gold|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|d attila|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|di attila|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|fumo pinot grigio delle venezie doc|??|w|pinot grigio|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grigio|in grigio|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|in grigio|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|in grigio bressan|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|in grigio bressan|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=299
W|grigio|in grigio igp venezia giulia bianco bressan|??|w|??|??|??|2017|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|grigio|in grigio venezia giulia igp bressan|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|loco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigio|piana dei castelli|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigione|pinot grigio igt flli vincenzi|??|w|pinot grigio|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|grigioramato|macerato orange wine tesirare italo cescon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigioramato|pinot grigio macerato tesirare|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grigliata|mista alla brace su pietra lavica di vignoli food|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigliata|mista in olio di oliva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grigliata|mista in olio di oliva brezzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|griglie|griglie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignan|dom de la figuiere|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignan|dom de la figuiere|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine de montine gourmandise|grignan les adhemar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignanello|bianco di grignanello igt toscana bianco vino rosso|it|w|??|tuscany|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|grignanello|rosato di grignanello igt toscana rosato vino rosso|it|p|??|tuscany|??|2024|12.5|igt|leve|aperitivos, frutos do mar, saladas|seco
W|grignanello|rosso di grignanello igt toscana rosso vino rosso|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|grignanlesadhemar|aoc rouge|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignano|chianti rufina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignano|chianti rufina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=319
W|grignano|chianti rufina docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grignano|chianti rufina riserva docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grignano|chianti rufina riserva poggio gualteri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignano|vin santo del chianti rufina|??|d|??|??|??|2018|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grignano|vin santo del chianti tuscany italy|it|d|??|tuscany|??|2018|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|grigno|trinchero|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|grignolino|grignolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=327
W|grignolino|grignolino|??|r|??|??|??|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|1966|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|fontanafredda|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|grignolino|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|grignolino|grignolino|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=334
W|grignolino|grignolino|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|morando|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|morando|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|grignolino|diro del prete|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ti diro ca del prete|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ti diro kologisk rdvin fra piemonte|it|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|abate|??|r|??|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|agostino pavia figli case of 6 save|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|agostino pavia figli|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|barbero|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|barbero|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|bersano|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|bersano dasti doc|??|r|??|??|??|1989|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|borgo cav ercole|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|borgo cav ercole|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=350
W|grignolino|borgo cav ercole|??|r|??|??|??|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=350
W|grignolino|borgo cav ercole|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|brich|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|brich doc piemonte agricola gaia|it|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ca rossa|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ca rossa vin|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ca rossa wine|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|ca rossa wijn uit|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|calissano|??|r|??|??|??|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|castello di verduno|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|chiado mario|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|chiado mario vin|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|chiado mario wijn|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|chiado mario wine|??|r|??|??|??|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|contratto|??|r|??|??|??|1972|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|cremosina|??|r|??|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|cremosina doc|??|r|??|??|??|1962|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|d asti doc giassa gianni gagliardo|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti marchesi incisa|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti marchesi incisa|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|grignolino|dasti marchesi incisa|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|grignolino|dasti marchesi incisa|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|grignolino|dasti agostino|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti aresca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti cantina casorzo|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti cantine bava|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti cantine bava|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|grignolino|dasti cantine bava|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|grignolino|dasti cantine bava|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|grignolino|dasti casalina azienda vinicola rovero|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=382
W|grignolino|dasti doc|??|r|??|??|??|1969|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1971|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1976|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1977|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1978|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1979|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1980|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1981|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1983|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1989|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|1997|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc la mondianese|??|r|??|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc monferace|??|r|??|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc monferace|??|r|??|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|grignolino|dasti doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=398
W|grignolino|dasti doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc la mondianese|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc francesco rinaldi figli|fr|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc adess|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc arlandino|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc arlandino|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=405
W|grignolino|dasti doc castello di neive|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc cordara|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc duchessa lia|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc gianni doglia|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc gianni doglia|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=410
W|grignolino|dasti doc giassa tenuta garetto|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc grigne montalbera|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc grigne montalbera|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|grignolino|dasti doc grigne montalbera|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|grignolino|dasti doc grigne montalbera|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc isolavilla olim bauda piemonte|it|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc lanarchico testabalorda|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc limonte braida|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc limonte braida di giacomo bologna wine outlet|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc limonte braida di giacomo bologna wine outlet|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=420
W|grignolino|dasti doc limonte braida di giacomo bologna wine outlet|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=420
W|grignolino|dasti doc limonte braida di giacomo bologna wine outlet|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=420
W|grignolino|dasti doc limonte braida di giacomo bologna wine outlet|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=420
W|grignolino|dasti doc limonte braida di giacomo bologna|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc limonte braida di giacomo bologna|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|grignolino|dasti doc limonte braida di giacomo bologna|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=425
W|grignolino|dasti doc lintruso laiolo reginin|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc nopa|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc portacomaro|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti doc terre rosse tommaso bosco|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti docg|??|r|??|??|??|1975|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti docg|??|r|??|??|??|1981|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti docg lintruso laiolo reginin|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti gelsomora|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti grigne montalbera|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti isolavilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti lanfora montalbera|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti lanfora montalbera|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=438
W|grignolino|dasti lanfora montalbera|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=438
W|grignolino|dasti lanfora doc|??|r|??|??|??|2016|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti limonte braida|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti limonte braida|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti limonte braida giacomo bologna|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti limonte doc braida|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti limonte doc braida|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti luigi gozzelino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti luigi spertino|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti marchesi incisa|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti marchesi incisa della rocchetta|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti matia|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti montalto gatto|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grignolino|dasti perracchio vin|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
