1. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
219. W|carmelo|rodero 9 meses de crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
220. W|carmelo|rodero 9 meses magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|carmelo|rodero 9 meses magnum|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|carmelo|rodero 9 meses magnum|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=221
223. W|carmelo|rodero 9 meses ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
224. W|carmelo|rodero 9 meses ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=223
225. W|carmelo|rodero 9 meses ribera del duero do|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|carmelo|rodero 9 meses ribera del duero do|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=225
227. W|carmelo|rodero 9 meses vino tinto do ribera del duero|es|r|??|ribera del duero|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
228. W|carmelo|rodero 9 meses x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|carmelo|rodero cosecha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
232. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
233. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
234. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
235. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
236. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
237. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
238. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
239. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
240. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
241. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
242. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
243. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
244. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
245. W|carmelo|rodero crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=230
246. W|carmelo|rodero crianza|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
247. W|carmelo|rodero crianza 2020 ribera del duero|es|r|??|ribera del duero|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
248. W|carmelo|rodero crianza 2020 ribera del duero|es|r|??|ribera del duero|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=247
249. W|carmelo|rodero crianza|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|carmelo|rodero crianza|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=249
251. W|carmelo|rodero crianza|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=249
252. W|carmelo|rodero crianza 2021 98pts proensa|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|carmelo|rodero crianza 2021 magnum 98 pts proensa|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|carmelo|rodero crianza 2021 tradicion y caracter ribera del duero|es|r|??|ribera del duero|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|carmelo|rodero crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|carmelo|rodero crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=255
257. W|carmelo|rodero crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=255
258. W|carmelo|rodero crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=255
259. W|carmelo|rodero crianza|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|carmelo|rodero crianza|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
261. W|carmelo|rodero crianza|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=259
262. W|carmelo|rodero crianza magnum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|carmelo|rodero crianza magnum 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|carmelo|rodero crianza magnum|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|carmelo|rodero crianza magnum|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|carmelo|rodero crianza vino tinto ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|carmelo|rodero crianza x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|carmelo|rodero cza t 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
269. W|carmelo|rodero magnum|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
272. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
273. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
274. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
275. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
276. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
277. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
278. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=270
279. W|carmelo|rodero pago de valtarrena 2019 100pts proensa|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|carmelo|rodero pago de valtarrena|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=280
282. W|carmelo|rodero pago de valtarrena 2020 100 pts proensa|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|carmelo|rodero pago de valtarrena x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|carmelo|rodero raza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|carmelo|rodero raza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|carmelo|rodero raza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=285
287. W|carmelo|rodero raza edicion limitada x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|carmelo|rodero raza reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
289. W|carmelo|rodero raza reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=288
290. W|carmelo|rodero raza reserva|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
291. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
292. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
293. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
294. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
295. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
296. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
297. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
298. W|carmelo|rodero reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=291
299. W|carmelo|rodero reserva|??|r|??|??|??|1998|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
300. W|carmelo|rodero reserva|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
301. W|carmelo|rodero reserva 2017 magnum|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
302. W|carmelo|rodero reserva|??|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
303. W|carmelo|rodero reserva|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
304. W|carmelo|rodero reserva|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=303
305. W|carmelo|rodero reserva|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=303
306. W|carmelo|rodero reserva magnum|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
307. W|carmelo|rodero reserva magnum 1|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
308. W|carmelo|rodero reserva magnum|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
309. W|carmelo|rodero reserva raza|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
310. W|carmelo|rodero reserva ribera del duero|es|r|??|ribera del duero|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
311. W|carmelo|rodero reserva ribera del duero|es|r|??|ribera del duero|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=310
312. W|carmelo|rodero ribera del duero tsm|es|r|??|ribera del duero|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|carmelo|rodero roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|carmelo|rodero roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=313
315. W|carmelo|rodero roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=313
316. W|carmelo|rodero roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=313
317. W|carmelo|rodero roble 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|carmelo|rodero roble 9 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=317
319. W|carmelo|rodero roble 9 meses ribera del duero joven con caracter|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|carmelo|rodero rva t 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|carmelo|rodero tinto tsm x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|carmelo|rodero tsm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|carmelo|rodero tsm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
324. W|carmelo|rodero tsm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
325. W|carmelo|rodero tsm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
326. W|carmelo|rodero tsm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
327. W|carmelo|rodero tsm|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|carmelo|rodero tsm|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=327
329. W|carmelo|rodero tsm|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|carmelo|rodero tsm|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|carmelo|rodero tsm|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=330
332. W|carmelo|rodero tsm 2021 99pts proensa|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|carmelo|rodero tsm do ribera del duero|es|r|??|ribera del duero|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
334. W|carmelo|rodero tsm ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|carmelo|rodero tsm ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|carmelo|rodero tsm ribera del duero|es|r|??|ribera del duero|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=334
337. W|carmelo|santana canary islands tinto ikewen|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|carmelo|santana ikewan tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|carmelo|santana ikewen tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|carmen|carmen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|carmen|carmen|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|carmen|ramon escoda|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|carmen|carmen|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|carmen|balcells traficante de palabras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|carmen|ballerinas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|carmen|cabernet reserva premier|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
347. W|carmen|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
348. W|carmen|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=347
349. W|carmen|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
350. W|carmen|cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
351. W|carmen|cabernet sauvignon frida kahlo|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
352. W|carmen|cabernet sauvignon frida kahlo|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
353. W|carmen|cabernet sauvignon frida kahlo signle vineyard|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
354. W|carmen|cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
355. W|carmen|cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2016|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
356. W|carmen|cabernet sauvignon gran reserva|??|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
357. W|carmen|cabernet sauvignon insigne valle central|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
358. W|carmen|cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
359. W|carmen|caja 12 carmen delanz alto jahuel ultra premium cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
360. W|carmen|caja 12 carmen delanz apalta ultra premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
361. W|carmen|caja 12 carmen do loma seca ultra premium cinsault|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
362. W|carmen|caja 12 carmen do matorral chileno ultra premium ensamblaje|cl|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
363. W|carmen|caja 12 carmen do quijada ultra premium semillon|??|r|semillon|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
364. W|carmen|caja 12 carmen do rosado comavida ultra premium carignan rosado|??|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
365. W|carmen|caja 12 carmen do ultra premium florillon|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
366. W|carmen|caja 12 carmen frida kahlo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
367. W|carmen|caja 12 carmen frida kahlo reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
368. W|carmen|caja 12 carmen frida kahlo reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
369. W|carmen|caja 12 carmen frida kahlo reserva rose|??|p|??|??|??|NV|12|reserva|leve|carne vermelha, massas, queijos curados|seco
370. W|carmen|caja 12 carmen frida kahlo reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
371. W|carmen|caja 12 carmen gold icono cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
372. W|carmen|caja 12 carmen gran cuvee espumante brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
373. W|carmen|caja 12 carmen gran cuvee espumante extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
374. W|carmen|caja 12 carmen gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
375. W|carmen|caja 12 carmen gran reserva carignan|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
376. W|carmen|caja 12 carmen gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
377. W|carmen|caja 12 carmen gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
378. W|carmen|caja 12 carmen gran reserva grand vidure cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
379. W|carmen|caja 12 carmen gran reserva late harvest|??|d|??|??|??|NV|10.5|reserva|encorpado|sobremesas, frutas secas, queijos|doce
380. W|carmen|caja 12 carmen gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
381. W|carmen|caja 12 carmen gran reserva petit noir|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
382. W|carmen|caja 12 carmen gran reserva petite syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
383. W|carmen|caja 12 carmen gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
384. W|carmen|caja 12 carmen gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
385. W|carmen|caja 12 carmen gran reserva syrah cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
386. W|carmen|caja 12 carmen premier 1850 reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
387. W|carmen|caja 12 carmen premier 1850 reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
388. W|carmen|caja 12 carmen premier 1850 reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
389. W|carmen|caja 12 carmen premier 1850 reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
390. W|carmen|caja 12 carmen premier 1850 reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
391. W|carmen|caja 12 carmen premier 1850 reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
392. W|carmen|caja 12 carmen v lustros gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
393. W|carmen|caja 12 carmen vintages blend iii gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
394. W|carmen|caja 12 carmen vintages blend iv gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
395. W|carmen|caja 12 wave series reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
396. W|carmen|caja 12 wave series reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
397. W|carmen|caja 12 winemakers black premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
398. W|carmen|caja 12 winemakers red premium cabernet sauvignon petite sirah petite verdot|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
399. W|carmen|caja 6 carmen delanz alto jahuel ultra premium cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
400. W|carmen|caja 6 carmen delanz apalta ultra premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
401. W|carmen|caja 6 carmen do loma seca ultra premium cinsault|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
402. W|carmen|caja 6 carmen do matorral chileno ultra premium ensamblaje|cl|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
403. W|carmen|caja 6 carmen do quijada ultra premium semillon|??|r|semillon|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
404. W|carmen|caja 6 carmen do rosado comavida ultra premium carignan rosado|??|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
405. W|carmen|caja 6 carmen do ultra premium florillon|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
406. W|carmen|caja 6 carmen frida kahlo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
407. W|carmen|caja 6 carmen frida kahlo reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
408. W|carmen|caja 6 carmen frida kahlo reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
409. W|carmen|caja 6 carmen frida kahlo reserva rose|??|p|??|??|??|NV|12|reserva|leve|carne vermelha, massas, queijos curados|seco
410. W|carmen|caja 6 carmen frida kahlo reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
411. W|carmen|caja 6 carmen gold icono cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
412. W|carmen|caja 6 carmen gran cuvee espumante brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
413. W|carmen|caja 6 carmen gran cuvee espumante extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
414. W|carmen|caja 6 carmen gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
415. W|carmen|caja 6 carmen gran reserva carignan|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
416. W|carmen|caja 6 carmen gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
417. W|carmen|caja 6 carmen gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
418. W|carmen|caja 6 carmen gran reserva grand vidure cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
419. W|carmen|caja 6 carmen gran reserva late harvest|??|d|??|??|??|NV|10.5|reserva|encorpado|sobremesas, frutas secas, queijos|doce
420. W|carmen|caja 6 carmen gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
421. W|carmen|caja 6 carmen gran reserva petit noir|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
422. W|carmen|caja 6 carmen gran reserva petite syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
423. W|carmen|caja 6 carmen gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
