W|giuseppe|mascarello barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello santo stefano di perno barolo|it|r|??|barolo|barolo|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello scudetto barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|mascarello toetto freisa langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco|it|r|??|barbaresco|barbaresco|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco casot|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco casot|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco casot|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco casot riserva|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco docg marcarini riserva|it|r|??|barbaresco|barbaresco|2012|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco tasting with winemaker enrico nada vine st friday feb 20th|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbaresco tasting with winemaker enrico nada vine st friday february 20th|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada barbera dalba superiore|??|r|barbera|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|nada metodo classico rosato nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giuseppe|penne rigate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|piglio mascarello barolo moprivato|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|piglio mascarello perno barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|principiano boscareto barolo|it|r|??|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|prosecco spumante doc extra dry|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giuseppe|quintarelli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|giuseppe|quintarelli alzero|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico a roberto|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabenet|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valp classico|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo veneto|it|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli veneto ca del merlo red blend|it|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amabile del cere passito bianco veneto igt|it|d|??|??|??|2015|10|igt|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli alzero cabernet veneto igt italy|it|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet sauvignon veneto|it|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso ca del merlo igt|??|r|??|??|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore veneto italy|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero 1|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet franc|??|r|cabernet franc|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet franc|??|r|cabernet franc|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet franc|??|r|cabernet franc|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet veneto|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet veneto igt|it|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet veneto igt italy|it|r|??|??|??|1988|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero cabernet veneto igt italy|it|r|??|??|??|1990|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero monte ca paletta|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero veneto igt|it|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli alzero veneto igt|it|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=240
W|giuseppe|quintarelli alzero veneto igt|it|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amabile del cere passito|??|d|??|??|??|2006|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli amabile del cere passito bianco|??|d|??|??|??|2007|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli amabile del cere passito bianco|??|d|??|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli amabile del cere passito garganega|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli amarone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico riserva|??|r|??|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone classico riserva|??|r|??|??|??|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della val clasicco corvina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=258
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=261
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=263
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=270
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=270
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=270
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|giuseppe|quintarelli amarone della valpolicella classico|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|giuseppe|quintarelli amarone della valpolicella classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico docg|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico docg veneto italy|it|r|??|??|??|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico riserva|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone della valpolicella classico riserva|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giuseppe|quintarelli amarone valp calss classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone valp class|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli amarone valpolicella veneto|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli bianco ca del merlo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=289
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=289
W|giuseppe|quintarelli bianco secco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco 75|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco ca del merlo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco ca del merlo|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco ca del merlo|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco ca del merlo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco veneto igt|it|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli bianco secco veneto igt|it|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=298
W|giuseppe|quintarelli ca del merlo|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo bianco secco|??|w|??|??|??|1980|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli ca del merlo veneto|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo veneto bianco secco igt|it|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giuseppe|quintarelli ca del merlo veneto igt|it|r|??|??|??|1997|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo veneto igt|it|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo veneto igt|it|r|??|??|??|2018|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli ca del merlo veneto rosso|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli classico amarone della valpolicella docg rood|??|r|??|??|??|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=310
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=312
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore igt veneto|it|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore red|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore veneto rosso|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore veneto rosso igt|it|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primofiore veneto rosso veneto italy|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primoviore veneto igt italy|it|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli primoviore veneto igt italy|it|r|??|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=322
W|giuseppe|quintarelli quintarelli vapolicella amarone|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli quintarelli vapolicella amarone|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=324
W|giuseppe|quintarelli recioto 1|??|d|??|??|??|1993|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della calpolicella classico sec|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella|??|d|??|??|??|2004|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2007|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2007|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=329
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2011|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2011|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=331
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico|??|d|??|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=333
W|giuseppe|quintarelli recioto della valpolicella classico docg|??|d|??|??|??|nv|10|docg|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico docg 375m|??|d|??|??|??|2011|10|docg|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto della valpolicella classico docg veneto italy|it|d|??|??|??|2015|10|docg|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto valpolicella|??|d|??|??|??|1997|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli recioto valpolicella classico|??|d|??|??|??|2007|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=341
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|giuseppe|quintarelli rosso ca del merlo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|giuseppe|quintarelli rosso ca del merlo veneto|it|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=351
W|giuseppe|quintarelli rosso del bepi|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=351
W|giuseppe|quintarelli rosso del bepi veneto igt italia|it|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi veneto igt italy|it|r|??|??|??|2014|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso del bepi veneto igt italy|it|r|??|??|??|2014|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=355
W|giuseppe|quintarelli rosso di bepi|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso primofiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli rosso primofiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=358
W|giuseppe|quintarelli secco ca del merlo veneto|it|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli una degustazione dedicata al maestro dellamarone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicela classico superiore|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico sueperiore|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=365
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=372
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|giuseppe|quintarelli valpolicella classico superiore 1|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore red dry 15 075|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|giuseppe|quintarelli valpolicella classico superiore 1|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|giuseppe|quintarelli valpolicella classico superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=383
W|giuseppe|quintarelli valpolicella classico superiore doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli valpolicella classico superiore veneto|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli vapolicella|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli vapolicella|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|giuseppe|quintarelli vapolicella|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli vapolicella|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=393
W|giuseppe|quintarelli vapolicella superiore|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli vapolicella superiore|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|giuseppe|quintarelli veneo cabernet alzero net|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli veneto ca del merlo red blend|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giuseppe|quintarelli veneto cabernet alzero|it|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
