S
W|gener|oli doliva verge extra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genese|impossivel brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|genese|impossivel brut nature branco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|genese|moncao melgaco alvarinho vine vinu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genese|rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genese|schieferberg riesling|??|w|riesling|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genese|terroir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genese|terroir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=255
W|genese|terroir de montanha|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genese|terroir de montanha|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=257
X
X
W|genesee|ice cans|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesee|na|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|genesee|regular|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|asotom|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|aglianico del vulture|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|aglianico del vulture doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|aglianico del vulture doc regio cantina|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|marsala ris|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|genesi|regio cantina aglianico del vulture doc bio|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|ruche de castaniole monferrato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesi|spumante|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|genesis|genesis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|genesis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|genesis|domaine de laitonnement|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|domaine de laitonnement|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|genesis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|domaine de laitonnement|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|samsung23|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|genesis|??|r|??|??|??|2026|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|22 domaine mada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|aitonnement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|aitonnement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=283
W|genesis|alb stelios kechris domaine 050|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|alb stelios kechris domaine 075|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|asolo prosecco superiore docg extra brut|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|extra brut
W|genesis|asolo prosecco superiore docg extra brut biologico e vegano|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|extra brut
W|genesis|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=290
W|genesis|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|cantilever parasol 35m round grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|cantilever parasol 3m square grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|carmenere|??|r|carmenere|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|carmenere|??|r|carmenere|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=297
W|genesis|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|chardonnay branco|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|defense thermique hoitosuihke|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|feteasca neagra rosu sec|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|gran reserva cab sauvignon syrah|??|r|syrah|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|gran reserva cabernet sauvignonsyrah|??|r|cabernet sauvignon|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|gran reserva syrah|??|r|syrah|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|gran reserva syrah|??|r|syrah|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|hvid halvtor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|masque|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|mere 03|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|meritage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=311
W|genesis|merlot|??|r|merlot|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|merlot|??|r|merlot|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|merlot|??|r|merlot|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|monte maletto carema to|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|prosecco perlage|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|genesis|red xinomavro merlot 13 alcool|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|reserva carmenere|??|r|carmenere|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|reserva syrah|??|r|syrah|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|reserva syrah|??|r|syrah|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=321
W|genesis|reserva syrah|??|r|syrah|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genesis|rose halvtor|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genesis|rose syrah|??|p|syrah|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genesis|rosu stelios kechris domaine 050|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|rosu stelios kechris domaine 075|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|roze stelios kechris domaine 075|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genesis|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|syrah castagna|??|r|syrah|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genesis|viognier branco|??|w|viognier|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genestas|genestas|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genestiere|tavel rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genestrerio|genestrerio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genestrerio|genestrerio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|genet|champagne mg bb nature grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
S
W|genet|champagne mg bb sugr vision grand cru demisec|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|genet|champagne mg bb vintage millesime|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|genet|champagne redblend 9208 rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
S
W|genetie|bourgogne blanc illumine|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne blanc illumine case|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne blanc ilumine chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne blanc lllumine chardonnay|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne chardonnay illumine|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne chardonnay illumine|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=350
W|genetie|bourgogne chardonnay illumine|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|bourgogne france pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|bourgogne pinot noir illumine|fr|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|bourgogne pinot noir illumine|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|illumine bourgogne blanc|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine bourgogne blanc aop chardonnay|fr|w|chardonnay|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine bourgogne blanc chardonnay france|fr|w|chardonnay|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine bourgogne chardonnay|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine bourgogne france chardonnay|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine bourgogne pinot noir|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|illumine chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=362
W|genetie|illumine chardonnay bourgogne|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|illumine pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|les piliers aop macon charnay 125|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|les piliers aop maconcharnaylesmacon|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|les piliers maconcharnaylesmacon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|les piliers maconcharnaylesmacon|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|les piliers maconcharnaylesmacon france chardonnay|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetie|macon charnay les macon les piliers|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|macon charnaylesmacon les piliers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|macon charney les macon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|macon les piliers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|maconcharnay france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|maconcharnaylesmacon burgundy|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|maconcharnaylesmacon les piliers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|saint veran le rencontre|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetie|saintveran la rencontre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetsch|dornfelder trocken lieserer schlossberg|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetsch|grauburgunder trocken lieserer schlossberg|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetsch|grauburgunder trocken lieserer schlossberg|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetsch|lieserer rosenlay riesling kabinett|??|p|riesling|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genetsch|riesling auslese lieserer niederberghelden|??|d|riesling|??|??|2015|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|genetsch|riesling kabinett trocken steillage lieserer schlossberg|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetsch|riesling spatlese feinherb steillage lieserer schlossberg|??|w|riesling|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetsch|riesling spatlese trocken niederberghelden|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genetsch|riesling winzersekt trocken|??|s|riesling|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|genetsch|spatburgunder trocken lieserer schlossberg|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genetsch|spatburgunder trocken lieserer schlossberg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geneva|geneva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geneva|32|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|1yo zuidam genever|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|bols|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|bols delftsblauw|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|hooghoudt 5 anni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|hooghoudt raw genever|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|hooghoudt sweet spiced|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|genever|jonge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|otenba otenba|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|oude|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genever|tres vieux bols|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieve|extra brut blanc de blancs|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|genevieve|blanc de blanc mcc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc de blanc zero dosage|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc de blancs brut cap classique|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|blanc de blancs brut cc|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|blanc de blancs brut methode cap classique|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|blanc de blancs brut methode cap classique|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|blanc de blancs cap classique|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc de blancs cap classique|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc de blancs mcc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc de blancs rd extra brut cap classique|??|s|??|??|??|2013|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|genevieve|blanc de blancs rd methode cap classique|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|blanc des blanc brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|brut bdb mcc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|brut rose mcc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|brut rose shiraz mcc|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|brut rose shiraz mcc|??|s|shiraz|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=418
W|genevieve|brut rose sparkling wine nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|dress|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieve|mcc brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|nv brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|rd blanc de blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genevieve|rose brut cap classique|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|genevieve|rose mcc nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genevieve|rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|genevieve|rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=427
W|genevieve|vase arrangement|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieves|chicken liver pate original|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieves|chicken liver pate peppered|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieves|chicken liver pate truffled|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevieves|duck liver pate original|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevrieres|genevrieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genevrieres|genevrieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=434
W|genevrieres|meursault cru antoine jobard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genezis|petiso 24t|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genezis|petiso 25kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|gengibre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|gengibre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=439
W|gengibre|gengibre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=439
W|gengibre|gengibre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=439
W|gengibre|100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|alheiro 20g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|ardo cong 250gr 8|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|artesanal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|bandeja 350g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|bandeja 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|bee organic organico embalagem 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|benafrutti organico comum 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|branco moido margao 16x12gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|cristalizado 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|desidratado mamma bia 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po 30g pouch bombay|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po 50g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po bombay pouch 30 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po bombay pouch 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po bombay vidro 60g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|em po gardenia grain dor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|fit 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=461
W|gengibre|kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=461
W|gengibre|moido kitano 15g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|nevada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|organico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|organico bio vida 300g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|pepitas em calda fabbri 600gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengibre|raiz 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengis|rosso svizzera italiana igt|it|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gengoulf|61|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gengoulf|aux cepes 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genia|mandrolisai doc cantina meana terre del mandrolisai|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|genia|mandrolisai doc cantina meana terre del mandrolisai|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|genia|meana terra del mandrolisai|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geniale|patronne|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|geniality|sirope|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genie|chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|genie|gef nat|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genie|gel express main sans frotter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genie|moody gurlz|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genieerpaket|tauberschwarz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genieerquartett|genieerquartett|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genieersecco|genieersecco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genieerseminar|genieerseminar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genietmomentpakket|genietmomentpakket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|genievre|baies 25g bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
