W|vinho|tinto portugues bacalhoa quatro ventos garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pispi blend de tintas 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pirrera nerello mascaleseterre siciliane igt 2017|??|r|nerello mascalese|sicilia|??|2017|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piqueras the old brick factory syrah 2020|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pipoli aglianico del vulture doc|??|r|aglianico|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pipoli aglianico del vulture 2018|??|r|aglianico|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pioners ribera del duero cosecha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pionero magnum bemberg|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare ornato 2019 piemonte|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare oltre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare nebbiolo langhe 2021 piemonte|??|r|nebbiolo|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare il nebbio langhe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo ornato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo mosconi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo chinato piemonte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo 2021 piemonte|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barolo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barbera dalba piemonte|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barbera dalba|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barbera dalba|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=244
W|vinho|tinto pio cesare barbera d alba fides|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barbaresco il bricco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pio cesare barbaresco 2019 piemonte|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas wine soul 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas wine soul 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas wine soul 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas wine soul 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas character douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas character douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=254
W|vinho|tinto pintas character 2023 douro|pt|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas character 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas character|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pintas 2014 douro|pt|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinotage raka|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinotage kadette kanonkop|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinotage durbanville hills|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noit trinity hill|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vinicola cavalleri|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vin de france dufouleur pere fils|fr|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vin de france 2023|fr|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vin de france 2022|fr|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vin de france 2021|fr|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir viento del mar|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir viento del mar|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=270
W|vinho|tinto pinot noir vaz|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir vale de san antonio 2016|??|r|pinot noir|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir terroir casa valduga|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir special cuvee montes alpha|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir special cuvee montes alpha|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=275
W|vinho|tinto pinot noir single vineyard miolo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir signature santa magdalena|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir semillon gran reserva 7 colores|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir semillon gran reserva 7 colores|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=279
W|vinho|tinto pinot noir select saurus|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir seleccion alamos|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir secreto viu manent|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir secreto viu manent|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=283
W|vinho|tinto pinot noir saurus|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir saurus|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=285
W|vinho|tinto pinot noir saurus|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=285
W|vinho|tinto pinot noir santa loreto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir santa loreto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=288
W|vinho|tinto pinot noir reserva terranoble|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva tabali pedregoso|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva pucon|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva miolo|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva indomita|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva indomita|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=294
W|vinho|tinto pinot noir reserva falernia|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva falernia|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=296
W|vinho|tinto pinot noir reserva emiliana adobe organico|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva emiliana adobe organico|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=298
W|vinho|tinto pinot noir reserva cono sur|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva cono sur|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=300
W|vinho|tinto pinot noir reserva casas del bosque|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva casas del bosque|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=302
W|vinho|tinto pinot noir reserva casa silva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva casa silva|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=304
W|vinho|tinto pinot noir reserva carolina|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir reserva almaunica|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir rastros do pampa guatambu|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir pequenas casas del bosque|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir pequenas casas del bosque|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=309
W|vinho|tinto pinot noir padrillos|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir montes alpha|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir montes alpha|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=312
W|vinho|tinto pinot noir matetic eq|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir marlborough sun|nz|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir luiz argenta l a classico|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir luigi bosca|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir luigi bosca|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=317
W|vinho|tinto pinot noir limited selection montes|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir limited selection montes|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=319
W|vinho|tinto pinot noir lartisan paul mas|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir la petite perriere|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gran reserva terranoble|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gran reserva tarapaca|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gran reserva tarapaca|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=324
W|vinho|tinto pinot noir gran reserva santa ema|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gran reserva santa ema|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=326
W|vinho|tinto pinot noir gran reserva casas del bosque|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gran reserva casas del bosque|??|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=328
W|vinho|tinto pinot noir glen carlou|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir gelber sandstein ruppertsberg pfalz 2021|de|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir expresion villard|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir estate barrica andina|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir estate barrica andina|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=333
W|vinho|tinto pinot noir emiliana adobe 6 unidades|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir dv catena|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir don amerigo|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir corsega pierre labet|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir classico luiz argenta|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir castellamare|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir boya|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir bourgogne pierre labet|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir bourgogne louis latour|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir bourgogne les fortunes chanzy|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir bourgogne faiveley|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir bourgogne caves des hautes|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir botanic casas del bosque|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir begamo vinicola cavalleri|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir barrel fermented saurus|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir arrogant frog|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir aoc bourgogne 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir aoc bourgogne 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=351
W|vinho|tinto pinot noir amayna 1|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir amayna|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot noir amayna|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=354
W|vinho|tinto pinot noir alta yari|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot nero maso corno doc riserva 2018|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot nero albino armani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinot nero 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinino rosso di montalcino doc 2019|it|r|??|toscana|montalcino|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pinhal da torre the grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pimenta preta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilatos malbec by judas|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilatos by judas malbec 2022|??|r|malbec|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilandro tererosso kit com 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilandro tererosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilandro merlot settantanni doc|??|r|merlot|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilandro cabernet sauvignon kit com 6|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pilandro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pignolo 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pignolo 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=370
W|vinho|tinto pignolo 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=370
W|vinho|tinto pietrapura primitivo hyria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pietrapura primitivo di manduria mandus|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pietrapura primitivo di manduria cotis|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pierre labet bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pierre de valency cotes du rhone|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pierre cotton beaujolais rouge 2019|fr|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piemonte grignolino 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piedra seca perez cruz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piedra seca perez cruz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=380
W|vinho|tinto pichon comtesse reserve pauillac|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piccini sasso al poggio 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piattelli reserva salta malbec 145 2023|ar|r|malbec|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piatelli trinita safra 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piatelli arlene blend safra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano reserva douro 2020|pt|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano reserva 2023 douro|pt|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano grande reserva 2017|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto piano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=393
W|vinho|tinto philosophia cabernet franc 2022|??|r|cabernet franc|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phebusbodegas fabre malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phebusbodegas fabre estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phebusbodegas fabre estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phebusbodegas fabre cabernet sauvignon reserva|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phaunus amphora vinhao 2020 vinhos verdes|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto phaunus amphora palhete 2022 regional minho|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pezat bordeaux superieur 2022 bordeus franca|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petr pomerol bordeus franca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite selve coteaux de lardeche rouge 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite selve 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite immortelle cotes de roussillon villages 2022 franca|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite fleur malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite fleur elegance red blend 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petite fleur blend mendoza|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit verdot valmarino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit verdot reserva bueno wines wine skin|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit verdot gran reserva unico de chile|cl|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit verdot gran reserva unico de chile|cl|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=412
W|vinho|tinto petit verdot gran reserva casa silva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit verdot gran reserva casa silva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=414
X
W|vinho|tinto petit verdot genese adega chesini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit vega 8 meses do ribera del duero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit vega 8 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit vega 28 meses 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit vega 18 meses do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit soutard saint emillion grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit montchenot reserva blend 2019|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petit classique glen carlou|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petirrojo reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto petirrojo cabernet sauvignon bisquertt|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peter lehmann the barossan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pessegueiro aluze 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pessegueiro 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pesquera reserva 2012 ribera del duero|??|r|??|??|??|2012|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pesquera crianza 2014 ribera del duero|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto personalizado make your label escreva por sua mao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perro callejero pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perro callejero pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perro callejero cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perro callejero cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perro callejero blend de malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perrieres coteaux du pont du gard 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perrieres 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pernandvergelesses premier cru les vergelesses 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
