W|finca dofi|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|terrerazo vino de pago 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|teso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca el|tordillo kologisk 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca elez|ecologico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca elez|las teselas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca elez|shiraz|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca elez|tinto vino de pago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca eloisa|appassionada blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca eloisa|appassionada tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca els|gorgs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca els|gorgs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=241
W|finca emendis|cava nuallonge|es|s|??|??|??|NV|12|ava|leve|aperitivos; frutos do mar; canapes|brut
W|finca enguera|aliats orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca enguera|blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=245
W|finca enguera|blanc valencia do 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca enguera|enguera in a bubble cava brut nature|es|s|??|??|??|NV|12|ava|leve|aperitivos; frutos do mar; canapes|brut nature
W|finca enguera|orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|reserva monastrell tempranillo|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|rosado 2024 12|??|p|??|??|??|2024|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca enguera|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=252
W|finca enguera|tempranillo 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|tempranillo 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|tempranillo do valencia 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca enguera|verdil bodegas enguera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espiells|postals eko|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espolla|2018 precio u219000|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espolla|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espolla|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espolla|do|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca espolla|do emporda 2022 castillo perelada|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca estarijo|de heraclio alfaro 2017 rioja|es|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|chardonnay 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca fabian|dominio de puctum organic tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|rosado vino rosado ecologico|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca fabian|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|tempranillo 201819|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|tempranillo 2019 spain|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|tempranillo organic wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|tempranillo punctum organic 135 abv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fabian|verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca fabian|verdejo punctum organic 12 abv|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca feliz|la cielito bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|pileta del ano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|pileta del ano bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro cirolla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro criolla bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro malbec 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro malbec bot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro pedro gimenez bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feliz|tesoro px naranjo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fella|altado estate blanco verdejo 2020 6 bottles|??|w|??|??|??|2020|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca fella|altado estate tinto monastrell 2019 6 bottles|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca fella|altado verdejo do almansa 2021 x 4 bottles|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca fella|cala rey estate tempranillo rose 12 bottles|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca fella|cala rey estate tempranillo syrah 12 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca fella|cala rey estate verdejo sauvignon blanc 12 bottles|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca fella|cala rey tempranillo syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca fella|cala rey tempranillo syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=291
W|finca fella|el maso estate almansa 2018 6 bottles|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca feroes|crianza ribera duero|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca feroes|crianza ribera duero|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco|=294
W|finca feroes|verdejo 075|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca feroes|verdejo 075|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=296
W|finca feroes|verdejo 150|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca feroes|verdejo 150|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=298
W|finca ferrer|1310 chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|1310 chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=300
W|finca ferrer|1310 pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|1310 pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=302
W|finca ferrer|1310 pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=302
W|finca ferrer|acordeon cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon malbec 2022 mendoza|ar|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon malbec 2023 mendoza|ar|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon mendoza malbec 2022|ar|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon mendoza torrontes 2022|ar|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|acordeon torrontes 2022 mendoza|ar|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|arcodeon cabernet sauvignon 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|arcodeon chardonnay 2022|??|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|arcodeon malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|arcodeon torrontes 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|chardonnay coleccion 1310 750cc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|chardonnay collection 1310mts|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|coleccion 1310 block a1 pinot noir 2021 gualtallary|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|coleccion 1310 block a6 malbec 2021 gualtallary|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|coleccion 1310 malbec 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|coleccion 1310 mts block a6 malbec 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|coleccion 1310 pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|coleccion 1310 pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=324
W|finca ferrer|coleccion 1310 pinot noir 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|collecion 1310 block a1 gualtallary pinot noir 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|collecion 1310 block a1 pinot noir 2021 gualtallary|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|collecion 1310 block a6 gualtallary malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|collecion 1310 block a6 malbec 2019 gualtallary|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|collecion 1310 block c2 chardonnay 2021 gualtallary|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|collecion 1310 block c2 gualtallary chardonnay 2021|??|w|??|??|??|2021|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca ferrer|doscumbres blend 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|estate grow malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|estate grow syrah 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|estate grown malbec 2021 gualtallary|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|estate grown malbec 2023 gualtallary|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|grande cuvee pedro ferrer bosch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|gualtallary estate grown malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=340
W|finca ferrer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=340
W|finca ferrer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=340
W|finca ferrer|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=340
W|finca ferrer|malbec 2021 collection 1310 mts|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|pinot noir collection 1310mts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|red special blend 2018 doscumbres tupungato|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca ferrer|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca ferrer|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=348
W|finca ferrer|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=348
W|finca ferrer|syrah x|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|boraszat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|caballero de la cepa malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|caballero de la cepa mendoza malbec reserve 2022|ar|r|??|??|??|2022|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|caballero de la cepa reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|cabernet sauvignon bor|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|cabernet sauvignon reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|chardonnay misterio|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|chardonnay oble 12|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|dedicado 1999|??|r|??|??|??|1999|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|dedicado barrancas vineyard mendoza blend|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|dedicado gran corte 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|dedicado gran corte x liquidacion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|dedicado microterroir gravel stone x liquidacion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|dedicado tupungato vineyard uco valley chardonnay 2022|ar|w|??|??|??|2022|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|estate cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|estate cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=368
W|finca flichman|estate cabernet sauvignon x liquidacion|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|estate chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|estate chardonnay viognier|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|estate chardonnay x|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|estate malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|estate malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=374
W|finca flichman|estate malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=374
W|finca flichman|estate malbec x|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|estate rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca flichman|extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flichman|extra brut 12 x 750cc|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flichman|extra brut 3 x 750cc|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flichman|extra brut 6 x 750cc|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flichman|extra brut 750cc|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flichman|extrabrut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|finca flichman|finca flichman sparkling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|gran reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|gran reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=386
W|finca flichman|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|malbec 12|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|malbec 2020 case only|??|r|??|??|??|2020|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|malbec bor|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|malbec reserva|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|malbec roble|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|microterroir gravel stone malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|misterio cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|misterio cabernet sauvignon tinto|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|misterio chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|misterio malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|misterio malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=399
W|finca flichman|misterio malbec 750 mlt 135|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|misterio shiraz tinto|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva cabernet sauvignon|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva cabernet sauvignon 2016|??|r|??|??|??|2016|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva chardonnay|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|reserva chardonnay argentina branco 2012|ar|w|??|??|??|2012|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|reserva chardonnay x liquidacion|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=408
W|finca flichman|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=408
W|finca flichman|reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=408
W|finca flichman|reserva malbec 2023|??|r|??|??|??|2023|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva malbec argentinian red wine|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserva malbec x|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|reserve cabernet|??|r|??|??|??|NV|13.5|reserve|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=417
W|finca flichman|roble cabernet sauvignon 750 mlt 135|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble chardonay 750 mlt 13|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|roble malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|roble malbec 750 mlt 135|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|rosado blend|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca flichman|single parcel malbec los 4 valles 4xpack|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|syrah mendoza 2000|ar|r|??|??|??|2000|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|syrah roble 12|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichman|tanguero chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca flichman|tupungato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca flichman|tupungato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=429
W|finca flichmann|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flichmann|syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca flinchman|extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|finca flinchman|tanguero chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca furot|reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca gabriel|malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca gabriel|malbec roble edition|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca garabellos|garabellos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garabelos|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garbet|garbet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garbet|2001|??|r|??|??|??|2001|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garbet|2003|??|r|??|??|??|2003|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garbet|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca garbet|do emporda 2019 castillo perelada|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca gran|rodma vino tinto do ribera del duero|es|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca gualinchay|castillejo malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca guatisea|2022 titerok akaet lanzarote do 075ltr|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca guatisea|2023 titerok akaet lanzarote do 075ltr|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca guayabales|guatemala|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca guijarrales|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca helena|2022 abadia de san quirce ribera del duero|es|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca helena|abadia de san quirce rdd|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca hontanillas|ribera del duero tempranillo 2024|es|r|??|??|??|2024|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca hoya|de santa ana olivares jumilla tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca humanao|humanao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca in|a bubble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iral|las pintadas blend tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iral|las pintadas blend tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=457
