W|giacomo|conterno barolo monfortino riserva|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=202
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|2014|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva docg italy|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=206
W|giacomo|conterno monfortino barolo riserva docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva piedmont nebbiolo|it|r|nebbiolo|barolo|barolo|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva piedmont nebbiolo|it|r|nebbiolo|barolo|barolo|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva piedmont nebbiolo|it|r|nebbiolo|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino barolo riserva piedmont nebbiolo|it|r|nebbiolo|barolo|barolo|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino riserva docg|??|r|??|??|??|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino riserva barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino riserva barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=214
W|giacomo|conterno monfortino riserva piedmont nebbiolo|it|r|nebbiolo|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino riserva piedmont nebbiolo|it|r|nebbiolo|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monfortino riserva piedmont nebbiolo|it|r|nebbiolo|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno monterfontino riserva piedmont nebbiolo|it|r|nebbiolo|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno montfortino barolo riserva docg italy a diamond|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno montfortino barolo riserva docg italy a diamond|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=220
W|giacomo|conterno montfortino riserva piedmont nebbiolo|it|r|nebbiolo|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo|??|r|nebbiolo|??|??|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo|??|r|nebbiolo|??|??|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo|??|r|nebbiolo|??|??|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=227
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=229
W|giacomo|conterno nebbiolo arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=229
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=232
W|giacomo|conterno nebbiolo dalba arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna ariona|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=243
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=245
W|giacomo|conterno nebbiolo dalba vigna arione|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione piedmont italy|it|r|nebbiolo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nebbiolo dalba vigna arione piedmont italy|it|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nervi gattinara|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno nervi gattinara docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo mg|it|r|??|barolo|barolo|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo dbmg|it|r|??|barolo|barolo|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo mg|it|r|??|barolo|barolo|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo dbmg|it|r|??|barolo|barolo|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo mg|it|r|??|barolo|barolo|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo dbmg|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno riserva monfortino barolo mg|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|giacomo|conterno vigna francia barbera dalba|??|r|barbera|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno vigna francia barbera dalba|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno vigna francia barbera dalba piedmont italy|it|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conterno vigna francia barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|conternos barolo francia two pack|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|damilano barolo chinato|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|damilano barolo chinato|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=268
W|giacomo|damilano barolo chinato|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=268
W|giacomo|damilano barolo nv|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|damilano barolo nv|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|giacomo|damilano barolo nv|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|giacomo|face towels 30x30 cm 6 piecesorange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo villero|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore bussia|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio anima arancia orange soul|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio anima arancio oranssiviini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio arneis anima arancio|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore|??|r|barbera|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=294
W|giacomo|fenocchio barbera dalba superiore|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore bussia doc|??|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore piedmont italy|it|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barbera dalba superiore piemonte italy|it|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=300
W|giacomo|fenocchio barolo 20|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=304
W|giacomo|fenocchio barolo 075 lit|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=313
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=315
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=315
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=281
W|giacomo|fenocchio barolo piedmont italy|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo 90 di riserva|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=326
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=326
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=326
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=326
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=335
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=337
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|giacomo|fenocchio barolo bussia|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|giacomo|fenocchio barolo bussia 90 di riserva|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia 90 di riserva|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia barolo docg italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia docg|it|r|??|barolo|barolo|1999|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia riserva|it|r|??|barolo|barolo|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia riserva|it|r|??|barolo|barolo|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia riserva|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo bussia riserva 90di docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=353
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=353
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi piedmont italy|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=362
W|giacomo|fenocchio barolo cannubi|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=362
W|giacomo|fenocchio barolo cannubi docg 2 flaschen lot 1|it|r|??|barolo|barolo|1997|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi docg 2 flaschen lot 2|it|r|??|barolo|barolo|1997|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo cannubi docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|giacomo|fenocchio barolo cannubi docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=370
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=374
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=377
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=379
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=381
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=381
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|giacomo|fenocchio barolo castellero|it|r|??|barolo|barolo|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|giacomo|fenocchio barolo castellero docg|it|r|??|barolo|barolo|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo castellero docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|giacomo|fenocchio barolo castellero docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=389
W|giacomo|fenocchio barolo doc|it|r|??|barolo|barolo|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|1978|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=396
W|giacomo|fenocchio barolo docg 245 z|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=401
W|giacomo|fenocchio barolo docg bussia|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo docg piedmont italy|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo riserva|it|r|??|barolo|barolo|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giacomo|fenocchio barolo riserva 90 di|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
