W|chateau ludeman la cote vignobles belloc|chateau ludeman la cote vignobles belloc|es|r|??|bordeaux|graves|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|gravity|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=219
W|gravity|gravity|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=219
W|gravity|gravity|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=219
W|gravity|bowl 11 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|bowl 13 cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|cellars cap|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|falls mi diario de notas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gravity|high plate 110x50mm amber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 110x50mm bronze|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 110x50mm crystal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 110x50mm grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 132x50mm amber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 132x50mm bronze|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 132x50mm crystal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|high plate 132x50mm grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|hills the sherpa zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|plateau plate 31cm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x28mm oak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x28mm walnut|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x33mm amber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x33mm bronze|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x33mm crystal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 110x33mm grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x28mm oak|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x28mm walnut|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x33mm amber|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x33mm bronze|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x33mm crystal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|raised plate 132x33mm grey|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|seltzer co ginger lime seltzer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|seltzer co lime cucumber alcoholic seltzer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|set of 2 cocktail glasses small|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|stellenbosch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well binary star collision|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well brane remodelled|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gravity|well clear shock|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well cosmic dust 38|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well enhanced shock 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well gravitational lensing|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well soliton surprise 80|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well termination shock|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well whet the whistle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravity|well yoga flame|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravl|humr bryggeriet nordens 3 bedste godnatl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravlax|marynowany kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|gravner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla anfora|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|anfora ribolla gialla|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|gravner|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla igt venezia giulia|??|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|amfora ribbolla gialla igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|amfora rosso gravner igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|bianco breg|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco breg|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco|=278
W|gravner|bianco breg anfora|??|w|??|??|??|2008|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco breg orange|??|w|??|??|??|2011|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco breg venezia giulia igt|??|w|??|??|??|1989|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco breg venezia giulia igt|??|w|??|??|??|1992|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco breg venezia giulia igt|??|w|??|??|??|1995|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco sivi|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|bianco sivi|??|w|??|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco|=285
W|gravner|bianco sivi igt vg|??|w|??|??|??|2011|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|breg anfora|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg anfora|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg anfora|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg anfora|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg anfora|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg bianco|??|w|??|??|??|2008|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|breg friuli italy pignolo|it|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg rosso|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|breg rosso|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|cofanetto ribolla riserva igt vg 2 6 coppe box legno e plexiglass|??|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
X
X
W|gravner|genredefying amber wines with mateja gravner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|igt venezia giulia ribolla gialla|??|r|??|??|??|2013|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|naranja anfora ribolla gialla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|naranja anfora ribolla gialla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|pinot grigio venezia giulia igt|??|w|pinot grigio|??|??|1989|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gravner|ribolla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=305
W|gravner|ribolla|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|gravner|ribolla venezia giulia italy|it|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|gravner|ribolla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|gravner|ribolla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=314
W|gravner|ribolla venezia giulia italy|it|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=319
W|gravner|ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=319
W|gravner|ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=319
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|gravner|ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=323
W|gravner|ribolla|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=329
W|gravner|ribolla 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla 75|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=331
W|gravner|ribolla anphora|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla breg exclusive glasses|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla exclusive glasses|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla friuli it|it|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla friulivenezia giulia italy|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla friulivenezia giulia italy|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=338
W|gravner|ribolla gialla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|gravner|ribolla gialla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|gravner|ribolla gialla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=340
W|gravner|ribolla gialla|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|gravner|ribolla gialla|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=344
W|gravner|ribolla gialla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=347
W|gravner|ribolla gialla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=347
W|gravner|ribolla gialla|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=347
W|gravner|ribolla gialla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=351
W|gravner|ribolla gialla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla veneziagiulia italy|it|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla amphora|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla anfora|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla anfora|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=356
W|gravner|ribolla gialla anfora|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla igt|??|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla naranja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla orange|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla vendemmia tardiva 8910 cassa in legno|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla venezia giulia|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla venezia giulia|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla gialla venezia giulia igt|??|r|??|??|??|1995|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla igt|??|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla igt|??|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=366
W|gravner|ribolla igt vg|??|r|??|??|??|2016|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla riserva igt|??|r|??|??|??|2011|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla venezia giulia|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla venezia giulia|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla venezia giulia bianco|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla venezia giulia igt vino bianco|??|w|??|??|??|2014|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla venezia giulia igt vino bianco|??|w|??|??|??|2015|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla venezia giulia igt vino bianco|??|w|??|??|??|2016|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla venezia giulia igt friulivenezia giulia italy|it|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|ribolla venezia giulia igt friulivenezia giulia italy|it|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=376
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco|=378
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco|=378
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco|=381
W|gravner|ribolla veneziagiulia bianco|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco|=381
W|gravner|ribolla vino naranja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|gravner|rosso|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg 200720082009 cassa in legno 3x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=404
W|gravner|rosso breg|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg anfora|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg anfora|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg friulivenezia giulia italy|it|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg friulivenezia giulia italy|it|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=409
W|gravner|rosso breg igt trevenezie|??|r|??|??|??|2009|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso breg igt trevenezie|??|r|??|??|??|2010|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso gravner|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso rujno|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rosso rujno igt|??|r|??|??|??|2007|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rujno|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rujno rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rujno rosso|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|rujno venezia giulia igt friulivenezia giulia italy|it|r|??|??|??|2006|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|sauvignon igt vg|??|r|??|??|??|2011|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|sauvignon venezia giulia igt|??|r|??|??|??|1992|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|sivi pinot grigio|??|w|pinot grigio|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravner|venezia giulia breg|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt bianco breg anfora|??|w|??|??|??|2006|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gravner|venezia giulia igt ribolla|??|r|??|??|??|2009|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt ribolla|??|r|??|??|??|2015|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt ribolla anfora|??|r|??|??|??|2001|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt ribolla anfora|??|r|??|??|??|2002|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt rosso breg cassa in legno|??|r|??|??|??|2006|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia igt rosso breg cassa in legno|??|r|??|??|??|2007|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gravner|venezia giulia ribolla|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=272
W|gravner|venezia giulia ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=275
W|gravner|veneziagiulia bianci ribolla|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravonia|crianza blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravonia|crianza blanco rioja do|es|w|??|rioja|rioja|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravonia|crianza blanco rioja do|es|w|??|rioja|rioja|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco|=435
W|gravonia|rioja blanco crianza lopez de heredia|es|w|??|rioja|rioja|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gravor|cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|10ars tawny reserva douro|pt|r|??|douro|douro|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=440
W|gravuras|do coa tinto doc|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa branco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa grande reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa grande reserva tinto em caixa madeira|??|f|??|??|??|2019|20|reserva|encorpado|queijos, sobremesas, chocolate|doce
W|gravuras|do coa grande reserva tinto|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa grande reserva tinto|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa moscatel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa moscatel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=449
W|gravuras|do coa reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=451
W|gravuras|do coa reserva tinto|??|r|??|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa reserva branco|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gravuras|do coa reserva branco|??|r|??|??|??|2022|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
