1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|cappellano|gabutti barbera dalba doc 2017 vino rosso|??|r|barbera|??|??|2017|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
226. W|cappellano|gabutti barbera dalba doc 2018 vino rosso|??|r|barbera|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
227. W|cappellano|gabutti barbera dalba doc 2019 vino rosso|??|r|barbera|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
228. W|cappellano|gabutti barbera dalba doc 2020 vino rosso|??|r|barbera|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
229. W|cappellano|nebbiolo dalba|??|r|nebbiolo|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
230. W|cappellano|nebbiolo dalba|??|r|nebbiolo|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
231. W|cappellano|otin fiorin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|cappellano|otin fiorin pie franco michet|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|cappellano|otin fiorin pie franco michet|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|cappellano|otin fiorin pie franco michet|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|cappellano|otin fiorin pie franco michet|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|cappellano|otin fiorin pie franco michet|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|cappellano|otin fiorin pie rupestris|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|cappellano|otin fiorin pie rupestris barolo docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
239. W|cappellano|pie franco barolo|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|cappellano|pie franco barolo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
241. W|cappellano|pie franco michet barolo docg 2000 vino rosso|it|r|??|??|??|2000|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
242. W|cappellano|pie franco michet barolo docg 2004 vino rosso|it|r|??|??|??|2004|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
243. W|cappellano|pie franco michet barolo docg 2012 vino rosso|it|r|??|??|??|2012|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
244. W|cappellano|pie franco michet barolo docg 2013 vino rosso|it|r|??|??|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
245. W|cappellano|pie franco michet barolo docg 2014 vino rosso|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
246. W|cappellano|pie franco michet barolo docg 2015 vino rosso|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
247. W|cappellano|pie franco michet barolo docg 2016 vino rosso|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
248. W|cappellano|pie franco michet barolo docg 2017 vino rosso|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
249. W|cappellano|pie franco michet barolo docg 2018 vino rosso|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
250. W|cappellano|pie franco michet barolo docg 2019 vino rosso|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
251. W|cappellano|pie franco michet mgm owc barolo docg 2013 vino rosso|it|r|??|??|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
252. W|cappellano|pie franco michet mgm owc barolo docg 2014 vino rosso|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
253. W|cappellano|pie franco michet mgm owc barolo docg 2015 vino rosso|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
254. W|cappellano|pie franco michet mgm owc barolo docg 2016 vino rosso|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
255. W|cappellano|pie franco michet mgm owc barolo docg 2017 vino rosso|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
256. W|cappellano|pie franco michet mgm owc barolo docg 2019 vino rosso|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
257. W|cappellano|pie franco michet mgm owc barolo docg 2020 vino rosso|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
258. W|cappellano|pie rupestris barolo|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cappellano|pie rupestris barolo|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cappellano|pie rupestris barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cappellano|pie rupestris barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=260
262. W|cappellano|pie rupestris barolo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|cappellano|pie rupestris barolo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=262
264. W|cappellano|pie rupestris barolo docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
265. W|cappellano|pie rupestris barolo docg 2012 vino rosso|it|r|??|??|??|2012|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
266. W|cappellano|pie rupestris barolo docg 2013 vino rosso|it|r|??|??|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
267. W|cappellano|pie rupestris barolo docg 2014 vino rosso|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
268. W|cappellano|pie rupestris barolo docg 2015 vino rosso|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
269. W|cappellano|pie rupestris barolo docg 2016 vino rosso|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
270. W|cappellano|pie rupestris barolo docg 2017 vino rosso|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
271. W|cappellano|pie rupestris barolo docg 2018 vino rosso|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
272. W|cappellano|pie rupestris barolo docg 2019 vino rosso|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
273. W|cappellano|pie rupestris barolo docg 2020 vino rosso|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
274. W|cappellano|pie rupestris magnum owc barolo docg 2018 vino rosso|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
275. W|cappellano|pie rupestris magnum owc barolo docg 2019 vino rosso|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
276. W|cappellano|pie rupestris magnum owc barolo docg 2020 vino rosso|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
277. W|cappellano|pie rupestris owc barolo docg 2013 vino rosso|it|r|??|??|??|2013|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
278. W|cappellano|pie rupestris owc barolo docg 2014 vino rosso|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
279. W|cappellano|pie rupestris owc barolo docg 2015 vino rosso|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
280. W|cappellano|pie rupestris owc barolo docg 2016 vino rosso|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
281. W|cappellano|pie rupestris owc barolo docg 2017 vino rosso|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
282. W|cappellano|troglia barolo|it|r|??|??|??|1958|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cappellano|vigna gabutti barbera dalba|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
284. W|cappellasantandrea|vernaccia di san gimignano clara stella|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|cappelleti|prosciutto parma 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|cappelletti|cappelletti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
287. S
288. S
289. S
290. W|cappelletti|alta verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. S
292. W|cappelletti|americano rosso bitters|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|cappelletti|americano rosso il specialino trento it|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
296. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
297. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
298. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
299. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
300. W|cappelletti|aperitivo americano rosso il specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
301. W|cappelletti|aperitivo americano rosso nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|cappelletti|aperitivo il specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|cappelletti|aperitivo il specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=302
304. W|cappelletti|aperitivo mazzura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|cappelletti|aperitivo mazzura|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=304
306. W|cappelletti|aperitivo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cappelletti|aperitivo specialiano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cappelletti|aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
309. W|cappelletti|aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=308
310. W|cappelletti|aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=308
311. W|cappelletti|aperitivo spritz pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|cappelletti|apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cappelletti|apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=312
314. W|cappelletti|apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=312
315. W|cappelletti|bolognese|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cappelletti|crema prosciutto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cappelletti|elisir novasalus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
318. W|cappelletti|il specialiano vino apertivo 17|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
319. W|cappelletti|il specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
320. W|cappelletti|il specialino aperitivo rosso trentino italy|it|r|??|trentino|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|cappelletti|il specialino apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cappelletti|il specialino vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|cappelletti|il specialino vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
324. W|cappelletti|il specialino vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=322
325. W|cappelletti|il specialino vino aperitivo americano rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|cappelletti|il specialino vino aperitivo americano rosso trentinoalto adige italy|it|r|??|alto adige|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
327. W|cappelletti|mazzura trento aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cappelletti|me crudo 250 albio|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
329. W|cappelletti|negroni insorti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|cappelletti|negroni insorti wine cocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|cappelletti|aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=294
332. W|cappelletti|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|cappelletti|sfumato rabarbaro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cappelletti|specialino vino aperitivo americano rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
335. W|cappelletti|vermouth bianco nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
336. W|cappelletti|vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
337. W|cappelletti|vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=336
338. W|cappelletti|vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=336
339. W|cappelletti|vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=336
340. W|cappelletti|vino aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=336
341. W|cappelletti|vino aperitivo americano rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|cappelletti|vino aperitivo americano rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=341
343. W|cappelletti|vino aperitivo americano rosso nv trentinoalto adige italy|it|r|??|alto adige|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|cappelletti|vino aperitivo aperitif americano rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
345. W|cappelletti|vino aperitivo italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
346. W|cappelletti|vino aperitivo nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
347. W|cappelletti|vino aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
348. W|cappelletti|vino aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=347
349. W|cappelletti|vino aperitivo specialino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=347
350. W|cappelletti|vino apertivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
351. W|cappelletti|with parma ham 250g chilled 04c parallel import|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|cappelli|de frango 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
353. W|cappelli|de vitela 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
354. W|cappelli|mussarela de bufala 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|cappelliera|panettone classico kg 100 filippi|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
356. W|cappelliera|regalo cioccolatini assortiti 400g venchi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cappellina|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
358. W|cappellina|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
359. W|cappellina|chianti classico gran selezione 2018 canto dieci|it|r|??|chianti classico|??|2018|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
360. W|cappellina|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
361. W|cappellina|supertuscan 2018 dianne cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
362. W|cappellino|cappellino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|cappellino|cantina urbana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|cappellino|flexfit delea|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
365. W|cappello|del prete igt 2009 salento rosso 1 magnum candido|??|r|??|??|??|2009|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
366. W|cappello|di prete 2021 candido|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
367. W|cappello|di prete candido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|cappello|di prete candido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=367
369. W|cappello|di prete candido igt|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
370. W|cappello|di prete salento igp candido|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
371. W|capper|i rostfritt for pigeage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|capperi|capperi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|capperi|capperi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=372
374. W|capperi|alla contadina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
375. W|capperi|con gambo in aceto 314|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|capperi|in aceto 190g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
377. W|capperi|in aceto di vino bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
378. W|capperi|occhiellino a la sal 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|capperi|pernice in aceto 212g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|capperi|selvatici del peloponneso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|capperi|siciliani di salina bio gustosi sentieri|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|capperini|in olio extra vergine doliva|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|cappero|ibleo selvatico occhipinti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|cappitano|igt marche rosso|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
385. W|cappo|moscato|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
386. W|cappo|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
387. W|cappo|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
388. W|cappogatto|podere poggio scalette 2015 0750 toscane italie|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|cappone|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
390. W|cappuc|sol prem lor 196g choc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|cappuc|sol prem lor 203g baun|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cappuccetto|caramelle lemonsalvia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|cappuccetto|rosa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|cappuccetto|rosa toscana igt 2022 podere le ripi|it|r|??|toscana|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
395. W|cappuccetto|rosa toscana rosato igt|it|p|??|toscana|??|2023|12|igt|leve|carne vermelha, massas, queijos curados|seco
396. W|cappuccetto|rosa toscano rosato igt|??|p|??|??|??|NV|12|igt|leve|carne vermelha, massas, queijos curados|seco
397. W|cappuccinatore|caffe borbone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
399. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
400. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
401. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
402. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
403. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
404. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
405. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
406. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
407. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
408. W|cappuccino|cappuccino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
409. W|cappuccino|16 capsulas dolce gusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|cappuccino|1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|cappuccino|3 coracoes 20g classic|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
412. W|cappuccino|3 coracoes canela 20g sache|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|cappuccino|3 coracoes classic 200g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
414. W|cappuccino|3 coracoes classic 20g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
415. W|cappuccino|3 coracoes classic 400g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
416. W|cappuccino|3 coracoes classico 400g|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
417. W|cappuccino|3 coracoes sabor canela sache 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|cappuccino|75 diablo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|cappuccino|bajadera okus pralina 148 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|cappuccino|biscottoni 290gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cappuccino|break|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|cappuccino|cafe brasileiro tradicional 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|cappuccino|caramel 12g jacobs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|cappuccino|choco milka 158g jacobs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|cappuccino|clasic 125g la festa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|cappuccino|classic 100g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
427. W|cappuccino|classic 112g franck|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
428. W|cappuccino|classic 200g arabesca|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
429. W|cappuccino|classic 3 coracoes 200g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
430. W|cappuccino|classico 3 coracoes 200 g|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
431. W|cappuccino|cokolada 144 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cappuccino|cokolada 200g arabesca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|cappuccino|colcafe mocca natural 270g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cappuccino|colcafe vainilla natural 270g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|cappuccino|creme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|cappuccino|creme cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|cappuccino|cu ciocolata 125g la festa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cappuccino|cu rom 125g la festa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cappuccino|cup d9 h55 heii wolterinck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. S
441. W|cappuccino|diet 3 coracoes 150 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|cappuccino|diet 3 coracoes pack 2 unidades 150g cada leve mais pague menos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|cappuccino|drys|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|cappuccino|drys bisgaard edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. X
446. W|cappuccino|em capsula starbucks 10 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
