W|branco|bons ventos fresh kit 4 garrafas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda loureiro e alvarinho 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda loureiro alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda loureiro|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda fonte 2024 vinhos verdes|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aveleda alvarinho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|auxeyduresses blanc 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|auxeyduresses blanc 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|auxeyduresses blanc 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|autocarro no38 2023 regional peninsula de setubal|pt|w|??|setubal|??|2023|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|authentique savagnin jerome arnoux|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|austriaco weinrieder klassik gruner veltliner|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|austriaco roter veltliner wagram dac|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|austriaco roter veltliner wagram dac|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=238
W|branco|austriaco lenz moser special selection gruner veltliner|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|austriaco lenz moser special selection grner veltliner|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|austriaco heiderer mayer auslese weissburgunder|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australiano yellow tail chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australiano yellow tail chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=243
W|branco|australiano yellow tail chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=243
W|branco|australiano windy peak sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australiano windy peak sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=246
W|branco|australiano stump of australian chardonnay semillon hardys|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australiano oxford landing pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australiano john duval wines plexus mrv corte|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|australia yellow tail chadornay|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aurora varietal chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aurora colheita tardia suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|aurora colheita tardia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aurora colheita tardia|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=254
W|branco|aurora bianco 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aurora 000 riesling zero alcool|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aura nova sweet white moscato canelli|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aura nova sweet white moscato canelli|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=258
W|branco|aura nova chardonnay chenin blanc|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|attitude sauvignon blanc pascal jolivet|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|atlantis verdelho madeira 2022|??|f|palomino|??|??|2022|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|branco|atlantico sur reserva albarino|??|w|albarino|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|atlantico sur albarino deicas|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|atlantico regional alentejano|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|ataya chardonnay gran reserva 2019|??|w|chardonnay|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|ataide semedo reserva especial|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|astronauta sauvignon blanc 2024 alentejo|pt|w|sauvignon blanc|alentejo|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|astronauta sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|assinatura chardonnay 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|as sortes rafael palacios 2022 galiza|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|as olgas macanita|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|as dos ladeiras godello valdeorras 2020|??|w|godello|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|as 2 ladeiras godello 2019|??|w|godello|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arvad colheita 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|artolas white moustache|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|artisanal jose de sousa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arteviva sinonimos riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arteviva especial juju chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|artefice bianco puglia igp|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|artefacto 2019 alentejo|pt|w|??|alentejo|??|2019|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|artefacto|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arte de argento pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arte blend casa valduga|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arte 03 blend chardonnay e moscato casa valduga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|art terra amphora 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|art de vivre clairette languedoc|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|art de vivre clairette|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arroyo grande jackot organico piedra negra|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|arrojo|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arrogant frog tuttifrutti|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arrogant frog sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arrogant frog sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=292
W|branco|arrivo 31 sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arrivo 31 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arrivo 31 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=295
W|branco|arribas do douro colheita 2021 doc douro portugal blend rabigato viosinho e gouveio seco mineral e refrescante|pt|w|??|douro|??|2021|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|branco|arrepiado collection reserva 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|medio|peixes, frutos do mar, saladas|seco
W|branco|arrepiado collection 2023 alentejo|pt|w|??|alentejo|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|arrepiado collection 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aroma portugues antao vaz e arinto regiao minho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|aroma portugues|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arniston bay sauvignon blancdetalhes|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arniston bay sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto santa barbara co 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto reserva 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|arinto lisboa 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto dos acores by antonio macanita acores|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto dos acores 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto dos acores|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|arinto da peceguina 2018 alentejo|pt|w|??|alentejo|??|2018|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|branco|argos sauvignon blanc de quincy 2017|??|w|sauvignon blanc|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argilla mmxxii|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argile blanc allobroges igp 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argile blanc 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argento pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argento estate bottled chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argento chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino zuccardi serie a torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino zuccardi serie a torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=319
W|branco|argentino zuccardi serie a chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino zuccardi mountain chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino zuccardi fuzion chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino vistoso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino viejo vinedo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino viejo vinedo|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino viejo viedo sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino trivento malbec|??|w|malbec|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino torrontes los haroldos|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino torrontes los haroldos|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=329
W|branco|argentino torrontes amayan|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino torreon sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino torreon blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino tilia chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino tierra magica suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|argentino tierra magica|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino the grill master sauvignon blanc|cl|w|sauvignon blanc|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino the grill master fan club chardonnaychenin|cl|w|chardonnay|valle central|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino testimonio sauvignon blanc luigi bosca|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo tradicion chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo signature white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo signature torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo signature torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=342
W|branco|argentino susana balbo signature torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=342
W|branco|argentino susana balbo crios torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo crios torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=345
W|branco|argentino susana balbo crios dulce natural|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo anubis chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino susana balbo anubis chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=348
W|branco|argentino stellaris de uco torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sottano reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino sottano reserva de familia chenin blanc|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino sottano maria magdalena chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sottano junior chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sol sul torrentes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sinergia chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sin palabras chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino signo white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino siempre tengo un plan b white blend 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino siempre tengo un plan b sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino siempre tengo un plan b chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino sauvignon blanc fiel|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino san telmo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino san telmo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=363
W|branco|argentino rutini cruz alta semillonsauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino roca chenin chardonnay 2024|??|w|chardonnay|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino roca chenin chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino roca chenin chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=367
W|branco|argentino roca chenin chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=367
W|branco|argentino quinde torrontes organico|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino postales roble chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino portillo valle de uco sauvignon blanc dulce natural|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino pinot grigio las perdices|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino pinot grigio fiel|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino phebus chardonnay estate|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino parrales reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino otro loco mas dulce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino novecento chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino norton sexy fish blanc de blancs|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino norton reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino norton porteno torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino norton porteno torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=381
W|branco|argentino norton porteno suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|branco|argentino norton porteno chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino norton lote blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino norton altura white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino nieto senetiner benjamin torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino new roads|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino new roads|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=388
W|branco|argentino mosquita torrontes garrafa|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mosquita muerta cordero com piel de lobo blanco de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mora vista torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mora vista torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=392
W|branco|argentino mora vista dulce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mora vista chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino minimalista pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mil demonios blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mendoza torreon corte das uvas ugniblanc chenin e pedro gimenez safra 2024 meio seco|ar|w|??|mendoza|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mendoza heights|ar|w|??|mendoza|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mauricio lorca fantasia torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino masi passo blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino marques del sur torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino maria magdalena chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino margarita para los chanchos chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mantra rebel chardonnay secreto patagonico|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino malma patagonico family wines sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mal arreado blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino mal arreado blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=407
W|branco|argentino luna de finca la anita chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino lote rojo torrones norton|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino los cardos sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino lorca fantasia chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino latitud 33 sauvignon blanc garrafa|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino las perdices sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino las perdices reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino las invernadas chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino las estancas white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino las estancas white blend|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=417
W|branco|argentino la vid blend meio seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino la puerta classico torrontes seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino la espera torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino la espera torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=421
W|branco|argentino incienso chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino humberto canale black river sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino fuzion organic chardonnay zuccardi|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino finca perdriel series|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino finca los primos torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino finca las moras dada no 391 art white malbec|??|w|malbec|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino finca la linda chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino fiano gran reserva|??|w|fiano|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino fiano gran reserva|??|w|fiano|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=430
W|branco|argentino felino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino felino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=432
W|branco|argentino famiglia bianchi viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino famiglia bianchi viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=434
W|branco|argentino estate torrontes pascual toso|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino elsa bianchi torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino elsa bianchi torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=437
W|branco|argentino durigutti proyecto las compuertas organico e vegano marsanne e semillon|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino donde manda capitan torrontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino dona paula estate chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino destino chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino crotta reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|branco|argentino crios dulce natural|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino cordero con piel de lobo dulce natural|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino cordero con piel de lobo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|branco|argentino cordero con piel de lobo chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=446
W|branco|argentino cordero con piel de lobo blend de blancas|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
