W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso piemonte barbera baginbox|it|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|giovanni|rosso roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=212
W|giovanni|rosso roero arneis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|giovanni|rosso roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|giovanni|rosso roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=216
W|giovanni|rosso roero arneis|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arneis docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso roero arnesis docg|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso serralunga dalba barolo|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso serralunga dalba barolo|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso serralunga dalba barolo|it|r|??|barolo|barolo|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm giovanni rosso barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm giovanni rosso barb don mrgt|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm giovanni rosso langhe nebbi sm|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm giovanni rosso langhe nebbi sm|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=229
W|giovanni|rosso sm giovanni rosso roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm giovanni rosso roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=231
W|giovanni|rosso sm barolo serra|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|rosso sm barolo serra|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sallemi cantunera|??|r|??|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sallemi sabbie rosse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sallemi terre di conventazzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sarti borgo della rocca|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sarti sinfonia|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sarti sinfonia|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|scanavino barolo riserva|it|r|??|barolo|barolo|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|serra etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|serra etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|giovanni|sordo barbera dabla docg|??|r|barbera|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo|it|r|??|barolo|barolo|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo docg|it|r|??|barolo|barolo|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo gabutti|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo monprivato|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo monprivato|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo perno|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo perno|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo perno|it|r|??|barolo|barolo|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo barolo ravera|it|r|??|barolo|barolo|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo rocche di castiglione barolo docg|it|r|??|barolo|barolo|2004|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo rocche di castiglione barolo docg|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo sori gabutti riserva barolo docg|it|r|??|barolo|barolo|2005|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo sori gabutti riserva barolo docg|it|r|??|barolo|barolo|2007|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|sordo sori gabutti riserva barolo docg|it|r|??|barolo|barolo|2009|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|tasca alvarinho|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barbera dalba la gemella|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barbera dalba la gemella|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barbera dalba la gemella|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barbera dalba superiore bricco airoli|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barbera dasti superiore collejato|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo buon padre|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo monvigliero docg|it|r|??|barolo|barolo|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo riserva bricco delle viole|it|r|??|barolo|barolo|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo riserva bricco delle viole docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo riserva la volta docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo riserva la volta docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=269
W|giovanni|viberti barolo riserva la volta docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=269
W|giovanni|viberti barolo riserva san pietro|it|r|??|barolo|barolo|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti barolo riserva san pietro docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti buon padre barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti buon padre barolo docg|it|r|??|barolo|barolo|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|giovanni|viberti derthona timorasso colli tortonesi doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti dolba langhe rosso|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti dolba langhe rosso doc|it|r|??|langhe|langhe|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti filebasse chardonnay doc|??|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giovanni|viberti la gemella barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti la gemella barbera dalba doc|??|r|barbera|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti la gemella rosata|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti langhe nebbiolo doc|it|r|nebbiolo|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti moscato dasti docg|??|r|moscato|??|??|2025|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti nebbiolo langhe|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovanni|viberti pubblicano dolcetto dogliani docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|doce
W|giovanni|viberti rinato langhe chardonnay doc|it|w|chardonnay|langhe|langhe|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giovanni|vincenzo pannunzio clasicos malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovannini|rubicone emiliaromagna sangiovese|??|r|sangiovese|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovannini|albana docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovannini|ggg bianco del sillaro|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovannis|mystery wine case curated italian selection 6 or|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovannis|signature classic fruit panettone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giove|jigger 30 argent l0026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giove|jigger 30 matt l0428|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giove|jigger 30 nero l0028|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giove|jigger 30 oro l0029|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giove|jigger 3060 bronze l0027|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|12 ottobre le di gravner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|14 settembre anfore parte 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|19 febbraio ba ba vs bo bo deluxe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|19 ottobre anfore parte 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|2 novembre incontro con il produttore denis montanar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|21 settembre philippe e tony bornard|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|25 luglio serragghia di gabrio e giotto bini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|26 ottobre la coulee de serrant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|28 dicembre ore 20 substance over form|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|5 ottobre stiria beyond|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|7 marzo slovenia con marcel decocq|si|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovedi|paestum rosso vigneti tardis|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovello|giovello pinot grigio case only|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovello|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovello|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=314
W|giovello|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=314
W|giovello|prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gioventu|chianti docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|chianti docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|chianti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|gioventu|chianti|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|chianti docg organic|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|chianti toscana sangiovesecanaiolociliegiolo|it|r|sangiovese|tuscany|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|falanghina vino bianco orange case only|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gioventu|macerato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|macerato|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|macerato terre siciliane|it|r|??|sicily|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|macerato terre siciliane italy|it|r|??|sicily|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gioventu|organic chianti docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giovenzo|cococciola terre di chieti igt|??|r|??|??|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giovese|bianca giovese vino bianco boxed wine 6|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovese|rosie giovese rose boxed wine 6|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giovese|sandy giovese vino rosso boxed wine 6|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovesone|la nascosta by mastrojanni|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovesone|orcia doc riserva|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovesone|orcia doc riserva cantina la nascosta|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovi|etna bianco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovi|etna rosso pirao|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovin|re|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovin|re bianco toscana igt michele satta|it|w|??|tuscany|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giovin|re igt toscana bianco satta|it|w|??|tuscany|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|giovin|re michele satta|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|alma grillo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|alma nero davola|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|etna rosso san lorenzo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|sgarretta grillo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|sgarretta nero davola|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines etna bianco doc|??|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giovinco|wines etna rosso doc cda san lorenzo|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines grillo sgarretta sicilia doc bio|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines linea alma catarratto igt|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines linea alma grillo sicilia doc|it|r|??|sicily|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines linea alma nero davola doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines linea alma rosato terre siciliane igt|it|p|??|sicily|??|2024|12.5|igt|leve|aperitivos, frutos do mar, saladas|seco
W|giovinco|wines metodo classico|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinco|wines nero davola sgarretta sicilia doc bio|it|r|??|sicily|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|inno alla vita barbera d nizza|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|inno alla vita barbera d nizza|??|r|barbera|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=358
W|giovine|canelli carolina rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giovine|canelli cesira monferrato bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovine|canelli cesira monferrato bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=361
W|giovine|canelli edoardo chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovine|canelli edoardo chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
W|giovine|canelli edoardo chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=363
W|giovine|canelli gianni moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|canelli giuliana rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|canelli giuliana rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=367
W|giovine|canelli giuseppe barbera dasti|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|canelli giuseppe barbera dasti|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=369
W|giovine|canelli valerio rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|edoardo unoaked chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giovine|fede barbera dasti|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|gianni moscato canelli|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|valerio rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovine|valerio rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=375
W|giovino|orange|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovino|rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovino|rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giovinre|viognier toscana igt michele satta|it|w|viognier|tuscany|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gipeto|gioia del colle primitivo doc|??|r|primitivo|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gipeto|primitivo tenute capovaccaio|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipfelkaese|jurassic quarter pound|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipfelsturmer|gipfelsturmer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipfelsturmer|halbtrocken|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipht|service charge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|choc fudge honeycomb|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|cookies cream|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|free range pork mince 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised asadocut beef short rib|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef brisket 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef burger 4pc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef chuck|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef flank steak 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef marrow bones 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef mince 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef porterhouse steak 2pc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef ribeye 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef rump cap 2pc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef rump cap roast 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef short rib 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised beef tbone 550g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised dryaged club steak 600g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised dryaged tbone steak 800g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pasture raised marinated minute steak 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|pork midloin chop 460g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|range pork spare ribs 450650g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|strawberry waffle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine co harrier nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine co pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company fume sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company gewurztraminer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company gustoso cabernet sangiovese 750m|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gippsland|wine company rose syrah nouveau|??|p|syrah|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gippsland|wine company syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company viognier|??|w|viognier|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine company western port pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company western port syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gippsland|wine company westernport chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gippsland|wine region map|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 20 black refp226623ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
