W|vino|opprimmerlot opt 34|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=243
W|vino|norton reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=243
W|vino|norton reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|norton reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=246
W|vino|norton reserva cab sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|norton privada malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton privada family blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton malbec reserva|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|norton malbec doc|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|norton lote negro blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=254
W|vino|norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=254
W|vino|norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=254
W|vino|norton doc malbec|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=254
W|vino|norton coleccion suavignon blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton coleccion malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton coleccion malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=260
W|vino|norton coleccion malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=260
W|vino|norton coleccion malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=260
W|vino|norton coleccion cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton coleccion cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=264
W|vino|norton coleccion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton coleccion cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=266
W|vino|norton coleccion cab sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton coleccion bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton clasico bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton barrel select malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton barrel select malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=271
W|vino|norton barrel select cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton barrel select cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=273
W|vino|norton barrel select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton barrel select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=275
W|vino|norton altura white blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton altura white blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=277
W|vino|norton altura malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton altura malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=279
W|vino|norton altura cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|norton altura cab franc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|normanno bianco 1968|??|r|??|??|??|1968|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|noralba crianza ecologico 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nora de neve blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nono adriano malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|noilly prat extra dry 1960s|??|r|??|??|??|1960|13.5|??|medio|carnes vermelhas; queijos curados|extra dry
W|vino|nogara vinas viejas blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nogara blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nocedal reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|nocedal gran reserva 2008|??|r|??|??|??|2008|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|noble di montepulciano riserva 1983 fatt del cerro|it|r|montepulciano|toscana|montepulciano|1983|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|noble alianza cabernet franc tannat marselan|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobille di montepulciano riello delle balze|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile viti nuove poliziano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile vecchie cantine 1977|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile vecchie cantine 1977|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??|=296
W|vino|nobile vecchie cantine 1977|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??|=296
W|vino|nobile vecchie cantine 1977|??|r|??|??|??|1977|13.5|??|medio|carnes vermelhas; queijos curados|??|=296
W|vino|nobile santa caterina trerose 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile santa catarina di montepulciano 2022 14 vol|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile riserva bossona 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile riserva bossona 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??|=302
W|vino|nobile riserva bossona 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile riserva 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile riserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepuluciano riserva crociani|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano riserva bossona dei 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano riserva bossona dei 2018|it|r|montepulciano|toscana|montepulciano|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano riserva bossona dei|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano il convertino|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano docg 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano docg 1967|it|r|montepulciano|toscana|montepulciano|1967|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano doc 1970|it|r|montepulciano|toscana|montepulciano|1970|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano dei 375 2021|it|r|montepulciano|toscana|montepulciano|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciano dei 2016|it|r|montepulciano|toscana|montepulciano|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montepulciana docg 1988|??|r|??|??|??|1988|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montep salco ko docg salcheto|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile montep salco docg salcheto|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile maria stella 2023 237 kr|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepuliciano trerose santa caterina 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepuliciano docg 2015|??|r|??|??|??|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulcino italy|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulcino|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulcianotoscana docg riello delle balzesafra 2017|??|r|montepulciano|toscana|montepulciano|2017|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano vigna asinone|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano vecchia cantina 1980 riserva bad label|it|r|montepulciano|toscana|montepulciano|1980|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano vecchia cantina 1980|it|r|montepulciano|toscana|montepulciano|1980|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano vecchia cantina 1980|it|r|montepulciano|toscana|montepulciano|1980|13.5|??|medio|carnes vermelhas; queijos curados|??|=328
W|vino|nobile di montepulciano vecchia cantina 1980|it|r|montepulciano|toscana|montepulciano|1980|13.5|??|medio|carnes vermelhas; queijos curados|??|=328
W|vino|nobile di montepulciano vallocaia|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano torcalvano tenuta torcalvano ambrogio e giovanni folonari|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano tenuta la braccesca tuscany italy|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano tenuta di gracciano della seta|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano tenuta calimaia riserva 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano tenuta calimaia riserva 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=335
W|vino|nobile di montepulciano talosa|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano santa pia la braccesa|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano santa caterina trerose 2021|it|r|montepulciano|toscana|montepulciano|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano santa caterina toscane 2020|it|r|montepulciano|toscana|montepulciano|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano san claudio ii riserva 2015|it|r|montepulciano|toscana|montepulciano|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano san claudio ii riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano salco salcheto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano salco organic|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano salcheto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano salcheto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=345
W|vino|nobile di montepulciano rubino 2016|it|r|montepulciano|toscana|montepulciano|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riservatoscana docgriello delle balzesafra 2017|it|r|montepulciano|toscana|montepulciano|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva vecchia cantina|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva toscana docg riello delle balze|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva torcalvano tenuta torcalvano ambrogio e giovanni folonari|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg vallocaia 2019 bindella|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg vallocaia 2019 bindella|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=352
W|vino|nobile di montepulciano riserva docg vallocaia 2019 bindella|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=352
W|vino|nobile di montepulciano riserva docg toskania 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg talosa|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg sotto casa boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg sotto casa boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=357
W|vino|nobile di montepulciano riserva docg simposio tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|nobile di montepulciano riserva docg magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=360
W|vino|nobile di montepulciano riserva docg fattoria del cerro|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg cavallino|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=364
W|vino|nobile di montepulciano riserva docg 2020 salcheto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2020 salcheto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=366
W|vino|nobile di montepulciano riserva docg 2020 salcheto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=366
W|vino|nobile di montepulciano riserva docg 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=369
W|vino|nobile di montepulciano riserva docg 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=369
W|vino|nobile di montepulciano riserva docg 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=369
W|vino|nobile di montepulciano riserva docg 2020 carpineto|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=369
W|vino|nobile di montepulciano riserva docg 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=374
W|vino|nobile di montepulciano riserva docg 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=374
W|vino|nobile di montepulciano riserva docg 2019 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2019 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=377
W|vino|nobile di montepulciano riserva docg 2019 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=377
W|vino|nobile di montepulciano riserva docg 2019 podere le berne|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2019 podere le berne|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=380
W|vino|nobile di montepulciano riserva docg 2018 podere le berne|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2015 magnum carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg 2015 magnum carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=383
W|vino|nobile di montepulciano riserva docg 2015 magnum carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=383
W|vino|nobile di montepulciano riserva docg 2015 magnum carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=383
W|vino|nobile di montepulciano riserva docg 20|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva doc 1969|it|r|montepulciano|toscana|montepulciano|1969|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva corte alla flora 2015|it|r|montepulciano|toscana|montepulciano|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva carpineto tuscany italy|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva carpineto|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2020 poderi boscarelli|it|r|montepulciano|toscana|montepulciano|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2020|it|r|montepulciano|toscana|montepulciano|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2019 poderi boscarelli|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2019 carpineto|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2018|it|r|montepulciano|toscana|montepulciano|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2017 red wine|it|r|montepulciano|toscana|montepulciano|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2015|it|r|montepulciano|toscana|montepulciano|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 2011 nottola|it|r|montepulciano|toscana|montepulciano|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 1998 fattoria del cerro|it|r|montepulciano|toscana|montepulciano|1998|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva 1995 fattoria del cerro|it|r|montepulciano|toscana|montepulciano|1995|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=403
W|vino|nobile di montepulciano reserva 2017 docg toscana|it|r|montepulciano|toscana|montepulciano|2017|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano poliziano docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano poliziano 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano poliziano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano poderi sanguineto riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano poderi sanguineto riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=409
W|vino|nobile di montepulciano podere san giovanni corte alla flora 2015|it|r|montepulciano|toscana|montepulciano|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano pietra rossa docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano organic|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano mulinvecchio docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano mezzina docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano mezzina docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=415
W|vino|nobile di montepulciano maria caterina 0|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano magnum organic|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano magnum legno 1|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano magnum docg 2022 le berne|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano magnum 1|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano madonna della querce docg|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano le berne tuscany italy 2019 14 vol|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano le berne|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano le berne|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=424
W|vino|nobile di montepulciano la braccesca docg 2020|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano la braccesca antinori|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano la braccesca 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano la braccesca 2019|it|r|montepulciano|toscana|montepulciano|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano ko docg salcheto 2021|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano ko docg salcheto|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano jeroboam legno|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano jeroboam|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano il nocio docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano half bottle organic|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano grandi annate 1997|it|r|montepulciano|toscana|montepulciano|1997|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano duca di saragnano italy|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano duca di saragnano|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg toscana|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg tenuta calimaia magnum cassa di legno frescobaldi|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg tenuta calimaia frescobaldi|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg tempo 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
