1. W|cantina sorbara|omaggio a gino friedmann lambrusco di sorbara brut|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
202. W|cantina terlano|pinot nero|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=201
203. W|cantina terlano|pinot noir|it|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|cantina terlano|pinot noir riserva monticol|it|r|pinot noir|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
205. W|cantina terlano|pinot noir riserva monticol|it|r|pinot noir|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=204
206. W|cantina terlano|porphyr lagrein riserva|it|r|lagrein|??|??|2021|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
207. W|cantina terlano|primo terlaner i grande cuvee|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
208. W|cantina terlano|quarz|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
209. W|cantina terlano|quarz doc sauvignon blanc|it|w|sauvignon blanc|??|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco
210. W|cantina terlano|quarz doc sauvignon blanc magnum|it|w|sauvignon blanc|??|??|2021|12.5|doc|leve|peixes, frutos do mar, saladas|seco
211. W|cantina terlano|quarz doc sauvignon blanc magnum|it|w|sauvignon blanc|??|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco
212. W|cantina terlano|quarz sauvignon|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
213. W|cantina terlano|quarz sauvignon blanc alto adige terlano doc|it|w|sauvignon blanc|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
214. W|cantina terlano|riserva pinot noir monticol|it|r|pinot noir|??|??|2021|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
215. W|cantina terlano|sauvignon winkl|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
216. W|cantina terlano|sauvignon winkl alto adige|it|r|sauvignon|alto adige|??|2020|13.5|??|leve|carne vermelha, massas, queijos curados|seco
217. W|cantina terlano|st magdalener doc 2019 italy|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
218. W|cantina terlano|st magdalener doc|it|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
219. W|cantina terlano|terlan pinot grigio|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
220. W|cantina terlano|terlaner blanc 2024 alto aldige vin ditalie|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
221. W|cantina terlano|terlaner cuvee|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|cantina terlano|terlaner cuvee 2023 alto adige italy|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|cantina terlano|terlaner cuvee bianco alto adige doc|it|w|??|alto adige|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
224. W|cantina terlano|terlaner cuvee doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
225. W|cantina terlano|terlaner cuvee white blend|it|w|white blend|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
226. W|cantina terlano|terlaner rarity|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cantina terlano|tradition gewurztraminer alto adige doc italia branco|it|w|gewurztraminer|alto adige|??|2023|12.5|doc|leve|peixes, frutos do mar, saladas|seco
228. W|cantina terlano|tradition lagrein rose|it|p|lagrein|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
229. W|cantina terlano|tradition muller thurgau|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|cantina terlano|tradition pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
231. W|cantina terlano|tradition pinot bianco alto adige doc italia branco|it|w|pinot bianco|alto adige|??|2023|12.5|doc|leve|peixes, frutos do mar, saladas|seco
232. W|cantina terlano|tradition pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
233. W|cantina terlano|tradition pinot grigio 2021 alto adige italy|it|w|pinot grigio|alto adige|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
234. W|cantina terlano|tradition pinot grigio alto adige doc|it|w|pinot grigio|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
235. W|cantina terlano|vorberg doc pinot bianco riserva|it|w|pinot bianco|??|??|2021|12.5|doc|leve|peixes, frutos do mar, saladas|seco
236. W|cantina terlano|vorberg pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
237. W|cantina terlano|vorberg pinot bianco riserva|it|w|pinot bianco|??|??|NV|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
238. W|cantina terlano|vorberg pinot bianco riserva 2018 italy|it|w|pinot bianco|??|??|2018|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
239. W|cantina terlano|vorberg pinot bianco riserva|it|w|pinot bianco|??|??|2022|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
240. W|cantina terlano|vorberg riserva pinot bianco|it|w|pinot bianco|??|??|2021|12.5|riserva|leve|peixes, frutos do mar, saladas|seco
241. W|cantina terlano|vorberg riserva pinot bianco alto aldige terlano doc|it|w|pinot bianco|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
242. W|cantina terlano|winkl doc sauvignon blanc|it|w|sauvignon blanc|??|??|2022|12.5|doc|leve|peixes, frutos do mar, saladas|seco
243. W|cantina terlano|winkl sauvignon blanc alto aldige terlano doc|it|w|sauvignon blanc|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
244. W|cantina terlanokellerei|terlan 2016 porphyr lagrein riserva|it|r|lagrein|??|??|2016|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
245. W|cantina terlanokellerei|terlan cuvee terlaner alto adige trentinoalto adige italy|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
246. W|cantina terlanokellerei|terlan porphyr riserva lagrein alto adige trentinoalto adige italy|it|r|lagrein|alto adige|??|2020|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
247. W|cantina terlanokellerei|terlan quarz terlano sauvignon|it|r|sauvignon|??|??|2022|13.5|??|leve|carne vermelha, massas, queijos curados|seco
248. W|cantina terlanokellerei|terlan winkl sauvignon terlano trentinoalto adige italy|it|r|sauvignon|alto adige|??|2023|13.5|??|leve|carne vermelha, massas, queijos curados|seco
249. W|cantina terracanta|angelina|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
250. W|cantina terracanta|nina|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
251. W|cantina terracanta|vallecaia|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
252. W|cantina terracruda|boccalino bianchello|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|cantina terracruda|boccalino bianchello 2021 marche italy|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
254. W|cantina terracruda|incrocio bruni 54|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|cantina terraviva|ekwo abruzzo pecorino doc|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
256. W|cantina terraviva|giusi cerasuolo dabruzzo doc|it|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
257. W|cantina terraviva|marios 46 trebbiano dabruzzo superiore doc|it|r|trebbiano|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
258. W|cantina terraviva|trebbiano dabruzzo doc|it|r|trebbiano|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
259. W|cantina terrazze|singhie allerta gialla|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cantina terrazze|singhie lumassina di bosco|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cantina terrazze|singhie trecru|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cantina terre|del barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|cantina terre|del barolo 2018 barolo|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|cantina terre|del barolo|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|cantina terre|del barolo 2020 barolo vinum vita est|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|cantina terre|del barolo barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
267. W|cantina tibaldi|barbera dalba doc|it|r|barbera|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
268. W|cantina tibaldi|roero docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
269. W|cantina toblino|antares trento doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
270. W|cantina toblino|antares trento doc millesimato brut|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
271. W|cantina toblino|elimaro igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
272. W|cantina toblino|gewurtztraminer bio doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
273. W|cantina toblino|kerner igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
274. W|cantina toblino|lagrein dunkel bio doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
275. W|cantina toblino|lagrein kretzer igt|it|r|lagrein|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
276. W|cantina toblino|lora igt nosiola|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
277. W|cantina toblino|muller thurgau bio doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
278. W|cantina toblino|nosiola|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|cantina toblino|nosiola igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
280. W|cantina toblino|pinot grigio organic|it|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
281. W|cantina toblino|pinot nero bio doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
282. W|cantina toblino|pinot nero rod|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cantina toblino|pinot nero trentino doc|it|r|??|trentino|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
284. W|cantina toblino|rebo doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
285. W|cantina toblino|teroldego igt bio|it|r|teroldego|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
286. W|cantina toblino|trento riserva vent extra brut|it|s|??|??|??|2015|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature
287. W|cantina toblino|trento riserva vent extra brut|it|s|??|??|??|2015|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature|=286
288. W|cantina toblino|trento vent extra brut|it|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
289. W|cantina toblino|trento vent extra brut|it|s|??|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut nature|=288
290. W|cantina toblino|vent extra brut millesimato|it|s|??|??|??|2019|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
291. W|cantina toblino|vent extra brut millesimato riserva|it|s|??|??|??|2015|12|riserva|leve|frutos do mar, aperitivos, sushi|brut nature
292. W|cantina toblino|vino santo dop|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
293. W|cantina togliana|carema riserva|it|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
294. W|cantina togliana|carema riserva carema doc 2019 vino rosso|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
295. W|cantina togliana|l arsin 2022 carema doc|it|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
296. W|cantina togliana|larsin carema|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
297. W|cantina tolla|set a total 12 bottles|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
298. W|cantina tollo|tollo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
299. W|cantina tollo|aldiano montepulciano dabruzzo doc|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
300. W|cantina tollo|aldiano montepulciano dabruzzo riserva doc|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
301. W|cantina tollo|aldiano montepulciano dabruzzo riserva doc 2019 12 bottles|it|r|montepulciano|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
302. W|cantina tollo|appassimento ponte levatoio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
303. W|cantina tollo|bellaretta cabernet sauvignon|it|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
304. W|cantina tollo|bellaretta pinot grigio|it|w|pinot grigio|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
305. W|cantina tollo|bellaretta pinot grigio igp frisse witte wijn uit abruzzo|it|w|pinot grigio|??|??|NV|12.5|igp|leve|peixes, frutos do mar, saladas|seco
306. W|cantina tollo|bellaretta sangiovese|it|r|sangiovese|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
307. W|cantina tollo|bevi bio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
308. W|cantina tollo|biologico montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
309. W|cantina tollo|biologico montepulciano dabruzzo dop|it|r|montepulciano|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
310. W|cantina tollo|biologico pecorino|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
311. W|cantina tollo|biologico trebbiano dabruzzo|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|cantina tollo|cabernet terre di abruzzo igp rocca ventosa|it|r|??|??|??|2024|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
313. W|cantina tollo|cerasuolo dabruzzo biologico|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|cantina tollo|cerasuolo dabruzzo colle cavalieri dop|it|s|??|??|??|2019|12|dop|leve|frutos do mar, aperitivos, sushi|brut
315. W|cantina tollo|cerasuolo dabruzzo dop bio|it|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
316. W|cantina tollo|cerasuolo dabruzzo dop superiore terre di chieti deivai|it|r|??|??|??|2024|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
317. W|cantina tollo|chardonnay rocca ventosa|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
318. W|cantina tollo|chardonnay terre di abruzzo igp rocca ventosa|it|w|chardonnay|??|??|2024|12.5|igp|medio|peixes, frutos do mar, saladas|seco
319. W|cantina tollo|cococciola dabruzzo dop|it|r|??|??|??|2022|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
320. W|cantina tollo|colle secco rubi montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
321. W|cantina tollo|gufo chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
322. W|cantina tollo|gufo merlot|it|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
323. W|cantina tollo|gufo pinot grigio blush|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
324. W|cantina tollo|hedos cerasuolo dabruzzo dop|it|r|??|??|??|2023|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
325. W|cantina tollo|impavido rosso ditalia|it|r|??|??|??|2020|13.5|do|medio|carne vermelha, massas, queijos curados|seco
326. W|cantina tollo|merlot terre di chieti igp rocca ventosa|it|r|merlot|??|??|2022|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
327. W|cantina tollo|merlot terre di chieti igp rocca ventosa|it|r|merlot|??|??|2023|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
328. W|cantina tollo|mo montepulciano dabruzzo dop riserva|it|r|montepulciano|??|??|2019|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
329. W|cantina tollo|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
330. W|cantina tollo|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
331. W|cantina tollo|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=330
332. W|cantina tollo|montepulciano dabruzzo|it|r|montepulciano|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
333. W|cantina tollo|montepulciano dabruzzo|it|r|montepulciano|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
334. W|cantina tollo|montepulciano dabruzzo|it|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
335. W|cantina tollo|montepulciano dabruzzo cagiolo riserva|it|r|montepulciano|??|??|2013|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
336. W|cantina tollo|montepulciano dabruzzo cagiolo riserva|it|r|montepulciano|??|??|2016|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
337. W|cantina tollo|montepulciano dabruzzo cagiolo riserva|it|r|montepulciano|??|??|2017|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
338. W|cantina tollo|montepulciano dabruzzo colle cavalieri dop|it|s|montepulciano|??|??|2019|12|dop|leve|frutos do mar, aperitivos, sushi|brut
339. W|cantina tollo|montepulciano dabruzzo dop bio|it|r|montepulciano|??|??|2022|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
340. W|cantina tollo|montepulciano dabruzzo insetti dop|it|r|montepulciano|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
341. W|cantina tollo|montepulciano dabruzzo mo riserva|it|r|montepulciano|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
342. W|cantina tollo|montepulciano dabruzzo mo riserva dop|it|r|montepulciano|??|??|2014|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
343. W|cantina tollo|montepulciano dabruzzo mo riserva dop|it|r|montepulciano|??|??|2017|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
344. W|cantina tollo|montepulciano dabruzzo reserva dop|it|r|montepulciano|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
345. W|cantina tollo|montepulciano dabruzzo riserva cagiolo|it|r|montepulciano|??|??|2018|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
346. W|cantina tollo|montepulciano dabruzzo villa diana|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
347. W|cantina tollo|nativo terre di chieti sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
348. W|cantina tollo|organic montepulciano dabruzzo italy|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
349. W|cantina tollo|passerina biologico|it|w|passerina|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
350. W|cantina tollo|passerina terre di chieti colle cavalieri igp|es|s|passerina|??|??|2021|12|igp|leve|frutos do mar, aperitivos, sushi|brut
351. W|cantina tollo|pecorino insetti terre di chieti igp|it|w|??|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
352. W|cantina tollo|pecorino peco|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
353. W|cantina tollo|pecorino terre di chieti colle cavalieri igp|es|s|??|??|??|2022|12|igp|leve|frutos do mar, aperitivos, sushi|brut
354. W|cantina tollo|pietrame montepulciano dabruzzo|it|r|montepulciano|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
355. W|cantina tollo|pietrame montepulciano dabruzzo|it|r|montepulciano|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=354
356. W|cantina tollo|pietrame trebbiano dabruzzo|it|r|trebbiano|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cantina tollo|pietrame trebbiano dabruzzo|it|r|trebbiano|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=356
358. W|cantina tollo|pinot grigio gufo|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
359. W|cantina tollo|pinot grigio gufo blush|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
360. W|cantina tollo|pinot grigio terre di chieti igp rocca ventosa|it|w|pinot grigio|??|??|2023|12.5|igp|leve|peixes, frutos do mar, saladas|seco
361. W|cantina tollo|ponte levatoio primitivo|it|r|primitivo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
362. W|cantina tollo|rocca montepulciano dabruzzo dop|it|r|montepulciano|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
363. W|cantina tollo|rocca tollo nativo sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
364. W|cantina tollo|rocca ventosa cabernet terre di chieti igp|it|r|??|??|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
365. W|cantina tollo|rocca ventosa cerasuolo dabruzzo rosato dop|it|p|??|??|??|2021|12|dop|leve|carne vermelha, massas, queijos curados|seco
366. W|cantina tollo|rocca ventosa chardonnay terre di chieti igt 20192020|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
367. W|cantina tollo|rocca ventosa merlot terre di chieti igp|it|r|merlot|??|??|2022|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
368. W|cantina tollo|rocca ventosa montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
369. W|cantina tollo|rocca ventosa montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=368
370. W|cantina tollo|rocca ventosa montepulciano dabruzzo dop|it|r|montepulciano|??|??|NV|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
371. W|cantina tollo|rocca ventosa montepulciano dabruzzo dop|it|r|montepulciano|??|??|2022|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
372. W|cantina tollo|rocca ventosa montepulciano dabruzzo dop 2023 12 bottles|it|r|montepulciano|??|??|2023|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
373. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
374. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=373
375. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=373
376. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=373
377. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
378. W|cantina tollo|rocca ventosa pinot grigio|it|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
379. W|cantina tollo|rocca ventosa pinot grigio igp 2024 12 bottles|it|w|pinot grigio|??|??|2024|12.5|igp|leve|peixes, frutos do mar, saladas|seco
380. W|cantina tollo|rocca ventosa pinot grigio terre degli osci igt|it|w|pinot grigio|??|??|2020|12.5|igt|leve|peixes, frutos do mar, saladas|seco
381. W|cantina tollo|rocca ventosa sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
382. W|cantina tollo|rocca ventosa sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=381
383. W|cantina tollo|rocca ventosa sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=381
384. W|cantina tollo|rocca ventosa sangiovese igp 2024 12 bottles|it|r|sangiovese|??|??|2024|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
385. W|cantina tollo|rocca ventosa sangiovese terre di chieti igp|it|r|sangiovese|??|??|2022|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
386. W|cantina tollo|rocca ventosa terre di chieti igp pinot grigio|it|w|pinot grigio|??|??|2022|12.5|igp|leve|peixes, frutos do mar, saladas|seco
387. W|cantina tollo|rocca ventosa trebbiano|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|cantina tollo|rocca ventosa trebbiano|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=387
389. W|cantina tollo|rocca ventosa trebbiano|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=387
390. W|cantina tollo|rocca ventosa trebbiano dabruzzo|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|cantina tollo|rocca ventosa trebbiano dabruzzo 2024 75012|it|r|trebbiano|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cantina tollo|rocca ventosa trebbiano dabruzzo dop|it|r|trebbiano|??|??|2019|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
393. W|cantina tollo|roccaventosa pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
394. W|cantina tollo|roccaventosa sangiovese|it|r|sangiovese|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
395. W|cantina tollo|sangiovese|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
396. W|cantina tollo|sangiovese terre di abruzzo igp rocca ventosa|it|r|sangiovese|??|??|2024|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
397. W|cantina tollo|terre di chieti 2018 bianco|it|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
398. W|cantina tollo|trebbiano dabruzzo|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
