1. W|cantine povero|moscato dasti 2022 bottle|it|w|moscato|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
207. W|cantine settecani|lambrusco amabile|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
208. W|cantine settecani|lambrusco secco|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
209. W|cantine settesoli|appasimento grillo sicilia|it|r|grillo|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
210. W|cantine settesoli|appasimento nero davola sicilia|it|r|nero davola|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. W|cantine settesoli|palmento syrah sicilia doc vinho tinto italiano|it|r|syrah|sicilia|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
212. W|cantine settesoli|vinho rose wave|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
213. W|cantine settesoli|vinho tinto nerello mascalese|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
214. W|cantine sgarzi|primitivo puglia|it|r|primitivo|puglia|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
215. W|cantine silvano|strologo julius|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|cantine silvano|strologo traiano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|cantine silverstri|bianco colli vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
218. W|cantine silvestri|rosso colli cesanese|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
219. W|cantine sorelli|chianti docg|it|r|??|chianti|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
220. W|cantine spelonga|twist rose|it|p|??|??|??|2021|12|??|leve|carne vermelha, massas, queijos curados|seco
221. W|cantine spinelli|spinelli montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
222. W|cantine spinelli|pallano chardonnay|it|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
223. W|cantine spinelli|pallano montepulciano d abruzzo|it|r|montepulciano|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
224. W|cantine talamonti|moda montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
225. W|cantine talamonti|moda montepulciano doc abruzzo 2017 rood|it|r|montepulciano|??|??|2017|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
226. W|cantine talamonti|trabocchetto pecorino abruzzo 2024 wit|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
227. W|cantine talamonti|treb trebiano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. X
229. X
230. X
231. X
232. X
233. X
234. X
235. X
236. X
237. X
238. X
239. X
240. X
241. X
242. X
243. X
244. X
245. X
246. X
247. X
248. X
249. X
250. X
251. X
252. W|cantine terlan|rarity pinot bianco|it|w|pinot bianco|??|??|2012|12.5|??|leve|peixes, frutos do mar, saladas|seco
253. W|cantine terlano|alto adige doc santa maddalena|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
254. W|cantine terlano|alto adige doc terlaner cuvee|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
255. W|cantine terlano|cuvee terlaner|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
256. W|cantine terranera|falanghina|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
257. W|cantine terranera|fiano di avellino|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
258. W|cantine terranera|grecco di tufo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
259. W|cantine terre|di giurfo kudyah|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cantine terre|di giurfo pian della signora|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cantine terredagoli|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cantine terredagoli|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
263. W|cantine terredagoli|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
264. W|cantine terredagoli|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=263
265. W|cantine terredagoli|chianti classico riserva docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
266. W|cantine terredagoli|chianti organic|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|cantine terredagoli|igt toscana supertuscan|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
268. W|cantine terredagoli|igt toscana vermentino|it|w|vermentino|toscana|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
269. W|cantine terredagoli|tribus|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|cantine terredagoli|tribus cabernet sauvignonmerlot toscana italien|it|r|cabernet sauvignon|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
271. W|cantine terredagoli|tribus chardonnay toscana|it|w|chardonnay|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
272. W|cantine terredagoli|tribus chardonnay toscana|it|w|chardonnay|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=271
273. W|cantine terredagoli|tribus chardonnay toscana italien|it|w|chardonnay|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
274. W|cantine terredagoli|tribus merlot cabernet sauvignon|it|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
275. W|cantine terredagoli|tribus merlot cabernet sauvignon|it|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=274
276. W|cantine terredagoli|vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
277. W|cantine tollo|bellaretta sangiovese igp soepele rode wijn uit abruzzo|it|r|sangiovese|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
278. W|cantine tollo|montepulciano rocca ventosa|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
279. W|cantine tora|aglianico igp beneventano 2018 campania|it|r|aglianico|??|??|2018|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
280. W|cantine tora|aglianico igp campania|it|r|aglianico|??|??|2018|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
281. W|cantine tora|costa san rocco cru wine|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|cantine tora|falanghina del sannio|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|cantine tora|fiano campania igp|it|w|??|??|??|2019|12.5|igp|medio|peixes, frutos do mar, saladas|seco
284. W|cantine tora|fiano sannio doc|it|w|??|??|??|2019|12.5|doc|medio|peixes, frutos do mar, saladas|seco
285. W|cantine torrevento|castel del monte nero di troia riserva docg ottagono|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
286. W|cantine torrevento|castel del monte nero di troia riserva docg ottagono|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=285
287. W|cantine torrevento|castel del monte nero di troia riserva docg ottagono|it|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
288. W|cantine torrevento|e arte primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
289. W|cantine torrevento|puglia igt arte chardonnay|it|w|chardonnay|puglia|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
290. W|cantine torrevento|puglia igt arte primitivo|it|r|primitivo|puglia|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
291. W|cantine torrevento|puglia igt arte verdeca|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
292. W|cantine torrevento|puglia igt bacca rara bombino bianco|it|w|??|puglia|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
293. W|cantine torrevento|puglia igt bacca rara bombino bianco|it|w|??|puglia|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=292
294. W|cantine torrevento|puglia igt bolonero|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
295. W|cantine torrevento|puglia igt e arte nero di troia|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
296. W|cantine torrevento|puglia igt e arte nero di troia|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=295
297. W|cantine torrevento|puglia igt e arte primitivo|it|r|primitivo|puglia|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
298. W|cantine torrevento|puglia igt e arte verdeca|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
299. W|cantine torrevento|puglia igt e arte verdeca|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=298
300. W|cantine torrevento|puglia igt primaronda|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
301. W|cantine torrevento|puglia igt primaronda|it|r|??|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=300
302. W|cantine torrevento|puglia igt primaronda|it|r|??|puglia|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
303. W|cantine torrevento|puglia igt since 1913 primitivo|it|r|primitivo|puglia|??|1913|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
304. W|cantine torrevento|puglia igt since 1913 primitivo|it|r|primitivo|puglia|??|1913|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=303
305. W|cantine torrevento|puglia igt since 1913 primitivo|it|r|primitivo|puglia|??|1913|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=303
306. W|cantine treiso|brachetto nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
307. W|cantine treiso|brachetto nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
308. W|cantine treiso|brachetto nv|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=306
309. W|cantine valenti|enrico iv etna bianco sicily italy|it|w|??|sicily|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
310. W|cantine valenti|norma etna rosso sicily italy|it|r|??|sicily|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
311. W|cantine vallana|boca doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
312. W|cantine valle|disarco sudtirol pinot nero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|cantine valle|isarco alto adige valle isarco kerner|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|cantine valle|isarco sudtirol alto adige lagrein|it|r|lagrein|alto adige|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
315. W|cantine valpane|valpane|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cantine valpane|barbera del monferrato|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
317. W|cantine valpane|barbera del monferrato|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=316
318. W|cantine valpane|canone inverso freisa monferrato doc|it|r|??|??|??|2014|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
319. W|cantine valpane|euli grignolino del monferrato doc|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
320. W|cantine valpane|monferrato freisa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|cantine valpane|perlydia barbera superiore monferrato docg|it|r|barbera|??|??|2012|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
322. W|cantine valpane|rosa ruske|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|cantine valpane|rosso pietro|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|cantine valpane|rosso pietro|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=323
325. W|cantine valpane|rosso pietro barbera del monferrato doc|it|r|barbera|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
326. W|cantine valpane|rosso pietro barbera monferrato doc|it|r|barbera|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
327. W|cantine valpane|valpane barbera superiore monferrato docg|it|r|barbera|??|??|2010|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
328. W|cantine vedova|borgo san pietro asolo prosecco superiore docg nv|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
329. W|cantine vedova|casa farive brut docg 0 11|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
330. W|cantine vedova|prosecco doc nv|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
331. W|cantine vedova|valdobbiadene superiore di cartizze docg dry|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
332. W|cantine vinci|vino alla mandorla edes mandulabor|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
333. W|cantine vinci|vino alla mandorla edes mandulabor 075|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cantine viola|moscato passito di saracena|it|w|moscato|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|doce
335. W|cantine viola|moscato passito di saracena|it|w|moscato|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|doce|=334
336. W|cantine viola|moscato passito di saracena|it|w|moscato|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|doce|=334
337. W|cantine virgili|vergilus lambrusco|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
338. W|cantine vittorio|innocenti chianti colli senesi|it|r|??|chianti|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|cantine vittorio|innocenti vino nobile di montepulciano riserva|it|r|montepulciano|??|??|2016|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
340. W|cantine volpi|volpi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|cantine volpi|barbaresco docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
342. W|cantine volpi|barbera amonte|it|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
343. W|cantine volpi|barbera d|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
344. W|cantine volpi|barbera dasti superiore doc|it|r|barbera|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
345. W|cantine volpi|barbera piemonte doc|it|r|barbera|piemonte|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
346. W|cantine volpi|barbera piemonte doc|it|r|barbera|piemonte|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=345
347. W|cantine volpi|barolo docg|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
348. W|cantine volpi|barolo docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
349. W|cantine volpi|bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
350. W|cantine volpi|colli tortonesi barbera superiore|it|r|barbera|??|??|2021|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
351. W|cantine volpi|dolcetto d|it|r|dolcetto|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
352. W|cantine volpi|dolcetto dalba doc|it|r|dolcetto|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
353. W|cantine volpi|dolcetto dalba doc|it|r|dolcetto|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
354. W|cantine volpi|gavi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
355. W|cantine volpi|gavi di gavi docg|it|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
356. W|cantine volpi|grillo|it|r|grillo|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
357. W|cantine volpi|moscato piemonte doc|it|w|moscato|piemonte|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
358. W|cantine volpi|moscato piemonte doc|it|w|moscato|piemonte|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
359. W|cantine volpi|moscato piemonte doc|it|w|moscato|piemonte|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=358
360. W|cantine volpi|sangiovese boira|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
361. W|cantine volpi|sicilia grillo sospiro|it|r|grillo|sicilia|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
362. W|cantine volpi|sospiro grillo|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
363. W|cantine volpi|timorasso colli tortonesi la zerba doc|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
364. W|cantine volpi|timorasso colli tortonesi la zerba doc|it|r|??|??|??|2018|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=363
365. W|cantine volpi|timorasso colli tortonesi la zerba doc|it|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
366. W|cantine volpi|timorasso colli tortonesi la zerba doc|it|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
367. W|cantine volpi|timorasso derthona|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|cantine volpibarbaresco|docg|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
369. W|cantine volpibarbera|dasti superiore doc|it|r|barbera|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
370. W|cantine volpidolcetto|dalba doc|it|r|dolcetto|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
371. W|cantine wine|luoghi dove nasce il vino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|cantine zavalloni|sangiovese superiore|it|r|sangiovese|??|??|NV|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
373. W|cantine zavalloni|solaris|it|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
374. S
375. W|cantine zuffa|kit degustazione|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|cantinefeudi|di san marzano liboll spumante extra dry nv|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
377. W|cantinefeudi|di san marzano liboll spumante rose extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
378. W|cantinefeudi|di san marzano sessantani primitivo di manduria|it|r|primitivo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
379. X
380. X
381. X
382. W|cantinetta|2 bott|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. X
384. X
385. X
386. W|cantinho|das aromaticas aneto dill 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|cantinho|das aromaticas erva principe lemongrass infusion 40g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|cantinho|das aromaticas estragao tarragon 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
389. W|cantinho|das aromaticas limonete lemon verbena infusion 40g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|cantinho|das aromaticas poejo pennyroyal 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|cantinho|das aromaticas stevia stevia 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|cantinho|das aromaticas tomilholimao lemon thyme infusion 40g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
393. W|cantini|espresso martini 4pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
394. W|cantini|zaccagnini montepulciano d abruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
395. W|cantinia|zaccagnini chronicon montepulciano dabruzzo|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
396. W|cantinino|cantinino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
397. W|cantino|di carema|??|r|??|??|??|1964|13.5|??|medio|carne vermelha, massas, queijos curados|seco
398. W|cantino|giardino rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
399. W|cantinone|cantinone|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|cantisecco|dry sparkling wine nv italy|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
401. W|canto|canto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|canto|6 piezas cu|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|canto|24 piezas cu|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|canto|5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|canto|5 azul|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|canto|5 frizzante azul|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
407. W|canto|5 frizzante frizze|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
408. W|canto|5 frizzante rosado|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
409. W|canto|5 frizze bco 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|canto|5 pack 3 colores|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|canto|5 rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
412. W|canto|chardonnay mcc brut|??|s|chardonnay|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut
413. W|canto|da vinha branco regional tejo|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
414. W|canto|da vinha rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
415. W|canto|da vinha tinto doc tejo|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
416. W|canto|da vinha tinto reserva|??|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
417. W|canto|das vinhas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|canto|de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|canto|de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
420. W|canto|de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
421. W|canto|de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=418
422. W|canto|de luna 750 mlt 13|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|canto|de sirenas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
424. W|canto|de sirenas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=423
425. W|canto|de sirenas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
426. W|canto|de sirenas cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
427. W|canto|de sirenas cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
428. W|canto|de sirenas cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
429. W|canto|de sirenas cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
430. W|canto|de sirenas cabernet sauvignon 750 mlt 14|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
431. W|canto|de sirenas cabernet sauvingonmerlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
432. W|canto|de sirenas malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
433. W|canto|de sirenas malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=432
434. W|canto|de sirenas rosado de malbec|??|p|malbec|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
435. W|canto|de sirenas rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
436. W|canto|de sirenas rose 750 mlt 13|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
437. W|canto|de sirenas sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
438. W|canto|de sirenas sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=437
439. X
440. W|canto|de sirenas sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
441. W|canto|de sirenas sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
442. W|canto|de sirenas sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
443. W|canto|de sirenas syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
444. W|canto|de sirenas syrah nativo|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
445. W|canto|de sirenas viognier|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
446. W|canto|dei messeri rosso ditalia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|canto|del angel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|canto|del grillo|??|r|grillo|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
