W|gucci|guilty pour homme edt spray ref924922bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|salt groft|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|sea salts duo summer truffle porcini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|smoked coarse sea salt 250g 88 oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerande|sos szokecsokoladeval bevont sziciliai mandula hantolt ostyaval|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guercia|guercia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guercia|guercia|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guercia|vino rosso cascina tavijn nadia verrua|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerello|garibaldi toscana igt|it|r|??|tuscany|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gueridon|gueridon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gueridon|gueridon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=238
W|guerila|pinela|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|barbera|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|barbera selection|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|barbera selection|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=242
W|guerila|barbera selection|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|bio pinela|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|bio rebula selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|bio retro red selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|bio retro selection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|bio zelen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|blanc de nature nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerila|blanc de nature nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=250
W|guerila|blanc de nature sparkling slovenia|si|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerila|blanc de nature vipava slovenia|si|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerila|blanc de nature vipava slovenia nv|si|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerila|cabernet franc organic|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|cabernet franc selection|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|cabernet franc vipava valley|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|castra brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guerila|castra brut nature|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guerila|collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=260
W|guerila|extreme amphora|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|malvazija|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|nv blanc de nature rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerila|nv blanc de nature rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=264
W|guerila|pinela|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|pinela vipavska dolina|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|rebula selection slovenia|si|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|retro biodynamic zmago petric|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|retro red|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|retro selection red|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|retro white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerila|selection malvazija|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|selection rebula|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|selection retro red|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|selection retro white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerila|selection retro white|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=276
W|guerila|vipavska dolina blanc de nature brut nature|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut nature
W|guerila|wines amphora extreme vipavska dolina zgp|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|wines zelen classic vipavska dolina zgp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|zelen|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|zelen|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerila|zelen vipava valley zgp|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerilleros|guerilleros|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerilleros|guerilleros|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerilleros|guerilleros|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerilleros|guerilleros|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerilleros|vin de france rouge gilles troullier|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|blanc dry vermouth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|blanc vermouth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|blanc vermouth|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=290
W|guerin|dry vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|dry vermouth blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|hautes cotes de beaune|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|maranges cru les loyeres|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|pineau des charentes tradition blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|pineau des charentes tradition rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|rouge dry vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|rouge vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|santenay le chainey blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|vermouth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|vermouth blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=302
W|guerin|vermouth blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=302
W|guerin|vermouth blanc france|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|vermouth hvid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth red dry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=309
W|guerin|vermouth rough france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerin|vermouth white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerin|vermouth white dry|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerinda|casa la sierra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|casalasierra|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|el maximo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|el maximo navara do spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|la blanca|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerinda|la blanca chardonnay spain|es|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerinda|la roya navarra do spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|tres partes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerinda|tres partes spain|es|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria bergamote calabria edt ref143845bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria flora cherrysia edt ref143883bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria florabloom edt ref148048bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte bosca vanilla edp ref147447bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte florabloom edp ref148079bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte mandarine basilic edp ref144729bo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte oud yuzo edp ref147461bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte rosa palissandro edp ref147454bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria forte rosa rossa edp ref144705bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria granda salvia edt ref143906bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria mandarine basilic edt ref143944bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria nerolia vetiver edp ref146853bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria nerolia vetiver edt ref144125bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria nettare di sole edt ref143968bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria pamplelune edt ref144002bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria pera granita edt ref144026bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria rosa rossa edt ref144040bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|aqua allegoria rosa verde edt ref149168|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|champs elysees edp ref143210bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|habit rouge homme edp ref304840bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|idylle edp spray ref14320375mlbot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|insolence edp 75 ref000109|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|insolence edp spray new presentation ref132917bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|insolence edp spray ref143234bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|insolence edt ref143241bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|la petit robe noir edp intense ref145634132016bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|la petite robe noire edp spray ref114814bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|la petite robe noire edt spray ref149274114746bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal edp ref303126bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal edp ref3052051set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal edt spray ref301863bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal extreme edpref304345bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal intense ref1437911set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|lhomme ideal parfum ref305229bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|linstant de guerlain edp ref143197bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|linstant homme edp ref304895bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|linstant magic edp ref143180bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|mon guerlain edp ref1437841set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|mon guerlain edp spray ref131408bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|samsara edp ref143166bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|teracotta light glow powder 00 ref4355991ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|teracotta light glow powder 01 ref4356051ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|teracotta light glow powder 04 ref4356361ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|teracotta light glow powder 05 ref4356431ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta bronzing powder 00 ref4337861ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta bronzing powder 01 ref4337931ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta bronzing powder 02 ref4338091ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta bronzing powder 03 ref4338161ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta bronzing powder 04 ref4338301ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|terracotta powder brush ref4356811ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|vetiner de guerlain edp ref304864bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlain|vetiver parfum ref305236bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerlet|deguerne blanc de blancs champagne non millesime|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerlet|deguerne tradition champagne non millesime|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerletdeguerne|champagner blanc de blanc|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerletdeguerne|champagner brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guerletdeguerne|champagner brut selection cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|guerletdeguerne|champagner extra brut cru|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|guernicat|192004|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerola|guerola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerola|340 180|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|guerra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|albano colli orientali del friuli friulano|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|albano refosco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|albano refosco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=386
W|guerra|albano refosco dal peduncolo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|contra las mujeres la|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|de titanes 28 de marzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|reserva|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|rossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|rossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=392
W|guerra|seca batch gs002 sotol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|seca sotol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|seca sotol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|guerra|seca sotol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|guerra|seca sotol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=395
W|guerra|y finanzas en los origenes del estado argentino 17911850|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|y paz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|y paz 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|y paz estuche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerra|y si te pasara a ti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerreri|rizzardi prosecco extra dry nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrero|aguila|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|cascabel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|colibri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|del sol anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|del sol anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=408
W|guerrero|fernadno cabernet sauvignon sonoma|us|r|cabernet sauvignon|california|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|fernandez alexander valley inspiracion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|fernandez cabernet sauvignon gratitude|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|fernandez pinot noir green valley|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|fernandez pinot noir rrv sunnyview|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|goliath figura de accion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|jaguar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrero|maya reposado 40 07|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieres|famille de boel france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|amico ciliegia dessertwijn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|biancanima|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|biancanima 6st|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|biancanima marche bianco igt|??|w|??|??|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|biancanima marche bianco igt 75 disponibile in primavera|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|bianchello del metauro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|bianchello del metauro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=424
W|guerrieri|bianchello del metauro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=424
W|guerrieri|bianchello del metauro|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|bianchello del metauro|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|bianchello del metauro doc|??|r|??|??|??|2025|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|bianchello del metauro superiore celso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|celso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|celso bianchello del metauro superiore|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|celso bianchello del metauro superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|celso bianchello del metauro superiore doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|celso del metauro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|colli pesaresi sangiovese|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|colli pesaresi sangiovese|??|r|sangiovese|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|extra dry bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|extra dry rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guerrieri|galileo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|galileo colli pesaresi sangiovese riserva|??|r|sangiovese|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|galileo colli pesaresi sangiovese riserva doc|??|r|sangiovese|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|gonzaga tenuta san leonardo san leonardo vigneti delle dolomiti igt trentinoalto adige italy|it|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|gonzaga tenuta san leonardo san leonardo vigneti delle dolomiti igt trentinoalto adige italy|it|r|??|??|??|2017|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=445
W|guerrieri|guerriero bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|guerriero bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=447
W|guerrieri|guerriero bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|guerriero bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|guerriero del mare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero del mare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=451
W|guerrieri|guerriero del mare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=451
W|guerrieri|guerriero del mare|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
