1. W|cap|maritime south coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|capannelle|avignonesi 5050|??|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
232. W|capannelle|avignonesi 5050|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|capannelle|avignonesi 5050|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
234. W|capannelle|avignonesi 5050|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|capannelle|avignonesi 5050|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=234
236. W|capannelle|avignonesi 5050|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=234
237. W|capannelle|avignonesi 5050|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|capannelle|avignonesi 5050|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|capannelle|avignonesi toscana 5050|it|r|??|toscana|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
240. W|capannelle|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
241. W|capannelle|chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
242. W|capannelle|chardonnay|??|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
243. W|capannelle|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
244. W|capannelle|chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=243
245. W|capannelle|chardonnay toscana igt tuscany italy 2010 case|it|w|chardonnay|toscana|??|2010|12.5|igt|medio|peixes, frutos do mar, saladas|seco
246. W|capannelle|chardonnay toscana igt tuscany italy 2012 case|it|w|chardonnay|toscana|??|2012|12.5|igt|medio|peixes, frutos do mar, saladas|seco
247. W|capannelle|chardonnay toscana igt tuscany italy 2016 case|it|w|chardonnay|toscana|??|2016|12.5|igt|medio|peixes, frutos do mar, saladas|seco
248. W|capannelle|chianti classico gran selezione|it|r|??|chianti classico|??|2018|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
249. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
250. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=249
251. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2011|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
252. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2014|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
253. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
254. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
255. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
256. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=255
257. W|capannelle|chianti classico riserva|it|r|??|chianti classico|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=255
258. W|capannelle|chianti classico riserva docg|it|r|??|chianti classico|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
259. W|capannelle|chianti classico riserva docg tuscany|it|r|??|tuscany|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
260. W|capannelle|chianti classico riserva docg tuscany italy 2016 case|it|r|??|tuscany|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
261. W|capannelle|chianti classico riserva italy 2016 case of 6 bottles|it|r|??|chianti classico|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
262. W|capannelle|oro bianco chardonnay toscana igt tuscany italy 2019 case|it|w|chardonnay|toscana|??|2019|12.5|igt|medio|peixes, frutos do mar, saladas|seco
263. W|capannelle|rosato|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
264. W|capannelle|rosato|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
265. W|capannelle|rosso|??|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|capannelle|solare|??|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|capannelle|solare|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
268. W|capannelle|solare|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=267
269. W|capannelle|solare|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
270. W|capannelle|solare|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=269
271. W|capannelle|solare|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
272. W|capannelle|solare|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
273. W|capannelle|solare|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
274. W|capannelle|solare|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
275. W|capannelle|solare rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
276. W|capannelle|solare toscana|it|r|??|toscana|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
277. W|capannelle|solare toscana|it|r|??|toscana|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|capannelle|solare toscana|it|r|??|toscana|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
279. W|capannelle|solare tuscany italy 2012 case|it|r|??|tuscany|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
280. W|capannelle|solare tuscany italy 2013 case|it|r|??|tuscany|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
281. W|capannelle|solare tuscany italy 2016 case|it|r|??|tuscany|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
282. W|capannelle|toscana solare|it|r|??|toscana|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
283. W|capao|alto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
284. W|capao|alto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
285. W|capaporc|kapszula 60db caleido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
286. W|caparbio|lazio bianco igt|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
287. W|caparbio|valpolicella ripasso doc superiore|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
288. W|caparbio|valpolicella ripasso doc superiore|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=287
289. W|caparbio|valpolicella ripasso doc superiore magnum 1|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
290. W|capari|capari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|caparide|rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
292. W|caparone|caparone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|caparone|aglianico|??|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|caparone|aliganico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
295. W|caparone|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
296. W|caparone|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
297. W|caparone|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=296
298. W|caparone|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
299. W|caparone|zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
300. W|caparra|siciliani ciro rosso classico|it|r|??|sicilia|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
301. W|caparra|siciliani ciro rosso classico superiore|it|r|??|sicilia|??|2022|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
302. W|caparra|siciliani rosso classico superiore ciro doc|it|r|??|sicilia|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
303. W|caparra|siciliani scala ciro red|it|r|??|sicilia|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
304. W|caparra|siciliano ciro riserva|it|r|??|sicilia|??|1973|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
305. W|caparrini|aperitiv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|caparrone|abruzzo passerina|it|w|passerina|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
307. W|caparrone|abruzzo passerina|it|w|passerina|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=306
308. W|caparrone|abruzzo passerina|it|w|passerina|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=306
309. W|caparrone|cerasuolo dabruzzo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|caparrone|cerasuolo dabruzzo rose|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
311. W|caparrone|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
312. W|caparrone|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
313. W|caparrone|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=312
314. W|caparrone|montepulciano dabruzzo doc azienda contesa|it|r|montepulciano|??|??|2024|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
315. W|caparrone|passerina|??|w|passerina|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
316. W|caparrone|pecorino|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
317. W|caparrone|pecorino|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
318. W|caparrone|pecorino colline pescaresi igt azienda contesa|??|w|??|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
319. W|caparrone|pecorino igt colline pescaresi|??|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
320. W|caparrone|pecorino igt colline pescaresi|??|w|??|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
321. W|caparsa|a doccio matteo chianti classico riserva|it|r|??|chianti classico|??|2016|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
322. W|caparsa|anfora di caparsa orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
323. W|caparsa|bianca di caparsino malvasiatrebbiano tuscany|it|r|trebbiano|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|caparsa|caparsino chianti classico|it|r|??|chianti classico|??|2019|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
325. W|caparsa|caparsino chianti classico riserva|it|r|??|chianti classico|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
326. W|caparsa|caparsino chianti classico riserva docg|it|r|??|chianti classico|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
327. W|caparsa|caparsino chianti classico riserva docg 2020 bio|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
328. W|caparsa|caparsino riserva|??|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
329. W|caparsa|caparsino riserva chianti classico docg italy|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
330. W|caparsa|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
331. W|caparsa|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=330
332. W|caparsa|chianti classico|it|r|??|chianti classico|??|2018|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
333. W|caparsa|chianti classico|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
334. W|caparsa|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
335. W|caparsa|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=334
336. W|caparsa|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=334
337. W|caparsa|chianti classico|it|r|??|chianti classico|??|2021|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=334
338. W|caparsa|chianti classico caparsa|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
339. W|caparsa|chianti classico chianti classico docg 2020 vino rosso|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
340. W|caparsa|chianti classico docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
341. W|caparsa|chianti classico docg|it|r|??|chianti classico|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
342. W|caparsa|chianti classico docg 2020 bio|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
343. W|caparsa|chianti classico docg tuscany italy|it|r|??|tuscany|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
344. W|caparsa|chianti classico docg tuscany italy|it|r|??|tuscany|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
345. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
346. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=345
347. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
348. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
349. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=348
350. W|caparsa|chianti classico riserva caparsino|it|r|??|chianti classico|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
351. W|caparsa|chianti classico riserva doccio a matteo|it|r|??|chianti classico|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
352. W|caparsa|chianti classico riserva doccio a matteo|it|r|??|chianti classico|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=351
353. W|caparsa|chianti classico riserva doccio a matteo|it|r|??|chianti classico|??|2016|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
354. W|caparsa|chianti classico riserva doccio mateo|it|r|??|chianti classico|??|2016|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
355. W|caparsa|doccio a matteo|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
356. W|caparsa|doccio a matteo chianti classico riserva|it|r|??|chianti classico|??|2006|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
357. W|caparsa|doccio a matteo chianti classico riserva|it|r|??|chianti classico|??|2011|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
358. W|caparsa|doccio a matteo chianti classico riserva|it|r|??|chianti classico|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
359. W|caparsa|doccio a matteo chianti classico riserva|it|r|??|chianti classico|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=358
360. W|caparsa|doccio a matteo chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
361. W|caparsa|doccio a matteo riserva chianti classico docg italy|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
362. W|caparsa|doccio a matteo riserva chianti classico docg italy|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
363. W|caparsa|doccio a matteo riserva chianti classico italy chianti blend|it|r|??|chianti classico|??|2016|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
364. W|caparsa|mimma rosso toscana igt tuscany italy|it|r|??|toscana|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
365. W|caparsa|mimma toscana rosso|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|caparsa|rosato di caparsa bio 100 organic|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
367. W|caparsa|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
368. W|caparsa|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=367
369. W|caparsa|rosso di caparsa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|caparsa|rosso di caparsa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=369
371. W|caparsa|rosso di caparsa|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|caparsa|rosso di caparsa sangiovese tuscany nv|it|r|sangiovese|tuscany|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
373. W|caparsa|rosso di caparsa toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
374. W|caparsa|rosso di caparsa toscana igt tuscany italy|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
375. W|caparsa|vendemmia tardiva|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
376. W|caparsa|vin santo|??|d|??|??|??|1998|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
377. W|caparzo|brunello di montalcino|it|r|??|??|??|1977|13.5|??|medio|carne vermelha, massas, queijos curados|seco
378. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|1995|13.5|??|medio|carne vermelha, massas, queijos curados|seco
380. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|caparzo|brunello di montalcino|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
383. W|caparzo|la casa brunello di montalcino toscansk vin|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|caparzo|brunello di montalcino 3 liters|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
385. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
386. W|caparzo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
388. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=387
389. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
390. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
391. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
392. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
393. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
394. W|caparzo|rosso di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
395. X
396. W|caparzo|toscana rosso sangiovese|it|r|sangiovese|toscana|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
397. W|caparzo|toscana rosso sangiovese vin pa tilbud|it|r|sangiovese|toscana|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
398. W|caparzo|sangiovese toscana|it|r|sangiovese|toscana|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
399. W|caparzo|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
400. W|caparzo|sangiovese toscana|it|r|sangiovese|toscana|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
401. W|caparzo|borgonero scopeto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|caparzo|brun lcasa|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
403. W|caparzo|brun lcasa12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|caparzo|brunello 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
406. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
407. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
408. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
409. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
410. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
411. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
412. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
413. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
414. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
415. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
416. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
417. W|caparzo|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=405
418. W|caparzo|brunello di montalcino 1|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|caparzo|brunello di montalcino 1|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|caparzo|brunello di montalcino 1|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|caparzo|brunello di montalcino|it|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|caparzo|brunello di montalcino|it|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|caparzo|brunello di montalcino|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|caparzo|brunello di montalcino|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=381
425. W|caparzo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=386
426. W|caparzo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=386
427. W|caparzo|brunello di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=386
428. W|caparzo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|caparzo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=428
430. W|caparzo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=428
431. W|caparzo|brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=428
432. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=389
433. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=389
434. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=389
435. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=389
436. W|caparzo|brunello di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=389
437. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
438. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
439. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
440. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
441. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
442. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
443. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
444. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
445. W|caparzo|brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=390
446. W|caparzo|brunello di montalcino 2019 0|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|caparzo|brunello di montalcino 2019 brunello|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|caparzo|brunello di montalcino 2019 rio casserotoscana|it|r|??|toscana|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
450. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
