W|giochessa|giochessa|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|chardonnay kologisk hvidvin veneto italien uden tilsatte sulfitter|it|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|chardonnay kologisk hvidvin veneto italien uden tilsatte sulfitter|it|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=224
W|giol|chardonnay ohne zugesetzte sulfite|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|kologisk pinot grigio hvidvin fra veneto|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|luisa frizzante igt|??|s|??|??|??|2022|12|igt|leve|aperitivos, frutos do mar, canapes|seco
W|giol|luisa frizzante rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot kologisk rdvin 1 liter veneto italien|it|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot kologisk rdvin 1 liter veneto italien|it|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot kologisk rdvin uden tilsatte sulfitter veneto italien|it|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot kologisk rdvin liter veneto italien|it|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|merlot zonder toegevoegd sulfiet|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|no added sulphite prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|perla bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|perla frizzante kologisk mousserende veneto italien|it|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|perla frizzante kologisk mousserende vin fra italien|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|perla spumante brut armonie kologisk italiensk mousserende|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|perla spumante brut armonie kologisk mousserende veneto italien|it|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=243
W|giol|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=243
W|giol|pinot grigio del venezie doc|??|w|pinot grigio|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giol|pinot grigio kologisk hvidvin veneto italien|it|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|pinot grigio orange|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|pinot grigio spumante|??|s|pinot grigio|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|pinot grigio spumante extra dry ko|??|s|pinot grigio|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|pinot grigio vit|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|pinot grigio zonder toegevoegd sulfiet|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|porrera garnatxa negra carinyena|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|porrera les sentius garnaxta blanca|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giol|porrera les sentius varietat autoctona|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|porrera mas den cacador velles vinyes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giol|prosecco brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|prosecco brut mirage kologisk mousserende 2024veneto italien|it|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|prosecco brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|prosecco doc treviso frizzante|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giol|prosecco doc treviso frizzante kologisk vegansk|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giol|prosecco frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|prosecco rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|prosecco spumante brut collio kologisk mousserende|??|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|prosecco spumante brut collio kologisk mousserende veneto italien|it|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giol|prosecco spumante extra dry nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|prosecco treviso vino frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|satellites vino frizzante prosecco veneto it nv|it|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giol|vino spumante extra dry pinot grigio 11|??|s|pinot grigio|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gion|page turning pen with infrared laser|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|black raspberry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|creme de menthe clear|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|creme de menthe green|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|lambrusco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|melon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gionelli|montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gionelli|montepulciano|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=278
W|gionelli|montepulciano dabruzzo|it|r|montepulciano|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|peach schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gionelli|peach schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
W|gionelli|peach schnapps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=282
S
W|gionelli|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gionelli|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=286
W|gionelli|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=286
W|gionelli|pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=286
W|gionelli|pinot grigio delle venezie igt|??|w|pinot grigio|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
S
S
W|giong|sotetkek szinterapias wellness lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorbelidze|wine cellar tsolikauri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorbelidze|wine cellar tvishi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorbelidze|wine cellar usakhelauri|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordana|lombardo gavi di gavi san martino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordanao|chardonnay dit tesse|??|w|chardonnay|??|??|1988|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|giordano|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|giordano|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|riesling italico|??|w|riesling|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|riesling italico|??|w|riesling|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|giordano|riesling italico|??|w|riesling|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco|=301
W|giordano|albarossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|asili barbaresco vertical 14 15 16|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|balsamo di cavour|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco|it|r|??|barbaresco|barbaresco|1959|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco|it|r|??|barbaresco|barbaresco|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco|it|r|??|barbaresco|barbaresco|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco|it|r|??|barbaresco|barbaresco|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco docg|it|r|??|barbaresco|barbaresco|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco riserva|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbaresco vigneto cavana|es|s|??|barbaresco|barbaresco|1981|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giordano|barbera d alba docg|??|r|barbera|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbera dalba|??|r|barbera|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbera dalba doc|??|r|barbera|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbera dalba doc|??|r|barbera|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barbera dasti|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|giordano|barolo|it|r|??|barolo|barolo|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=320
W|giordano|barolo|it|r|??|barolo|barolo|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo 1|it|r|??|barolo|barolo|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo|it|r|??|barolo|barolo|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo|it|r|??|barolo|barolo|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo|it|r|??|barolo|barolo|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo docg|it|r|??|barolo|barolo|2019|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo doc|it|r|??|barolo|barolo|1964|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo doc|it|r|??|barolo|barolo|1970|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo doc|it|r|??|barolo|barolo|1971|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo docg|it|r|??|barolo|barolo|1979|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo docg|it|r|??|barolo|barolo|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|barolo docg|it|r|??|barolo|barolo|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|blanc de blancs millesimato|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|chardonnay|??|w|chardonnay|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|chardonnay|??|w|chardonnay|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco|=338
W|giordano|chardonnay|??|w|chardonnay|??|??|1993|12.5|??|medio|peixes, frutos do mar, saladas|seco|=338
W|giordano|collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|collection montepulciano dabruzzo doc italy|it|r|montepulciano|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|cortese del piemonte wit|it|w|??|??|??|1988|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|dolcetto del piedmont|it|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giordano|dolcetto del piedmont|it|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=344
W|giordano|dolcetto del piedmont|it|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=344
W|giordano|giovani barbaresco|it|r|??|barbaresco|barbaresco|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|giovanni barbaresco|it|r|??|barbaresco|barbaresco|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
S
W|giordano|grignolino|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|grignolino doc|??|r|??|??|??|2005|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lm92 raggiante vino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo gavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo gavi di gavi|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo gavi di gavi piedmont italy|it|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo gavi docg senza filtri cascina dei ronchi|??|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo organic gavi di gavi 12|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo organic gavi di gavi 12|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo vigne di san martino gavi del comune di gavi docg italy case|it|r|??|??|??|2023|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo vigne di san martino gavi di gavi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|lombardo vigne di san martino gavi di gavi cortese|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giordano|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|montepulciano dabruzzo doc|it|r|montepulciano|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|nebbiolo delle langhe doc|it|r|nebbiolo|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|nebbiolo piemont|??|r|nebbiolo|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|nebbiolo remont|??|r|nebbiolo|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|paolo barolo barolo docg vino rosso|it|r|??|barolo|barolo|2018|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|paolo nebbiolo langhe nebbiolo doc vino rosso|it|r|nebbiolo|langhe|langhe|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|paolo nebbiolo mgm langhe nebbiolo doc vino rosso|it|r|nebbiolo|langhe|langhe|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|pelaverga|??|r|??|??|??|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|piedmont barbera dasti superior italy|it|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|pizzacanto primitivo|??|r|primitivo|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo|??|r|primitivo|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo|??|r|primitivo|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=376
W|giordano|primitivo di manduria reserva|??|r|primitivo|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo di manduria reserva|??|r|primitivo|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=378
W|giordano|primitivo di manduria riserva|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo di manduria riserva italy|it|r|primitivo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo di manduria riserva doc|??|r|primitivo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo di mnd rsrv|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo rinforzato italy|it|r|primitivo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|primitivo riserva doc|??|r|primitivo|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|res primitivo|??|r|primitivo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|rinforzato primitivo|??|r|primitivo|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|rose millesimato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giordano|rosso appassimento|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|rosso appassimento|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|sangiovese primitivo puglia igt italy|it|r|sangiovese|??|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|selvato toscana rosso|it|r|??|tuscany|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordano|vei cavour|??|r|??|??|??|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giordanos|bestsellers amazing collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|1870 gran cuvee storica oltrepo pavese|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|aladashvili ruispiri marani kisi|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|aladashvili ruispiri marani mtsvane|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|aladashvili ruispiri marani saperavi simonaseili|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|barbera frizzante|??|s|barbera|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|barbera regiu gerry scotti|??|r|barbera|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|bonarda brughera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|bonarda delloltrepo pavese frizzante|??|s|??|??|??|2025|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|bonarda la gallina frizzante|??|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|clilele buttafuoco|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|clilele buttafuoco|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=404
W|giorgi|crudoo extradry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|cuvee 1870 top zero pas dose|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|cuvee storica 1870 brut et nera|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giorgi|gerry scotti buttafuoco 56|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|gerry scotti oltrepo pavese metodo classico extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|giorgi|gerry scotti oltrepo pavese metodo classico extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut|=410
W|giorgi|gerry scotti oltrepo pavese metodo classico extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut|=410
W|giorgi|gerry scotti pumgranin pinot nero rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giorgi|malvasia dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|giorgi|metodo classico blanc de noirs lodola|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giorgi|metodo classico blanc de noirs lodola|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=415
W|giorgi|monteroso pinot nero|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|monteroso pinot nero|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=417
W|giorgi|monteroso pinot nero|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=417
W|giorgi|moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|oltraja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|oltraja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=421
W|giorgi|oltraja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=421
W|giorgi|oltrepo pavese gran cuvee storica 1870 metodo classico pinot nero brut|??|s|??|??|??|2018|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giorgi|oltrepo pavese gran cuvee storica 1870 metodo classico pinot nero brut|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giorgi|oltrepo pavese gran cuvee storica 1870 metodo classico pinot nero brut|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|giorgi|oltrepo pavese gran cuvee storica 1870 metodo classico pinot nero brut|??|s|??|??|??|2020|12|??|leve|aperitivos, frutos do mar, canapes|brut|=426
W|giorgi|oltrepo pavese pinot nero frizzante vinificato in bianco|??|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|oltrepo pavese pinot nero frizzante vinificato in bianco|??|s|??|??|??|2025|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|pinot nero frizzante cl 375|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|pinot nero frizzante doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|pinot nero rose pumgranin gerry scotti|??|p|??|??|??|2019|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giorgi|riesling bandito doc cl 75|??|w|riesling|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|giorgi|rosato oltrepo in giro 18 stappa stradella|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|giorgi|rosato oltrepo in giro 18 stappa stradella|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=434
W|giorgi|rosato oltrepo in giro 18 stappa stradella|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=434
W|giorgi|sangue di giuda delloltrepo pavese|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|sangue di giuda delloltrepo pavese|??|r|??|??|??|2025|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|sangue giuda costarosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giorgi|spumante 1870 cl75|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante crudo edry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante crudo rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante crudoo extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante crudoo extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=443
W|giorgi|spumante crudoo extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=443
W|giorgi|spumante crudoo rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante crudoo rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=446
W|giorgi|spumante crudoo rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=446
W|giorgi|spumante eleonora giorgi|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|giorgi|spumante eleonora giorgi rose doc|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
