W|gogghiarello|gogghiarello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres chablisno pixem ate3xdesem juroscomprar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres chassagne montrachet cru morgeot|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres chassagnemontrachet wit|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres gevreychambertin wit|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres macon village 4x de sem juros ou a vista com 3 de desconto no pix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres maconvillagesno pixem ate3xdesem juroscomprar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres pommard wit|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres pouillyfuisse wit|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|freres savignylesbeaune wit|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|pouilly fuisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|pouilly fuisse cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|saint chinian rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goichot|vosne romanee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goikoa|fuet extra 4 x 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goikoa|pechuga de pavo 4kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goikoa|salchichon extra cular in whole piece 17kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goikoa|salchichon extra cular sliced 5 bipacks 2 x 90g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goikoa|smoked bacon 19kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goimajor|cannonau di sardegna doc|??|r|??|??|??|2013|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|goimajor|cantina trexenta|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|feher szinterapias wellness lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|gel energetico sobres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|going gone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|in style|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|lila szinterapias wellness lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|nowhere|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|piros szinterapias wellness lepedo masszazs lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|rozsaszin szinterapias wellness lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|sarga szinterapias wellness lepedo masszazs lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|stemless puppy love s8|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|to jail|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|going|vilagoskek szinterapias wellness lepedo masszazs lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|going|zold szinterapias wellness lepedo masszazs lepedo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goiset|aligote|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne aligote|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|cotes dauxerre chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|aligote|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|aligote|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=274
W|goisot|bourgogne aligote|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne aligote|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|goisot|bourgogne aligote|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=276
W|goisot|bourgogne aligote|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=271
W|goisot|bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=273
W|goisot|bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=273
W|goisot|bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=273
W|goisot|bourgogne chardonnay corps de garde cotes d auxerre|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|bourgogne chardonnay corps de garde cotes d auxerre|fr|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=283
W|goisot|bourgogne chardonnay cotes dauxerre|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|bourgogne cotes dauxerre|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre biaumont|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre blanc gueules de loup|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|bourgogne cotes dauxerre corps de garde|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre gondonne|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre gondonne|fr|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|bourgogne cotes dauxerre rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|chablis faucertaine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|chablis faucertaine|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|corps de garde blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|corps de garde rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|cotes d auxerre blanc corps de garde|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|cotes d auxerre blanc corps de garde|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|cotes d auxerre blanc gondonne|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|cotes d auxerre blanc gondonne|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|cotes d auxerre rouge corps de garde|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|cotes d auxerre rouge le court vit|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|cotes d auxerre rouge le court vit|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|cotes dauxerre gondonne blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|cotes dauxerre le court vit blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|exogyra virgula saintbris sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|gueules de loup|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|gueules de loup|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|irancy les mazelots|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|irancy les mazelots|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|saint bris exogyra virgula|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|saint bris exogyra virgula|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|saintbris exogyra virgula|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goisot|st bris corps de garde blanc|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|st bris corps de garde blanc|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goisot|st bris exogyra virgula|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goissotgrivot|bourg cotes dauxerre bl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goissotgrivot|chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goivo|branco vinho verde doc herdade de rocim bile polosuche|pt|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|goiya|chardonnay sauvignon blanc|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goiya|shiraz pinotage|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|acai 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|goji|berries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|goji|berries|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=325
W|goji|berries 100|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries 250|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries 550|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries natures glory 100g250g organic best before approx 1 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries okko 120 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berries super gradegreenbay125gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=335
W|goji|berry 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry 60 cap lima naturals|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry cake sweet secrets glutenfree|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|goji|berry china|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry deshidratada organica entera 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry grade|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry infusion|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|goji|berry mamma bia 120g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|berry wolfberry dried|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|bio 100g morgenland|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goji|bogyo 80g tunderkert|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gojiberries|x 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojiberry|100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojiberry|desidratado alibec 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojibr|trrede kologisk obs bedst fr 06012026|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojisberries|100gr somos bio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojnik|bio 40g greco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojnik|bio herbata gorska messinian hub 40g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojnik|herbatka gorska bio 35 g batom|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gojnik|z olimpu bio 35g greco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goka|owcza z podhala|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goka|owcza z podhala z dodatkiem letniej trufli z woch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokkusag|cocuk punch tokas|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokkusag|lalesi kutlamas|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gokugoku|gokugoku|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|gokul|buttermilk pouch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokul|curd pouch 1 kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokul|curd pouch 500 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokul|lassi pouch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokul|santol 70g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokyo|arabashiri junmai nama genshu|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gokyo|daiginjo saito no shizuku|gb|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gokyo|five blue|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokyo|five orange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokyo|hiyaoroshi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gokyo|junmai kiokezukuri|gb|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gokyo|junmai nama|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gokyo|kimoto junmai kioke zukuri|gb|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gokyo|ne ne sparkling five bridges|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gokyuzunun|buyusunu taknza tasyn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gola|prati al sole|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gola|consorzio san michele|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gola|spergola dellemilia igt prati al sole|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|golan|cabernet sauvignon 16|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|cabernet sauvignon dry red wine bot|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|cabernet sauvignon israel|il|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights gamla syrah rotwein wein trocken|il|r|syrah|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gamla syrah rotwein wein trocken|il|r|syrah|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|golan|heights gamla syrah rotwein wein trocken|il|r|syrah|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=391
W|golan|heights gamla syrah rotwein wein trocken 1|il|r|syrah|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal kosher cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal brut kosher|il|s|??|galilee|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|golan|heights gilgal cabernet merlot kosher for passover israeli red wine|il|r|merlot|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal chardonnay|il|w|chardonnay|galilee|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights gilgal galilee cab sauv|il|r|??|galilee|galilee|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal pinot noir|il|r|pinot noir|galilee|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights gilgal sauvignon blanc|il|w|sauvignon blanc|galilee|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights hermon indigo kosher red blend|il|r|??|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights mount hermon cabernet|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights mount hermon indigo red blend|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights mount hermon red blend|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights mount hermon red wine|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights mount hermon white wine|il|w|??|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights mt hermon white|il|w|??|galilee|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights mt hermon white kosher|il|w|??|galilee|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights sauvignon blanc chardonnay|il|w|chardonnay|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights sion red kosher wine|il|r|??|galilee|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|golan|heights winery|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|golan|heights winery|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=413
W|golan|heights winery yarden chardonnay|il|w|chardonnay|galilee|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery boraszat|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery chardonnay katzrin yarden|il|w|chardonnay|galilee|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery chardonnay yarden galilee suche|il|w|chardonnay|galilee|galilee|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery gamla cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gamla cabernet sauvignon merlot|il|r|cabernet sauvignon|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gamla merlot|il|r|merlot|galilee|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gamla nature brut|il|s|??|galilee|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|golan|heights winery gamla pinot noir|il|r|pinot noir|galilee|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gamla riesling|il|w|riesling|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery gamla sangiovese|il|r|sangiovese|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gamla syrah|il|r|syrah|galilee|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gilgal brut pinot noir|il|s|pinot noir|galilee|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|golan|heights winery gilgal chardonnay|il|w|chardonnay|galilee|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery gilgal galilee cabernet sauvignon|il|r|cabernet sauvignon|galilee|galilee|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery gilgal sauvignon blanc|il|w|sauvignon blanc|galilee|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery hermn white|il|w|??|galilee|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery hermon mount hermon israel red wine|il|r|??|galilee|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery hermon mount hermon white wine|il|w|??|galilee|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery hermon red|il|r|??|galilee|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery hermon red|il|r|??|galilee|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon cabernet sauvignon red dry wine|il|r|cabernet sauvignon|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon galilee moscato|il|r|moscato|galilee|galilee|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon indigo|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon moscato|il|r|moscato|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon red|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon red|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=444
W|golan|heights winery mount hermon red|il|r|??|galilee|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon red cuvee suche|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery mount hermon rose dry wine|il|p|??|galilee|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|golan|heights winery mount hermon white|il|w|??|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery mount hermon white dry wine|il|w|??|galilee|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|golan|heights winery pinot noir yarden|il|r|pinot noir|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden 2t|il|r|??|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden baron cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden brut rose|il|s|??|galilee|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=457
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=457
W|golan|heights winery yarden cabernet sauvignon|il|r|cabernet sauvignon|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=457
W|golan|heights winery yarden cabernet sauvignon el rom vineyard|il|r|cabernet sauvignon|galilee|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
