W|pinot noir|2024|??|r|pinot noir|??|??|2024|??|??|??|??|??
W|pinot nero|alto adige valle isarco doc 2023 eisacktal valle isarco|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige valle isarco doc 2023 eisacktal valle isarco|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige valle isarco doc 2022 eisacktal valle isarco|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|alto adige doc tramin 2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|alto adige doc tramin|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc terlan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc st michael eppan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc schloss englar|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc schloss englar|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc ritterhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva trattmann girlan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva trattmann girlan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva st daniel colterenzio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva st daniel colterenzio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva matan pfitscher|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc riserva matan pfitscher|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc pigeno stroblhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc patricia girlan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc patricia girlan|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc murigries|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc mimuet alois lageder|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc meczan hofstatter|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc mason 2023 manincor|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc mason 2023 manincor|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc mason 2023 manincor|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc mason 2023 manincor|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc mason 2023 manincor|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc lahn bergmannhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc kurtatsch|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc kaltern|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc franz haas|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc dignus ritterhof|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc colterenzio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc colterenzio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc colterenzio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc cantina rovere della luna aichholz|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc caldaro 2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc alois lageder|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc 2025 terlan|??|r|??|??|??|2025|??|??|??|??|??
W|pinot nero|alto adige doc 2024 abbazia di novacella|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|alto adige doc 2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|alto adige doc 2023 kurtatsch|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc 2023 kellerei terlan|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc 2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc 2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|alto adige doc 2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|alto adige doc 2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|alto adige doc 2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|alto adige doc 2021 franz haas|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|alto adige doc 2021 cantina valle isarco|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|alto adige doc|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige doc|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alto adige 2025 elena walch|??|r|??|??|??|2025|??|??|??|??|??|=355
W|pinot nero|alto adige 2024 doc|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|alpi retiche bio|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|alene 2021|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|achab|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|abbazia di novacella 2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|abbazia di novacella|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|abbazia di novacella|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|abbazia di novacella|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|a pois 1|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|a pois|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|a pois|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|514 2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|3309 2020 monsupello|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|26|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|2024bel colle piemonte doc|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|2024 toscana igt macea|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024 puiatti tappo stelvin|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024 macea|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024 elena walch|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024 cantina tramin|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024 blauburgunder alto adige|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2024|??|r|??|??|??|2024|??|??|??|??|??|=286
W|pinot nero|2023 tramin|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 st michael eppan|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 pojer e sandri|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 pievasciata vallepicciola|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 k martini sohn|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 alturis|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023 abbazia di novacella alto adige doc|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2023|??|r|??|??|??|2023|??|??|??|??|??|=281
W|pinot nero|2022 tramin alto adige doc|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 toscana igt podere della civettaja|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 terre di romena|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 terlan|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 san gimignano panizzi|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 saint clair|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 rubicone igt|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 podere della civettaja|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 kettmeier|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 igt zorzettig|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 franz haas|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 etyekbuda pdo etyeki kuria 075|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 cathedral|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022 cantina di bolzano|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2022|??|r|??|??|??|2022|??|??|??|??|??|=312
W|pinot nero|2021 ronco pitotti|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 il poggiolo pas dose vsq oltrepo pavese|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 gump hof|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 grawu|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 franz haas|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 fedespina magnum|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 fedespina|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 fattoria montellori|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2021 castel salleg|??|r|??|??|??|2021|??|??|??|??|??|=282
W|pinot nero|2020 grifo nero|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020 colli orientali friuli doc rosso le due terre|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020 bressan|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020 bressan|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020 bressan|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2020|??|r|??|??|??|2020|??|??|??|??|??|=304
W|pinot nero|2019 weinberg dolomiten igt weingut in der eben|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 marco buvoli|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 magnum bressan|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 magnum bressan|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 igt|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 colli orientali friuli doc rosso le due terre|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019 colli orientali del friuli doc le due terre|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2019|??|r|??|??|??|2019|??|??|??|??|??|=278
W|pinot nero|2018 in der eben|??|r|??|??|??|2018|??|??|??|??|??
W|pinot nero|2018 grawu|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 gottardi|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 frascole|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 franz haas|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 cuna|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 buvoli oppificio del pinot nero|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018 abbazia di novacella|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2018|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|2017 marco buvoli|??|r|??|??|??|2017|??|??|??|??|??
W|pinot nero|2017 colli orientali friuli doc rosso le due terre|??|r|??|??|??|2017|??|??|??|??|??|=457
W|pinot nero|2017 buvoli|??|r|??|??|??|2017|??|??|??|??|??|=457
W|pinot nero|2016 lageder|??|r|??|??|??|2016|??|??|??|??|??|=306
W|pinot nero|2016|??|r|??|??|??|2016|??|??|??|??|??|=306
W|pinot nero|2015|??|r|??|??|??|2015|??|??|??|??|??|=301
W|pinot nero|2013 colli orientali friuli doc rosso le due terre|??|r|??|??|??|2013|??|??|??|??|??
W|pinot nero|2012 santa valeria|??|r|??|??|??|2012|??|??|??|??|??
W|pinot nero|2001 serafini vidotto|??|r|??|??|??|2001|??|??|??|??|??
W|pinot nero|1974|??|r|??|??|??|1974|??|??|??|??|??
W|pinot nero|1972|??|r|??|??|??|1972|??|??|??|??|??
W|pinot nero|15 dornach patrick uccelli salorno bz|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|15 2018 dornach|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|15 2018 dornach|??|r|??|??|??|2018|??|??|??|??|??|=447
W|pinot nero|14|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot nero|pinot nero|??|r|??|??|??|NV|??|??|??|??|??|=275
W|pinot negra|pinot negra|??|r|??|??|??|NV|??|??|??|??|??
W|pinot naturel|pinot naturel|??|r|??|??|??|NV|??|??|??|??|??
W|pinot nature|pinot nature|??|r|??|??|??|NV|??|??|??|??|??
W|pinot my|heart|??|r|??|??|??|NV|??|??|??|??|??
W|pinot mutation|pinot mutation|??|r|??|??|??|NV|??|??|??|??|??
W|pinot meuniernoir|gutswein 2019|??|r|??|??|??|2019|??|??|??|??|??
W|pinot meuniere|2017|??|r|??|??|??|2017|??|??|??|??|??
W|pinot meunier|with pinot noir semidry abv 12 parallel import|??|r|pinot noir|??|??|NV|??|??|??|??|??
W|pinot meunier|walgate wine 2022|??|r|??|??|??|2022|??|??|??|??|??
W|pinot meunier|traditional method 2021 ham street|??|r|??|??|??|2021|??|??|??|??|??
W|pinot meunier|sekt brut|??|s|??|??|??|NV|??|??|??|??|??
W|pinot meunier|rose brut reserve|??|p|rose|??|??|NV|??|??|??|??|??
W|pinot meunier|multi vintage|??|r|??|??|??|NV|??|??|??|??|??|=503
W|pinot meunier|2023|??|r|??|??|??|2023|??|??|??|??|??
W|pinot gristraminer|orangewein bio 2022|??|r|pinot gris|??|??|2022|??|??|??|??|??
W|pinot grisrulandske|sede 2018|??|r|pinot gris|??|??|2018|??|??|??|??|??
W|pinot grisgrauburgunder|2024|??|r|pinot gris|??|??|2024|??|??|??|??|??
W|pinot gris|voodoo child|??|w|pinot gris|??|??|NV|??|??|??|??|??
W|pinot gris|vintage|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|vendanges tardives 2015|??|w|pinot gris|??|??|2015|??|??|??|??|??
W|pinot gris|vendanges tardives 2008|??|w|pinot gris|??|??|2008|??|??|??|??|??
W|pinot gris|turckheim 2023|??|w|pinot gris|??|??|2023|??|??|??|??|??
W|pinot gris|traminer|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|traminer|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|sonnenglanz grand cru 2017|??|w|pinot gris|??|??|2017|??|??|??|??|??
W|pinot gris|sekt brut|??|s|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|rotenberg selection de grains nobles 2005|??|w|pinot gris|??|??|2005|??|??|??|??|??
W|pinot gris|rotenberg selection de grains nobles 2000|??|w|pinot gris|??|??|2000|??|??|??|??|??
W|pinot gris|rotenberg 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??
W|pinot gris|rotenberg 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??
W|pinot gris|roche calcaire 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|ried lehendorf 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|ried hintern dorf 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|reserve ried lehendorf 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|reserve 2023|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|reserve 2022|??|w|pinot gris|??|??|2022|??|??|??|??|??
W|pinot gris|reserve|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|reserva|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|rangen de thann clossainturbain grand cru 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|rangen de thann clossainturbain grand cru 2001|??|w|pinot gris|??|??|2001|??|??|??|??|??
W|pinot gris|pinot blanc malvasia|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|maceration|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|le fromenteau 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|heimbourg 2023|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|heimbourg 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|heimbourg 2018|??|w|pinot gris|??|??|2018|??|??|??|??|??
W|pinot gris|grauburgunder|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|grand select 2023 die versuchung wei 075 liter|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|furstentum grand cru 2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|die weie versuchung 2018|??|w|pinot gris|??|??|2018|??|??|??|??|??|=538
W|pinot gris|clos windsbuhl 2023|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|clos windsbuhl 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|clos windsbuhl 2018|??|w|pinot gris|??|??|2018|??|??|??|??|??|=538
W|pinot gris|clos windsbuhl 2014|??|w|pinot gris|??|??|2014|??|??|??|??|??
W|pinot gris|clos jebsal selection de grains nobles 2007|??|w|pinot gris|??|??|2007|??|??|??|??|??
W|pinot gris|clos jebsal selection de grains nobles 2007|??|w|pinot gris|??|??|2007|??|??|??|??|??|=547
W|pinot gris|clos jebsal 2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|cascadia series|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|brut 0|??|s|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|alsace sec aop 2024|??|w|pinot gris|??|??|2024|??|??|??|??|??
W|pinot gris|alkoholreduziert the easy one alkoholreduzierter wein|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|2025|??|w|pinot gris|??|??|2025|??|??|??|??|??
W|pinot gris|2025|??|w|pinot gris|??|??|2025|??|??|??|??|??|=554
W|pinot gris|2025|??|w|pinot gris|??|??|2025|??|??|??|??|??|=554
W|pinot gris|2024|??|w|pinot gris|??|??|2024|??|??|??|??|??|=552
W|pinot gris|2024|??|w|pinot gris|??|??|2024|??|??|??|??|??|=552
W|pinot gris|2023|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|2023|??|w|pinot gris|??|??|2023|??|??|??|??|??|=514
W|pinot gris|2022 personliche empfehlung|??|w|pinot gris|??|??|2022|??|??|??|??|??|=528
W|pinot gris|2022|??|w|pinot gris|??|??|2022|??|??|??|??|??|=528
W|pinot gris|2022|??|w|pinot gris|??|??|2022|??|??|??|??|??|=528
W|pinot gris|2021|??|w|pinot gris|??|??|2021|??|??|??|??|??|=521
W|pinot gris|2020|??|w|pinot gris|??|??|2020|??|??|??|??|??
W|pinot gris|2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|2019|??|w|pinot gris|??|??|2019|??|??|??|??|??|=522
W|pinot gris|2017 grand cru wineck schlossberg selection de grains nobles|??|w|pinot gris|??|??|2017|??|??|??|??|??|=517
W|pinot gris|2016 vyber z hroznu suche f smerovka|??|w|pinot gris|??|??|2016|??|??|??|??|??
W|pinot gris|2016 vieilles vignes vin dalsace egrappe|??|w|pinot gris|??|??|2016|??|??|??|??|??|=569
W|pinot gris|2015 aoc alsace selection de grains nobles|??|w|pinot gris|??|??|2015|??|??|??|??|??|=512
W|pinot gris|2015|??|w|pinot gris|??|??|2015|??|??|??|??|??|=512
W|pinot gris|2011 reserve demisec|??|w|pinot gris|??|??|2011|??|??|??|??|??
W|pinot gris|2003|??|w|pinot gris|??|??|2003|??|??|??|??|??
W|pinot gris|2 litry stacene vino|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|1litr stacene vino|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|1965|??|w|pinot gris|??|??|1965|??|??|??|??|??
W|pinot gris|18 de b|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|14|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|0|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
W|pinot gris|pinot gris|??|w|pinot gris|??|??|NV|??|??|??|??|??|=510
