1. W|cantine colosi|nero davola terre siciliane igp|it|r|nero davola|sicilia|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
209. W|cantine di|marzo vigna serrone greco di tufo riserva docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
210. W|cantine di|montagna sanguidi guiuda|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
211. S
212. W|cantine di|neoneli canales|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
213. W|cantine di|neoneli canales|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=212
214. W|cantine di|neoneli grughes|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
215. W|cantine di|neoneli grughes|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=214
216. W|cantine di|neoneli liori|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|cantine di|neoneli liori|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=216
218. W|cantine di|neoneli melavaxia|it|r|??|??|??|2019|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
219. W|cantine di|neoneli melavaxia|it|r|??|??|??|2019|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=218
220. W|cantine di|neoneli omestica|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
221. W|cantine di|neoneli omestica|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=220
222. W|cantine di|neoneli rosso|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
223. W|cantine di|neoneli rosso|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=222
224. W|cantine di|nessuno etna rosso nuddu doc|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
225. W|cantine di|nessuno milice etna bianco contrada|it|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
226. W|cantine di|nessuno milice etna rosso contrada|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|cantine di|ora|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
228. S
229. S
230. S
231. S
232. S
233. W|cantine di|ora amicone chardonnay gewurztraminer pinot blanc|it|w|chardonnay|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
234. W|cantine di|ora amicone corvina molinara rondinella|it|r|corvina|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|cantine di|ora amicone rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
236. W|cantine di|ora amicone rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=235
237. W|cantine di|ora cabernet|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|cantine di|ora cabernet|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=237
239. W|cantine di|ora kellerei auer flugzeugserie chardonnay alto adige doc|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
240. W|cantine di|ora kellerei auer flugzeugserie gewurztraminer alto adige doc|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
241. W|cantine di|ora kellerei auer flugzeugserie lagrein alto adige doc|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
242. W|cantine di|ora kellerei auer flugzeugserie pinot bianco alto adige doc|it|w|pinot bianco|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
243. W|cantine di|ora kellerei auer flugzeugserie pinot grigio alto adige doc|it|w|pinot grigio|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
244. W|cantine di|ora kellerei auer flugzeugserie pinot nero alto adige doc|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
245. W|cantine di|ora kellerei auer lagrein|it|r|lagrein|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
246. W|cantine di|ora pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
247. W|cantine di|ora pinot grigio valdadige doc|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
248. W|cantine di|ora pinot grigio valdadige doc|it|w|pinot grigio|??|??|2025|12.5|doc|leve|peixes, frutos do mar, saladas|seco
249. W|cantine di|ora valpolicella ripasso doc 19|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
250. W|cantine di|ora valpolicella ripasso doc|it|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
251. W|cantine di|ora valpolicella ripasso superiore|it|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
252. W|cantine di|ora valpolicella ripasso superiore|it|r|??|??|??|2021|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
253. W|cantine di|ora valpolicella superiore ripasso doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
254. W|cantine di|ora valpollicella ripasso superiore doc|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
255. S
256. W|cantine di|verona chardonnay bib 10 liter|it|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
257. W|cantine di|verona pinot grigio bib 10 liter|it|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
258. W|cantine di|verona vino rosato bib 10 liter|it|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
259. W|cantine diomede|canace nero di troia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
260. W|cantine ditaranto|il cellerario|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
261. W|cantine ditaranto|josaphat|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
262. W|cantine ditaranto|labate|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
263. W|cantine ditaranto|portico rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
264. W|cantine ditaranto|serenella|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
265. W|cantine ditaranto|vigne del milo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
266. W|cantine dorsara|grignolino piemont|it|r|??|??|??|1980|13.5|??|medio|carne vermelha, massas, queijos curados|seco
267. W|cantine due|palme 1943 del presidente salento rosso igt 6 x|it|r|??|??|??|1943|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
268. W|cantine due|palme 1943 del presidente salento rosso igt jeroboam 6 x|it|r|??|??|??|1943|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
269. W|cantine due|palme albrizzi salento rosso igt 6 x|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
270. W|cantine due|palme amaluna extra dry|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
271. W|cantine due|palme angelini squinzano rosso doc 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
272. W|cantine due|palme camarda brindisi rosso doc 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
273. W|cantine due|palme celebration passo a due salento bianco igt|it|w|??|??|??|2019|12.5|igt|medio|peixes, frutos do mar, saladas|seco
274. W|cantine due|palme corerosa salento rosato igt 6 x|it|p|??|??|??|NV|12|igt|leve|carne vermelha, massas, queijos curados|seco
275. W|cantine due|palme cuntame chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
276. W|cantine due|palme cuntame chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=275
277. W|cantine due|palme cuntame susumaniello|it|r|susumaniello|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
278. W|cantine due|palme cuntame susumaniello rose|it|p|susumaniello|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
279. W|cantine due|palme cuntame susumaniello rose|it|p|susumaniello|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=278
280. W|cantine due|palme cuntame syrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
281. W|cantine due|palme cuntame syrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=280
282. W|cantine due|palme cuoriarsi aleatico passito salento igt cl 50 6 x|it|d|??|??|??|NV|10.5|igt|encorpado|sobremesas, frutas secas, queijos|doce
283. W|cantine due|palme don cosimo primitivo salento igt 6 x|it|r|primitivo|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
284. W|cantine due|palme ettamiano salento rosso igt 6 x|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
285. W|cantine due|palme montecoco salice salentino rosso doc 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
286. W|cantine due|palme montecoco salice salentino rosso doc magnum 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
287. W|cantine due|palme passo a due salento bianco igt 6 x|it|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
288. W|cantine due|palme primitivo del salento don cosimo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
289. W|cantine due|palme rosalita rosato salento igt 6 x|it|p|??|??|??|NV|12|igt|leve|carne vermelha, massas, queijos curados|seco
290. W|cantine due|palme salento domiziano bianco|it|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
291. W|cantine due|palme salento igp cuntame chardonnay|it|w|chardonnay|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
292. W|cantine due|palme salento igp cuntame chardonnay|it|w|chardonnay|??|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco|=291
293. W|cantine due|palme salento igp cuntame susumaniello|it|r|susumaniello|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
294. W|cantine due|palme salento igp cuntame susumaniello rosato|it|p|susumaniello|??|??|2022|12|igp|leve|carne vermelha, massas, queijos curados|seco
295. W|cantine due|palme sangaetano primitivo di manduria doc 6 x|it|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
296. W|cantine due|palme sangaetano primitivo di manduria doc magnum 6 x|it|r|primitivo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
297. W|cantine due|palme santa caterina salento chardonnay igt 6 x|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
298. W|cantine due|palme selvarossa dei confratelli riserva rosso|it|r|??|??|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
299. W|cantine due|palme selvarossa salice salentino rosso riserva doc 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
300. W|cantine due|palme selvarossa terra salice salentino rosso riserva doc 6 x|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
301. W|cantine due|palme serre susumaniello|it|r|susumaniello|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
302. W|cantine due|palme serre susumaniello salento igt 6 x|it|r|susumaniello|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
303. W|cantine due|palme serre susumaniello salento igt magnum 6 x|it|r|susumaniello|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
304. W|cantine due|palme susumaniello salento|it|r|susumaniello|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|cantine due|palme tenuta san marco chardonnay|it|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
306. W|cantine due|palme tenuta san marco chardonnay salento igt|it|w|chardonnay|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
307. W|cantine due|palme tenuta san marco chardonnay salento igt 6 x|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
308. W|cantine due|palme tenuta san marco primitivo|it|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
309. W|cantine due|palme tenuta san marco primitivo|it|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
310. W|cantine due|palme tenuta san marco primitivo salento igt|it|r|primitivo|??|??|2020|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
311. W|cantine due|palme tenuta san marco primitivo salento igt 6 x|it|r|primitivo|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
312. W|cantine due|palme tenuta san marco rosato|it|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
313. W|cantine due|palme tenuta san marco salice salentino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
314. W|cantine due|palme tinaia salice salentino bianco doc 6 x|it|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
315. W|cantine e|prie di lorenzo anfosso rossese di dolceacqua|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|cantine elvio|tintero barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|cantine elvio|tintero barbaresco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=316
318. W|cantine elvio|tintero sori gramela moscato dasti|it|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
319. W|cantine elvio|tintero vino bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
320. W|cantine elvio|tintero vino rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
321. W|cantine ermes|ermes|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
322. W|cantine ermes|epicentro nero davola riserva sicilia|it|r|nero davola|sicilia|??|2023|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
323. W|cantine ermes|grillo aulico|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
324. W|cantine ermes|marchese montefusco nero davola|it|r|nero davola|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
325. W|cantine ermes|marchese montefusco pinot grigio terre siciliane igp|it|w|pinot grigio|sicilia|??|2023|12.5|igp|leve|peixes, frutos do mar, saladas|seco
326. W|cantine ermes|masseria delle stelle primitivo|it|r|primitivo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
327. W|cantine ermes|nerello mascalese aulico|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
328. W|cantine ermes|nero davola aulico|it|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
329. W|cantine ermes|no compromise nerello mascalese|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
330. W|cantine ermes|quattro quarti nero davola appassimento sicilia|it|r|nero davola|sicilia|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
331. W|cantine ermes|quattro quatri appassimento|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
332. W|cantine ermes|tenuta orestiadi rosato nerello mascalese|it|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
333. W|cantine ermes|vento di mare grillo|it|r|grillo|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
334. W|cantine ermes|vermentino aulico|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
335. W|cantine europa|grillo grillante brut|it|s|grillo|??|??|2021|12|??|leve|frutos do mar, aperitivos, sushi|brut
336. W|cantine europa|pinot grigio prima alta igt 2023 12 bottles|it|w|pinot grigio|??|??|2023|12.5|igt|leve|peixes, frutos do mar, saladas|seco
337. W|cantine europa|sibiliana grillo|it|r|grillo|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
338. W|cantine europa|sibiliana nero davola|it|r|nero davola|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
339. W|cantine europa|sibiliana orange|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
340. W|cantine federiciane|gragnano|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
341. W|cantine federiciane|gragnano penisola sorrentina|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
342. W|cantine federiciane|gragnano red wine|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
343. W|cantine ferrari|ferrari perle 2018 sboccatura 2023 astuccio|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
344. W|cantine ferrari|ferrari perle bianco riserva 2016 sboccatura 2023 astuccio|it|w|??|??|??|2016|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
345. W|cantine ferrari|ferrari perle bianco riserva 2016 sboccatura 2024 astuccio|it|w|??|??|??|2016|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
346. W|cantine ferrari|ferrari perle nero riserva 2013 magnum astuccio|it|r|??|??|??|2013|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
347. W|cantine ferrari|ferrari perle nero riserva 2015 astuccio|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
348. W|cantine ferrari|ferrari perle zero 2017 astuccio|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
349. W|cantine ferrari|giulio ferrari riserva del fondatore|it|r|??|??|??|1995|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
350. W|cantine ferrari|giulio ferrari riserva del fondatore 1999 magnum cassa in legno|it|r|??|??|??|1999|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
351. W|cantine ferrari|giulio ferrari riserva del fondatore 2000 magnum cassa in legno|it|r|??|??|??|2000|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
352. W|cantine ferrari|giulio ferrari riserva del fondatore 2002 magnum cassa in legno|it|r|??|??|??|2002|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
353. W|cantine ferrari|giulio ferrari riserva del fondatore 2004 magnum cassa in legno|it|r|??|??|??|2004|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
354. W|cantine ferrari|giulio ferrari riserva del fondatore 2006 edizione limitata|it|r|??|??|??|2006|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
355. X
356. W|cantine ferrari|giulio ferrari riserva del fondatore 2015 cofanetto|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
357. W|cantine ferrari|giulio ferrari riserva del fondatore collezione 2001 magnum cassa|it|r|??|??|??|2001|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
358. W|cantine ferrari|giulio ferrari riserva del fondatore rose 2009 cofanetto|it|p|??|??|??|2009|12|riserva|leve|carne vermelha, massas, queijos curados|seco
359. W|cantine ferrari|giulio ferrari riserva del fondatore rose 2010 cofanetto|it|p|??|??|??|2010|12|riserva|leve|carne vermelha, massas, queijos curados|seco
360. W|cantine ferrari|riserva lunelli|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
361. W|cantine ferrari|riserva lunelli|it|r|??|??|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
362. W|cantine ferrari|trento doc brut white|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
363. W|cantine fina|bausa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
364. W|cantine fina|bausa|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=363
365. W|cantine fina|caro maestro|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
366. W|cantine fina|caro maestro rosso sicilia igt|it|r|??|sicilia|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
367. W|cantine fina|caro maestro rosso sicilia igt|it|r|??|sicilia|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=366
368. W|cantine fina|doc sicilia perricone|it|r|??|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
369. W|cantine fina|el aziz 0|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
370. W|cantine fina|igp terre siciliane kike traminer|it|r|??|sicilia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
371. W|cantine fina|kebrilla|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|cantine fina|kebrilla grillo|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|cantine fina|kike|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|cantine fina|kike|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=373
375. W|cantine fina|la stanza del re chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
376. W|cantine fina|merlot|it|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
377. W|cantine fina|miral grillo sicilia doc|it|r|grillo|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
378. W|cantine fina|miral nero davola|it|r|nero davola|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
379. W|cantine fina|miral nero davola|it|r|nero davola|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=378
380. W|cantine fina|miral nero davola sicilia rouge|it|r|nero davola|sicilia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|cantine fina|nero davola|it|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
382. W|cantine fina|nero davola sicilia igt|it|r|nero davola|sicilia|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
383. W|cantine fina|perricone|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
384. W|cantine fina|syrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
385. W|cantine fina|syrah|it|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=384
386. W|cantine fina|taif|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
387. W|cantine fina|vola vola viognier|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
388. W|cantine florio|aci 1840 marsala superiore nv|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
389. W|cantine florio|fine dry marsala grillo|it|f|grillo|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
390. W|cantine florio|fine marsala dry amber sicily italy|it|f|??|sicily|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
391. W|cantine florio|fine marsala dry amber sicily italy|it|f|??|sicily|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=390
392. W|cantine florio|fine marsala sweet ambra sicily italy|it|f|??|sicily|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
393. W|cantine florio|fine marsala sweet ambra sicily italy|it|f|??|sicily|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=392
394. W|cantine florio|fine sweet ambra dolce marsala grillo|it|f|grillo|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
395. W|cantine florio|gran chef marsala fine|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
396. W|cantine florio|marsala superiore|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
397. W|cantine florio|riserva aci 1840 marsala superiore sicily|it|f|??|sicily|??|NV|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
398. W|cantine florio|targa riserva 1840 superiore semisecco sicily grillo marsala|it|f|grillo|sicily|??|NV|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
399. W|cantine florio|terre arse marsala vergine|it|f|??|??|??|1986|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
400. W|cantine florio|vecchioflorio marsala superiore dry|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
401. W|cantine florio|vecchioflorio marsala superiore sweet|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
402. W|cantine florio|vecchioflorio marsala superiore sweet|it|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce|=401
403. W|cantine florio|vecchioflorio secco sicily superiore marsala|it|f|??|sicily|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
404. W|cantine fratelli|rosso di toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|cantine gallura|canayli vermentino di gallura superiore|it|w|vermentino|??|??|2021|12.5|superiore|medio|peixes, frutos do mar, saladas|seco
406. W|cantine gallura|gemellae vermentino di gallura docg|it|w|vermentino|??|??|2020|12.5|docg|medio|peixes, frutos do mar, saladas|seco
407. W|cantine gallura|templum cannonau di sardegna doc|it|r|cannonau|??|??|2016|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
408. W|cantine garrone|ca dmate valli ossolane doc rosso|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
409. W|cantine garrone|diecibrente valli ossolane doc nebbiolo superiore|it|r|nebbiolo|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
410. W|cantine garrone|munaloss|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|cantine garrone|munaloss|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|cantine garrone|munaloss vino rosso|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
413. W|cantine garrone|munaloss vino rosso|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
414. W|cantine garrone|munaloss vino rosso|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cantine garrone|nebbiolo valli ossolane nebbiolo superiore prunent piedmont|it|r|nebbiolo|piedmont|??|2021|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
416. W|cantine garrone|nebbiolo valli ossolane superiore prunent diecibrente piedmont|it|r|nebbiolo|piedmont|??|2020|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
417. W|cantine garrone|prunent|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|cantine garrone|prunent valli ossolane doc|it|r|??|??|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
419. W|cantine garrone|prunent valli ossolane doc nebbiolo superiore|it|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
