W|hess|cabernet sauvignon mvrk retail 22|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|pinot noir allomi 2021|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=18
W|hess|pinot noir central coast|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|pinot noir select|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|pinot noir select 2021|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=18
W|hess|pinot noir select 2022|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=114
W|hess|pinot noir select 2022|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=114
W|hess|rose shirtail ranches 2017|??|p|rose|??|??|2017|??|??|medio|saladas, peixes, entradas leves|seco
W|hess|sauvignon blanc maverick ranches|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|sauvignon blanc shirtail ranch|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
X
W|hess|select 2019 north coast sauvignon blanc|??|w|sauvignon blanc|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select 2020 north coast sauvignon blanc|??|w|sauvignon blanc|??|??|2020|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select 2022 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|select 2023 monterey chardonnay|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|select 2024 monterey chardonnay|??|w|chardonnay|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=116
W|hess|select cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|select cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon 1998|??|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select cabernet sauvignon 2014|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select cabernet sauvignon 2015|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select cabernet sauvignon 2016|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=48
W|hess|select cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|select cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|select cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=240
W|hess|select cabernet sauvignon 2020 135|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=240
W|hess|select cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|select cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|select cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=19
W|hess|select cabernet sauvignon california 2020 hess persson|us|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=240
W|hess|select cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon north coast|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select cabernet sauvignon the hess collection|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
X
W|hess|select central coast pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select central coast pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
X
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay 2016|??|w|chardonnay|??|??|2016|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select chardonnay 2016 monterey county californie|??|w|chardonnay|??|??|2016|13|??|medio|peixes, frango, queijos leves|seco|=275
W|hess|select chardonnay 2017|??|w|chardonnay|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco|=63
W|hess|select chardonnay 2018|??|w|chardonnay|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco|=11
W|hess|select chardonnay 2019|??|w|chardonnay|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco|=6
W|hess|select chardonnay 2022|??|w|chardonnay|??|??|2022|13|??|medio|peixes, frango, queijos leves|seco|=60
W|hess|select chardonnay 2024|??|w|chardonnay|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=116
W|hess|select chardonnay california 2023 hess persson|us|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|select chardonnay monterey|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay monterey|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay monterey|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay monterey|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay monterey 2022|??|w|chardonnay|??|??|2022|13|??|medio|peixes, frango, queijos leves|seco|=60
W|hess|select chardonnay monterey 2023|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|select chardonnay monterey 2024|??|w|chardonnay|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=116
W|hess|select chardonnay monterey county|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select chardonnay the hess collection|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select estate cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=293
W|hess|select mendoza argentina malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=293
W|hess|select mendoza argentina malbec|ar|r|malbec|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=293
W|hess|select monterey county chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|select monterey county chardonnay 2020|??|w|chardonnay|??|??|2020|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select monterey county chardonnay 2021|??|w|chardonnay|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=29
W|hess|select monterey county chardonnay 2023|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|select mvrk cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select mvrk cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select north coast 2021 cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=17
W|hess|select north coast cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select north coast cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|select north coast cabernet sauvignon 2016|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=48
W|hess|select north coast cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=42
W|hess|select north coast cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=240
W|hess|select north coast sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select north coast sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=198
W|hess|select pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=198
W|hess|select pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=198
W|hess|select pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=198
W|hess|select pinot gris 2017|??|w|pinot gris|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select pinot gris 2018|??|w|pinot gris|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select pinot gris 2024|??|w|pinot gris|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select pinot gris 2024|??|w|pinot gris|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=317
W|hess|select pinot gris california 2022|us|w|pinot gris|??|??|2022|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir 2018|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=114
W|hess|select pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select pinot noir california 2023|us|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=333
W|hess|select pinot noir central coast|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir central coast|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|select pinot noir central coast 2017|??|r|pinot noir|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|select pinot noir north coast california eua tinto 2018|us|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=331
W|hess|select rose|??|p|rose|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco
W|hess|select rose 2017|??|p|rose|??|??|2017|??|??|medio|saladas, peixes, entradas leves|seco|=207
W|hess|select rose pinot noir california|us|p|pinot noir|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco|=31
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc 2018|??|w|sauvignon blanc|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco
W|hess|select sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=118
W|hess|select sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|select sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|select sauvignon blanc north coast|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|select sauvignon blanc north coast 2017|??|w|sauvignon blanc|??|??|2017|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|hess|select zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
W|hess|selection panthera chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|selection panthera chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|shirtail pinot noir|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=31
W|hess|shirtail pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=333
W|hess|shirtail pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=333
W|hess|shirtail ranches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|shirtail ranches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|shirtail ranches no upc cabernet sauvignonnorth coast 2019 screw cap 2018|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=138
W|hess|shirtail ranches no upc cabernet sauvignonnorth coast 2021 screw cap 2021|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hess|shirtail ranches no upc cabernet sauvignonnorth coast 2021 screw cap 2021|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=385
W|hess|shirtail ranches no upc chardonnay monterey oak screw cap 2023|??|w|chardonnay|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco|=14
W|hess|shirtail ranches no upc sauvignon blanc north coast screw cap 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|shirtail ranches no upc sauvignon blanc north coast screw cap 2024|??|w|sauvignon blanc|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco|=163
W|hess|shirtail ranches sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|shirtail ranches sauvignon blanc north coast|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|shirtail sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=164
W|hess|shirtail sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco
W|hess|collection chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
W|hess|lion mount veeder cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=36
W|hess|lion mt vedeer cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=1
W|hess|lion tamer cabernet|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=5
W|hess|lioness chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=8
X
X
W|hessenstein|riesling trocken|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco
W|hessenstein|riesling trocken|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=401
X
W|hestan|cabernet 2010|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|cabernet sauvignon 2012|??|r|cabernet sauvignon|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|cabernet sauvignon stephanie 2011|??|r|cabernet sauvignon|??|??|2011|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|chardonnay|??|w|chardonnay|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hestan|meyer vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|2014 estate grenache|??|r|grenache|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|2018 stephanie propriteray red wine|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|2018 stephanie red napa valley|us|r|??|napa valley|napa valley|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=410
W|hestan|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=408
W|hestan|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|napa valley|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=408
W|hestan|stephanie cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=408
W|hestan|stephanie cabernet sauvignon 2015|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hestan|stephanie merlot 2009|??|r|merlot|??|??|2009|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
W|hester|creek cabernet franc reserve|??|r|cabernet franc|??|??|NV|13.5|reserve|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hester|creek pinot gris|??|w|pinot gris|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|hesvera|crianza|??|??|??|??|??|NV|??|crianza|??|??|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
W|het|boerenerf cannonau 7|??|r|cannonau|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
X
W|het|eikenvat pinot noir 2015|??|r|pinot noir|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|het|verschil tussen rose rosato en chiaretto|??|p|rose|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco
X
X
X
X
X
X
W|hetenyi|cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
W|hetenyi|merlot 2019|??|r|merlot|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
W|hetenyi|pinot noir 2017|??|r|pinot noir|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
W|hetero|isexy white wine villana thrapsathiri|??|w|??|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|hetre|castillon cotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco
W|hetre|castillon cotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
