1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
222. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2003|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
223. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2005|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
224. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
225. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
226. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=225
227. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2009|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
228. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2009|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=227
229. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2010|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
230. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2011|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
231. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2014|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
232. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
233. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=232
234. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
235. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
236. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
237. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=236
238. W|jean|grivot clos de vougeot grand cru|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
239. W|jean|grivot clos de vougeot grand cru 3 cs|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
240. W|jean|grivot clos de vougeot grand cru 6 cs|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
241. W|jean|grivot clos de vougeot grand cru 6 cs|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
242. W|jean|grivot clos de vougeot grand cru magnum|??|r|??|??|??|2013|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
243. W|jean|grivot clos de vougeot grand cru magnum|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
244. X
245. X
246. W|jean|grivot clos vougeot|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
247. W|jean|grivot clos vougeot|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
248. W|jean|grivot clos vougeot|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
249. W|jean|grivot clos vougeot|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
250. W|jean|grivot clos vougeot|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
251. W|jean|grivot clos vougeot grand cru 1980 label damage|??|r|??|??|??|1980|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
252. W|jean|grivot clos vougeot grand cru 1980 label damage|??|r|??|??|??|1980|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=251
253. W|jean|grivot clos vougeot grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
254. X
255. W|jean|grivot echezeaux|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
256. W|jean|grivot echezeaux|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
257. W|jean|grivot echezeaux|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
258. W|jean|grivot echezeaux|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
259. W|jean|grivot echezeaux grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
260. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2005|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
261. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2006|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
262. W|jean|grivot echezeaux grand cru 2006 1mag|??|r|??|??|??|2006|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
263. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
264. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
265. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
266. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2009|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
267. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2013|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
268. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2014|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
269. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
270. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2015|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=269
271. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
272. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
273. W|jean|grivot echezeaux grand cru 2017 1mag|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
274. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
275. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
276. W|jean|grivot echezeaux grand cru|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
277. W|jean|grivot les beaux monts vosne romanee 1er cru|??|r|??|??|??|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
278. W|jean|grivot les charmois nuits st georges|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
279. W|jean|grivot nuits saint georges 1er cru les pruliers|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
280. X
281. X
282. X
283. X
284. W|jean|grivot nuits st georges 1er cru aux boudots|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
285. W|jean|grivot nuits st georges 1er cru ronceiere|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
286. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|1990|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
287. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|1996|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
288. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2005|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
289. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2007|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
290. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2010|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
291. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2014|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
292. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2015|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
293. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
294. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
295. W|jean|grivot nuits st georges les boudots 1er cru|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
296. W|jean|grivot nuits st georges les boudots|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
297. W|jean|grivot nuits st georges les charmois 1er cru|??|r|??|??|??|2003|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
298. W|jean|grivot nuits st georges les charmois|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
299. W|jean|grivot nuits st georges les lavieres|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
300. W|jean|grivot nuits st georges les lavieres|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
301. W|jean|grivot nuits st georges les lavieres|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
302. W|jean|grivot nuits st georges les pruliers 1er cru|??|r|??|??|??|2003|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
303. W|jean|grivot nuits st georges les pruliers 1er cru|??|r|??|??|??|2005|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
304. W|jean|grivot nuits st georges les pruliers 1er cru|??|r|??|??|??|2007|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
305. W|jean|grivot nuits st georges les pruliers 1er cru|??|r|??|??|??|2010|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
306. W|jean|grivot nuits st georges les pruliers 1er cru|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
307. W|jean|grivot nuits st georges les roncieres|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
308. W|jean|grivot nuits st georges les roncieres|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
309. W|jean|grivot nuits st georges ronciere 1er cru|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
310. W|jean|grivot nuitssaintgeorges 1er cru les pruliers|??|r|??|??|??|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
311. W|jean|grivot nuitsstgeorges 1er cru les roncieres|??|r|??|??|??|1988|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
312. W|jean|grivot pinot noir nuits st georges 1er cru ronciere cote de nuits burgundy france|fr|r|pinot noir|burgundy|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
313. W|jean|grivot pinot noir nuits st georges 1er cru ronciere cote de nuits burgundy france|fr|r|pinot noir|burgundy|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
314. X
315. X
316. W|jean|grivot richebourg 2000 slightly nicked label|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
317. W|jean|grivot richebourg|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
318. W|jean|grivot richebourg|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=317
319. W|jean|grivot richebourg|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
320. W|jean|grivot richebourg|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
321. W|jean|grivot richebourg|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
322. W|jean|grivot richebourg|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=321
323. W|jean|grivot richebourg|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
324. W|jean|grivot richebourg|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
325. W|jean|grivot richebourg|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
326. W|jean|grivot richebourg|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
327. W|jean|grivot richebourg|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
328. W|jean|grivot richebourg grand cru 1 cs|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
329. W|jean|grivot richebourg grand cru|??|r|??|??|??|1985|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
330. W|jean|grivot richebourg grand cru|??|r|??|??|??|1990|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
331. W|jean|grivot richebourg grand cru|??|r|??|??|??|1996|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
332. W|jean|grivot richebourg grand cru|??|r|??|??|??|2000|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
333. W|jean|grivot richebourg grand cru|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
334. W|jean|grivot richebourg grand cru|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=333
335. W|jean|grivot richebourg grand cru|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=333
336. W|jean|grivot richebourg grand cru|??|r|??|??|??|2001|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=333
337. W|jean|grivot richebourg grand cru|??|r|??|??|??|2005|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
338. W|jean|grivot richebourg grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
339. W|jean|grivot richebourg grand cru|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
340. W|jean|grivot richebourg grand cru|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
341. W|jean|grivot richebourg grand cru|??|r|??|??|??|2020|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco|=340
342. W|jean|grivot richebourg grand cru 3 cs|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
343. X
344. W|jean|grivot vosne romanee 1er cru les beaux monts|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
345. W|jean|grivot vosne romanee 1er cru les beaux monts|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
346. W|jean|grivot vosne romanee 1er cru les chaumes|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
347. W|jean|grivot vosne romanee|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
348. X
349. W|jean|grivot vosne romanee bossieres|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
350. W|jean|grivot vosne romanee bossieres|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
351. W|jean|grivot vosne romanee bossieres|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
352. X
353. X
354. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|1995|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
355. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2002|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
356. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2004|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
357. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2007|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
358. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
359. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2010|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
360. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2014|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
361. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
362. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
363. W|jean|grivot vosne romanee les beaux monts 1er cru|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
364. W|jean|grivot vosne romanee les beaux monts 1er cru magnum|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
365. W|jean|grivot vosne romanee les beaux monts|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
366. W|jean|grivot vosne romanee les beaux monts|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
367. W|jean|grivot vosne romanee les beauxmonts|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
368. W|jean|grivot vosne romanee les beauxmonts|??|r|??|??|??|2002|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=367
369. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2000|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
370. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2002|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
371. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2005|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
372. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2006|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
373. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2009|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
374. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2012|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
375. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
376. W|jean|grivot vosne romanee les brulees 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
377. W|jean|grivot vosne romanee les brulees|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
378. W|jean|grivot vosne romanee les brulees|??|r|??|??|??|2003|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=377
379. W|jean|grivot vosne romanee les chaumes 1er cru|??|r|??|??|??|1993|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
380. W|jean|grivot vosne romanee les chaumes 1er cru|??|r|??|??|??|2011|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
381. W|jean|grivot vosne romanee les chaumes 1er cru|??|r|??|??|??|2012|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
382. W|jean|grivot vosne romanee les chaumes 1er cru|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
383. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2000|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
384. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2001|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
385. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2002|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
386. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2006|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
387. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
388. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
389. W|jean|grivot vosne romanee les reignots 1er cru|??|r|??|??|??|2015|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
390. W|jean|grivot vosne romanee les reignots 1er cru magnum|??|r|??|??|??|2007|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
391. W|jean|grivot vosne romanee les rouges 1er cru|??|r|??|??|??|2001|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
392. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2001|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
393. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2002|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
394. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2006|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
395. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
396. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2010|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
397. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2011|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
398. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2012|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
399. W|jean|grivot vosne romanee les suchots 1er cru|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
400. W|jean|grivot vosne romanee les suchots|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
401. X
402. X
403. X
404. W|jean|grivot vosneromanee|??|r|??|??|??|1985|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
405. W|jean|grivot vosneromanee 1er cru beaux monts|??|r|??|??|??|NV|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
406. W|jean|grivot vosneromanee 1er cru les beaux monts|??|r|??|??|??|1990|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
407. W|jean|grivot vosneromanee 1er cru les beaux monts en primeur|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
408. W|jean|grivot vosneromanee 1er cru les reignots|??|r|??|??|??|1999|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
409. W|jean|grivot vosneromanee 1er cru les suchots en primeur|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
410. W|jean|grivot vosneromanee|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
411. W|jean|grivot vosneromanee|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
412. W|jean|grivot vosneromanee|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
413. W|jean|grivot vosneromanee aux brulees 1er cru 2013 1mags|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
414. W|jean|grivot vosneromanee brulees 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
415. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2001|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
416. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2002|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
417. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2003|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
418. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2004|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
419. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2006|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
420. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2007|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
421. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2008|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
422. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2009|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
423. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
424. W|jean|grivot vosneromanee les beaux monts 1er cru 2013 1mags|??|r|??|??|??|2013|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
425. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
426. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
427. W|jean|grivot vosneromanee les beaux monts 1er cru 2017 1mag|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
428. W|jean|grivot vosneromanee les beaux monts 1er cru|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
