W|gerard|boulay sancerre comtesse|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet bourgogne rouge|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambertin clos de beze grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambertin clos de beze grand cru cuvee unique|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambertin closdebeze grand cru cuvee unique cote de nuits france|fr|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny les bussieres|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambolle musigny les bussieres|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=225
W|gerard|raphet chambolle musigny rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambollemusigny|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet chambollemusigny|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmes chambertin|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmes chambertin grand cru|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmes chambertin grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmes chambertin grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmes chambertin grand cru france pinot noir|fr|r|pinot noir|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmeschambertin|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmeschambertin grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet charmeschambertin grand cru cote de nuits france|fr|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=241
W|gerard|raphet clos de la roche grand cru|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru cote de nuits france|fr|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru cote de nuits france|fr|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru cote de nuits france|fr|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru cuvee unique cote de nuits france|fr|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru cuvee unique vieilles vignes|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru vieilles vignes|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche grand cru vieilles vignes|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de la roche rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=255
W|gerard|raphet clos de vougeot grand cru france|fr|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot grand cru france|fr|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot grand cru vieilles vignes|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot grand cru vieilles vignes|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot grand cru vieilles vignes cote de nuits france|fr|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot grand cru vieilles vignes cuvee unique cote de nuits france|fr|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot vieille vignes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot vieille vignes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot vieilles vignes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot vielles vignes|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos de vougeot vv rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos roche|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos vougeot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet clos vougeot vv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet closvougeot grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet closvougeot grand cru|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet bourgogne aligote|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet bourgogne passetoutgrains|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet bourgogne rouge|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet chambollemusigny|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet gevreychambertin|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet domaine raphet moreysaintdenis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey lavaux st jacques|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey lavaux st jacques|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=286
W|gerard|raphet gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevrey chambertin les combottes|fr|r|??|bourgogne|gevrey chambertin|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevreychambertin cru lavaux st jacques|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevreychambertin les champs chenys vieilles vignes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevreychambertin les champs chenys vieilles vignes cuvee unique cote de nuits france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet gevreychambertin les champs chenys vieilles vignes cuvee unique cote de nuits france|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=292
W|gerard|raphet les champs chenys gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet les combottes cuvee unique gevreychambertin premier cru france|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet les millandes cuvee unique france|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet les millandes cuvee unique moreysaintdenis premier cru france|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet les millandes premier cru france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis cru les millandes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis cru les millandes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=213
W|gerard|raphet morey saint denis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis les millandes premier cru cuvee unique|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis les millandes premier cru cuvee unique|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey saint denis rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet morey st denis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet moreysaintdenis vieilles vignes cuvee unique|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet moreysaintdenis vieilles vignes cuvee unique cote de nuits france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet vieilles vignes clos vougeot grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet vieilles vignes clos vougeot grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|raphet vieilles vignes morey saint denis|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils chasselas|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils edelzwicker|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils edelzwicker nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils gewurztraminer cuvee particuliere|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils gewurztraminer bild bildstoeckle|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils gewurztraminer bild bildstoeckle|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils gewurztraminer bildstoeckle|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils le bild et leon|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils marc dalsace gewurztraminer 48|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils marc dalsace riesling 48|fr|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils muscat dalsace|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils muscat dalsace bild pige|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot blanc h|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris bild et leon|??|w|pinot gris|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris le bild et leon|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris reserve|??|w|pinot gris|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris reserve|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris reserve|??|w|pinot gris|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot gris reserve non filtre|??|w|pinot gris|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot noir|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot noir bildstoeckle|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot noir ln012|??|r|pinot noir|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot noir ln012|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils pinot noir ln012|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils riesling bild bildstoeckle|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling bildstoeckle|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling cuvee particuliere|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling cuvee particuliere|??|w|riesling|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling grand cru pfersigberg h|??|w|riesling|??|??|2018|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling grand cru pfersigberg h|??|w|riesling|??|??|2019|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling mittel|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling pfersigberg h grand cru|??|w|riesling|??|??|2019|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling pige le verre est dans le fruit|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils riesling reserve|??|w|riesling|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller et fils risy|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils traminer pige h|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils vdf risy|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils vdf traminer pige h|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils vin mousseux rien que des bulles|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller et fils w|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller gewurztraminer bild 22|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller gewurztraminer cuvee particuliere|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|schueller muscat dalsace|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schueller traminer pige 22|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schuellers muscat dalsace|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|schuellers riesling cuvee particuliere|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|seguin bourgogne cuvee chantal|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin chambolle musigny derriere le four|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin cuvee chantal bourgogne aoc|fr|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin cuvee gerard bourgogne aoc|fr|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin derriere le four chambollemusigny aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin en batayart marsannay aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevrey chambertin|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevrey chambertin la justice|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevrey chambertin les crais|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevrey chambertin vieilles vignes|fr|r|??|bourgogne|gevrey chambertin|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevreychambertin la justice|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevreychambertin premier cru craipillot|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevreychambertin premier cru lavaux saint jacques|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin gevreychambertin premier cru lavaux saint jacques|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin la place fixin aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|seguin terroir du domaine gevreychambertin aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|therese cidre fermier brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|therese poire fermier|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|thomas chenevottes|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|thomas murgers des dents de chien|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|thomas saint aubin champ tirant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|thomas saint aubin murgers dents chien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=385
W|gerard|tremblay chablis cru cote lechet 75012|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis cru montmain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis grand cru vaudesir 75012|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis montmain cru 75012|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis premier cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis premier cru montmains|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay chablis vaudesir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay petit chablis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|tremblay petit chablis france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|valdobbiadene docg extra brut|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|extra brut
W|gerard|villet arbois chardonnay|??|w|chardonnay|??|??|1997|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|villet arbois chardonnay|??|w|chardonnay|??|??|2009|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|villet arbois chardonnay|??|w|chardonnay|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|villet arbois chardonnay|??|w|chardonnay|??|??|2014|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|villet arbois chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|villet arbois cuvee tradition|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|villet arbois savagnin ouille|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|xavier cote rotie|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|xavier st joseph le blanchard|??|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|xavier coterotie|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|xavier st joseph le blanchard|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|xavier st joseph|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|xavier viognier igp collines rhodaniennes|??|w|viognier|??|??|2023|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gerard|xavier cote rotie mollard|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari amarone della valpolicella 15 sgr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari justo leggero appassimento veneto igt italy|it|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari justo veneto igt|it|r|??|??|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari mara valpolicella ripasso superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari pinot grigio delle venezie|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerardo|cesari rajo valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|cesari recioto della valpolicella classico|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gerardo|cesari valpolicella ripasso superiore bosan|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerardo|rive di santo stefano prosecco sup valdobb e brut docg|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|brut
W|gerardo|rive di santo stefano valdobbiadene docg spumante brut|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|brut
W|gerardus|kloosterbier blond krat 24 flesjes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
