1. W|casar de burbia|valdepineiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
202. W|casarena single vineyard jamilla|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
203. W|casarena single vineyard|lauren|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
204. W|casarena single vineyard lauren|cabernet franc 2020|pt|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
205. W|casarena single vineyard lauren|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
206. W|casarena single vineyard lauren|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=205
207. W|casarena single vineyard|malbec naokis vineyard agrelo|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
208. W|casarena single vineyard naoki|malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
209. W|casarena single vineyard naokis|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
210. W|casarena single vineyard owen|cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
211. W|casarena single vineyard owen|cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
212. W|casarena single vineyard owen|cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=211
213. W|casarena single vineyard owen|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
214. W|casarena single vineyard owen|chardonnay 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
215. W|casarena synergy blend lauren|vineyard|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
216. W|casarena winemaker|selection torrontes 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
217. W|casarena winemakers|selection cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
218. W|casarena winemakers|selection malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
219. W|casarena winemakers|selection malbec 2020|pt|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
220. W|casarena winemakers|selection malbec 2024|pt|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
221. W|casarena winemakers|selection torrontes|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
222. W|casarena wms|selection malbec red|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
223. W|casaret langhe|doc barbera 2022 marziano abbona|pt|r|barbera|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
224. W|casaretti|2021 bardolino classico la nogara|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
225. W|casaretti|2021 veneto bianco brol di calmasino|pt|r|??|veneto|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
226. W|casaretti|2022 chiaretto di bardolino rosa dei casaretti|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
227. W|casaretti|2022 chiaretto di bardolino rosa dei casaretti|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=226
228. W|casaretti|2024 bardolino classico|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
229. W|casaretti|bardolino|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
230. W|casaretti bardolino|50 bardolino classico 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
231. W|casaretti bardolino|classico doc 50 2024 veneto italy|pt|r|??|veneto|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
232. W|casaretti bardolino|classico la nogara 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
233. W|casaretti chiaretto de bardolino|classico italian rose 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
234. W|casaretti chiaretto di bardolino rosa dei casaretti|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
235. W|casaretti custoza|doc 2023 veneto italy|pt|r|??|veneto|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
236. W|casaretti la nogara|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
237. W|casaretti rosa dei chiaretto|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
238. W|casaretti|selection|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
239. W|c|c|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=13
240. W|casarito acquesi|moscato dasti|pt|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
241. W|casarito|moscato dasti|pt|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
242. W|casarossa|2022 075|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
243. W|casarossa truffle hunter|leda|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
244. W|casarsa|2016 igt villa calcinaia conti capponi double magnum caisse bois|pt|r|??|??|??|2016|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
245. W|casarsa|2019 igt villa calcinaia conti capponi magnum caisse bois|pt|r|??|??|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
246. W|casarsa|2020 bio igt villa calcinaia conti capponi|pt|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
247. W|casarsa|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
248. W|casarsa|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
249. W|casarsa|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
250. W|casarsa|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=249
251. W|casarsa|pinot grigio 2016|pt|w|pinot grigio|??|??|2016|12.5|??|leve|frutos do mar, peixes, saladas|seco
252. W|casarsa|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
253. W|casarta chianti riserva|docg|pt|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
254. W|casas altas|2013 garrafeira tinto|pt|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
255. W|casas altas|arinto|pt|w|arinto|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
256. W|casas altas|arinto vinhas velhas beira interior branco 2021|pt|w|arinto|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
257. W|casas altas|branco arinto 2023|pt|w|arinto|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
258. W|casas altas|branco malvasia fina 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
259. W|casas altas|brut nature|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
260. W|casas altas|brut nature|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut nature|=259
261. W|casas altas|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
262. W|casas altas|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=261
263. W|casas altas|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=261
264. W|casas altas|chardonnay 2018|pt|w|chardonnay|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
265. W|casas altas|chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
266. W|casas altas|chardonnay branco|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
267. W|casas altas|chardonnay branco 2009|pt|w|chardonnay|??|??|2009|12.5|??|leve|frutos do mar, peixes, saladas|seco
268. W|casas altas|chardonnay branco 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
269. W|casas altas|chardonnay cerca da rogenda beira interior branco 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
270. W|casas altas|espumante brut nature 2021|pt|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, sushi|brut nature
271. W|casas altas|espumante rufete brut nature rose 2018|pt|p|??|??|??|2018|12.5|??|leve|saladas, aves, queijos leves|seco
272. W|casas altas|reserva do doutor|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
273. W|casas altas|reserva do doutor|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=272
274. W|casas altas|reserva do doutor verdelho 2021|pt|w|verdelho|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
275. W|casas altas|reserva do doutor verdelho branco 2019|pt|w|verdelho|??|??|2019|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
276. W|casas altas|reserva touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
277. W|casas altas|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
278. W|casas altas|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=277
279. W|casas altas|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=277
280. W|casas altas|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=277
281. W|casas altas|riesling 2023|pt|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
282. W|casas altas|riesling beira interior branco 2021|pt|w|riesling|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
283. W|casas altas|riesling beira interior branco 2022|pt|w|riesling|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
284. W|casas altas|riesling branco|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
285. W|casas altas|riesling branco 2018|pt|w|riesling|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
286. W|casas altas|riesling branco 2023|pt|w|riesling|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
287. W|casas altas|rufete|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
288. W|casas altas|rufete|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=287
289. W|casas altas rufete|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
290. W|casas altas rufete|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
291. W|casas altas rufete beira interior|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
292. W|casas altas rufete|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
293. W|casas altas rufete|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
294. W|casas altas|tempranillo|pt|r|tempranillo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
295. W|casas altas|tempranillo tinto 2018|pt|r|tempranillo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
296. W|casas altas|tinto touriga nacional reserva 20172018|pt|r|touriga nacional, touriga|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
297. W|casas altas|touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
298. W|casas altas|touriga nacional beira interior tinto 2018|pt|r|touriga nacional, touriga|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
299. W|casas altas|touriga nacional reserva|pt|r|touriga nacional, touriga|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
300. W|casas altas|touriga nacional tinto 2018|pt|r|touriga nacional, touriga|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
301. W|casas altas|verdelho reserva do doutor|pt|w|verdelho|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
302. W|casas altas|verdelho reserva do doutor|pt|w|verdelho|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=301
303. W|casas altas|verdelho reserva do doutor reserva branco 2021|pt|w|verdelho|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
304. W|casas de bucalemu fosiles|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
305. W|casas de bucalemu fosiles|pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
306. W|casas de bucalemu salinas|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
307. W|casas de bucalemu salinas|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
308. W|casas de bucalemu|sauvignon blanc 2013|pt|w|sauvignon blanc|??|??|2013|12.5|??|leve|frutos do mar, peixes, saladas|seco
309. W|casas de herencia|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
310. W|casas de herencia|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
311. W|casas de hualdo|arbequina|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
312. W|casas de hualdo|cornicabra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
313. W|casas de hualdo|manzanilla|pt|f|??|??|??|NV|15|??|encorpado|sobremesas, queijos azuis, foie gras|seco
314. W|casas de hualdo partida|real|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
315. W|casas de pena|airen|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
316. W|casas del|bosque|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
317. W|casas del bosque bo|brut metodo tradicional|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
318. W|casas del bosque bo|extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
319. W|casas del bosque bo|extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut|=318
320. W|casas del bosque bo|extra brut espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
321. W|casas del bosque botanic series|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
322. W|casas del bosque botanic series|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=321
323. W|casas del bosque botanic series la cantera|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
324. W|casas del bosque botanic series la cantera|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
325. W|casas del bosque botanic series|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
326. W|casas del bosque botanic series|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=325
327. W|casas del bosque botanic series|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
328. W|casas del bosque botanic series|rose pinot noir|pt|p|pinot noir|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
329. W|casas del bosque botanic series|rose pinot noir|pt|p|pinot noir|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=328
330. W|casas del bosque cab sauv|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
331. W|casas del bosque|cabernet 2023|pt|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
332. W|casas del bosque|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
333. W|casas del bosque|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=332
334. W|casas del bosque|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=332
335. W|casas del bosque|cabernet sauvignon gran reserva|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
336. W|casas del bosque|cabernet sauvignon gran reserva|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=335
337. W|casas del bosque|cabernet sauvignon gran reserva 2016|pt|r|cabernet sauvignon|??|??|2016|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
338. W|casas del bosque|cabernet sauvignon gran reserva 2018|pt|r|cabernet sauvignon|??|??|2018|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
339. W|casas del bosque|cabernet sauvignon gran reserva chili|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
340. W|casas del bosque|cabernet sauvignon reserva|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
341. W|casas del bosque|cabernet sauvignon reserva|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=340
342. W|casas del bosque|cabernet sauvignon reserva 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
343. W|casas del bosque|cabernet sauvignon reserva casablanca valley chile 2019 2023 14 vol|pt|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
344. W|casas del bosque|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
345. W|casas del bosque|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=344
346. W|casas del bosque|carmenere 2018 chile|pt|r|carmenere|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
347. W|casas del bosque|carmenere 2019 chile|pt|r|carmenere|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
348. W|casas del bosque|carmenere 2020 chile|pt|r|carmenere|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
349. W|casas del bosque|carmenere gran reserva|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
350. W|casas del bosque|carmenere reserva|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
351. W|casas del bosque|carmenere reserva|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=350
352. W|casas del bosque|carmenere reserva 2017|pt|r|carmenere|??|??|2017|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
353. W|casas del bosque|carmenere reserva 2022|pt|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
354. W|casas del bosque|carmenere reserva 2022|pt|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=353
355. W|casas del bosque|carmenere reserva chili|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
356. W|casas del bosque casa viva|sauvignon blanc 700|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
357. W|casas del bosque cebernet|sauvignon reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
358. W|casas del bosque|chardonnay gran reserva|pt|w|chardonnay|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
359. W|casas del bosque|chardonnay reserva|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
360. W|casas del bosque|chardonnay reserva|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=359
361. W|casas del bosque|chardonnay reserva 2020|pt|w|chardonnay|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
362. W|casas del bosque collection|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
363. W|casas del bosque collection|cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
364. W|casas del bosque collection|cabernet sauvignon 2024|pt|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
365. W|casas del bosque collection|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
366. W|casas del bosque collection|carmenere 2023|pt|r|carmenere|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
367. W|casas del bosque collection|carmenere 2024|pt|r|carmenere|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
368. W|casas del bosque collection|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
369. W|casas del bosque collection|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=368
370. W|casas del bosque collection|chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
371. W|casas del bosque collection|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
372. W|casas del bosque collection|pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
373. W|casas del bosque collection|pinot noir 2024|pt|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
374. W|casas del bosque collection|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
375. W|casas del bosque collection|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
376. W|casas del bosque collection|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
377. W|casas del bosque collection|sauvignon blanc 20242025|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
378. W|casas del bosque collection|sauvignon blanc 20242025|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=377
379. W|casas del bosque collection|sauvignon blanc super oferta|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
380. W|casas del bosque edicion limitada cab|sauvignon|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
381. W|casas del bosque family|reserve gran bosque 2019|pt|r|??|??|??|2019|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
382. W|casas del bosque|gran bosque cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
383. W|casas del bosque|gran bosque cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=382
384. W|casas del bosque|gran bosque cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=382
385. W|casas del bosque|gran bosque cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=382
386. W|casas del bosque|gran bosque cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
387. W|casas del bosque|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
388. W|casas del bosque|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=387
389. W|casas del bosque|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=387
390. W|casas del bosque|gran reserva cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
391. W|casas del bosque|gran reserva cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
392. W|casas del bosque|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
393. W|casas del bosque|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=392
394. W|casas del bosque|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=392
395. W|casas del bosque|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=392
396. W|casas del bosque|gran reserva carmenere 2021|pt|r|carmenere|??|??|2021|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
397. W|casas del bosque|gran reserva carmenere 2024|pt|r|carmenere|??|??|2024|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
398. W|casas del bosque|gran reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
399. W|casas del bosque|gran reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco|=398
400. W|casas del bosque|gran reserva peumo carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
401. W|casas del bosque|gran reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
402. W|casas del bosque|gran reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=401
403. W|casas del bosque|gran reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=401
